<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK_PB,D,20070813,000000,2.62286,2.62286,2.62286,2.62286,0,0
MAK_PB,D,20070814,000000,2.62286,2.62286,2.62286,2.62286,0,0
MAK_PB,D,20070816,000000,2.59194,2.59194,2.59194,2.59194,0,0
MAK_PB,D,20070817,000000,2.59194,2.59194,2.59194,2.59194,0,0
MAK_PB,D,20070820,000000,2.60427,2.60427,2.60427,2.60427,0,0
MAK_PB,D,20070821,000000,2.55493,2.55493,2.55493,2.55493,0,0
MAK_PB,D,20070822,000000,0.864035,0.864035,0.864035,0.864035,0,0
MAK_PB,D,20070823,000000,0.882367,0.882367,0.882367,0.882367,0,0
MAK_PB,D,20070824,000000,0.870203,0.870203,0.870203,0.870203,0,0
MAK_PB,D,20070827,000000,0.864035,0.864035,0.864035,0.864035,0,0
MAK_PB,D,20070828,000000,0.845447,0.845447,0.845447,0.845447,0,0
MAK_PB,D,20070829,000000,0.845447,0.845447,0.845447,0.845447,0,0
MAK_PB,D,20070830,000000,0.839363,0.839363,0.839363,0.839363,0,0
MAK_PB,D,20070831,000000,0.833195,0.833195,0.833195,0.833195,0,0
MAK_PB,D,20070903,000000,0.845447,0.845447,0.845447,0.845447,0,0
MAK_PB,D,20070904,000000,0.845447,0.845447,0.845447,0.845447,0,0
MAK_PB,D,20070905,000000,0.833195,0.833195,0.833195,0.833195,0,0
MAK_PB,D,20070906,000000,0.808439,0.808439,0.808439,0.808439,0,0
MAK_PB,D,20070907,000000,0.808439,0.808439,0.808439,0.808439,0,0
MAK_PB,D,20070910,000000,0.77143,0.77143,0.77143,0.77143,0,0
MAK_PB,D,20070911,000000,0.777767,0.777767,0.777767,0.777767,0,0
MAK_PB,D,20070912,000000,0.746674,0.746674,0.746674,0.746674,0,0
MAK_PB,D,20070913,000000,0.746674,0.746674,0.746674,0.746674,0,0
MAK_PB,D,20070914,000000,0.740589,0.740589,0.740589,0.740589,0,0
MAK_PB,D,20070917,000000,0.746674,0.746674,0.746674,0.746674,0,0
MAK_PB,D,20070918,000000,0.746674,0.746674,0.746674,0.746674,0,0
MAK_PB,D,20070919,000000,0.746674,0.746674,0.746674,0.746674,0,0
MAK_PB,D,20070920,000000,0.740589,0.740589,0.740589,0.740589,0,0
MAK_PB,D,20070921,000000,0.746674,0.746674,0.746674,0.746674,0,0
MAK_PB,D,20070924,000000,0.740589,0.740589,0.740589,0.740589,0,0
MAK_PB,D,20070925,000000,0.722086,0.722086,0.722086,0.722086,0,0
MAK_PB,D,20070926,000000,0.722086,0.722086,0.722086,0.722086,0,0
MAK_PB,D,20070927,000000,0.734422,0.734422,0.734422,0.734422,0,0
MAK_PB,D,20070928,000000,0.722086,0.722086,0.722086,0.722086,0,0
MAK_PB,D,20071001,000000,0.765262,0.765262,0.765262,0.765262,0,0
MAK_PB,D,20071002,000000,0.77143,0.77143,0.77143,0.77143,0,0
MAK_PB,D,20071003,000000,0.77143,0.77143,0.77143,0.77143,0,0
MAK_PB,D,20071004,000000,0.765262,0.765262,0.765262,0.765262,0,0
MAK_PB,D,20071005,000000,0.789849,0.789849,0.789849,0.789849,0,0
MAK_PB,D,20071008,000000,0.814607,0.814607,0.814607,0.814607,0,0
MAK_PB,D,20071009,000000,0.808439,0.808439,0.808439,0.808439,0,0
MAK_PB,D,20071010,000000,0.808439,0.808439,0.808439,0.808439,0,0
MAK_PB,D,20071011,000000,0.808439,0.808439,0.808439,0.808439,0,0
MAK_PB,D,20071012,000000,0.808439,0.808439,0.808439,0.808439,0,0
MAK_PB,D,20071015,000000,0.796103,0.796103,0.796103,0.796103,0,0
