<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR_PB,D,20070813,000000,3.29843,3.29843,3.29843,3.29843,0,0
MCR_PB,D,20070814,000000,3.19162,3.19162,3.19162,3.19162,0,0
MCR_PB,D,20070816,000000,2.75225,2.75225,2.75225,2.75225,0,0
MCR_PB,D,20070817,000000,2.75225,2.75225,2.75225,2.75225,0,0
MCR_PB,D,20070820,000000,2.75225,2.75225,2.75225,2.75225,0,0
MCR_PB,D,20070821,000000,2.68509,2.68509,2.68509,2.68509,0,0
MCR_PB,D,20070822,000000,2.87728,2.87728,2.87728,2.87728,0,0
MCR_PB,D,20070823,000000,2.99321,2.99321,2.99321,2.99321,0,0
MCR_PB,D,20070824,000000,3.0727,3.0727,3.0727,3.0727,0,0
MCR_PB,D,20070827,000000,3.07866,3.07866,3.07866,3.07866,0,0
MCR_PB,D,20070828,000000,3.06648,3.06648,3.06648,3.06648,0,0
MCR_PB,D,20070829,000000,3.42056,3.42056,3.42056,3.42056,0,0
MCR_PB,D,20070830,000000,3.57286,3.57286,3.57286,3.57286,0,0
MCR_PB,D,20070831,000000,3.57286,3.57286,3.57286,3.57286,0,0
MCR_PB,D,20070903,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20070904,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20070905,000000,3.67371,3.67371,3.67371,3.67371,0,0
MCR_PB,D,20070906,000000,3.71337,3.71337,3.71337,3.71337,0,0
MCR_PB,D,20070907,000000,3.7224,3.7224,3.7224,3.7224,0,0
MCR_PB,D,20070910,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20070911,000000,3.70709,3.70709,3.70709,3.70709,0,0
MCR_PB,D,20070912,000000,3.67371,3.67371,3.67371,3.67371,0,0
MCR_PB,D,20070913,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20070914,000000,3.60349,3.60349,3.60349,3.60349,0,0
MCR_PB,D,20070917,000000,3.64324,3.64324,3.64324,3.64324,0,0
MCR_PB,D,20070918,000000,3.67371,3.67371,3.67371,3.67371,0,0
MCR_PB,D,20070919,000000,3.60349,3.60349,3.60349,3.60349,0,0
MCR_PB,D,20070920,000000,3.59131,3.59131,3.59131,3.59131,0,0
MCR_PB,D,20070921,000000,3.64324,3.64324,3.64324,3.64324,0,0
MCR_PB,D,20070924,000000,3.65823,3.65823,3.65823,3.65823,0,0
MCR_PB,D,20070925,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20070926,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20070927,000000,3.65823,3.65823,3.65823,3.65823,0,0
MCR_PB,D,20070928,000000,3.69798,3.69798,3.69798,3.69798,0,0
MCR_PB,D,20071001,000000,3.7224,3.7224,3.7224,3.7224,0,0
MCR_PB,D,20071002,000000,3.69209,3.69209,3.69209,3.69209,0,0
MCR_PB,D,20071003,000000,3.61253,3.61253,3.61253,3.61253,0,0
MCR_PB,D,20071004,000000,3.55158,3.55158,3.55158,3.55158,0,0
MCR_PB,D,20071005,000000,3.64324,3.64324,3.64324,3.64324,0,0
MCR_PB,D,20071008,000000,3.49676,3.49676,3.49676,3.49676,0,0
MCR_PB,D,20071009,000000,3.57906,3.57906,3.57906,3.57906,0,0
MCR_PB,D,20071010,000000,3.57906,3.57906,3.57906,3.57906,0,0
MCR_PB,D,20071011,000000,3.67371,3.67371,3.67371,3.67371,0,0
MCR_PB,D,20071012,000000,3.7224,3.7224,3.7224,3.7224,0,0
MCR_PB,D,20071015,000000,3.76223,3.76223,3.76223,3.76223,0,0
MCR_PB,D,20071016,000000,3.60349,3.60349,3.60349,3.60349,0,0
MCR_PB,D,20071017,000000,3.75312,3.75312,3.75312,3.75312,0,0
MCR_PB,D,20071018,000000,3.68275,3.68275,3.68275,3.68275,0,0
MCR_PB,D,20071019,000000,3.79568,3.79568,3.79568,3.79568,0,0
MCR_PB,D,20071022,000000,3.79255,3.79255,3.79255,3.79255,0,0
MCR_PB,D,20071023,000000,3.82914,3.82914,3.82914,3.82914,0,0
MCR_PB,D,20071024,000000,3.82003,3.82003,3.82003,3.82003,0,0
MCR_PB,D,20071025,000000,3.80198,3.80198,3.80198,3.80198,0,0
MCR_PB,D,20071026,000000,3.75312,3.75312,3.75312,3.75312,0,0
MCR_PB,D,20071029,000000,3.73781,3.73781,3.73781,3.73781,0,0
MCR_PB,D,20071030,000000,3.7224,3.7224,3.7224,3.7224,0,0
MCR_PB,D,20071031,000000,3.71337,3.71337,3.71337,3.71337,0,0
MCR_PB,D,20071102,000000,3.79255,3.79255,3.79255,3.79255,0,0
