<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR_PE,D,20070813,000000,13.5174,13.5174,13.5174,13.5174,0,0
MCR_PE,D,20070814,000000,13.0892,13.0892,13.0892,13.0892,0,0
MCR_PE,D,20070816,000000,11.2891,11.2891,11.2891,11.2891,0,0
MCR_PE,D,20070817,000000,11.2891,11.2891,11.2891,11.2891,0,0
MCR_PE,D,20070820,000000,11.2891,11.2891,11.2891,11.2891,0,0
MCR_PE,D,20070821,000000,11.015,11.015,11.015,11.015,0,0
MCR_PE,D,20070822,000000,12.2049,12.2049,12.2049,12.2049,0,0
MCR_PE,D,20070823,000000,12.6619,12.6619,12.6619,12.6619,0,0
MCR_PE,D,20070824,000000,13.0295,13.0295,13.0295,13.0295,0,0
MCR_PE,D,20070827,000000,13.0295,13.0295,13.0295,13.0295,0,0
MCR_PE,D,20070828,000000,12.9982,12.9982,12.9982,12.9982,0,0
MCR_PE,D,20070829,000000,14.4936,14.4936,14.4936,14.4936,0,0
MCR_PE,D,20070830,000000,14.5541,14.5541,14.5541,14.5541,0,0
MCR_PE,D,20070831,000000,14.5848,14.5848,14.5848,14.5848,0,0
MCR_PE,D,20070903,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20070904,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20070905,000000,14.9814,14.9814,14.9814,14.9814,0,0
MCR_PE,D,20070906,000000,15.1346,15.1346,15.1346,15.1346,0,0
MCR_PE,D,20070907,000000,15.1951,15.1951,15.1951,15.1951,0,0
MCR_PE,D,20070910,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20070911,000000,15.103,15.103,15.103,15.103,0,0
MCR_PE,D,20070912,000000,14.9814,14.9814,14.9814,14.9814,0,0
MCR_PE,D,20070913,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20070914,000000,14.7072,14.7072,14.7072,14.7072,0,0
MCR_PE,D,20070917,000000,14.8587,14.8587,14.8587,14.8587,0,0
MCR_PE,D,20070918,000000,14.9814,14.9814,14.9814,14.9814,0,0
MCR_PE,D,20070919,000000,14.7072,14.7072,14.7072,14.7072,0,0
MCR_PE,D,20070920,000000,14.646,14.646,14.646,14.646,0,0
MCR_PE,D,20070921,000000,14.8587,14.8587,14.8587,14.8587,0,0
MCR_PE,D,20070924,000000,14.9209,14.9209,14.9209,14.9209,0,0
MCR_PE,D,20070925,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20070926,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20070927,000000,14.9209,14.9209,14.9209,14.9209,0,0
MCR_PE,D,20070928,000000,15.0724,15.0724,15.0724,15.0724,0,0
MCR_PE,D,20071001,000000,15.1951,15.1951,15.1951,15.1951,0,0
MCR_PE,D,20071002,000000,15.0427,15.0427,15.0427,15.0427,0,0
MCR_PE,D,20071003,000000,14.7371,14.7371,14.7371,14.7371,0,0
MCR_PE,D,20071004,000000,14.4936,14.4936,14.4936,14.4936,0,0
MCR_PE,D,20071005,000000,14.8587,14.8587,14.8587,14.8587,0,0
MCR_PE,D,20071008,000000,14.2494,14.2494,14.2494,14.2494,0,0
MCR_PE,D,20071009,000000,14.5848,14.5848,14.5848,14.5848,0,0
MCR_PE,D,20071010,000000,14.5848,14.5848,14.5848,14.5848,0,0
MCR_PE,D,20071011,000000,14.9814,14.9814,14.9814,14.9814,0,0
MCR_PE,D,20071012,000000,15.1644,15.1644,15.1644,15.1644,0,0
MCR_PE,D,20071015,000000,15.3482,15.3482,15.3482,15.3482,0,0
MCR_PE,D,20071016,000000,14.7072,14.7072,14.7072,14.7072,0,0
MCR_PE,D,20071017,000000,15.286,15.286,15.286,15.286,0,0
MCR_PE,D,20071018,000000,15.0121,15.0121,15.0121,15.0121,0,0
MCR_PE,D,20071019,000000,15.4706,15.4706,15.4706,15.4706,0,0
MCR_PE,D,20071022,000000,15.4706,15.4706,15.4706,15.4706,0,0
MCR_PE,D,20071023,000000,15.6215,15.6215,15.6215,15.6215,0,0
MCR_PE,D,20071024,000000,15.5916,15.5916,15.5916,15.5916,0,0
MCR_PE,D,20071025,000000,15.4998,15.4998,15.4998,15.4998,0,0
MCR_PE,D,20071026,000000,15.3175,15.3175,15.3175,15.3175,0,0
MCR_PE,D,20071029,000000,15.2555,15.2555,15.2555,15.2555,0,0
MCR_PE,D,20071030,000000,15.1951,15.1951,15.1951,15.1951,0,0
MCR_PE,D,20071031,000000,15.1346,15.1346,15.1346,15.1346,0,0
MCR_PE,D,20071102,000000,15.4706,15.4706,15.4706,15.4706,0,0
MCR_PE,D,20071105,000000,15.2555,15.2555,15.2555,15.2555,0,0
MCR_PE,D,20071106,000000,14.8587,14.8587,14.8587,14.8587,0,0
MCR_PE,D,20071107,000000,15.0724,15.0724,15.0724,15.0724,0,0
MCR_PE,D,20071108,000000,14.7072,14.7072,14.7072,14.7072,0,0
MCR_PE,D,20071109,000000,12.9377,15.0121,12.9377,14.8587,0,0
MCR_PE,D,20071112,000000,14.9814,14.9814,14.2187,14.7992,0,0
MCR_PE,D,20071113,000000,14.8274,14.9814,14.8274,14.9508,0,0
MCR_PE,D,20071114,000000,15.0724,15.103,14.8903,14.9508,0,0
MCR_PE,D,20071115,000000,14.5235,14.9508,10.0692,10.0692,0,0
MCR_PE,D,20071116,000000,10.3135,10.3135,9.33644,10.0081,0,0
MCR_PE,D,20071119,000000,10.0081,10.0692,9.36713,10.0692,0,0
MCR_PE,D,20071120,000000,10.0394,10.0394,9.88632,9.88632,0,0
MCR_PE,D,20071121,000000,9.58074,9.91692,9.36713,9.79444,0,0
MCR_PE,D,20071122,000000,9.58074,9.58074,8.90916,9.36713,0,0
MCR_PE,D,20071123,000000,9.79444,9.79444,9.49044,9.61133,0,0
MCR_PE,D,20071126,000000,9.94751,9.94751,9.49044,9.82569,0,0
MCR_PE,D,20071127,000000,9.82569,9.82569,9.82569,9.82569,0,0
MCR_PE,D,20071128,000000,9.82569,9.82569,9.79444,9.82569,0,0
MCR_PE,D,20071129,000000,9.82569,9.82569,9.42748,9.82569,0,0
