<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDG_MV,D,20111109,000000,48.39,48.39,48.39,48.39,0,0
MDG_MV,D,20111110,000000,50.778,50.778,44.866,49.593,0,0
MDG_MV,D,20111114,000000,49.593,50.778,49.593,50.778,0,0
MDG_MV,D,20111115,000000,53.137,54.312,50.069,51.953,0,0
MDG_MV,D,20111116,000000,53.137,53.137,51.715,51.715,0,0
MDG_MV,D,20111117,000000,51.953,51.953,47.205,47.205,0,0
MDG_MV,D,20111121,000000,46.874,46.874,45.103,45.103,0,0
MDG_MV,D,20111122,000000,45.103,47.205,45.103,46.76,0,0
MDG_MV,D,20111123,000000,46.968,46.968,43.69,43.69,0,0
MDG_MV,D,20111124,000000,42.554,43.568,41.33,42.393,0,0
MDG_MV,D,20111125,000000,42.393,42.505,42.393,42.505,0,0
MDG_MV,D,20111128,000000,43.189,43.189,41.33,41.33,0,0
MDG_MV,D,20111129,000000,41.095,41.095,37.076,40.619,0,0
MDG_MV,D,20111130,000000,41.189,42.393,41.189,42.393,0,0
MDG_MV,D,20111201,000000,43.663,43.663,43.663,43.663,0,0
MDG_MV,D,20111202,000000,43.283,43.283,42.033,42.033,0,0
MDG_MV,D,20111205,000000,42.033,42.033,40.619,40.734,0,0
MDG_MV,D,20111206,000000,40.619,40.619,39.91,40.383,0,0
MDG_MV,D,20111207,000000,40.383,40.619,39.91,40.619,0,0
MDG_MV,D,20111208,000000,40.147,41.558,40.147,41.558,0,0
MDG_MV,D,20111213,000000,40.858,40.858,40.858,40.858,0,0
MDG_MV,D,20111214,000000,40.734,40.734,40.639,40.734,0,0
MDG_MV,D,20111215,000000,40.734,40.734,40.639,40.639,0,0
MDG_MV,D,20111220,000000,40.619,40.619,40.619,40.619,0,0
MDG_MV,D,20111221,000000,40.165,41.558,40.165,41.558,0,0
MDG_MV,D,20111222,000000,41.558,41.558,40.971,41.558,0,0
MDG_MV,D,20111223,000000,41.558,41.558,41.558,41.558,0,0
MDG_MV,D,20111227,000000,41.796,46.523,41.796,46.523,0,0
MDG_MV,D,20111228,000000,46.523,46.523,46.523,46.523,0,0
MDG_MV,D,20111229,000000,46.523,46.523,46.523,46.523,0,0
MDG_MV,D,20111230,000000,46.523,63.76,46.523,60.214,0,0
MDG_MV,D,20120102,000000,60.214,64.944,56.917,60.214,0,0
MDG_MV,D,20120103,000000,57.884,64.47,56.917,62.585,0,0
MDG_MV,D,20120104,000000,64.944,66.004,63.76,64.915,0,0
MDG_MV,D,20120105,000000,64.944,65.891,64.47,64.47,0,0
MDG_MV,D,20120109,000000,64.356,64.356,62.585,62.585,0,0
MDG_MV,D,20120110,000000,62.11,65.179,60.926,64.944,0,0
MDG_MV,D,20120111,000000,65.179,75.565,65.179,75.546,0,0
MDG_MV,D,20120112,000000,78.71,90.213,78.71,86.197,0,0
