<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT_MV,D,20070813,000000,42.7716,42.7716,42.7716,42.7716,0,0
MGT_MV,D,20070814,000000,44.7395,44.7395,44.7395,44.7395,0,0
MGT_MV,D,20070816,000000,40.1561,40.1561,40.1561,40.1561,0,0
MGT_MV,D,20070817,000000,42.5541,42.5541,42.5541,42.5541,0,0
MGT_MV,D,20070820,000000,42.4468,42.4468,42.4468,42.4468,0,0
MGT_MV,D,20070821,000000,42.1181,42.1181,42.1181,42.1181,0,0
MGT_MV,D,20070822,000000,42.5541,42.5541,42.5541,42.5541,0,0
MGT_MV,D,20070823,000000,42.5541,42.5541,42.5541,42.5541,0,0
MGT_MV,D,20070824,000000,41.2229,41.2229,41.2229,41.2229,0,0
MGT_MV,D,20070827,000000,42.4468,42.4468,42.4468,42.4468,0,0
MGT_MV,D,20070828,000000,41.463,41.463,41.463,41.463,0,0
MGT_MV,D,20070829,000000,42.1181,42.1181,42.1181,42.1181,0,0
MGT_MV,D,20070830,000000,42.1181,42.1181,42.1181,42.1181,0,0
MGT_MV,D,20070831,000000,41.7879,41.7879,41.7879,41.7879,0,0
MGT_MV,D,20070903,000000,41.7039,41.7039,41.7039,41.7039,0,0
MGT_MV,D,20070904,000000,42.3364,42.3364,42.3364,42.3364,0,0
MGT_MV,D,20070905,000000,43.1017,43.1017,43.1017,43.1017,0,0
MGT_MV,D,20070906,000000,43.1017,43.1017,43.1017,43.1017,0,0
MGT_MV,D,20070907,000000,43.4258,43.4258,43.4258,43.4258,0,0
MGT_MV,D,20070910,000000,43.32,43.32,43.32,43.32,0,0
MGT_MV,D,20070911,000000,43.5376,43.5376,43.5376,43.5376,0,0
MGT_MV,D,20070912,000000,43.4933,43.4933,43.4933,43.4933,0,0
MGT_MV,D,20070913,000000,43.4933,43.4933,43.4933,43.4933,0,0
MGT_MV,D,20070914,000000,43.4933,43.4933,43.4933,43.4933,0,0
MGT_MV,D,20070917,000000,43.6434,43.6434,43.6434,43.6434,0,0
MGT_MV,D,20070918,000000,43.2083,43.2083,43.2083,43.2083,0,0
MGT_MV,D,20070919,000000,45.282,45.282,45.282,45.282,0,0
MGT_MV,D,20070920,000000,44.7395,44.7395,44.7395,44.7395,0,0
MGT_MV,D,20070921,000000,45.1754,45.1754,45.1754,45.1754,0,0
MGT_MV,D,20070924,000000,42.599,42.599,42.599,42.599,0,0
MGT_MV,D,20070925,000000,42.5541,42.5541,42.5541,42.5541,0,0
MGT_MV,D,20070926,000000,42.5541,42.5541,42.5541,42.5541,0,0
MGT_MV,D,20070927,000000,44.08,44.08,44.08,44.08,0,0
MGT_MV,D,20070928,000000,43.0125,43.0125,43.0125,43.0125,0,0
MGT_MV,D,20071001,000000,41.7039,41.7039,41.7039,41.7039,0,0
MGT_MV,D,20071002,000000,43.404,43.404,43.404,43.404,0,0
MGT_MV,D,20071003,000000,42.8833,42.8833,42.8833,42.8833,0,0
MGT_MV,D,20071004,000000,41.8998,41.8998,41.8998,41.8998,0,0
MGT_MV,D,20071005,000000,42.7491,42.7491,42.7491,42.7491,0,0
MGT_MV,D,20071008,000000,42.028,42.028,42.028,42.028,0,0
MGT_MV,D,20071009,000000,42.7491,42.7491,42.7491,42.7491,0,0
MGT_MV,D,20071010,000000,42.3364,42.3364,42.3364,42.3364,0,0
MGT_MV,D,20071011,000000,41.7879,41.7879,41.7879,41.7879,0,0
MGT_MV,D,20071012,000000,41.8547,41.8547,41.8547,41.8547,0,0
MGT_MV,D,20071015,000000,42.5758,42.5758,42.5758,42.5758,0,0
MGT_MV,D,20071016,000000,43.6434,43.6434,43.6434,43.6434,0,0
MGT_MV,D,20071017,000000,43.6434,43.6434,43.6434,43.6434,0,0
MGT_MV,D,20071018,000000,44.7395,44.7395,44.7395,44.7395,0,0
MGT_MV,D,20071019,000000,44.7395,44.7395,44.7395,44.7395,0,0
MGT_MV,D,20071022,000000,43.6434,43.6434,43.6434,43.6434,0,0
MGT_MV,D,20071023,000000,44.1025,44.1025,44.1025,44.1025,0,0
MGT_MV,D,20071024,000000,46.5056,46.5056,46.5056,46.5056,0,0
MGT_MV,D,20071025,000000,48.0092,48.0092,48.0092,48.0092,0,0
MGT_MV,D,20071026,000000,48.0092,48.0092,48.0092,48.0092,0,0
MGT_MV,D,20071029,000000,48.0092,48.0092,48.0092,48.0092,0,0
MGT_MV,D,20071030,000000,48.0092,48.0092,48.0092,48.0092,0,0
MGT_MV,D,20071031,000000,48.6635,48.6635,48.6635,48.6635,0,0
