<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT_PB,D,20070813,000000,1.29115,1.29115,1.29115,1.29115,0,0
MGT_PB,D,20070814,000000,1.34704,1.34704,1.34704,1.34704,0,0
MGT_PB,D,20070816,000000,1.2129,1.2129,1.2129,1.2129,0,0
MGT_PB,D,20070817,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20070820,000000,1.28004,1.28004,1.28004,1.28004,0,0
MGT_PB,D,20070821,000000,1.26894,1.26894,1.26894,1.26894,0,0
MGT_PB,D,20070822,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20070823,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20070824,000000,1.24088,1.24088,1.24088,1.24088,0,0
MGT_PB,D,20070827,000000,1.28004,1.28004,1.28004,1.28004,0,0
MGT_PB,D,20070828,000000,1.25206,1.25206,1.25206,1.25206,0,0
MGT_PB,D,20070829,000000,1.26894,1.26894,1.26894,1.26894,0,0
MGT_PB,D,20070830,000000,1.26894,1.26894,1.26894,1.26894,0,0
MGT_PB,D,20070831,000000,1.26324,1.26324,1.26324,1.26324,0,0
MGT_PB,D,20070903,000000,1.25768,1.25768,1.25768,1.25768,0,0
MGT_PB,D,20070904,000000,1.27441,1.27441,1.27441,1.27441,0,0
MGT_PB,D,20070905,000000,1.30241,1.30241,1.30241,1.30241,0,0
MGT_PB,D,20070906,000000,1.30241,1.30241,1.30241,1.30241,0,0
MGT_PB,D,20070907,000000,1.30794,1.30794,1.30794,1.30794,0,0
MGT_PB,D,20070910,000000,1.30794,1.30794,1.30794,1.30794,0,0
MGT_PB,D,20070911,000000,1.31349,1.31349,1.31349,1.31349,0,0
MGT_PB,D,20070912,000000,1.31349,1.31349,1.31349,1.31349,0,0
MGT_PB,D,20070913,000000,1.31349,1.31349,1.31349,1.31349,0,0
MGT_PB,D,20070914,000000,1.31349,1.31349,1.31349,1.31349,0,0
MGT_PB,D,20070917,000000,1.31914,1.31914,1.31914,1.31914,0,0
MGT_PB,D,20070918,000000,1.30241,1.30241,1.30241,1.30241,0,0
MGT_PB,D,20070919,000000,1.36393,1.36393,1.36393,1.36393,0,0
MGT_PB,D,20070920,000000,1.34704,1.34704,1.34704,1.34704,0,0
MGT_PB,D,20070921,000000,1.36393,1.36393,1.36393,1.36393,0,0
MGT_PB,D,20070924,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20070925,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20070926,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20070927,000000,1.33038,1.33038,1.33038,1.33038,0,0
MGT_PB,D,20070928,000000,1.29685,1.29685,1.29685,1.29685,0,0
MGT_PB,D,20071001,000000,1.25768,1.25768,1.25768,1.25768,0,0
MGT_PB,D,20071002,000000,1.30794,1.30794,1.30794,1.30794,0,0
MGT_PB,D,20071003,000000,1.29115,1.29115,1.29115,1.29115,0,0
MGT_PB,D,20071004,000000,1.26324,1.26324,1.26324,1.26324,0,0
MGT_PB,D,20071005,000000,1.29115,1.29115,1.29115,1.29115,0,0
MGT_PB,D,20071008,000000,1.26894,1.26894,1.26894,1.26894,0,0
MGT_PB,D,20071009,000000,1.29115,1.29115,1.29115,1.29115,0,0
MGT_PB,D,20071010,000000,1.27441,1.27441,1.27441,1.27441,0,0
MGT_PB,D,20071011,000000,1.26324,1.26324,1.26324,1.26324,0,0
MGT_PB,D,20071012,000000,1.26324,1.26324,1.26324,1.26324,0,0
MGT_PB,D,20071015,000000,1.28559,1.28559,1.28559,1.28559,0,0
MGT_PB,D,20071016,000000,1.31914,1.31914,1.31914,1.31914,0,0
MGT_PB,D,20071017,000000,1.31914,1.31914,1.31914,1.31914,0,0
MGT_PB,D,20071018,000000,1.34704,1.34704,1.34704,1.34704,0,0
MGT_PB,D,20071019,000000,1.34704,1.34704,1.34704,1.34704,0,0
MGT_PB,D,20071022,000000,1.31914,1.31914,1.31914,1.31914,0,0
MGT_PB,D,20071023,000000,1.33038,1.33038,1.33038,1.33038,0,0
MGT_PB,D,20071024,000000,1.40301,1.40301,1.40301,1.40301,0,0
MGT_PB,D,20071025,000000,1.44773,1.44773,1.44773,1.44773,0,0
MGT_PB,D,20071026,000000,1.44773,1.44773,1.44773,1.44773,0,0
MGT_PB,D,20071029,000000,1.44773,1.44773,1.44773,1.44773,0,0
MGT_PB,D,20071030,000000,1.44773,1.44773,1.44773,1.44773,0,0
MGT_PB,D,20071031,000000,1.47008,1.47008,1.47008,1.47008,0,0
MGT_PB,D,20071102,000000,1.45898,1.45898,1.45898,1.45898,0,0
MGT_PB,D,20071105,000000,1.44773,1.44773,1.44773,1.44773,0,0
MGT_PB,D,20071106,000000,1.40849,1.40849,1.40849,1.40849,0,0
MGT_PB,D,20071107,000000,1.34704,1.34704,1.34704,1.34704,0,0
MGT_PB,D,20071108,000000,1.33038,1.33038,1.33038,1.33038,0,0
