<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT_PE,D,20070813,000000,8.60791,8.60791,8.60791,8.60791,0,0
MGT_PE,D,20070814,000000,8.99946,8.99946,8.99946,8.99946,0,0
MGT_PE,D,20070816,000000,8.04972,8.04972,8.04972,8.04972,0,0
MGT_PE,D,20070817,000000,8.55162,8.55162,8.55162,8.55162,0,0
MGT_PE,D,20070820,000000,8.49606,8.49606,8.49606,8.49606,0,0
MGT_PE,D,20070821,000000,8.44058,8.44058,8.44058,8.44058,0,0
MGT_PE,D,20070822,000000,8.55162,8.55162,8.55162,8.55162,0,0
MGT_PE,D,20070823,000000,8.55162,8.55162,8.55162,8.55162,0,0
MGT_PE,D,20070824,000000,8.27253,8.27253,8.27253,8.27253,0,0
MGT_PE,D,20070827,000000,8.49606,8.49606,8.49606,8.49606,0,0
MGT_PE,D,20070828,000000,8.32802,8.32802,8.32802,8.32802,0,0
MGT_PE,D,20070829,000000,8.44058,8.44058,8.44058,8.44058,0,0
MGT_PE,D,20070830,000000,8.44058,8.44058,8.44058,8.44058,0,0
MGT_PE,D,20070831,000000,8.38502,8.38502,8.38502,8.38502,0,0
MGT_PE,D,20070903,000000,8.38502,8.38502,8.38502,8.38502,0,0
MGT_PE,D,20070904,000000,8.49606,8.49606,8.49606,8.49606,0,0
MGT_PE,D,20070905,000000,8.66419,8.66419,8.66419,8.66419,0,0
MGT_PE,D,20070906,000000,8.66419,8.66419,8.66419,8.66419,0,0
MGT_PE,D,20070907,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20070910,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20070911,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20070912,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20070913,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20070914,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20070917,000000,8.77519,8.77519,8.77519,8.77519,0,0
MGT_PE,D,20070918,000000,8.66419,8.66419,8.66419,8.66419,0,0
MGT_PE,D,20070919,000000,9.11051,9.11051,9.11051,9.11051,0,0
MGT_PE,D,20070920,000000,8.99946,8.99946,8.99946,8.99946,0,0
MGT_PE,D,20070921,000000,9.05581,9.05581,9.05581,9.05581,0,0
MGT_PE,D,20070924,000000,8.55162,8.55162,8.55162,8.55162,0,0
MGT_PE,D,20070925,000000,8.55162,8.55162,8.55162,8.55162,0,0
MGT_PE,D,20070926,000000,8.55162,8.55162,8.55162,8.55162,0,0
MGT_PE,D,20070927,000000,8.83146,8.83146,8.83146,8.83146,0,0
MGT_PE,D,20070928,000000,8.60791,8.60791,8.60791,8.60791,0,0
MGT_PE,D,20071001,000000,8.38502,8.38502,8.38502,8.38502,0,0
MGT_PE,D,20071002,000000,8.72039,8.72039,8.72039,8.72039,0,0
MGT_PE,D,20071003,000000,8.60791,8.60791,8.60791,8.60791,0,0
MGT_PE,D,20071004,000000,8.38502,8.38502,8.38502,8.38502,0,0
MGT_PE,D,20071005,000000,8.60791,8.60791,8.60791,8.60791,0,0
MGT_PE,D,20071008,000000,8.44058,8.44058,8.44058,8.44058,0,0
MGT_PE,D,20071009,000000,8.60791,8.60791,8.60791,8.60791,0,0
