<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL_MV,D,20070813,000000,20429.5,20429.5,20429.5,20429.5,0,0
MOL_MV,D,20070814,000000,20154.3,20154.3,20154.3,20154.3,0,0
MOL_MV,D,20070816,000000,19282.9,19282.9,19282.9,19282.9,0,0
MOL_MV,D,20070817,000000,19237.1,19237.1,19237.1,19237.1,0,0
MOL_MV,D,20070820,000000,18610.3,18610.3,18610.3,18610.3,0,0
MOL_MV,D,20070821,000000,18656.1,18656.1,18656.1,18656.1,0,0
MOL_MV,D,20070822,000000,20271.6,20271.6,20271.6,20271.6,0,0
MOL_MV,D,20070823,000000,20103.4,20103.4,20103.4,20103.4,0,0
MOL_MV,D,20070824,000000,20383.6,20383.6,20383.6,20383.6,0,0
MOL_MV,D,20070827,000000,20439.7,20439.7,20439.7,20439.7,0,0
MOL_MV,D,20070828,000000,20159.4,20159.4,20159.4,20159.4,0,0
MOL_MV,D,20070829,000000,20500.9,20500.9,20500.9,20500.9,0,0
MOL_MV,D,20070830,000000,20648.6,20648.6,20648.6,20648.6,0,0
MOL_MV,D,20070831,000000,20077.8,20077.8,20077.8,20077.8,0,0
MOL_MV,D,20070903,000000,19960.8,19960.8,19960.8,19960.8,0,0
MOL_MV,D,20070904,000000,20164.5,20164.5,20164.5,20164.5,0,0
MOL_MV,D,20070905,000000,19874.1,19874.1,19874.1,19874.1,0,0
MOL_MV,D,20070906,000000,19874.1,19874.1,19874.1,19874.1,0,0
MOL_MV,D,20070907,000000,19415.5,19415.5,19415.5,19415.5,0,0
MOL_MV,D,20070910,000000,18783.6,18783.6,18783.6,18783.6,0,0
MOL_MV,D,20070911,000000,19144.4,19144.4,19144.4,19144.4,0,0
MOL_MV,D,20070912,000000,19676.1,19676.1,19676.1,19676.1,0,0
MOL_MV,D,20070913,000000,19599.4,19599.4,19599.4,19599.4,0,0
MOL_MV,D,20070914,000000,19655.6,19655.6,19655.6,19655.6,0,0
MOL_MV,D,20070917,000000,19394.9,19394.9,19394.9,19394.9,0,0
MOL_MV,D,20070918,000000,19722.1,19722.1,19722.1,19722.1,0,0
MOL_MV,D,20070919,000000,20412.3,20412.3,20412.3,20412.3,0,0
MOL_MV,D,20070920,000000,20192.5,20192.5,20192.5,20192.5,0,0
MOL_MV,D,20070921,000000,20703.7,20703.7,20703.7,20703.7,0,0
