<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV_PB,D,20181218,000000,7.98505,7.98505,7.98505,7.98505,0,0
MOV_PB,D,20181219,000000,8.38907,8.38907,7.26343,7.26343,0,0
MOV_PB,D,20181220,000000,7.26343,7.26343,6.5901,7.10955,0,0
MOV_PB,D,20181221,000000,6.78252,7.76372,6.78252,7.76372,0,0
MOV_PB,D,20181227,000000,7.9466,7.9466,7.22499,7.3597,0,0
MOV_PB,D,20181228,000000,7.33079,7.54248,7.10955,7.50404,0,0
MOV_PB,D,20190102,000000,7.64828,7.64828,7.18654,7.54248,0,0
MOV_PB,D,20190103,000000,7.54248,7.54248,7.18654,7.46559,0,0
MOV_PB,D,20190104,000000,7.46559,7.46559,7.18654,7.18654,0,0
MOV_PB,D,20190107,000000,7.18654,7.37897,7.18654,7.36933,0,0
MOV_PB,D,20190108,000000,7.36933,7.36933,7.10955,7.3597,0,0
MOV_PB,D,20190109,000000,7.35006,7.46559,7.18654,7.46559,0,0
MOV_PB,D,20190110,000000,7.36933,7.45586,7.36933,7.45586,0,0
MOV_PB,D,20190111,000000,7.19618,7.43669,7.148,7.43669,0,0
MOV_PB,D,20190114,000000,7.22499,7.40788,7.19618,7.40788,0,0
MOV_PB,D,20190115,000000,7.41741,7.54248,7.31161,7.52321,0,0
MOV_PB,D,20190116,000000,7.51358,7.54248,7.3885,7.54248,0,0
MOV_PB,D,20190117,000000,7.46559,7.59066,7.46559,7.59066,0,0
MOV_PB,D,20190118,000000,7.59066,8.30244,7.59066,8.1582,0,0
MOV_PB,D,20190121,000000,8.18711,8.58149,8.1582,8.49487,0,0
MOV_PB,D,20190122,000000,8.42751,8.5046,8.18711,8.30244,0,0
MOV_PB,D,20190123,000000,8.30244,8.41798,7.64828,8.38907,0,0
MOV_PB,D,20190124,000000,8.40834,8.98561,8.40834,8.86054,0,0
MOV_PB,D,20190125,000000,8.78355,10.5441,8.78355,9.9381,0,0
MOV_PB,D,20190128,000000,9.9381,10.862,9.56259,10.3414,0,0
MOV_PB,D,20190129,000000,10.3712,11.1789,10.3712,11.1789,0,0
MOV_PB,D,20190130,000000,11.1024,11.3805,10.6404,10.7746,0,0
MOV_PB,D,20190131,000000,10.6404,10.6792,9.98578,10.5828,0,0
MOV_PB,D,20190201,000000,10.5828,10.5828,10.1785,10.3802,0,0
MOV_PB,D,20190204,000000,10.3802,10.7358,10.3802,10.3802,0,0
MOV_PB,D,20190205,000000,10.2659,10.6981,10.1785,10.6981,0,0
MOV_PB,D,20190206,000000,10.8808,10.9007,10.563,10.8808,0,0
MOV_PB,D,20190207,000000,10.8808,10.8808,10.1785,10.7746,0,0
MOV_PB,D,20190208,000000,10.1596,10.4954,10.1398,10.4954,0,0
MOV_PB,D,20190211,000000,10.4954,10.4954,10.1596,10.3802,0,0
MOV_PB,D,20190212,000000,10.1398,10.6504,9.98578,10.6504,0,0
MOV_PB,D,20190213,000000,10.6504,10.6504,10.3414,10.4577,0,0
MOV_PB,D,20190214,000000,10.6216,11.314,10.4388,10.6216,0,0
MOV_PB,D,20190215,000000,10.6216,11.2663,10.6216,11.2663,0,0
MOV_PB,D,20190218,000000,11.4292,11.4292,11.0636,11.0636,0,0
MOV_PB,D,20190219,000000,11.16,11.3617,10.7656,11.3617,0,0
MOV_PB,D,20190220,000000,11.2365,11.7948,11.2365,11.5633,0,0
MOV_PB,D,20190221,000000,11.4968,11.4968,11.1888,11.4968,0,0
MOV_PB,D,20190222,000000,11.2365,11.5633,11.2365,11.5633,0,0
MOV_PB,D,20190225,000000,11.5534,11.5534,11.3617,11.5534,0,0
MOV_PB,D,20190226,000000,11.5444,11.5444,11.16,11.3239,0,0
MOV_PB,D,20190227,000000,11.2077,11.2852,10.8908,11.16,0,0
MOV_PB,D,20190228,000000,11.16,11.16,10.8421,10.8421,0,0
MOV_PB,D,20190301,000000,11.16,11.314,11.006,11.314,0,0
MOV_PB,D,20190304,000000,11.314,11.9577,11.16,11.16,0,0
MOV_PB,D,20190305,000000,11.3239,11.3617,11.16,11.3617,0,0
MOV_PB,D,20190306,000000,11.3617,11.4292,11.2176,11.4004,0,0
