<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB_PB,D,20081229,000000,2.19488,2.19488,2.19488,2.19488,0,0
MRB_PB,D,20081230,000000,1.69066,2.03195,1.68298,1.72171,0,0
MRB_PB,D,20081231,000000,1.68298,2.19488,1.68298,2.19488,0,0
MRB_PB,D,20090105,000000,2.13286,2.19488,1.95441,2.03195,0,0
MRB_PB,D,20090106,000000,1.96218,1.98545,1.85359,1.85359,0,0
MRB_PB,D,20090107,000000,1.76829,2.02428,1.72171,1.82263,0,0
MRB_PB,D,20090108,000000,1.91569,1.91569,1.85359,1.85359,0,0
MRB_PB,D,20090109,000000,1.85359,1.85359,1.81477,1.83805,0,0
MRB_PB,D,20090112,000000,1.85359,1.85359,1.69851,1.69851,0,0
MRB_PB,D,20090113,000000,1.68298,1.68298,1.52007,1.62866,0,0
MRB_PB,D,20090114,000000,1.65203,1.65203,1.42699,1.50462,0,0
MRB_PB,D,20090115,000000,1.34178,1.50462,1.34178,1.34178,0,0
MRB_PB,D,20090116,000000,1.46581,1.46581,1.3805,1.45796,0,0
MRB_PB,D,20090119,000000,1.45796,1.48909,1.42699,1.42699,0,0
MRB_PB,D,20090120,000000,1.45796,1.45796,1.34946,1.40379,0,0
MRB_PB,D,20090121,000000,1.40379,1.45796,1.37275,1.45796,0,0
MRB_PB,D,20090122,000000,1.45796,1.45796,1.45037,1.45037,0,0
MRB_PB,D,20090123,000000,1.48909,1.48909,1.37275,1.45796,0,0
MRB_PB,D,20090126,000000,1.49686,1.49686,1.42699,1.49686,0,0
MRB_PB,D,20090127,000000,1.49686,1.52007,1.49686,1.49686,0,0
MRB_PB,D,20090128,000000,1.49686,1.52007,1.45796,1.50462,0,0
MRB_PB,D,20090129,000000,1.49686,1.49686,1.47358,1.49686,0,0
MRB_PB,D,20090130,000000,1.52007,1.52007,1.51229,1.52007,0,0
MRB_PB,D,20090202,000000,1.52007,1.52007,1.45796,1.51229,0,0
MRB_PB,D,20090203,000000,1.51229,1.51229,1.47358,1.50462,0,0
MRB_PB,D,20090204,000000,1.51229,1.51229,1.45796,1.51229,0,0
MRB_PB,D,20090205,000000,1.51229,1.51229,1.49686,1.50462,0,0
MRB_PB,D,20090206,000000,1.51229,1.5279,1.51229,1.5279,0,0
MRB_PB,D,20090209,000000,1.45796,1.52007,1.45796,1.52007,0,0
MRB_PB,D,20090210,000000,1.52007,1.52007,1.50462,1.50462,0,0
MRB_PB,D,20090211,000000,1.50462,1.50462,1.50462,1.50462,0,0
MRB_PB,D,20090212,000000,1.50462,1.51229,1.50462,1.51229,0,0
MRB_PB,D,20090213,000000,1.51229,1.58208,1.15557,1.15557,0,0
MRB_PB,D,20090216,000000,1.15557,1.15557,1.14781,1.15557,0,0
MRB_PB,D,20090217,000000,1.15557,1.15557,1.11685,1.14781,0,0
MRB_PB,D,20090218,000000,1.15557,1.15557,1.14781,1.14781,0,0
MRB_PB,D,20090219,000000,1.14781,1.15557,1.13236,1.15557,0,0
MRB_PB,D,20090220,000000,1.15557,1.15557,1.14004,1.14781,0,0
MRB_PB,D,20090223,000000,1.15557,1.15557,1.12462,1.14781,0,0
MRB_PB,D,20090224,000000,1.14781,1.14781,1.12462,1.14781,0,0
MRB_PB,D,20090225,000000,1.14781,1.15557,1.14004,1.14781,0,0
MRB_PB,D,20090226,000000,1.14781,1.14781,1.14781,1.14781,0,0
MRB_PB,D,20090227,000000,1.14781,1.30288,1.11685,1.30288,0,0
MRB_PB,D,20090302,000000,1.33393,1.33393,1.28745,1.30288,0,0
MRB_PB,D,20090303,000000,1.30288,1.31074,1.28745,1.31074,0,0
MRB_PB,D,20090304,000000,1.30288,1.31074,1.30288,1.30288,0,0
MRB_PB,D,20090305,000000,1.30288,1.30288,1.27192,1.29529,0,0
