<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRC_PB,D,20140121,000000,3.89234,3.91978,3.80075,3.88316,0,0
MRC_PB,D,20140122,000000,3.89234,3.89234,3.80984,3.88316,0,0
MRC_PB,D,20140123,000000,3.8649,3.88316,3.75505,3.8649,0,0
MRC_PB,D,20140124,000000,3.75505,3.87399,3.72742,3.8649,0,0
MRC_PB,D,20140127,000000,3.8649,3.8649,3.73669,3.8649,0,0
MRC_PB,D,20140128,000000,3.85573,3.85573,3.69998,3.84664,0,0
MRC_PB,D,20140129,000000,3.84664,3.84664,3.73669,3.82829,0,0
MRC_PB,D,20140130,000000,3.82829,3.82829,3.74587,3.82829,0,0
MRC_PB,D,20140131,000000,3.82829,3.92906,3.80984,3.92906,0,0
MRC_PB,D,20140203,000000,3.92906,3.92906,3.87399,3.88316,0,0
MRC_PB,D,20140204,000000,3.92906,3.92906,3.8192,3.9107,0,0
MRC_PB,D,20140205,000000,3.9107,3.91978,3.84664,3.91978,0,0
MRC_PB,D,20140206,000000,3.9107,3.91978,3.85573,3.90162,0,0
MRC_PB,D,20140207,000000,3.80984,3.89234,3.76413,3.89234,0,0
MRC_PB,D,20140210,000000,3.7824,3.91978,3.7824,3.91978,0,0
MRC_PB,D,20140211,000000,3.89234,4.12123,3.89234,3.93823,0,0
MRC_PB,D,20140212,000000,4.02065,4.0847,3.94722,4.03881,0,0
MRC_PB,D,20140213,000000,4.03881,4.04809,3.95649,4.00229,0,0
MRC_PB,D,20140214,000000,4.04809,4.04809,3.93823,4.02065,0,0
MRC_PB,D,20140217,000000,3.93823,4.01137,3.91978,3.98403,0,0
MRC_PB,D,20140218,000000,3.89234,3.95649,3.89234,3.93823,0,0
MRC_PB,D,20140219,000000,3.92906,3.93823,3.92906,3.93823,0,0
MRC_PB,D,20140220,000000,3.93823,3.93823,3.80075,3.8649,0,0
MRC_PB,D,20140221,000000,3.79167,3.89234,3.79167,3.88316,0,0
MRC_PB,D,20140224,000000,3.89234,3.97476,3.89234,3.92906,0,0
MRC_PB,D,20140225,000000,3.93823,3.96558,3.89234,3.96558,0,0
MRC_PB,D,20140226,000000,3.96558,3.96558,3.73669,3.84664,0,0
MRC_PB,D,20140227,000000,3.83737,3.84664,3.65428,3.80984,0,0
MRC_PB,D,20140228,000000,3.80984,3.83737,3.71824,3.79167,0,0
MRC_PB,D,20140303,000000,3.67254,3.67254,3.41603,3.66346,0,0
MRC_PB,D,20140304,000000,3.66346,3.66346,3.54433,3.62675,0,0
MRC_PB,D,20140305,000000,3.62675,3.62675,3.44356,3.44356,0,0
MRC_PB,D,20140306,000000,3.41603,3.44356,3.23294,3.44356,0,0
MRC_PB,D,20140307,000000,3.44356,3.44356,3.27864,3.36115,0,0
MRC_PB,D,20140310,000000,3.36115,3.40704,3.28792,3.38859,0,0
MRC_PB,D,20140311,000000,3.38859,3.40704,3.38859,3.39786,0,0
MRC_PB,D,20140312,000000,3.38859,3.38859,3.33371,3.35197,0,0
MRC_PB,D,20140313,000000,3.38859,3.38859,3.22367,3.34289,0,0
MRC_PB,D,20140314,000000,3.28792,3.33371,3.15053,3.26038,0,0
MRC_PB,D,20140317,000000,3.15053,3.37941,3.15053,3.37941,0,0
MRC_PB,D,20140318,000000,3.35197,3.36115,3.17806,3.36115,0,0
MRC_PB,D,20140319,000000,3.36115,3.36115,3.2055,3.33371,0,0
MRC_PB,D,20140320,000000,3.36115,3.53516,3.33371,3.50772,0,0
MRC_PB,D,20140321,000000,3.45274,3.61757,3.45274,3.54433,0,0
MRC_PB,D,20140324,000000,3.54433,3.54433,3.38859,3.52607,0,0
MRC_PB,D,20140325,000000,3.52607,3.52607,3.48936,3.48936,0,0
MRC_PB,D,20140326,000000,3.48936,3.48936,3.38859,3.48936,0,0
MRC_PB,D,20140327,000000,3.49854,3.54433,3.40704,3.48037,0,0
MRC_PB,D,20140328,000000,3.50772,3.50772,1.83173,1.83173,0,0
MRC_PB,D,20140331,000000,1.84081,1.94158,1.84081,1.94158,0,0
MRC_PB,D,20140401,000000,1.9324,1.9324,1.92332,1.92332,0,0
MRC_PB,D,20140402,000000,1.92332,1.92332,1.90506,1.90506,0,0
MRC_PB,D,20140403,000000,1.83173,1.90506,1.83173,1.86825,0,0
MRC_PB,D,20140404,000000,1.83173,1.89579,1.83173,1.89579,0,0
MRC_PB,D,20140407,000000,1.87753,1.89579,1.87753,1.89579,0,0
MRC_PB,D,20140408,000000,1.84081,1.89579,1.81337,1.85917,0,0
MRC_PB,D,20140409,000000,1.86825,1.86825,1.81337,1.83173,0,0
MRC_PB,D,20140410,000000,1.81337,1.86825,1.81337,1.84081,0,0
MRC_PB,D,20140411,000000,1.86825,1.86825,1.78584,1.85917,0,0
MRC_PB,D,20140414,000000,1.85917,1.85917,1.85917,1.85917,0,0
MRC_PB,D,20140415,000000,1.78584,1.85917,1.78584,1.85917,0,0
MRC_PB,D,20140416,000000,1.79502,1.84999,1.79502,1.82255,0,0
MRC_PB,D,20140417,000000,1.82255,1.82255,1.82255,1.82255,0,0
MRC_PB,D,20140422,000000,1.82255,1.82255,1.80429,1.82255,0,0
MRC_PB,D,20140423,000000,1.77666,1.82255,1.77666,1.82255,0,0
MRC_PB,D,20140424,000000,1.82255,1.82255,1.78584,1.81337,0,0
MRC_PB,D,20140425,000000,1.81337,1.81337,1.77666,1.81337,0,0
MRC_PB,D,20140428,000000,1.78584,1.78584,1.74014,1.74014,0,0
MRC_PB,D,20140429,000000,1.74014,1.77666,1.67608,1.7584,0,0
MRC_PB,D,20140430,000000,1.7584,1.78584,1.67608,1.74922,0,0
MRC_PB,D,20140502,000000,1.74922,1.74922,1.74922,1.74922,0,0
MRC_PB,D,20140505,000000,1.69434,1.77666,1.69434,1.74922,0,0
MRC_PB,D,20140506,000000,1.74922,1.82255,1.72188,1.81337,0,0
MRC_PB,D,20140507,000000,1.80429,1.80429,1.74922,1.79502,0,0
MRC_PB,D,20140508,000000,1.79502,1.79502,1.74014,1.74014,0,0
MRC_PB,D,20140509,000000,1.79502,1.79502,1.73096,1.73096,0,0
MRC_PB,D,20140512,000000,1.78584,1.78584,1.77666,1.77666,0,0
MRC_PB,D,20140513,000000,1.77666,1.77666,1.76767,1.76767,0,0
MRC_PB,D,20140514,000000,1.76767,1.78584,1.76767,1.78584,0,0
MRC_PB,D,20140515,000000,1.78584,1.85917,1.73096,1.85917,0,0
MRC_PB,D,20140516,000000,1.76767,1.86825,1.69434,1.7584,0,0
MRC_PB,D,20140519,000000,1.7584,1.7584,1.72188,1.7584,0,0
MRC_PB,D,20140520,000000,1.70343,1.7584,1.70343,1.7584,0,0
MRC_PB,D,20140521,000000,1.7584,1.77666,1.7126,1.77666,0,0
MRC_PB,D,20140522,000000,1.7126,1.78584,1.7126,1.78584,0,0
MRC_PB,D,20140523,000000,1.78584,1.78584,1.72188,1.77666,0,0
MRC_PB,D,20140526,000000,1.72188,1.78584,1.72188,1.78584,0,0
MRC_PB,D,20140527,000000,1.72188,1.78584,1.72188,1.78584,0,0
MRC_PB,D,20140528,000000,1.78584,1.82255,1.74922,1.74922,0,0
MRC_PB,D,20140529,000000,1.79502,1.79502,1.76767,1.76767,0,0
MRC_PB,D,20140530,000000,1.78584,1.78584,1.77666,1.78584,0,0
MRC_PB,D,20140602,000000,1.78584,1.81337,1.78584,1.78584,0,0
MRC_PB,D,20140603,000000,1.74922,1.77666,1.74922,1.77666,0,0
MRC_PB,D,20140604,000000,1.77666,1.77666,1.74922,1.77666,0,0
MRC_PB,D,20140605,000000,1.77666,1.77666,1.73096,1.7584,0,0
MRC_PB,D,20140606,000000,1.73096,1.79502,1.73096,1.77666,0,0
MRC_PB,D,20140609,000000,1.73096,1.74014,1.72188,1.73096,0,0
MRC_PB,D,20140610,000000,1.7126,1.7126,1.7126,1.7126,0,0
MRC_PB,D,20140611,000000,1.72188,1.72188,1.69434,1.70343,0,0
MRC_PB,D,20140612,000000,1.7126,1.7126,1.68516,1.69434,0,0
MRC_PB,D,20140613,000000,1.69434,1.69434,1.62101,1.65773,0,0
MRC_PB,D,20140616,000000,1.65773,1.76767,1.62101,1.76767,0,0
MRC_PB,D,20140617,000000,1.77666,1.87753,1.76767,1.87753,0,0
MRC_PB,D,20140618,000000,1.87753,1.87753,1.80429,1.86825,0,0
MRC_PB,D,20140620,000000,1.84999,1.86825,1.84999,1.86825,0,0
MRC_PB,D,20140623,000000,1.87753,1.87753,1.86825,1.86825,0,0
MRC_PB,D,20140624,000000,1.79502,1.86825,1.79502,1.86825,0,0
MRC_PB,D,20140625,000000,1.80429,1.85917,1.80429,1.84999,0,0
MRC_PB,D,20140626,000000,1.82255,1.84999,1.82255,1.84999,0,0
MRC_PB,D,20140627,000000,1.84999,1.84999,1.82255,1.84999,0,0
MRC_PB,D,20140630,000000,1.84999,1.84999,1.80429,1.84999,0,0
MRC_PB,D,20140701,000000,1.84999,1.84999,1.81337,1.82255,0,0
MRC_PB,D,20140702,000000,1.84999,1.84999,1.78584,1.83173,0,0
MRC_PB,D,20140703,000000,1.80429,1.83173,1.80429,1.80429,0,0
MRC_PB,D,20140704,000000,1.83608,1.83608,1.74421,1.83608,0,0
MRC_PB,D,20140707,000000,1.69841,1.78111,1.69841,1.75348,0,0
MRC_PB,D,20140708,000000,1.77184,1.77184,1.70759,1.75348,0,0
MRC_PB,D,20140709,000000,1.75348,1.75348,1.70759,1.70759,0,0
MRC_PB,D,20140710,000000,1.70759,1.70759,1.63417,1.69841,0,0
MRC_PB,D,20140711,000000,1.65243,1.69841,1.59745,1.6617,0,0
MRC_PB,D,20140714,000000,1.6617,1.69841,1.59745,1.69841,0,0
MRC_PB,D,20140715,000000,1.70759,1.70759,1.64334,1.69841,0,0
MRC_PB,D,20140716,000000,1.63417,1.69841,1.63417,1.69841,0,0
