<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRC_PE,D,20140121,000000,16.8516,16.8516,16.8516,16.8516,0,0
MRC_PE,D,20140122,000000,16.8516,16.8516,16.4864,16.8516,0,0
MRC_PE,D,20140123,000000,16.7608,16.8516,16.3019,16.7608,0,0
MRC_PE,D,20140124,000000,16.3019,16.7608,16.2101,16.7608,0,0
MRC_PE,D,20140127,000000,16.7608,16.7608,16.2101,16.7608,0,0
MRC_PE,D,20140128,000000,16.7608,16.7608,16.1184,16.6681,0,0
MRC_PE,D,20140129,000000,16.6681,16.6681,16.2101,16.5773,0,0
MRC_PE,D,20140130,000000,16.5773,16.5773,16.2101,16.5773,0,0
MRC_PE,D,20140131,000000,16.5773,17.0343,16.4864,17.0343,0,0
MRC_PE,D,20140203,000000,17.0343,17.0343,16.8516,16.8516,0,0
MRC_PE,D,20140204,000000,17.0343,17.0343,16.5773,16.9434,0,0
MRC_PE,D,20140205,000000,16.9434,16.9434,16.6681,16.9434,0,0
MRC_PE,D,20140206,000000,16.9434,16.9434,16.6681,16.8516,0,0
MRC_PE,D,20140207,000000,16.4864,16.8516,16.3019,16.8516,0,0
MRC_PE,D,20140210,000000,16.3937,16.9434,16.3937,16.9434,0,0
MRC_PE,D,20140211,000000,16.8516,17.8584,16.8516,17.0343,0,0
MRC_PE,D,20140212,000000,17.4014,17.6767,17.0343,17.4922,0,0
MRC_PE,D,20140213,000000,17.4922,17.4922,17.126,17.3096,0,0
MRC_PE,D,20140214,000000,17.4922,17.4922,17.0343,17.4014,0,0
MRC_PE,D,20140217,000000,17.0343,17.4014,16.9434,17.2188,0,0
MRC_PE,D,20140218,000000,16.8516,17.126,16.8516,17.0343,0,0
MRC_PE,D,20140219,000000,16.9434,17.0343,16.9434,17.0343,0,0
MRC_PE,D,20140220,000000,17.0343,17.0343,16.3937,16.7608,0,0
MRC_PE,D,20140221,000000,16.4864,16.8516,16.4864,16.8516,0,0
MRC_PE,D,20140224,000000,16.8516,17.2188,16.8516,17.0343,0,0
MRC_PE,D,20140225,000000,17.126,17.2188,16.8516,17.2188,0,0
MRC_PE,D,20140226,000000,17.2188,17.2188,16.2101,16.6681,0,0
MRC_PE,D,20140227,000000,16.5773,16.6681,15.844,16.4864,0,0
MRC_PE,D,20140228,000000,16.4864,16.5773,16.1184,16.3937,0,0
MRC_PE,D,20140303,000000,15.9357,15.9357,14.7445,15.844,0,0
MRC_PE,D,20140304,000000,15.844,15.844,15.2942,15.7531,0,0
MRC_PE,D,20140305,000000,15.7531,15.7531,14.929,14.929,0,0
MRC_PE,D,20140306,000000,14.8372,14.929,14.0131,14.929,0,0
MRC_PE,D,20140307,000000,14.929,14.929,14.1957,14.5619,0,0
MRC_PE,D,20140310,000000,14.5619,14.7445,14.1957,14.7445,0,0
MRC_PE,D,20140311,000000,14.7445,14.7445,14.7445,14.7445,0,0
MRC_PE,D,20140312,000000,14.6536,14.6536,14.4701,14.5619,0,0
MRC_PE,D,20140313,000000,14.7445,14.7445,14.0131,14.4701,0,0
MRC_PE,D,20140314,000000,14.1957,14.4701,13.645,14.1039,0,0
MRC_PE,D,20140317,000000,13.645,14.6536,13.645,14.6536,0,0
MRC_PE,D,20140318,000000,14.5619,14.5619,13.8295,14.5619,0,0
MRC_PE,D,20140319,000000,14.5619,14.5619,13.9204,14.4701,0,0
MRC_PE,D,20140320,000000,14.5619,15.2942,14.4701,15.2024,0,0
MRC_PE,D,20140321,000000,15.0198,15.6613,15.0198,15.3869,0,0
MRC_PE,D,20140324,000000,15.3869,15.3869,14.7445,15.2942,0,0
MRC_PE,D,20140325,000000,15.2942,15.2942,15.1116,15.1116,0,0
MRC_PE,D,20140326,000000,15.1116,15.1116,14.7445,15.1116,0,0
MRC_PE,D,20140327,000000,15.2024,15.3869,14.8372,15.1116,0,0
MRC_PE,D,20140328,000000,15.2024,15.2942,14.6536,15.2942,0,0
MRC_PE,D,20140331,000000,15.3869,16.1184,15.3869,16.1184,0,0
MRC_PE,D,20140401,000000,16.0275,16.0275,15.9357,16.0275,0,0
MRC_PE,D,20140402,000000,16.0275,16.0275,15.844,15.844,0,0
MRC_PE,D,20140403,000000,15.2942,15.844,15.2942,15.5696,0,0
MRC_PE,D,20140404,000000,15.2024,15.7531,15.2024,15.7531,0,0
MRC_PE,D,20140407,000000,15.5696,15.7531,15.5696,15.7531,0,0
MRC_PE,D,20140408,000000,15.2942,15.7531,15.0198,15.4768,0,0
MRC_PE,D,20140409,000000,15.4768,15.4768,15.1116,15.2024,0,0
MRC_PE,D,20140410,000000,15.1116,15.5696,15.1116,15.2942,0,0
MRC_PE,D,20140411,000000,15.4768,15.4768,14.8372,15.4768,0,0
MRC_PE,D,20140414,000000,15.4768,15.4768,15.3869,15.4768,0,0
MRC_PE,D,20140415,000000,14.929,15.4768,14.929,15.4768,0,0
MRC_PE,D,20140416,000000,14.929,15.4768,14.929,15.2024,0,0
MRC_PE,D,20140417,000000,15.2024,15.2024,15.1116,15.1116,0,0
MRC_PE,D,20140422,000000,15.1116,15.1116,14.929,15.1116,0,0
MRC_PE,D,20140423,000000,14.7445,15.1116,14.7445,15.1116,0,0
MRC_PE,D,20140424,000000,15.1116,15.1116,14.8372,15.1116,0,0
MRC_PE,D,20140425,000000,15.1116,15.1116,14.8372,15.1116,0,0
MRC_PE,D,20140428,000000,15.1116,15.1116,14.4701,14.4701,0,0
MRC_PE,D,20140429,000000,14.4701,14.7445,13.9204,14.6536,0,0
MRC_PE,D,20140430,000000,14.6536,14.929,14.0131,14.5619,0,0
MRC_PE,D,20140502,000000,14.5619,14.5619,14.5619,14.5619,0,0
MRC_PE,D,20140505,000000,14.1039,14.7445,14.1039,14.5619,0,0
MRC_PE,D,20140506,000000,14.4701,15.2024,14.2875,15.1116,0,0
MRC_PE,D,20140507,000000,15.0198,15.0198,14.5619,14.929,0,0
MRC_PE,D,20140508,000000,14.929,14.929,14.4701,14.4701,0,0
MRC_PE,D,20140509,000000,14.8372,14.8372,14.3783,14.3783,0,0
MRC_PE,D,20140512,000000,14.8372,14.8372,14.7445,14.7445,0,0
MRC_PE,D,20140513,000000,14.7445,14.7445,14.7445,14.7445,0,0
MRC_PE,D,20140514,000000,14.7445,14.929,14.7445,14.8372,0,0
MRC_PE,D,20140515,000000,14.8372,15.4768,14.3783,15.4768,0,0
MRC_PE,D,20140516,000000,14.7445,15.5696,14.1957,14.6536,0,0
MRC_PE,D,20140519,000000,14.6536,14.6536,14.3783,14.6536,0,0
MRC_PE,D,20140520,000000,14.1957,14.6536,14.1957,14.6536,0,0
