<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSP_PB,D,20070813,000000,2.09596,2.09596,2.09596,2.09596,0,0
MSP_PB,D,20070814,000000,2.08357,2.08357,2.08357,2.08357,0,0
MSP_PB,D,20070816,000000,2.04052,2.04052,2.04052,2.04052,0,0
MSP_PB,D,20070817,000000,2.05282,2.05282,2.05282,2.05282,0,0
MSP_PB,D,20070820,000000,2.07136,2.07136,2.07136,2.07136,0,0
MSP_PB,D,20070821,000000,2.06512,2.06512,2.06512,2.06512,0,0
MSP_PB,D,20070822,000000,2.15737,2.15737,2.15737,2.15737,0,0
MSP_PB,D,20070823,000000,2.12671,2.12671,2.12671,2.12671,0,0
MSP_PB,D,20070824,000000,2.13277,2.13277,2.13277,2.13277,0,0
MSP_PB,D,20070827,000000,2.18196,2.18196,2.18196,2.18196,0,0
MSP_PB,D,20070828,000000,2.18196,2.18196,2.18196,2.18196,0,0
MSP_PB,D,20070829,000000,2.16967,2.16967,2.16967,2.16967,0,0
MSP_PB,D,20070830,000000,2.20042,2.20042,2.20042,2.20042,0,0
MSP_PB,D,20070831,000000,2.36014,2.36014,2.36014,2.36014,0,0
MSP_PB,D,20070903,000000,2.45854,2.45854,2.45854,2.45854,0,0
MSP_PB,D,20070904,000000,2.4892,2.4892,2.4892,2.4892,0,0
MSP_PB,D,20070905,000000,2.37859,2.37859,2.37859,2.37859,0,0
MSP_PB,D,20070906,000000,2.39704,2.39704,2.39704,2.39704,0,0
MSP_PB,D,20070907,000000,2.37859,2.37859,2.37859,2.37859,0,0
MSP_PB,D,20070910,000000,2.34177,2.34177,2.34177,2.34177,0,0
MSP_PB,D,20070911,000000,2.41558,2.41558,2.41558,2.41558,0,0
MSP_PB,D,20070912,000000,2.47092,2.47092,2.47092,2.47092,0,0
MSP_PB,D,20070913,000000,2.42172,2.42172,2.42172,2.42172,0,0
MSP_PB,D,20070914,000000,2.37859,2.37859,2.37859,2.37859,0,0
MSP_PB,D,20070917,000000,2.42172,2.42172,2.42172,2.42172,0,0
MSP_PB,D,20070918,000000,2.47092,2.47092,2.47092,2.47092,0,0
MSP_PB,D,20070919,000000,2.51995,2.51995,2.51995,2.51995,0,0
MSP_PB,D,20070920,000000,2.63064,2.63064,2.63064,2.63064,0,0
MSP_PB,D,20070921,000000,2.80267,2.80267,2.80267,2.80267,0,0
MSP_PB,D,20070924,000000,3.01782,3.01782,3.01782,3.01782,0,0
MSP_PB,D,20070925,000000,2.90114,2.90114,2.90114,2.90114,0,0
MSP_PB,D,20070926,000000,2.87655,2.87655,2.87655,2.87655,0,0
MSP_PB,D,20070927,000000,2.80267,2.80267,2.80267,2.80267,0,0
MSP_PB,D,20070928,000000,2.6982,2.6982,2.6982,2.6982,0,0
MSP_PB,D,20071001,000000,2.61211,2.61211,2.61211,2.61211,0,0
MSP_PB,D,20071002,000000,2.67984,2.67984,2.67984,2.67984,0,0
MSP_PB,D,20071003,000000,2.75347,2.75347,2.75347,2.75347,0,0
MSP_PB,D,20071004,000000,2.73519,2.73519,2.73519,2.73519,0,0
MSP_PB,D,20071005,000000,2.6982,2.6982,2.6982,2.6982,0,0
MSP_PB,D,20071008,000000,2.6982,2.6982,2.6982,2.6982,0,0
MSP_PB,D,20071009,000000,2.67361,2.67361,2.67361,2.67361,0,0
MSP_PB,D,20071010,000000,2.74126,2.74126,2.74126,2.74126,0,0
MSP_PB,D,20071011,000000,2.90721,2.90721,2.90721,2.90721,0,0
MSP_PB,D,20071012,000000,2.85801,2.85801,2.85801,2.85801,0,0
MSP_PB,D,20071015,000000,2.90721,2.90721,2.90721,2.90721,0,0
MSP_PB,D,20071016,000000,2.8458,2.8458,2.8458,2.8458,0,0
MSP_PB,D,20071017,000000,2.88261,2.88261,2.88261,2.88261,0,0
MSP_PB,D,20071018,000000,2.95026,2.95026,2.95026,2.95026,0,0
MSP_PB,D,20071019,000000,2.90721,2.90721,2.90721,2.90721,0,0
MSP_PB,D,20071022,000000,2.82726,2.82726,2.82726,2.82726,0,0
MSP_PB,D,20071023,000000,2.92574,2.92574,2.92574,2.92574,0,0
MSP_PB,D,20071024,000000,2.91951,2.91951,2.91951,2.91951,0,0
MSP_PB,D,20071025,000000,2.95641,2.95641,2.95641,2.95641,0,0
MSP_PB,D,20071026,000000,2.92574,2.92574,2.92574,2.92574,0,0
MSP_PB,D,20071029,000000,2.90114,2.90114,2.90114,2.90114,0,0
MSP_PB,D,20071030,000000,2.90114,2.90114,2.90114,2.90114,0,0
MSP_PB,D,20071031,000000,2.7228,2.7228,2.7228,2.7228,0,0
MSP_PB,D,20071102,000000,2.64286,2.64286,2.64286,2.64286,0,0
MSP_PB,D,20071105,000000,2.58759,2.58759,2.58759,2.58759,0,0
MSP_PB,D,20071106,000000,2.34177,2.34177,2.34177,2.34177,0,0
MSP_PB,D,20071107,000000,2.19427,2.19427,2.19427,2.19427,0,0
