<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSP_PE,D,20070813,000000,11.1686,11.1686,11.1686,11.1686,0,0
MSP_PE,D,20070814,000000,11.1123,11.1123,11.1123,11.1123,0,0
MSP_PE,D,20070816,000000,10.8799,10.8799,10.8799,10.8799,0,0
MSP_PE,D,20070817,000000,10.9961,10.9961,10.9961,10.9961,0,0
MSP_PE,D,20070820,000000,11.0508,11.0508,11.0508,11.0508,0,0
MSP_PE,D,20070821,000000,10.9961,10.9961,10.9961,10.9961,0,0
MSP_PE,D,20070822,000000,11.518,11.518,11.518,11.518,0,0
MSP_PE,D,20070823,000000,11.3395,11.3395,11.3395,11.3395,0,0
MSP_PE,D,20070824,000000,11.4018,11.4018,11.4018,11.4018,0,0
MSP_PE,D,20070827,000000,11.629,11.629,11.629,11.629,0,0
MSP_PE,D,20070828,000000,11.629,11.629,11.629,11.629,0,0
MSP_PE,D,20070829,000000,11.5735,11.5735,11.5735,11.5735,0,0
MSP_PE,D,20070830,000000,11.6905,11.6905,11.6905,11.6905,0,0
MSP_PE,D,20070831,000000,12.6181,12.6181,12.6181,12.6181,0,0
MSP_PE,D,20070903,000000,13.1348,13.1348,13.1348,13.1348,0,0
MSP_PE,D,20070904,000000,13.251,13.251,13.251,13.251,0,0
MSP_PE,D,20070905,000000,12.6736,12.6736,12.6736,12.6736,0,0
MSP_PE,D,20070906,000000,12.7906,12.7906,12.7906,12.7906,0,0
MSP_PE,D,20070907,000000,12.6736,12.6736,12.6736,12.6736,0,0
MSP_PE,D,20070910,000000,12.5011,12.5011,12.5011,12.5011,0,0
MSP_PE,D,20070911,000000,12.8453,12.8453,12.8453,12.8453,0,0
MSP_PE,D,20070912,000000,13.1963,13.1963,13.1963,13.1963,0,0
MSP_PE,D,20070913,000000,12.9068,12.9068,12.9068,12.9068,0,0
MSP_PE,D,20070914,000000,12.6736,12.6736,12.6736,12.6736,0,0
MSP_PE,D,20070917,000000,12.9068,12.9068,12.9068,12.9068,0,0
MSP_PE,D,20070918,000000,13.1963,13.1963,13.1963,13.1963,0,0
MSP_PE,D,20070919,000000,13.4236,13.4236,13.4236,13.4236,0,0
MSP_PE,D,20070920,000000,14.0018,14.0018,14.0018,14.0018,0,0
MSP_PE,D,20070921,000000,14.9302,14.9302,14.9302,14.9302,0,0
MSP_PE,D,20070924,000000,16.085,16.085,16.085,16.085,0,0
MSP_PE,D,20070925,000000,15.4521,15.4521,15.4521,15.4521,0,0
MSP_PE,D,20070926,000000,15.336,15.336,15.336,15.336,0,0
MSP_PE,D,20070927,000000,14.9302,14.9302,14.9302,14.9302,0,0
MSP_PE,D,20070928,000000,14.4067,14.4067,14.4067,14.4067,0,0
MSP_PE,D,20071001,000000,13.9462,13.9462,13.9462,13.9462,0,0
MSP_PE,D,20071002,000000,14.2965,14.2965,14.2965,14.2965,0,0
MSP_PE,D,20071003,000000,14.6962,14.6962,14.6962,14.6962,0,0
MSP_PE,D,20071004,000000,14.586,14.586,14.586,14.586,0,0
MSP_PE,D,20071005,000000,14.4067,14.4067,14.4067,14.4067,0,0
MSP_PE,D,20071008,000000,14.4067,14.4067,14.4067,14.4067,0,0
MSP_PE,D,20071009,000000,14.2349,14.2349,14.2349,14.2349,0,0
MSP_PE,D,20071010,000000,14.6407,14.6407,14.6407,14.6407,0,0
MSP_PE,D,20071011,000000,15.5076,15.5076,15.5076,15.5076,0,0
MSP_PE,D,20071012,000000,15.2796,15.2796,15.2796,15.2796,0,0
MSP_PE,D,20071015,000000,15.5076,15.5076,15.5076,15.5076,0,0
MSP_PE,D,20071016,000000,15.1634,15.1634,15.1634,15.1634,0,0
MSP_PE,D,20071017,000000,15.3906,15.3906,15.3906,15.3906,0,0
MSP_PE,D,20071018,000000,15.7417,15.7417,15.7417,15.7417,0,0
MSP_PE,D,20071019,000000,15.5076,15.5076,15.5076,15.5076,0,0
MSP_PE,D,20071022,000000,15.1019,15.1019,15.1019,15.1019,0,0
MSP_PE,D,20071023,000000,15.6238,15.6238,15.6238,15.6238,0,0
MSP_PE,D,20071024,000000,15.5691,15.5691,15.5691,15.5691,0,0
MSP_PE,D,20071025,000000,15.7954,15.7954,15.7954,15.7954,0,0
MSP_PE,D,20071026,000000,15.6238,15.6238,15.6238,15.6238,0,0
MSP_PE,D,20071029,000000,15.4521,15.4521,15.4521,15.4521,0,0
MSP_PE,D,20071030,000000,15.4521,15.4521,15.4521,15.4521,0,0
MSP_PE,D,20071031,000000,14.5245,14.5245,14.5245,14.5245,0,0
MSP_PE,D,20071102,000000,14.1179,14.1179,14.1179,14.1179,0,0
MSP_PE,D,20071105,000000,13.7737,13.7737,13.7737,13.7737,0,0
MSP_PE,D,20071106,000000,12.6181,12.6181,12.6181,12.6181,0,0
MSP_PE,D,20071107,000000,11.8075,11.8075,11.8075,11.8075,0,0
MSP_PE,D,20071108,000000,11.2848,11.2848,11.2848,11.2848,0,0
MSP_PE,D,20071109,000000,11.2848,11.7452,11.2848,11.629,0,0
MSP_PE,D,20071112,000000,11.4018,11.9237,11.4018,11.629,0,0
MSP_PE,D,20071113,000000,11.5735,12.0962,11.4018,12.0962,0,0
MSP_PE,D,20071114,000000,12.4396,12.7292,12.0962,12.0962,0,0
MSP_PE,D,20071115,000000,12.2132,12.2132,10.9961,11.518,0,0
MSP_PE,D,20071116,000000,11.2848,11.518,10.8244,10.9337,0,0
MSP_PE,D,20071119,000000,10.8244,11.4018,10.8244,10.9337,0,0
MSP_PE,D,20071120,000000,10.8799,10.9337,10.5904,10.9337,0,0
MSP_PE,D,20071121,000000,10.7066,10.7066,9.66277,10.4742,0,0
MSP_PE,D,20071122,000000,10.0122,10.9337,9.66277,10.4187,0,0
MSP_PE,D,20071123,000000,10.9337,11.0508,10.8244,11.0508,0,0
MSP_PE,D,20071126,000000,11.2848,11.5735,10.8799,11.0508,0,0
MSP_PE,D,20071127,000000,10.8244,10.9961,10.6459,10.8799,0,0
MSP_PE,D,20071128,000000,10.8799,11.0508,10.8244,11.0508,0,0
MSP_PE,D,20071129,000000,11.518,11.518,11.1686,11.1686,0,0
MSP_PE,D,20071130,000000,11.4556,11.518,11.4018,11.4018,0,0
MSP_PE,D,20071203,000000,11.4556,11.8613,11.4018,11.6905,0,0
MSP_PE,D,20071204,000000,11.5735,11.7452,11.5735,11.629,0,0
MSP_PE,D,20071205,000000,11.5735,11.9793,11.5735,11.9237,0,0
MSP_PE,D,20071206,000000,12.2132,12.7906,12.0962,12.5011,0,0
MSP_PE,D,20071207,000000,12.6181,12.6181,12.1509,12.2132,0,0
MSP_PE,D,20071210,000000,12.2132,12.3849,11.9793,12.0962,0,0
MSP_PE,D,20071211,000000,11.9237,12.0962,11.9237,12.0962,0,0
MSP_PE,D,20071212,000000,11.5735,11.8613,11.5735,11.8613,0,0
MSP_PE,D,20071213,000000,11.9793,11.9793,11.1686,11.5735,0,0
MSP_PE,D,20071214,000000,11.5735,11.5735,11.3395,11.4556,0,0
MSP_PE,D,20071217,000000,11.1686,11.1686,10.9961,11.0508,0,0
MSP_PE,D,20071218,000000,10.9961,11.0508,10.5349,10.9961,0,0
MSP_PE,D,20071219,000000,10.8244,10.8244,10.5904,10.763,0,0
MSP_PE,D,20071220,000000,11.0508,11.2301,10.9337,11.2301,0,0
MSP_PE,D,20071221,000000,10.9961,11.4018,10.9961,10.9961,0,0
MSP_PE,D,20071227,000000,10.7066,10.9961,10.5904,10.9961,0,0
MSP_PE,D,20071228,000000,10.9961,11.1123,10.9961,11.0508,0,0
MSP_PE,D,20080102,000000,11.1123,11.1123,10.8799,10.9337,0,0
MSP_PE,D,20080103,000000,10.9337,10.9961,10.7066,10.9961,0,0
MSP_PE,D,20080104,000000,10.8799,10.8799,10.8244,10.8244,0,0
MSP_PE,D,20080107,000000,10.763,10.763,10.3572,10.4742,0,0
