<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUR_MV,D,20231215,000000,1246.04,1246.04,1246.04,1246.04,0,0
MUR_MV,D,20231218,000000,1257.34,1257.34,1236.05,1236.05,0,0
MUR_MV,D,20231219,000000,1232.48,1232.48,1212.58,1216.24,0,0
MUR_MV,D,20231220,000000,1216.24,1219.49,1210.07,1212.9,0,0
MUR_MV,D,20231221,000000,1209.9,1228.09,1209.9,1222.49,0,0
MUR_MV,D,20231222,000000,1226.15,1242.72,1222.49,1242.07,0,0
MUR_MV,D,20231227,000000,1249.38,1252.63,1234.11,1239.71,0,0
MUR_MV,D,20231228,000000,1246.04,1246.04,1208.6,1226.15,0,0
MUR_MV,D,20231229,000000,1226.47,1238.91,1220.38,1222.82,0,0
MUR_MV,D,20240102,000000,1226.15,1242.72,1216.89,1217.86,0,0
MUR_MV,D,20240103,000000,1217.86,1226.15,1213.24,1219.49,0,0
MUR_MV,D,20240104,000000,1225.5,1275.85,1221.52,1265.95,0,0
MUR_MV,D,20240105,000000,1275.85,1275.85,1247.67,1255.31,0,0
MUR_MV,D,20240108,000000,1253.85,1275.85,1239.39,1260.92,0,0
MUR_MV,D,20240109,000000,1268.88,1273.02,1260.92,1262.62,0,0
MUR_MV,D,20240110,000000,1264.24,1269.03,1242.72,1249.38,0,0
MUR_MV,D,20240111,000000,1249.38,1249.38,1216.24,1220.86,0,0
MUR_MV,D,20240112,000000,1219.49,1234.11,1218.03,1220.22,0,0
MUR_MV,D,20240115,000000,1242.72,1242.72,1206.74,1206.74,0,0
MUR_MV,D,20240116,000000,1203.08,1242.72,1203.08,1231.1,0,0
MUR_MV,D,20240117,000000,1232.48,1238.09,1222.17,1231.1,0,0
MUR_MV,D,20240118,000000,1232.81,1247.67,1231.27,1244.01,0,0
MUR_MV,D,20240119,000000,1244.01,1297.38,1244.01,1291.93,0,0
MUR_MV,D,20240122,000000,1292.43,1308.99,1254.49,1274.23,0,0
MUR_MV,D,20240123,000000,1274.23,1278.53,1254.66,1272.53,0,0
MUR_MV,D,20240124,000000,1274.23,1274.23,1256.61,1257.18,0,0
MUR_MV,D,20240125,000000,1250.18,1259.13,1248.32,1248.32,0,0
MUR_MV,D,20240126,000000,1250.03,1264.41,1250.03,1253.04,0,0
MUR_MV,D,20240129,000000,1252.63,1264.24,1248.81,1264.24,0,0
MUR_MV,D,20240130,000000,1264.24,1283.33,1261.48,1261.48,0,0
MUR_MV,D,20240131,000000,1260.92,1298.93,1260.92,1292.43,0,0
MUR_MV,D,20240201,000000,1294.38,1308.99,1292.43,1292.43,0,0
MUR_MV,D,20240202,000000,1292.43,1308.99,1292.43,1299.09,0,0
MUR_MV,D,20240205,000000,1299.09,1354.88,1299.09,1342.14,0,0
MUR_MV,D,20240206,000000,1358.7,1411.75,1358.7,1375.28,0,0
MUR_MV,D,20240207,000000,1378.61,1396.97,1355.21,1386.4,0,0
MUR_MV,D,20240208,000000,1391.84,1473.87,1391.84,1424.99,0,0
MUR_MV,D,20240209,000000,1424.82,1424.82,1391.84,1407.76,0,0
MUR_MV,D,20240212,000000,1409.07,1416.05,1393.47,1406.46,0,0
MUR_MV,D,20240213,000000,1406.95,1408.41,1340.68,1358.7,0,0
MUR_MV,D,20240214,000000,1352.05,1365.04,1352.05,1359.18,0,0
MUR_MV,D,20240215,000000,1362.2,1391.53,1359.18,1371.94,0,0
MUR_MV,D,20240216,000000,1371.94,1390.54,1350.58,1368.61,0,0
MUR_MV,D,20240219,000000,1371.62,1371.62,1343.6,1355.38,0,0
MUR_MV,D,20240220,000000,1367.48,1387.71,1355.38,1375.28,0,0
MUR_MV,D,20240221,000000,1366.01,1376.09,1354.73,1365.7,0,0
MUR_MV,D,20240222,000000,1355.38,1384.05,1353.75,1384.05,0,0
MUR_MV,D,20240223,000000,1384.05,1384.05,1347.25,1352.21,0,0
MUR_MV,D,20240226,000000,1367.32,1367.32,1337.17,1348.47,0,0
