<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC_MV,D,20170630,000000,68.4777,68.4777,68.4777,68.4777,0,0
MXC_MV,D,20170703,000000,69.5785,69.5785,66.6434,68.2928,0,0
MXC_MV,D,20170704,000000,68.2928,70.2541,68.2928,70.2541,0,0
MXC_MV,D,20170705,000000,70.2541,70.2742,70.2541,70.2742,0,0
MXC_MV,D,20170706,000000,70.2541,70.2541,70.2541,70.2541,0,0
MXC_MV,D,20170707,000000,70.128,70.128,70.128,70.128,0,0
MXC_MV,D,20170710,000000,68.7836,68.7836,68.7836,68.7836,0,0
MXC_MV,D,20170711,000000,68.4777,68.4777,68.4777,68.4777,0,0
MXC_MV,D,20170712,000000,68.4777,68.4777,68.4777,68.4777,0,0
MXC_MV,D,20170713,000000,68.4777,68.4777,68.4777,68.4777,0,0
MXC_MV,D,20170714,000000,68.4777,69.334,67.2543,69.334,0,0
MXC_MV,D,20170717,000000,68.4777,69.1979,68.4777,69.1979,0,0
MXC_MV,D,20170718,000000,69.6407,75.7547,69.6407,72.1481,0,0
MXC_MV,D,20170719,000000,72.1481,73.3455,72.1481,72.1481,0,0
MXC_MV,D,20170720,000000,72.2657,73.3455,72.1481,72.1481,0,0
MXC_MV,D,20170721,000000,73.1716,73.4506,70.9221,72.1481,0,0
MXC_MV,D,20170724,000000,72.7052,92.4406,69.7037,92.4406,0,0
MXC_MV,D,20170725,000000,94.0955,95.0959,94.0955,94.4824,0,0
MXC_MV,D,20170726,000000,94.3559,94.3559,93.8688,94.3559,0,0
MXC_MV,D,20170727,000000,94.5161,94.5161,89.9362,90.9529,0,0
MXC_MV,D,20170728,000000,92.8939,93.5493,90.8017,93.4911,0,0
MXC_MV,D,20170731,000000,93.3982,93.8515,93.39,93.8515,0,0
MXC_MV,D,20170801,000000,93.8688,93.8688,93.7004,93.8688,0,0
MXC_MV,D,20170802,000000,93.8688,93.8688,91.5412,93.8433,0,0
MXC_MV,D,20170803,000000,93.8433,93.8433,92.2558,92.2558,0,0
MXC_MV,D,20170804,000000,92.2558,92.2558,91.7342,92.2558,0,0
MXC_MV,D,20170807,000000,92.2558,93.5238,91.7096,93.5238,0,0
MXC_MV,D,20170808,000000,92.2558,93.3645,92.2558,93.3645,0,0
MXC_MV,D,20170809,000000,93.0368,93.0368,90.6504,92.2303,0,0
MXC_MV,D,20170810,000000,91.4483,92.2048,89.1211,91.6003,0,0
MXC_MV,D,20170811,000000,90.6168,90.8437,90.6168,90.8437,0,0
MXC_MV,D,20170814,000000,90.6337,91.1379,90.6337,90.9445,0,0
MXC_MV,D,20170816,000000,90.9445,90.9445,90.6337,90.6337,0,0
MXC_MV,D,20170817,000000,91.0541,91.0541,87.2557,89.8354,0,0
MXC_MV,D,20170818,000000,87.4154,89.8354,85.7768,89.6085,0,0
MXC_MV,D,20170821,000000,89.6085,89.6085,87.3901,89.1632,0,0
MXC_MV,D,20170822,000000,89.1632,89.5328,87.3901,89.0035,0,0
MXC_MV,D,20170823,000000,89.3648,89.3648,87.3901,89.0035,0,0
MXC_MV,D,20170824,000000,89.0035,89.0035,87.8859,89.0035,0,0
MXC_MV,D,20170825,000000,89.0035,89.0035,87.7178,89.0035,0,0
MXC_MV,D,20170828,000000,89.0035,89.0035,88.2052,88.2052,0,0
MXC_MV,D,20170829,000000,87.8859,89.0035,85.802,87.9279,0,0
MXC_MV,D,20170830,000000,88.9866,88.9866,87.8859,87.8859,0,0
MXC_MV,D,20170831,000000,86.5834,88.9363,85.802,88.6086,0,0
MXC_MV,D,20170901,000000,88.9363,88.9363,88.2052,88.2052,0,0
MXC_MV,D,20170904,000000,88.2052,88.2052,87.3901,87.3901,0,0
MXC_MV,D,20170905,000000,87.2052,87.2305,86.8271,86.8271,0,0
MXC_MV,D,20170906,000000,87.3901,87.3901,83.6761,87.3901,0,0
MXC_MV,D,20170907,000000,88.9363,88.9363,86.4238,87.3733,0,0
MXC_MV,D,20170908,000000,88.8523,88.8523,84.6256,87.1548,0,0
MXC_MV,D,20170911,000000,87.3733,87.3733,84.1634,87.1885,0,0
MXC_MV,D,20170912,000000,87.1548,87.1548,85.7768,86.5834,0,0
MXC_MV,D,20170913,000000,86.6675,87.1212,84.6088,87.096,0,0
MXC_MV,D,20170914,000000,87.0624,87.0624,84.6088,87.0456,0,0
MXC_MV,D,20170915,000000,87.0793,87.0793,84.6676,86.5834,0,0
MXC_MV,D,20170918,000000,87.0793,87.0793,84.676,86.4238,0,0
MXC_MV,D,20170919,000000,84.9617,86.4238,84.9617,86.407,0,0
MXC_MV,D,20170920,000000,86.407,86.5834,84.9785,86.5079,0,0
MXC_MV,D,20170921,000000,85.7768,86.5079,85.4827,86.4826,0,0
MXC_MV,D,20170922,000000,86.4238,86.4826,84.9617,86.4826,0,0
MXC_MV,D,20170925,000000,86.4238,87.2977,85.0626,87.2977,0,0
MXC_MV,D,20170926,000000,87.2977,87.2977,85.802,87.0793,0,0
MXC_MV,D,20170927,000000,87.2137,87.2137,85.239,86.5834,0,0
MXC_MV,D,20170928,000000,86.5834,86.5834,86.5834,86.5834,0,0
MXC_MV,D,20170929,000000,84.1634,84.1634,84.1634,84.1634,0,0
MXC_MV,D,20171002,000000,78.4998,78.4998,64.7392,67.9752,0,0
MXC_MV,D,20171003,000000,64.4973,64.4973,52.1139,52.1139,0,0
MXC_MV,D,20171004,000000,53.3912,57.0826,53.3912,55.3507,0,0
MXC_MV,D,20171005,000000,56.549,56.549,51.7904,53.4088,0,0
MXC_MV,D,20171006,000000,53.4088,53.4265,49.3629,50.9636,0,0
MXC_MV,D,20171009,000000,50.3333,53.3794,50.3333,53.0668,0,0
MXC_MV,D,20171010,000000,53.3912,53.3912,51.1425,52.5811,0,0
MXC_MV,D,20171011,000000,53.3122,55.0087,53.3122,54.3801,0,0
MXC_MV,D,20171012,000000,54.8466,54.9962,51.7904,51.7904,0,0
MXC_MV,D,20171013,000000,53.1987,53.1987,51.7904,53.0668,0,0
MXC_MV,D,20171016,000000,53.0853,53.0853,51.8081,52.971,0,0
MXC_MV,D,20171017,000000,52.9046,52.9046,51.7904,52.3055,0,0
MXC_MV,D,20171018,000000,52.761,52.761,51.1249,51.1249,0,0
MXC_MV,D,20171019,000000,52.2761,52.2761,50.1897,50.6392,0,0
MXC_MV,D,20171020,000000,50.6577,51.6274,49.7822,50.9333,0,0
MXC_MV,D,20171023,000000,51.6274,51.6274,48.2116,50.0392,0,0
MXC_MV,D,20171024,000000,50.093,50.1232,46.9529,47.8755,0,0
MXC_MV,D,20171025,000000,48.1998,48.1998,43.3926,46.1067,0,0
MXC_MV,D,20171026,000000,47.7142,47.7142,43.7153,44.5261,0,0
MXC_MV,D,20171027,000000,44.0211,46.1261,44.0211,45.3462,0,0
MXC_MV,D,20171030,000000,45.3462,45.9638,45.3462,45.8681,0,0
MXC_MV,D,20171031,000000,45.8504,45.8681,44.9143,45.8202,0,0
MXC_MV,D,20171102,000000,44.9924,45.2983,44.8311,44.9143,0,0
MXC_MV,D,20171103,000000,44.9143,44.9143,43.9741,44.8967,0,0
MXC_MV,D,20171106,000000,44.3631,44.8311,43.2128,44.8311,0,0
MXC_MV,D,20171107,000000,44.879,44.879,43.6984,44.1833,0,0
MXC_MV,D,20171108,000000,44.879,44.879,41.449,42.08,0,0
MXC_MV,D,20171109,000000,42.08,43.68,42.08,43.3749,0,0
MXC_MV,D,20171110,000000,43.68,44.6387,42.6489,43.3749,0,0
MXC_MV,D,20171113,000000,44.6514,44.6514,42.7262,42.7262,0,0
