<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC_PE,D,20170630,000000,5.33491,5.33491,5.33491,5.33491,0,0
MXC_PE,D,20170703,000000,5.39475,5.39475,5.15501,5.33491,0,0
MXC_PE,D,20170704,000000,5.33491,5.51457,5.33491,5.45474,0,0
MXC_PE,D,20170705,000000,5.45474,5.45474,5.45474,5.45474,0,0
MXC_PE,D,20170706,000000,5.45474,5.45474,5.45474,5.45474,0,0
MXC_PE,D,20170707,000000,5.45474,5.45474,5.45474,5.45474,0,0
MXC_PE,D,20170710,000000,5.33491,5.33491,5.33491,5.33491,0,0
MXC_PE,D,20170711,000000,5.33491,5.33491,5.33491,5.33491,0,0
MXC_PE,D,20170712,000000,5.33491,5.33491,5.33491,5.33491,0,0
MXC_PE,D,20170713,000000,5.33491,5.33491,5.33491,5.33491,0,0
MXC_PE,D,20170714,000000,5.33491,5.39475,5.21501,5.39475,0,0
MXC_PE,D,20170717,000000,5.33491,5.39475,5.33491,5.39475,0,0
MXC_PE,D,20170718,000000,5.45474,5.8743,5.45474,5.63456,0,0
MXC_PE,D,20170719,000000,5.63456,5.69456,5.63456,5.63456,0,0
MXC_PE,D,20170720,000000,5.63456,5.69456,5.63456,5.63456,0,0
MXC_PE,D,20170721,000000,5.69456,5.69456,5.51457,5.63456,0,0
MXC_PE,D,20170724,000000,5.69456,7.19322,5.45474,7.19322,0,0
MXC_PE,D,20170725,000000,7.31296,7.37287,7.31296,7.37287,0,0
MXC_PE,D,20170726,000000,7.37287,7.37287,7.31296,7.37287,0,0
MXC_PE,D,20170727,000000,7.37287,7.37287,7.01348,7.07339,0,0
MXC_PE,D,20170728,000000,7.25313,7.25313,7.07339,7.25313,0,0
MXC_PE,D,20170731,000000,7.25313,7.25313,7.25313,7.25313,0,0
MXC_PE,D,20170801,000000,7.25313,7.31296,7.25313,7.31296,0,0
MXC_PE,D,20170802,000000,7.31296,7.31296,7.1333,7.31296,0,0
MXC_PE,D,20170803,000000,7.31296,7.31296,7.19322,7.19322,0,0
MXC_PE,D,20170804,000000,7.19322,7.19322,7.1333,7.19322,0,0
MXC_PE,D,20170807,000000,7.19322,7.31296,7.1333,7.31296,0,0
MXC_PE,D,20170808,000000,7.19322,7.31296,7.19322,7.25313,0,0
MXC_PE,D,20170809,000000,7.25313,7.25313,7.01348,7.19322,0,0
MXC_PE,D,20170810,000000,7.1333,7.19322,6.95365,7.1333,0,0
MXC_PE,D,20170811,000000,7.07339,7.07339,7.07339,7.07339,0,0
MXC_PE,D,20170814,000000,7.07339,7.07339,7.07339,7.07339,0,0
MXC_PE,D,20170816,000000,7.07339,7.07339,7.07339,7.07339,0,0
MXC_PE,D,20170817,000000,7.1333,7.1333,6.83315,7.01348,0,0
MXC_PE,D,20170818,000000,6.83315,7.01348,6.71333,6.95365,0,0
MXC_PE,D,20170821,000000,6.95365,6.95365,6.77324,6.95365,0,0
MXC_PE,D,20170822,000000,6.95365,6.95365,6.83315,6.95365,0,0
MXC_PE,D,20170823,000000,6.95365,6.95365,6.83315,6.95365,0,0
MXC_PE,D,20170824,000000,6.95365,6.95365,6.89373,6.95365,0,0
MXC_PE,D,20170825,000000,6.95365,6.95365,6.83315,6.95365,0,0
MXC_PE,D,20170828,000000,6.95365,6.95365,6.89373,6.89373,0,0
MXC_PE,D,20170829,000000,6.89373,6.95365,6.71333,6.83315,0,0
MXC_PE,D,20170830,000000,6.89373,6.89373,6.83315,6.83315,0,0
MXC_PE,D,20170831,000000,6.71333,6.89373,6.6535,6.89373,0,0
MXC_PE,D,20170901,000000,6.89373,6.89373,6.83315,6.89373,0,0
MXC_PE,D,20170904,000000,6.89373,6.89373,6.83315,6.83315,0,0
MXC_PE,D,20170905,000000,6.83315,6.83315,6.77324,6.77324,0,0
MXC_PE,D,20170906,000000,6.83315,6.83315,6.53384,6.83315,0,0
MXC_PE,D,20170907,000000,6.95365,6.95365,6.77324,6.83315,0,0
MXC_PE,D,20170908,000000,6.95365,6.95365,6.59367,6.77324,0,0
MXC_PE,D,20170911,000000,6.77324,6.77324,6.53384,6.77324,0,0
MXC_PE,D,20170912,000000,6.77324,6.77324,6.6535,6.77324,0,0
MXC_PE,D,20170913,000000,6.77324,6.83315,6.59367,6.77324,0,0
MXC_PE,D,20170914,000000,6.77324,6.77324,6.59367,6.77324,0,0
MXC_PE,D,20170915,000000,6.77324,6.77324,6.59367,6.77324,0,0
MXC_PE,D,20170918,000000,6.83315,6.83315,6.6535,6.71333,0,0
MXC_PE,D,20170919,000000,6.59367,6.71333,6.59367,6.71333,0,0
MXC_PE,D,20170920,000000,6.71333,6.71333,6.59367,6.71333,0,0
MXC_PE,D,20170921,000000,6.6535,6.71333,6.6535,6.71333,0,0
MXC_PE,D,20170922,000000,6.71333,6.71333,6.59367,6.71333,0,0
MXC_PE,D,20170925,000000,6.71333,6.77324,6.59367,6.77324,0,0
MXC_PE,D,20170926,000000,6.77324,6.77324,6.6535,6.77324,0,0
MXC_PE,D,20170927,000000,6.77324,6.77324,6.6535,6.77324,0,0
MXC_PE,D,20170928,000000,6.77324,6.77324,6.77324,6.77324,0,0
MXC_PE,D,20170929,000000,6.53384,6.53384,6.53384,6.53384,0,0
MXC_PE,D,20171002,000000,6.11411,6.11411,5.0351,5.27492,0,0
MXC_PE,D,20171003,000000,4.97518,4.97518,4.01608,4.31582,0,0
MXC_PE,D,20171004,000000,4.43572,4.73545,4.43572,4.61563,0,0
MXC_PE,D,20171005,000000,4.73545,4.73545,4.31582,4.43572,0,0
MXC_PE,D,20171006,000000,4.43572,4.43572,4.07608,4.25598,0,0
MXC_PE,D,20171009,000000,4.19598,4.43572,4.19598,4.43572,0,0
MXC_PE,D,20171010,000000,4.43572,4.43572,4.25598,4.37581,0,0
MXC_PE,D,20171011,000000,4.43572,4.55555,4.43572,4.55555,0,0
MXC_PE,D,20171012,000000,4.61563,4.61563,4.31582,4.31582,0,0
MXC_PE,D,20171013,000000,4.43572,4.43572,4.31582,4.43572,0,0
MXC_PE,D,20171016,000000,4.43572,4.43572,4.31582,4.43572,0,0
MXC_PE,D,20171017,000000,4.43572,4.43572,4.31582,4.37581,0,0
MXC_PE,D,20171018,000000,4.43572,4.43572,4.25598,4.25598,0,0
MXC_PE,D,20171019,000000,4.37581,4.37581,4.19598,4.19598,0,0
