<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MZA_MV,D,20070813,000000,19.1328,19.1328,19.1328,19.1328,0,0
MZA_MV,D,20070814,000000,19.9763,19.9763,19.9763,19.9763,0,0
MZA_MV,D,20070816,000000,15.2839,15.2839,15.2839,15.2839,0,0
MZA_MV,D,20070817,000000,15.8416,15.8416,15.8416,15.8416,0,0
MZA_MV,D,20070820,000000,16.1534,16.1534,16.1534,16.1534,0,0
MZA_MV,D,20070821,000000,15.8834,15.8834,15.8834,15.8834,0,0
MZA_MV,D,20070822,000000,17.3098,17.3098,17.3098,17.3098,0,0
MZA_MV,D,20070823,000000,17.3098,17.3098,17.3098,17.3098,0,0
MZA_MV,D,20070824,000000,17.7902,17.7902,17.7902,17.7902,0,0
MZA_MV,D,20070827,000000,18.2213,18.2213,18.2213,18.2213,0,0
MZA_MV,D,20070828,000000,17.5966,17.5966,17.5966,17.5966,0,0
MZA_MV,D,20070829,000000,16.5333,16.5333,16.5333,16.5333,0,0
MZA_MV,D,20070830,000000,16.727,16.727,16.727,16.727,0,0
MZA_MV,D,20070831,000000,17.4951,17.4951,17.4951,17.4951,0,0
MZA_MV,D,20070903,000000,17.8079,17.8079,17.8079,17.8079,0,0
MZA_MV,D,20070904,000000,18.1449,18.1449,18.1449,18.1449,0,0
MZA_MV,D,20070905,000000,17.2847,17.2847,17.2847,17.2847,0,0
MZA_MV,D,20070906,000000,16.9216,16.9216,16.9216,16.9216,0,0
MZA_MV,D,20070907,000000,16.1283,16.1283,16.1283,16.1283,0,0
MZA_MV,D,20070910,000000,16.5836,16.5836,16.5836,16.5836,0,0
MZA_MV,D,20070911,000000,16.9718,16.9718,16.9718,16.9718,0,0
MZA_MV,D,20070912,000000,16.5836,16.5836,16.5836,16.5836,0,0
MZA_MV,D,20070913,000000,16.6348,16.6348,16.6348,16.6348,0,0
MZA_MV,D,20070914,000000,16.4914,16.4914,16.4914,16.4914,0,0
MZA_MV,D,20070917,000000,16.4151,16.4151,16.4151,16.4151,0,0
MZA_MV,D,20070918,000000,16.0101,16.0101,16.0101,16.0101,0,0
MZA_MV,D,20070919,000000,16.5082,16.5082,16.5082,16.5082,0,0
MZA_MV,D,20070920,000000,16.6599,16.6599,16.6599,16.6599,0,0
MZA_MV,D,20070921,000000,16.8201,16.8201,16.8201,16.8201,0,0
MZA_MV,D,20070924,000000,16.8201,16.8201,16.8201,16.8201,0,0
MZA_MV,D,20070925,000000,16.7018,16.7018,16.7018,16.7018,0,0
MZA_MV,D,20070926,000000,16.3648,16.3648,16.3648,16.3648,0,0
MZA_MV,D,20070927,000000,16.5836,16.5836,16.5836,16.5836,0,0
MZA_MV,D,20070928,000000,16.5082,16.5082,16.5082,16.5082,0,0
MZA_MV,D,20071001,000000,15.6721,15.6721,15.6721,15.6721,0,0
MZA_MV,D,20071002,000000,16.3648,16.3648,16.3648,16.3648,0,0
MZA_MV,D,20071003,000000,16.3648,16.3648,16.3648,16.3648,0,0
MZA_MV,D,20071004,000000,17.4532,17.4532,17.4532,17.4532,0,0
MZA_MV,D,20071005,000000,16.8452,16.8452,16.8452,16.8452,0,0
MZA_MV,D,20071008,000000,19.9763,19.9763,19.9763,19.9763,0,0
MZA_MV,D,20071009,000000,19.0145,19.0145,19.0145,19.0145,0,0
MZA_MV,D,20071010,000000,19.7147,19.7147,19.7147,19.7147,0,0
MZA_MV,D,20071011,000000,19.7398,19.7398,19.7398,19.7398,0,0
MZA_MV,D,20071012,000000,20.0694,20.0694,20.0694,20.0694,0,0
MZA_MV,D,20071015,000000,19.7147,19.7147,19.7147,19.7147,0,0
MZA_MV,D,20071016,000000,19.0648,19.0648,19.0648,19.0648,0,0
MZA_MV,D,20071017,000000,19.6132,19.6132,19.6132,19.6132,0,0
MZA_MV,D,20071018,000000,19.3013,19.3013,19.3013,19.3013,0,0
MZA_MV,D,20071019,000000,19.7398,19.7398,19.7398,19.7398,0,0
MZA_MV,D,20071022,000000,19.7398,19.7398,19.7398,19.7398,0,0
MZA_MV,D,20071023,000000,19.8329,19.8329,19.8329,19.8329,0,0
MZA_MV,D,20071024,000000,21.3942,21.3942,21.3942,21.3942,0,0
MZA_MV,D,20071025,000000,21.6391,21.6391,21.6391,21.6391,0,0
MZA_MV,D,20071026,000000,21.3011,21.3011,21.3011,21.3011,0,0
MZA_MV,D,20071029,000000,24.4071,24.4071,24.4071,24.4071,0,0
MZA_MV,D,20071030,000000,22.019,22.019,22.019,22.019,0,0
MZA_MV,D,20071031,000000,23.3438,23.3438,23.3438,23.3438,0,0
MZA_MV,D,20071102,000000,23.2507,23.2507,23.2507,23.2507,0,0
MZA_MV,D,20071105,000000,21.9007,21.9007,21.9007,21.9007,0,0
MZA_MV,D,20071106,000000,21.4706,21.4706,21.4706,21.4706,0,0
