<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU_MV,D,20070813,000000,230.476,230.476,230.476,230.476,0,0
NEU_MV,D,20070814,000000,231.271,231.271,231.271,231.271,0,0
NEU_MV,D,20070816,000000,228.611,228.611,228.611,228.611,0,0
NEU_MV,D,20070817,000000,228.478,228.478,228.478,228.478,0,0
NEU_MV,D,20070820,000000,236.579,236.579,236.579,236.579,0,0
NEU_MV,D,20070821,000000,235.775,235.775,235.775,235.775,0,0
NEU_MV,D,20070822,000000,225.943,225.943,225.943,225.943,0,0
NEU_MV,D,20070823,000000,233.92,233.92,233.92,233.92,0,0
NEU_MV,D,20070824,000000,228.091,228.091,228.091,228.091,0,0
NEU_MV,D,20070827,000000,232.056,232.056,232.056,232.056,0,0
NEU_MV,D,20070828,000000,237.922,237.922,237.922,237.922,0,0
NEU_MV,D,20070829,000000,227.277,227.277,227.277,227.277,0,0
NEU_MV,D,20070830,000000,228.876,228.876,228.876,228.876,0,0
NEU_MV,D,20070831,000000,233.654,233.654,233.654,233.654,0,0
NEU_MV,D,20070903,000000,231.271,231.271,231.271,231.271,0,0
NEU_MV,D,20070904,000000,238.972,238.972,238.972,238.972,0,0
NEU_MV,D,20070905,000000,238.972,238.972,238.972,238.972,0,0
NEU_MV,D,20070906,000000,238.159,238.159,238.159,238.159,0,0
NEU_MV,D,20070907,000000,238.159,238.159,238.159,238.159,0,0
NEU_MV,D,20070910,000000,236.579,236.579,236.579,236.579,0,0
NEU_MV,D,20070911,000000,238.452,238.452,238.452,238.452,0,0
NEU_MV,D,20070912,000000,237.922,237.922,237.922,237.922,0,0
NEU_MV,D,20070913,000000,238.159,238.159,238.159,238.159,0,0
NEU_MV,D,20070914,000000,236.579,236.579,236.579,236.579,0,0
NEU_MV,D,20070917,000000,228.611,228.611,228.611,228.611,0,0
NEU_MV,D,20070918,000000,231.006,231.006,231.006,231.006,0,0
NEU_MV,D,20070919,000000,231.006,231.006,231.006,231.006,0,0
NEU_MV,D,20070920,000000,228.611,228.611,228.611,228.611,0,0
NEU_MV,D,20070921,000000,228.611,228.611,228.611,228.611,0,0
NEU_MV,D,20070924,000000,228.611,228.611,228.611,228.611,0,0
NEU_MV,D,20070925,000000,228.091,228.091,228.091,228.091,0,0
NEU_MV,D,20070926,000000,231.271,231.271,231.271,231.271,0,0
NEU_MV,D,20070927,000000,235.254,235.254,235.254,235.254,0,0
NEU_MV,D,20070928,000000,226.88,226.88,226.88,226.88,0,0
NEU_MV,D,20071001,000000,232.708,232.708,232.708,232.708,0,0
NEU_MV,D,20071002,000000,231.271,231.271,231.271,231.271,0,0
NEU_MV,D,20071003,000000,223.285,223.285,223.285,223.285,0,0
NEU_MV,D,20071004,000000,228.478,228.478,228.478,228.478,0,0
NEU_MV,D,20071005,000000,226.748,226.748,226.748,226.748,0,0
NEU_MV,D,20071008,000000,228.478,228.478,228.478,228.478,0,0
NEU_MV,D,20071009,000000,228.478,228.478,228.478,228.478,0,0
NEU_MV,D,20071010,000000,225.687,225.687,225.687,225.687,0,0
NEU_MV,D,20071011,000000,225.83,225.83,225.83,225.83,0,0
NEU_MV,D,20071012,000000,218.374,218.374,218.374,218.374,0,0
NEU_MV,D,20071015,000000,221.43,221.43,221.43,221.43,0,0
NEU_MV,D,20071016,000000,212.64,212.64,212.64,212.64,0,0
NEU_MV,D,20071017,000000,220.494,220.494,220.494,220.494,0,0
NEU_MV,D,20071018,000000,209.603,209.603,209.603,209.603,0,0
NEU_MV,D,20071019,000000,212.403,212.403,212.403,212.403,0,0
NEU_MV,D,20071022,000000,215.043,215.043,215.043,215.043,0,0
NEU_MV,D,20071023,000000,212.403,212.403,212.403,212.403,0,0
NEU_MV,D,20071024,000000,212.403,212.403,212.403,212.403,0,0
NEU_MV,D,20071025,000000,212.535,212.535,212.535,212.535,0,0
NEU_MV,D,20071026,000000,212.64,212.64,212.64,212.64,0,0
NEU_MV,D,20071029,000000,220.617,220.617,220.617,220.617,0,0
NEU_MV,D,20071030,000000,220.617,220.617,220.617,220.617,0,0
NEU_MV,D,20071031,000000,225.139,225.139,225.139,225.139,0,0
NEU_MV,D,20071102,000000,221.818,221.818,221.818,221.818,0,0
NEU_MV,D,20071105,000000,215.326,215.326,215.326,215.326,0,0
NEU_MV,D,20071106,000000,218.913,218.913,218.913,218.913,0,0
NEU_MV,D,20071107,000000,212.64,212.64,212.64,212.64,0,0
NEU_MV,D,20071108,000000,213.586,213.586,213.586,213.586,0,0
NEU_MV,D,20071109,000000,212.64,215.326,212.64,213.169,0,0
NEU_MV,D,20071112,000000,207.852,213.169,207.332,207.332,0,0
NEU_MV,D,20071113,000000,207.332,212.64,207.332,212.64,0,0
NEU_MV,D,20071114,000000,208.013,212.64,208.013,212.64,0,0
NEU_MV,D,20071115,000000,212.64,212.64,204.682,210,0,0
NEU_MV,D,20071116,000000,207.332,210,204.682,210,0,0
NEU_MV,D,20071119,000000,204.682,210,202.033,202.033,0,0
NEU_MV,D,20071120,000000,207.332,207.332,199.365,199.365,0,0
NEU_MV,D,20071121,000000,194.851,194.851,189.524,189.524,0,0
NEU_MV,D,20071122,000000,189.524,199.365,189.269,199.365,0,0
NEU_MV,D,20071123,000000,199.365,199.365,199.365,199.365,0,0
NEU_MV,D,20071126,000000,199.365,199.365,199.365,199.365,0,0
NEU_MV,D,20071127,000000,199.365,199.365,198.03,198.03,0,0
