<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU_PB,D,20070813,000000,1.40804,1.40804,1.40804,1.40804,0,0
NEU_PB,D,20070814,000000,1.40804,1.40804,1.40804,1.40804,0,0
NEU_PB,D,20070816,000000,1.39424,1.39424,1.39424,1.39424,0,0
NEU_PB,D,20070817,000000,1.39424,1.39424,1.39424,1.39424,0,0
NEU_PB,D,20070820,000000,1.44286,1.44286,1.44286,1.44286,0,0
NEU_PB,D,20070821,000000,1.43604,1.43604,1.43604,1.43604,0,0
NEU_PB,D,20070822,000000,1.40114,1.40114,1.40114,1.40114,0,0
NEU_PB,D,20070823,000000,1.45658,1.45658,1.45658,1.45658,0,0
NEU_PB,D,20070824,000000,1.41523,1.41523,1.41523,1.41523,0,0
NEU_PB,D,20070827,000000,1.44286,1.44286,1.44286,1.44286,0,0
NEU_PB,D,20070828,000000,1.47739,1.47739,1.47739,1.47739,0,0
NEU_PB,D,20070829,000000,1.41523,1.41523,1.41523,1.41523,0,0
NEU_PB,D,20070830,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20070831,000000,1.45658,1.45658,1.45658,1.45658,0,0
NEU_PB,D,20070903,000000,1.43604,1.43604,1.43604,1.43604,0,0
NEU_PB,D,20070904,000000,1.48459,1.48459,1.48459,1.48459,0,0
NEU_PB,D,20070905,000000,1.48459,1.48459,1.48459,1.48459,0,0
NEU_PB,D,20070906,000000,1.48459,1.48459,1.48459,1.48459,0,0
NEU_PB,D,20070907,000000,1.48459,1.48459,1.48459,1.48459,0,0
NEU_PB,D,20070910,000000,1.47059,1.47059,1.47059,1.47059,0,0
NEU_PB,D,20070911,000000,1.48459,1.48459,1.48459,1.48459,0,0
NEU_PB,D,20070912,000000,1.47739,1.47739,1.47739,1.47739,0,0
NEU_PB,D,20070913,000000,1.48459,1.48459,1.48459,1.48459,0,0
NEU_PB,D,20070914,000000,1.47059,1.47059,1.47059,1.47059,0,0
NEU_PB,D,20070917,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20070918,000000,1.43604,1.43604,1.43604,1.43604,0,0
NEU_PB,D,20070919,000000,1.43604,1.43604,1.43604,1.43604,0,0
NEU_PB,D,20070920,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20070921,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20070924,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20070925,000000,1.41523,1.41523,1.41523,1.41523,0,0
NEU_PB,D,20070926,000000,1.43604,1.43604,1.43604,1.43604,0,0
NEU_PB,D,20070927,000000,1.46358,1.46358,1.46358,1.46358,0,0
NEU_PB,D,20070928,000000,1.40804,1.40804,1.40804,1.40804,0,0
NEU_PB,D,20071001,000000,1.44968,1.44968,1.44968,1.44968,0,0
NEU_PB,D,20071002,000000,1.43604,1.43604,1.43604,1.43604,0,0
NEU_PB,D,20071003,000000,1.38723,1.38723,1.38723,1.38723,0,0
NEU_PB,D,20071004,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20071005,000000,1.40804,1.40804,1.40804,1.40804,0,0
NEU_PB,D,20071008,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20071009,000000,1.42214,1.42214,1.42214,1.42214,0,0
NEU_PB,D,20071010,000000,1.40114,1.40114,1.40114,1.40114,0,0
NEU_PB,D,20071011,000000,1.40114,1.40114,1.40114,1.40114,0,0
NEU_PB,D,20071012,000000,1.35249,1.35249,1.35249,1.35249,0,0
NEU_PB,D,20071015,000000,1.3735,1.3735,1.3735,1.3735,0,0
NEU_PB,D,20071016,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071017,000000,1.3666,1.3666,1.3666,1.3666,0,0
NEU_PB,D,20071018,000000,1.29725,1.29725,1.29725,1.29725,0,0
NEU_PB,D,20071019,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071022,000000,1.33187,1.33187,1.33187,1.33187,0,0
NEU_PB,D,20071023,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071024,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071025,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071026,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071029,000000,1.3666,1.3666,1.3666,1.3666,0,0
NEU_PB,D,20071030,000000,1.3666,1.3666,1.3666,1.3666,0,0
NEU_PB,D,20071031,000000,1.40114,1.40114,1.40114,1.40114,0,0
NEU_PB,D,20071102,000000,1.38032,1.38032,1.38032,1.38032,0,0
NEU_PB,D,20071105,000000,1.33887,1.33887,1.33887,1.33887,0,0
NEU_PB,D,20071106,000000,1.35959,1.35959,1.35959,1.35959,0,0
NEU_PB,D,20071107,000000,1.31796,1.31796,1.31796,1.31796,0,0
NEU_PB,D,20071108,000000,1.32487,1.32487,1.32487,1.32487,0,0
NEU_PB,D,20071109,000000,1.31796,1.33887,1.31796,1.32487,0,0
NEU_PB,D,20071112,000000,1.29033,1.32487,1.28324,1.28324,0,0
NEU_PB,D,20071113,000000,1.28324,1.31796,1.28324,1.31796,0,0
NEU_PB,D,20071114,000000,1.29033,1.31796,1.29033,1.31796,0,0
NEU_PB,D,20071115,000000,1.31796,1.31796,1.27633,1.27633,0,0
NEU_PB,D,20071116,000000,1.25552,1.27633,1.24161,1.27633,0,0
NEU_PB,D,20071119,000000,1.24161,1.27633,1.22778,1.22778,0,0
NEU_PB,D,20071120,000000,1.25552,1.25552,1.20697,1.20697,0,0
NEU_PB,D,20071121,000000,1.17934,1.17934,1.14453,1.14453,0,0
NEU_PB,D,20071122,000000,1.14453,1.20697,1.14453,1.20697,0,0
NEU_PB,D,20071123,000000,1.20697,1.20697,1.20697,1.20697,0,0
NEU_PB,D,20071126,000000,1.20697,1.20697,1.20697,1.20697,0,0
NEU_PB,D,20071127,000000,1.20697,1.20697,1.20007,1.20007,0,0
NEU_PB,D,20071128,000000,1.20007,1.20007,1.19316,1.20007,0,0
NEU_PB,D,20071129,000000,1.20007,1.20007,1.15843,1.19316,0,0
NEU_PB,D,20071130,000000,1.20007,1.20007,1.20007,1.20007,0,0
NEU_PB,D,20071203,000000,1.19316,1.20697,1.15843,1.20697,0,0
NEU_PB,D,20071204,000000,1.20007,1.20007,1.20007,1.20007,0,0
NEU_PB,D,20071205,000000,1.20007,1.20007,1.20007,1.20007,0,0
NEU_PB,D,20071206,000000,1.20007,1.20007,1.17244,1.17244,0,0
NEU_PB,D,20071207,000000,1.20007,1.20007,1.20007,1.20007,0,0
NEU_PB,D,20071210,000000,1.19316,1.19316,1.14453,1.19316,0,0
NEU_PB,D,20071211,000000,1.14453,1.17244,1.13072,1.17244,0,0
NEU_PB,D,20071212,000000,1.13072,1.17244,1.13072,1.17244,0,0
NEU_PB,D,20071213,000000,1.13072,1.19316,1.13072,1.17244,0,0
NEU_PB,D,20071214,000000,1.19316,1.19316,1.17244,1.17244,0,0
NEU_PB,D,20071217,000000,1.17244,1.17244,1.17244,1.17244,0,0
NEU_PB,D,20071218,000000,1.13072,1.15843,1.12399,1.15843,0,0
NEU_PB,D,20071219,000000,1.15843,1.15843,1.1098,1.15843,0,0
NEU_PB,D,20071220,000000,1.12399,1.14453,1.10299,1.12399,0,0
NEU_PB,D,20071221,000000,1.14453,1.14453,1.1098,1.14453,0,0
NEU_PB,D,20071227,000000,1.15153,1.17244,1.14453,1.17244,0,0
NEU_PB,D,20071228,000000,1.12399,1.17244,1.08917,1.08917,0,0
NEU_PB,D,20080102,000000,1.1098,1.1098,1.1098,1.1098,0,0
NEU_PB,D,20080103,000000,1.05444,1.10299,1.05444,1.10299,0,0
NEU_PB,D,20080104,000000,1.10299,1.10299,1.06116,1.06116,0,0
NEU_PB,D,20080107,000000,1.07545,1.07545,1.05444,1.05444,0,0
NEU_PB,D,20080108,000000,1.07545,1.07545,1.04044,1.06835,0,0
NEU_PB,D,20080109,000000,1.02663,1.02663,0.984997,1.02663,0,0
NEU_PB,D,20080110,000000,1.01981,1.01981,0.96418,0.998904,0,0
NEU_PB,D,20080111,000000,0.950365,0.950365,0.943362,0.943362,0,0
NEU_PB,D,20080114,000000,0.943362,0.943362,0.943362,0.943362,0,0
NEU_PB,D,20080115,000000,0.90173,0.929642,0.894823,0.894823,0,0
NEU_PB,D,20080116,000000,0.894823,0.894823,0.818464,0.832373,0,0
NEU_PB,D,20080117,000000,0.832373,0.832373,0.818464,0.818464,0,0
NEU_PB,D,20080118,000000,0.832373,0.832373,0.80465,0.818464,0,0
NEU_PB,D,20080121,000000,0.832373,0.832373,0.811463,0.811463,0,0
NEU_PB,D,20080122,000000,0.80465,0.80465,0.783738,0.783738,0,0
NEU_PB,D,20080123,000000,0.80465,0.832373,0.80465,0.818464,0,0
NEU_PB,D,20080124,000000,0.832373,0.832373,0.80465,0.818464,0,0
NEU_PB,D,20080125,000000,0.839374,0.839374,0.80465,0.80465,0,0
NEU_PB,D,20080128,000000,0.832373,0.846282,0.825655,0.846282,0,0
NEU_PB,D,20080129,000000,0.853285,0.867004,0.832373,0.832373,0,0
NEU_PB,D,20080130,000000,0.839374,0.839374,0.825655,0.832373,0,0
NEU_PB,D,20080131,000000,0.832373,0.839374,0.825655,0.832373,0,0
NEU_PB,D,20080201,000000,0.832373,0.839374,0.832373,0.839374,0,0
NEU_PB,D,20080204,000000,0.839374,0.860097,0.832373,0.832373,0,0
NEU_PB,D,20080205,000000,0.846282,0.846282,0.818464,0.839374,0,0
NEU_PB,D,20080206,000000,0.80465,0.818464,0.80465,0.818464,0,0
NEU_PB,D,20080207,000000,0.818464,0.818464,0.818464,0.818464,0,0
NEU_PB,D,20080208,000000,0.818464,0.818464,0.80465,0.80465,0,0
NEU_PB,D,20080211,000000,0.80465,0.818464,0.797742,0.797742,0,0
NEU_PB,D,20080212,000000,0.80465,0.80465,0.783738,0.80465,0,0
NEU_PB,D,20080213,000000,0.783738,0.818464,0.783738,0.80465,0,0
NEU_PB,D,20080214,000000,0.818464,0.818464,0.811463,0.811463,0,0
NEU_PB,D,20080215,000000,0.811463,0.811463,0.80465,0.80465,0,0
NEU_PB,D,20080218,000000,0.818464,0.818464,0.80465,0.811463,0,0
NEU_PB,D,20080219,000000,0.818464,0.818464,0.80465,0.80465,0,0
NEU_PB,D,20080220,000000,0.797742,0.80465,0.797742,0.80465,0,0
NEU_PB,D,20080221,000000,0.80465,0.80465,0.797742,0.80465,0,0
NEU_PB,D,20080222,000000,0.797742,0.811463,0.797742,0.811463,0,0
NEU_PB,D,20080225,000000,0.818464,0.818464,0.818464,0.818464,0,0
NEU_PB,D,20080226,000000,0.818464,0.825655,0.80465,0.80465,0,0
NEU_PB,D,20080227,000000,0.811463,0.811463,0.80465,0.80465,0,0
NEU_PB,D,20080228,000000,0.818464,0.818464,0.80465,0.811463,0,0
NEU_PB,D,20080229,000000,0.811463,0.832373,0.797742,0.818464,0,0
NEU_PB,D,20080303,000000,0.80465,0.818464,0.797742,0.818464,0,0
NEU_PB,D,20080304,000000,0.825655,0.825655,0.80465,0.811463,0,0
NEU_PB,D,20080305,000000,0.811463,0.825655,0.811463,0.825655,0,0
NEU_PB,D,20080306,000000,0.825655,0.832373,0.825655,0.832373,0,0
NEU_PB,D,20080307,000000,0.818464,0.825655,0.811463,0.818464,0,0
NEU_PB,D,20080310,000000,0.825655,0.825655,0.818464,0.825655,0,0
NEU_PB,D,20080311,000000,0.818464,0.839374,0.818464,0.839374,0,0
NEU_PB,D,20080312,000000,0.839374,0.839374,0.825655,0.825655,0,0
