<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU_PE,D,20100409,000000,5.79785,5.79785,5.79785,5.79785,0,0
NEU_PE,D,20100412,000000,5.79785,5.86929,5.79785,5.86929,0,0
NEU_PE,D,20100413,000000,5.86929,6.1558,5.79785,6.1558,0,0
NEU_PE,D,20100414,000000,6.1558,6.1558,6.08407,6.1558,0,0
NEU_PE,D,20100415,000000,6.1558,6.29877,6.08407,6.22752,0,0
NEU_PE,D,20100416,000000,6.1558,6.1558,6.1558,6.1558,0,0
NEU_PE,D,20100419,000000,6.08407,6.1558,5.94101,6.1558,0,0
NEU_PE,D,20100420,000000,6.08407,6.08407,5.94101,6.01244,0,0
NEU_PE,D,20100421,000000,5.94101,6.01244,5.94101,6.01244,0,0
NEU_PE,D,20100422,000000,5.94101,6.01244,5.94101,5.94101,0,0
NEU_PE,D,20100423,000000,5.9429,6.00913,5.9429,5.9429,0,0
NEU_PE,D,20100426,000000,5.94101,6.01244,5.94101,5.94101,0,0
NEU_PE,D,20100427,000000,5.86929,5.94101,5.86929,5.94101,0,0
NEU_PE,D,20100428,000000,5.86929,5.94101,5.86929,5.94101,0,0
NEU_PE,D,20100429,000000,5.94101,6.01244,5.94101,6.01244,0,0
NEU_PE,D,20100430,000000,6.00913,6.08284,6.00913,6.00913,0,0
NEU_PE,D,20100504,000000,6.01244,6.37039,6.01244,6.37039,0,0
NEU_PE,D,20100505,000000,6.22752,6.29877,6.08407,6.29877,0,0
NEU_PE,D,20100506,000000,6.1558,6.22752,6.08407,6.1558,0,0
NEU_PE,D,20100507,000000,6.01244,6.08407,5.94101,5.94101,0,0
NEU_PE,D,20100510,000000,5.94101,6.22752,5.94101,6.22752,0,0
NEU_PE,D,20100511,000000,6.22752,6.22752,6.08407,6.08407,0,0
NEU_PE,D,20100512,000000,6.1558,6.1558,6.01244,6.01244,0,0
NEU_PE,D,20100513,000000,6.01244,6.01244,5.86929,5.94101,0,0
NEU_PE,D,20100514,000000,5.94101,5.94101,5.65469,5.94101,0,0
NEU_PE,D,20100517,000000,5.94101,6.1558,5.79785,6.08407,0,0
NEU_PE,D,20100518,000000,6.08407,6.1558,5.51153,5.51153,0,0
NEU_PE,D,20100519,000000,5.51153,5.51153,5.22521,5.51153,0,0
NEU_PE,D,20100520,000000,5.43989,5.43989,5.29674,5.36846,0,0
NEU_PE,D,20100521,000000,5.36846,5.43989,5.36846,5.43989,0,0
NEU_PE,D,20100524,000000,5.51153,5.51153,5.29674,5.43989,0,0
NEU_PE,D,20100525,000000,5.29674,5.36846,5.29674,5.36846,0,0
NEU_PE,D,20100526,000000,5.29674,5.51153,5.29674,5.43989,0,0
NEU_PE,D,20100527,000000,5.43989,5.43989,5.36846,5.43989,0,0
NEU_PE,D,20100528,000000,5.51153,5.51153,5.43989,5.43989,0,0
NEU_PE,D,20100531,000000,5.36855,5.58211,5.36855,5.5084,0,0
NEU_PE,D,20100601,000000,5.58306,5.58306,5.43989,5.43989,0,0
NEU_PE,D,20100602,000000,5.36846,5.43989,5.29674,5.43989,0,0
NEU_PE,D,20100604,000000,5.36846,5.43989,5.36846,5.43989,0,0
NEU_PE,D,20100607,000000,5.36846,5.36846,5.36846,5.36846,0,0
NEU_PE,D,20100608,000000,5.36846,5.43989,5.36846,5.43989,0,0
