<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNG_MV,D,20171221,000000,58.37,58.37,58.37,58.37,0,0
NNG_MV,D,20171222,000000,61.61,61.61,51.88,53.18,0,0
NNG_MV,D,20171227,000000,53.18,53.18,38.91,38.91,0,0
NNG_MV,D,20171228,000000,40.6,40.6,36.32,40.21,0,0
NNG_MV,D,20171229,000000,40.21,42.67,40.21,41.5,0,0
NNG_MV,D,20180103,000000,41.5,45.14,41.5,44.1,0,0
NNG_MV,D,20180104,000000,47.21,51.88,47.21,51.88,0,0
NNG_MV,D,20180105,000000,55.51,66.67,51.88,64.07,0,0
NNG_MV,D,20180108,000000,64.07,67.44,59.79,62.9,0,0
NNG_MV,D,20180109,000000,63.29,63.55,60.31,60.96,0,0
NNG_MV,D,20180110,000000,60.57,60.57,59.53,60.57,0,0
NNG_MV,D,20180111,000000,60.96,62.9,60.57,62.9,0,0
NNG_MV,D,20180112,000000,62.9,62.9,59.79,62.26,0,0
NNG_MV,D,20180115,000000,62.26,62.26,59.92,62.26,0,0
NNG_MV,D,20180116,000000,61.61,62.26,61.61,62.26,0,0
NNG_MV,D,20180117,000000,61.61,61.61,59.92,59.92,0,0
NNG_MV,D,20180118,000000,59.01,59.01,53.18,53.18,0,0
NNG_MV,D,20180119,000000,53.18,53.18,52.79,53.18,0,0
NNG_MV,D,20180122,000000,53.18,53.18,53.18,53.18,0,0
NNG_MV,D,20180123,000000,53.18,57.98,53.18,57.98,0,0
NNG_MV,D,20180124,000000,57.72,58.24,57.72,58.11,0,0
NNG_MV,D,20180125,000000,58.37,58.37,57.07,57.07,0,0
NNG_MV,D,20180126,000000,58.88,59.01,58.37,58.37,0,0
NNG_MV,D,20180129,000000,58.62,58.62,58.62,58.62,0,0
NNG_MV,D,20180130,000000,58.24,58.24,58.24,58.24,0,0
NNG_MV,D,20180201,000000,57.07,57.07,57.07,57.07,0,0
NNG_MV,D,20180205,000000,56.81,56.81,52.53,56.42,0,0
NNG_MV,D,20180206,000000,55.77,58.37,54.47,58.37,0,0
NNG_MV,D,20180207,000000,53.31,56.29,53.31,55.77,0,0
NNG_MV,D,20180209,000000,55.64,55.77,55.64,55.77,0,0
NNG_MV,D,20180212,000000,57.07,57.07,57.07,57.07,0,0
NNG_MV,D,20180213,000000,57.07,57.07,51.88,56.29,0,0
NNG_MV,D,20180214,000000,56.29,56.29,56.29,56.29,0,0
NNG_MV,D,20180215,000000,55.77,55.77,55.51,55.51,0,0
NNG_MV,D,20180216,000000,55.51,55.51,55.51,55.51,0,0
NNG_MV,D,20180219,000000,55.38,55.38,55.38,55.38,0,0
NNG_MV,D,20180220,000000,55.51,55.51,51.88,55.51,0,0
NNG_MV,D,20180221,000000,55.51,55.51,55.51,55.51,0,0
NNG_MV,D,20180226,000000,55.12,55.12,55.12,55.12,0,0
NNG_MV,D,20180227,000000,51.88,55.12,51.88,54.99,0,0
NNG_MV,D,20180228,000000,54.86,54.99,54.47,54.47,0,0
NNG_MV,D,20180302,000000,52.01,52.01,52.01,52.01,0,0
NNG_MV,D,20180305,000000,51.88,51.88,51.1,51.75,0,0
NNG_MV,D,20180306,000000,51.1,51.75,48.51,50.19,0,0
NNG_MV,D,20180307,000000,49.29,50.19,48.51,48.51,0,0
