<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA_MV,D,20070827,000000,243.456,243.456,243.456,243.456,0,0
NVA_MV,D,20070828,000000,243.456,243.456,243.456,243.456,0,0
NVA_MV,D,20070829,000000,243.456,243.456,243.456,243.456,0,0
NVA_MV,D,20070830,000000,246.366,246.366,246.366,246.366,0,0
NVA_MV,D,20070831,000000,245.778,245.778,245.778,245.778,0,0
NVA_MV,D,20070903,000000,247.809,247.809,247.809,247.809,0,0
NVA_MV,D,20070904,000000,243.456,243.456,243.456,243.456,0,0
NVA_MV,D,20070905,000000,246.366,246.366,246.366,246.366,0,0
NVA_MV,D,20070906,000000,246.366,246.366,246.366,246.366,0,0
NVA_MV,D,20070907,000000,246.366,246.366,246.366,246.366,0,0
NVA_MV,D,20070910,000000,237.67,237.67,237.67,237.67,0,0
NVA_MV,D,20070911,000000,237.67,237.67,237.67,237.67,0,0
NVA_MV,D,20070912,000000,244.908,244.908,244.908,244.908,0,0
NVA_MV,D,20070913,000000,246.3,246.3,246.3,246.3,0,0
NVA_MV,D,20070914,000000,243.456,243.456,243.456,243.456,0,0
NVA_MV,D,20070917,000000,234.769,234.769,234.769,234.769,0,0
NVA_MV,D,20070918,000000,234.702,234.702,234.702,234.702,0,0
NVA_MV,D,20070919,000000,236.504,236.504,236.504,236.504,0,0
NVA_MV,D,20070920,000000,237.67,237.67,237.67,237.67,0,0
NVA_MV,D,20070921,000000,237.604,237.604,237.604,237.604,0,0
NVA_MV,D,20070924,000000,235.053,235.053,235.053,235.053,0,0
NVA_MV,D,20070925,000000,234.769,234.769,234.769,234.769,0,0
NVA_MV,D,20070926,000000,231.28,231.28,231.28,231.28,0,0
NVA_MV,D,20070927,000000,231.858,231.858,231.858,231.858,0,0
NVA_MV,D,20070928,000000,226.063,226.063,226.063,226.063,0,0
NVA_MV,D,20071001,000000,223.8,223.8,223.8,223.8,0,0
NVA_MV,D,20071002,000000,220.562,220.562,220.562,220.562,0,0
NVA_MV,D,20071003,000000,220.269,220.269,220.269,220.269,0,0
NVA_MV,D,20071004,000000,217.367,217.367,217.367,217.367,0,0
NVA_MV,D,20071005,000000,223.758,223.758,223.758,223.758,0,0
NVA_MV,D,20071008,000000,226.063,226.063,226.063,226.063,0,0
NVA_MV,D,20071009,000000,226.063,226.063,226.063,226.063,0,0
NVA_MV,D,20071010,000000,231.171,231.171,231.171,231.171,0,0
NVA_MV,D,20071011,000000,228.386,228.386,228.386,228.386,0,0
NVA_MV,D,20071012,000000,231.801,231.801,231.801,231.801,0,0
NVA_MV,D,20071015,000000,237.67,237.67,237.67,237.67,0,0
NVA_MV,D,20071016,000000,237.67,237.67,237.67,237.67,0,0
NVA_MV,D,20071017,000000,234.475,234.475,234.475,234.475,0,0
NVA_MV,D,20071018,000000,234.769,234.769,234.769,234.769,0,0
NVA_MV,D,20071019,000000,244.84,244.84,244.84,244.84,0,0
NVA_MV,D,20071022,000000,244.614,244.614,244.614,244.614,0,0
NVA_MV,D,20071023,000000,244.614,244.614,244.614,244.614,0,0
NVA_MV,D,20071024,000000,244.035,244.035,244.035,244.035,0,0
NVA_MV,D,20071025,000000,243.456,243.456,243.456,243.456,0,0
NVA_MV,D,20071026,000000,241.721,241.721,241.721,241.721,0,0
NVA_MV,D,20071029,000000,249.251,249.251,249.251,249.251,0,0
NVA_MV,D,20071030,000000,246.71,246.71,246.71,246.71,0,0
NVA_MV,D,20071031,000000,246.366,246.366,246.366,246.366,0,0
NVA_MV,D,20071102,000000,242.291,242.291,242.291,242.291,0,0
NVA_MV,D,20071105,000000,234.769,234.769,234.769,234.769,0,0
NVA_MV,D,20071106,000000,234.769,234.769,234.769,234.769,0,0
NVA_MV,D,20071107,000000,228.965,228.965,228.965,228.965,0,0
NVA_MV,D,20071108,000000,228.386,228.386,228.386,228.386,0,0
NVA_MV,D,20071109,000000,226.063,228.965,226.063,228.965,0,0
NVA_MV,D,20071112,000000,228.965,228.965,223.17,223.17,0,0
NVA_MV,D,20071113,000000,223.17,223.17,223.17,223.17,0,0
NVA_MV,D,20071114,000000,223.17,226.357,220.847,220.847,0,0
NVA_MV,D,20071115,000000,220.386,220.847,220.386,220.847,0,0
NVA_MV,D,20071116,000000,220.386,223.17,220.386,223.17,0,0
NVA_MV,D,20071119,000000,223.17,231.801,223.17,231.801,0,0
NVA_MV,D,20071120,000000,215.632,231.858,215.632,231.858,0,0
NVA_MV,D,20071121,000000,228.965,228.965,228.965,228.965,0,0
NVA_MV,D,20071122,000000,228.965,231.858,228.965,231.858,0,0
NVA_MV,D,20071123,000000,231.858,234.769,231.858,234.769,0,0
NVA_MV,D,20071126,000000,234.769,234.769,215.632,232.386,0,0
NVA_MV,D,20071127,000000,232.386,232.386,232.386,232.386,0,0
NVA_MV,D,20071128,000000,232.386,243.406,232.386,243.406,0,0
NVA_MV,D,20071129,000000,243.406,247.515,231.858,243.172,0,0
NVA_MV,D,20071130,000000,247.515,248.673,247.515,248.673,0,0
NVA_MV,D,20071203,000000,247.918,247.918,247.918,247.918,0,0
NVA_MV,D,20071204,000000,242.937,243.456,237.67,237.67,0,0
NVA_MV,D,20071205,000000,229.603,231.858,229.603,231.858,0,0
NVA_MV,D,20071206,000000,231.858,240.496,231.858,237.67,0,0
NVA_MV,D,20071207,000000,240.034,246.366,240.034,246.366,0,0
NVA_MV,D,20071210,000000,244.614,244.614,244.614,244.614,0,0
NVA_MV,D,20071211,000000,243.456,246.366,243.456,243.741,0,0
NVA_MV,D,20071212,000000,243.456,246.366,243.456,246.366,0,0
NVA_MV,D,20071213,000000,240.974,246.366,238.81,246.366,0,0
NVA_MV,D,20071214,000000,246.366,246.366,243.456,246.366,0,0
NVA_MV,D,20071217,000000,238.81,243.741,238.81,243.741,0,0
NVA_MV,D,20071218,000000,240.554,243.456,240.554,243.456,0,0
NVA_MV,D,20071220,000000,237.67,240.554,237.67,237.67,0,0
NVA_MV,D,20071221,000000,231.858,242.291,231.858,241.721,0,0
NVA_MV,D,20071227,000000,243.456,243.456,237.67,237.67,0,0
NVA_MV,D,20071228,000000,246.3,246.3,246.3,246.3,0,0
NVA_MV,D,20080102,000000,246.3,246.366,246.3,246.366,0,0
NVA_MV,D,20080103,000000,246.366,246.366,246.366,246.366,0,0
NVA_MV,D,20080109,000000,243.456,243.456,230.702,242.291,0,0
NVA_MV,D,20080110,000000,228.386,242.585,228.386,242.585,0,0
NVA_MV,D,20080114,000000,240.554,240.554,240.554,240.554,0,0
NVA_MV,D,20080115,000000,240.554,240.554,239.398,239.398,0,0
NVA_MV,D,20080116,000000,204.63,223.17,204.63,220.269,0,0
NVA_MV,D,20080117,000000,214.474,219.976,214.474,219.976,0,0
NVA_MV,D,20080118,000000,237.67,237.67,217.786,220.269,0,0
NVA_MV,D,20080121,000000,237.67,237.67,237.67,237.67,0,0
NVA_MV,D,20080123,000000,220.269,238.81,220.269,238.583,0,0
NVA_MV,D,20080124,000000,238.534,238.534,237.829,237.829,0,0
NVA_MV,D,20080125,000000,231.858,238.056,231.858,237.829,0,0
NVA_MV,D,20080128,000000,235.456,237.67,235.456,237.67,0,0
NVA_MV,D,20080129,000000,237.67,239.398,231.858,237.67,0,0
NVA_MV,D,20080130,000000,240.554,240.554,231.858,231.858,0,0
NVA_MV,D,20080131,000000,231.858,240.261,220.269,220.269,0,0
NVA_MV,D,20080201,000000,234.182,235.926,231.858,235.926,0,0
NVA_MV,D,20080204,000000,240.554,240.554,240.554,240.554,0,0
NVA_MV,D,20080206,000000,237.67,240.554,231.858,237.67,0,0
NVA_MV,D,20080207,000000,239.985,239.985,239.985,239.985,0,0
NVA_MV,D,20080211,000000,238.81,238.81,238.81,238.81,0,0
NVA_MV,D,20080212,000000,238.76,243.456,237.67,243.339,0,0
NVA_MV,D,20080213,000000,227.238,242.006,227.238,241.721,0,0
NVA_MV,D,20080214,000000,227.003,241.721,226.945,237.67,0,0
NVA_MV,D,20080215,000000,240.849,240.849,240.849,240.849,0,0
NVA_MV,D,20080218,000000,227.103,238.81,227.103,238.81,0,0
NVA_MV,D,20080219,000000,227.33,239.104,227.33,239.104,0,0
NVA_MV,D,20080220,000000,239.398,239.398,239.398,239.398,0,0
NVA_MV,D,20080222,000000,226.063,237.67,226.063,237.376,0,0
NVA_MV,D,20080225,000000,226.063,237.604,226.063,237.604,0,0
NVA_MV,D,20080227,000000,237.015,237.015,231.858,234.769,0,0
NVA_MV,D,20080228,000000,231.858,231.858,231.858,231.858,0,0
NVA_MV,D,20080229,000000,231.858,231.858,220.269,231.858,0,0
NVA_MV,D,20080303,000000,226.063,228.965,220.847,228.965,0,0
NVA_MV,D,20080304,000000,230.123,230.123,228.965,230.123,0,0
NVA_MV,D,20080305,000000,231.858,237.376,231.858,237.376,0,0
NVA_MV,D,20080306,000000,231.858,231.858,231.858,231.858,0,0
NVA_MV,D,20080307,000000,230.702,230.702,230.702,230.702,0,0
NVA_MV,D,20080310,000000,230.642,231.28,230.642,230.642,0,0
NVA_MV,D,20080311,000000,231.28,231.28,231.28,231.28,0,0
NVA_MV,D,20080312,000000,231.858,231.858,231.28,231.858,0,0
NVA_MV,D,20080314,000000,230.702,230.702,230.702,230.702,0,0
NVA_MV,D,20080327,000000,216.277,231.28,216.277,231.28,0,0
NVA_MV,D,20080328,000000,231.801,231.801,231.28,231.28,0,0
NVA_MV,D,20080401,000000,226.063,231.573,220.269,231.573,0,0
NVA_MV,D,20080402,000000,231.801,231.801,231.801,231.801,0,0
NVA_MV,D,20080403,000000,226.063,226.063,226.063,226.063,0,0
NVA_MV,D,20080404,000000,223.8,231.801,223.8,231.801,0,0
NVA_MV,D,20080410,000000,209.836,231.801,209.836,230.702,0,0
NVA_MV,D,20080411,000000,226.063,230.702,215.925,228.965,0,0
NVA_MV,D,20080414,000000,220.269,231.698,220.269,231.698,0,0
NVA_MV,D,20080415,000000,220.269,222.827,220.269,220.562,0,0
NVA_MV,D,20080416,000000,216.152,223.17,216.152,223.17,0,0
NVA_MV,D,20080417,000000,220.906,225.779,220.906,225.779,0,0
NVA_MV,D,20080418,000000,214.474,225.779,214.474,225.485,0,0
NVA_MV,D,20080421,000000,225.485,225.485,225.485,225.485,0,0
NVA_MV,D,20080422,000000,223.221,224.328,223.221,224.328,0,0
NVA_MV,D,20080423,000000,222.064,224.328,222.064,224.328,0,0
NVA_MV,D,20080429,000000,224.278,224.278,224.278,224.278,0,0
NVA_MV,D,20080430,000000,213.09,223.572,213.09,223.572,0,0
NVA_MV,D,20080505,000000,222.013,224.328,212.15,224.328,0,0
NVA_MV,D,20080506,000000,224.387,224.915,220.269,220.269,0,0
NVA_MV,D,20080508,000000,224.328,224.328,224.328,224.328,0,0
NVA_MV,D,20080512,000000,217.66,222.877,215.699,222.877,0,0
NVA_MV,D,20080513,000000,216.219,222.408,216.219,217.552,0,0
NVA_MV,D,20080514,000000,215.808,222.013,215.337,222.013,0,0
NVA_MV,D,20080515,000000,219.816,220.906,219.816,220.906,0,0
NVA_MV,D,20080516,000000,222.013,222.013,222.013,222.013,0,0
NVA_MV,D,20080523,000000,214.474,222.013,214.474,214.474,0,0
NVA_MV,D,20080526,000000,214.474,214.474,210.6,210.6,0,0
NVA_MV,D,20080527,000000,214.357,214.357,210.6,210.6,0,0
NVA_MV,D,20080528,000000,209.434,213.132,209.434,213.132,0,0
NVA_MV,D,20080529,000000,213.552,213.552,213.132,213.552,0,0
NVA_MV,D,20080530,000000,211.405,213.132,211.405,213.132,0,0
NVA_MV,D,20080602,000000,213.258,213.258,213.258,213.258,0,0
NVA_MV,D,20080611,000000,202.591,212.73,197.719,202.884,0,0
NVA_MV,D,20080612,000000,193.324,199.806,188.268,188.268,0,0
NVA_MV,D,20080613,000000,182.649,202.591,180.276,194.071,0,0
NVA_MV,D,20080616,000000,194.071,203.346,194.071,203.346,0,0
NVA_MV,D,20080618,000000,207.816,207.816,194.129,202.884,0,0
NVA_MV,D,20080619,000000,201.895,207.875,201.895,207.875,0,0
NVA_MV,D,20080620,000000,193.324,204.63,193.324,204.63,0,0
NVA_MV,D,20080623,000000,194.482,205.602,194.482,204.63,0,0
NVA_MV,D,20080624,000000,210.416,210.416,209.836,209.836,0,0
NVA_MV,D,20080625,000000,199.345,208.68,199.345,208.503,0,0
NVA_MV,D,20080626,000000,208.385,208.385,208.385,208.385,0,0
NVA_MV,D,20080701,000000,197.09,202.297,190.13,190.13,0,0
NVA_MV,D,20080702,000000,205.786,205.786,205.786,205.786,0,0
NVA_MV,D,20080703,000000,202.297,202.297,202.297,202.297,0,0
NVA_MV,D,20080704,000000,189.601,190.699,189.601,190.699,0,0
NVA_MV,D,20080707,000000,184.502,184.502,184.443,184.443,0,0
NVA_MV,D,20080708,000000,174.011,174.011,166.07,166.07,0,0
NVA_MV,D,20080709,000000,166.422,171.99,162.304,166.07,0,0
NVA_MV,D,20080710,000000,170.665,170.665,162.304,162.304,0,0
NVA_MV,D,20080711,000000,162.128,162.128,162.128,162.128,0,0
NVA_MV,D,20080714,000000,160.458,160.458,160.458,160.458,0,0
NVA_MV,D,20080715,000000,160.098,166.766,160.098,166.766,0,0
NVA_MV,D,20080716,000000,168.099,168.099,168.099,168.099,0,0
NVA_MV,D,20080717,000000,173.836,173.836,173.836,173.836,0,0
NVA_MV,D,20080723,000000,173.315,181.433,169.03,181.433,0,0
NVA_MV,D,20080724,000000,171.001,181.433,171.001,174.196,0,0
NVA_MV,D,20080725,000000,180.04,180.04,180.04,180.04,0,0
NVA_MV,D,20080729,000000,179.11,182.011,179.11,182.011,0,0
NVA_MV,D,20080730,000000,182.011,195.294,182.011,195.294,0,0
NVA_MV,D,20080811,000000,188.393,202.708,188.393,202.708,0,0
NVA_MV,D,20080812,000000,182.531,219.632,182.531,219.632,0,0
NVA_MV,D,20080813,000000,224.915,224.915,224.915,224.915,0,0
NVA_MV,D,20080819,000000,202.993,225.779,185.491,219.976,0,0
NVA_MV,D,20080820,000000,208.68,222.306,208.68,222.306,0,0
NVA_MV,D,20080827,000000,202.935,202.935,202.935,202.935,0,0
NVA_MV,D,20080828,000000,202.993,219.976,202.993,219.976,0,0
NVA_MV,D,20080829,000000,199.119,219.111,199.119,219.111,0,0
NVA_MV,D,20080901,000000,206.935,206.935,206.935,206.935,0,0
NVA_MV,D,20080902,000000,219.111,219.111,219.111,219.111,0,0
NVA_MV,D,20080903,000000,214.474,219.683,214.474,219.683,0,0
NVA_MV,D,20080908,000000,219.111,219.683,199.983,219.683,0,0
NVA_MV,D,20080912,000000,213.325,220.269,213.325,220.269,0,0
NVA_MV,D,20080915,000000,211.63,220.211,211.573,220.211,0,0
NVA_MV,D,20080916,000000,198.826,218.541,198.826,218.541,0,0
NVA_MV,D,20080917,000000,211.573,211.573,211.573,211.573,0,0
NVA_MV,D,20080918,000000,214.474,214.474,214.474,214.474,0,0
NVA_MV,D,20080919,000000,216.806,216.806,214.474,216.806,0,0
NVA_MV,D,20080923,000000,208.109,208.109,208.109,208.109,0,0
NVA_MV,D,20080924,000000,202.826,208.109,185.609,202.247,0,0
NVA_MV,D,20080925,000000,196.394,196.394,196.394,196.394,0,0
NVA_MV,D,20080926,000000,186.709,208.68,180.963,208.68,0,0
NVA_MV,D,20080929,000000,198.239,218.541,198.239,218.541,0,0
NVA_MV,D,20081001,000000,211.573,218.541,202.181,216.906,0,0
NVA_MV,D,20081002,000000,208.73,216.906,202.884,202.884,0,0
NVA_MV,D,20081003,000000,213.325,213.325,213.325,213.325,0,0
NVA_MV,D,20081006,000000,191.404,191.404,191.404,191.404,0,0
NVA_MV,D,20081007,000000,202.884,202.884,201.895,201.895,0,0
NVA_MV,D,20081008,000000,185.551,201.895,185.551,185.551,0,0
NVA_MV,D,20081009,000000,186.07,195.815,186.07,195.815,0,0
NVA_MV,D,20081010,000000,181.433,191.287,176.788,183.756,0,0
NVA_MV,D,20081013,000000,183.756,183.756,183.756,183.756,0,0
NVA_MV,D,20081014,000000,191.236,191.236,172.167,180.04,0,0
NVA_MV,D,20081015,000000,173.902,173.902,172.686,172.686,0,0
NVA_MV,D,20081016,000000,171.001,172.686,171.001,172.686,0,0
NVA_MV,D,20081017,000000,165.205,185.442,165.205,185.442,0,0
NVA_MV,D,20081020,000000,171.57,172.167,171.57,172.167,0,0
NVA_MV,D,20081021,000000,171.277,171.277,171.277,171.277,0,0
NVA_MV,D,20081022,000000,173.257,176.788,162.304,176.218,0,0
NVA_MV,D,20081023,000000,193.844,193.844,173.148,173.148,0,0
NVA_MV,D,20081024,000000,173.148,173.148,156.56,156.56,0,0
NVA_MV,D,20081027,000000,141.204,173.148,141.204,168.04,0,0
NVA_MV,D,20081028,000000,171.57,173.08,171.57,173.08,0,0
NVA_MV,D,20081029,000000,173.08,173.08,157.374,173.08,0,0
NVA_MV,D,20081103,000000,156.56,172.099,156.56,172.099,0,0
NVA_MV,D,20081105,000000,179.52,179.52,172.099,179.52,0,0
NVA_MV,D,20081107,000000,163.177,179.52,161.734,162.253,0,0
NVA_MV,D,20081114,000000,156.627,156.627,144.215,144.215,0,0
NVA_MV,D,20081117,000000,133.263,144.106,133.263,144.106,0,0
NVA_MV,D,20081118,000000,129.842,148.392,129.842,148.392,0,0
NVA_MV,D,20081119,000000,133.615,147.41,133.615,147.41,0,0
NVA_MV,D,20081120,000000,133.323,136.157,133.323,136.157,0,0
NVA_MV,D,20081121,000000,140.224,144.919,123.704,144.919,0,0
NVA_MV,D,20081124,000000,144.919,144.919,132.173,132.173,0,0
NVA_MV,D,20081127,000000,139.008,139.008,139.008,139.008,0,0
NVA_MV,D,20081128,000000,150.715,150.715,150.715,150.715,0,0
NVA_MV,D,20081203,000000,135.636,135.636,133.323,133.323,0,0
NVA_MV,D,20081204,000000,131.007,134.478,131.007,134.478,0,0
