<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVG_PB,D,20070813,000000,2.30696,2.30696,2.30696,2.30696,0,0
NVG_PB,D,20070814,000000,2.27788,2.27788,2.27788,2.27788,0,0
NVG_PB,D,20070816,000000,2.05494,2.05494,2.05494,2.05494,0,0
NVG_PB,D,20070817,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20070820,000000,2.12279,2.12279,2.12279,2.12279,0,0
NVG_PB,D,20070821,000000,2.04524,2.04524,2.04524,2.04524,0,0
NVG_PB,D,20070822,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20070823,000000,2.17125,2.17125,2.17125,2.17125,0,0
NVG_PB,D,20070824,000000,2.2391,2.2391,2.2391,2.2391,0,0
NVG_PB,D,20070827,000000,2.22941,2.22941,2.22941,2.22941,0,0
NVG_PB,D,20070828,000000,2.16156,2.16156,2.16156,2.16156,0,0
NVG_PB,D,20070829,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20070830,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20070831,000000,2.12279,2.12279,2.12279,2.12279,0,0
NVG_PB,D,20070903,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20070904,000000,2.19064,2.19064,2.19064,2.19064,0,0
NVG_PB,D,20070905,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20070906,000000,2.21003,2.21003,2.21003,2.21003,0,0
NVG_PB,D,20070907,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20070910,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20070911,000000,2.17125,2.17125,2.17125,2.17125,0,0
NVG_PB,D,20070912,000000,2.05494,2.05494,2.05494,2.05494,0,0
NVG_PB,D,20070913,000000,2.1034,2.1034,2.1034,2.1034,0,0
NVG_PB,D,20070914,000000,2.08402,2.08402,2.08402,2.08402,0,0
NVG_PB,D,20070917,000000,2.08402,2.08402,2.08402,2.08402,0,0
NVG_PB,D,20070918,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20070919,000000,2.21003,2.21003,2.21003,2.21003,0,0
NVG_PB,D,20070920,000000,2.16156,2.16156,2.16156,2.16156,0,0
NVG_PB,D,20070921,000000,2.12279,2.12279,2.12279,2.12279,0,0
NVG_PB,D,20070924,000000,2.12279,2.12279,2.12279,2.12279,0,0
NVG_PB,D,20070925,000000,2.12279,2.12279,2.12279,2.12279,0,0
NVG_PB,D,20070926,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20070927,000000,2.11309,2.11309,2.11309,2.11309,0,0
NVG_PB,D,20070928,000000,2.17125,2.17125,2.17125,2.17125,0,0
NVG_PB,D,20071001,000000,2.11309,2.11309,2.11309,2.11309,0,0
NVG_PB,D,20071002,000000,2.11309,2.11309,2.11309,2.11309,0,0
NVG_PB,D,20071003,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20071004,000000,2.1034,2.1034,2.1034,2.1034,0,0
NVG_PB,D,20071005,000000,2.1034,2.1034,2.1034,2.1034,0,0
NVG_PB,D,20071008,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20071009,000000,2.17125,2.17125,2.17125,2.17125,0,0
NVG_PB,D,20071010,000000,2.21003,2.21003,2.21003,2.21003,0,0
NVG_PB,D,20071011,000000,2.19064,2.19064,2.19064,2.19064,0,0
NVG_PB,D,20071012,000000,2.18095,2.18095,2.18095,2.18095,0,0
NVG_PB,D,20071015,000000,2.16156,2.16156,2.16156,2.16156,0,0
NVG_PB,D,20071016,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20071017,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20071018,000000,2.14217,2.14217,2.14217,2.14217,0,0
NVG_PB,D,20071019,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20071022,000000,2.12279,2.12279,2.12279,2.12279,0,0
NVG_PB,D,20071023,000000,2.09371,2.09371,2.09371,2.09371,0,0
NVG_PB,D,20071024,000000,2.15187,2.15187,2.15187,2.15187,0,0
NVG_PB,D,20071025,000000,2.09371,2.09371,2.09371,2.09371,0,0
NVG_PB,D,20071026,000000,2.16156,2.16156,2.16156,2.16156,0,0
NVG_PB,D,20071029,000000,2.09371,2.09371,2.09371,2.09371,0,0
NVG_PB,D,20071030,000000,2.36512,2.36512,2.36512,2.36512,0,0
NVG_PB,D,20071031,000000,2.21972,2.21972,2.21972,2.21972,0,0
NVG_PB,D,20071102,000000,2.2488,2.2488,2.2488,2.2488,0,0
NVG_PB,D,20071105,000000,2.2391,2.2391,2.2391,2.2391,0,0
NVG_PB,D,20071106,000000,2.17125,2.17125,2.17125,2.17125,0,0
NVG_PB,D,20071107,000000,2.21003,2.21003,2.21003,2.21003,0,0
NVG_PB,D,20071108,000000,2.20033,2.20033,2.20033,2.20033,0,0
NVG_PB,D,20071109,000000,2.17125,2.21003,2.17125,2.20033,0,0
NVG_PB,D,20071112,000000,2.16156,2.20033,2.11309,2.11309,0,0
NVG_PB,D,20071113,000000,2.11309,2.15187,2.08402,2.15187,0,0
NVG_PB,D,20071114,000000,2.2391,2.2391,2.14217,2.2391,0,0
NVG_PB,D,20071115,000000,2.2391,2.2391,2.15187,2.15187,0,0
NVG_PB,D,20071116,000000,2.2488,2.45235,2.15187,2.45235,0,0
NVG_PB,D,20071119,000000,2.30696,2.45235,2.30696,2.34573,0,0
NVG_PB,D,20071120,000000,2.29726,2.35542,2.15187,2.25849,0,0
NVG_PB,D,20071121,000000,2.2391,2.2391,2.15187,2.20033,0,0
NVG_PB,D,20071122,000000,2.20033,2.26818,2.07432,2.25849,0,0
NVG_PB,D,20071123,000000,2.26818,2.41358,2.2391,2.35542,0,0
NVG_PB,D,20071126,000000,2.29726,2.37481,2.2488,2.32634,0,0
NVG_PB,D,20071127,000000,2.2391,2.35542,2.2391,2.35542,0,0
NVG_PB,D,20071128,000000,2.30696,2.41358,2.29726,2.40389,0,0
NVG_PB,D,20071129,000000,2.41358,2.43297,2.30696,2.30696,0,0
NVG_PB,D,20071130,000000,2.26818,2.59775,2.26818,2.5299,0,0
NVG_PB,D,20071203,000000,2.5299,2.56867,2.47174,2.5299,0,0
NVG_PB,D,20071204,000000,2.58806,2.62683,2.50082,2.53959,0,0
NVG_PB,D,20071205,000000,2.53959,2.54928,2.50082,2.5202,0,0
NVG_PB,D,20071206,000000,2.5202,2.5202,2.48143,2.48143,0,0
NVG_PB,D,20071207,000000,2.54928,2.56867,2.48143,2.56867,0,0
NVG_PB,D,20071210,000000,2.57836,2.89824,2.57836,2.82069,0,0
NVG_PB,D,20071211,000000,2.84977,3.13087,2.84977,2.96609,0,0
NVG_PB,D,20071212,000000,2.9467,3.12118,2.89824,3.12118,0,0
NVG_PB,D,20071213,000000,3.15026,3.15026,2.99517,3.12118,0,0
NVG_PB,D,20071214,000000,3.06302,3.27627,2.9467,2.99517,0,0
NVG_PB,D,20071217,000000,2.9467,3.41197,2.92731,3.15995,0,0
NVG_PB,D,20071218,000000,3.23749,3.27627,3.11148,3.24719,0,0
NVG_PB,D,20071219,000000,3.28596,3.28596,2.97578,2.99517,0,0
NVG_PB,D,20071220,000000,2.96609,3.06302,2.87885,3.06302,0,0
NVG_PB,D,20071221,000000,2.96609,3.01455,2.70437,2.79161,0,0
NVG_PB,D,20071227,000000,2.76253,2.86916,2.76253,2.82069,0,0
NVG_PB,D,20071228,000000,2.82069,2.82069,2.6656,2.6656,0,0
NVG_PB,D,20080102,000000,2.63652,2.82069,2.63652,2.73345,0,0
NVG_PB,D,20080103,000000,2.64621,2.84977,2.64621,2.78192,0,0
NVG_PB,D,20080104,000000,2.811,2.85946,2.68499,2.68499,0,0
NVG_PB,D,20080107,000000,2.70437,2.71407,2.64621,2.65591,0,0
NVG_PB,D,20080108,000000,2.63652,2.74315,2.62683,2.70437,0,0
NVG_PB,D,20080109,000000,2.59775,2.70437,2.57836,2.65591,0,0
NVG_PB,D,20080110,000000,2.64621,2.64621,2.49113,2.57836,0,0
NVG_PB,D,20080111,000000,2.5299,2.61714,2.5299,2.61714,0,0
NVG_PB,D,20080114,000000,2.53959,2.53959,2.53959,2.53959,0,0
NVG_PB,D,20080115,000000,2.58806,2.62683,2.53959,2.58806,0,0
NVG_PB,D,20080116,000000,2.56867,2.56867,2.35542,2.5202,0,0
NVG_PB,D,20080117,000000,2.47174,2.54928,2.47174,2.54928,0,0
NVG_PB,D,20080118,000000,2.56867,2.70437,2.49113,2.70437,0,0
NVG_PB,D,20080121,000000,2.62683,2.62683,2.5202,2.57836,0,0
NVG_PB,D,20080122,000000,2.46205,2.57836,2.46205,2.57836,0,0
NVG_PB,D,20080123,000000,2.58806,2.63652,2.50082,2.57836,0,0
NVG_PB,D,20080124,000000,2.53959,2.63652,2.5202,2.63652,0,0
NVG_PB,D,20080125,000000,2.5299,2.64621,2.5202,2.56867,0,0
NVG_PB,D,20080128,000000,2.50082,2.56867,2.46205,2.56867,0,0
NVG_PB,D,20080129,000000,2.57836,2.69468,2.53959,2.69468,0,0
NVG_PB,D,20080130,000000,2.59775,2.68499,2.5202,2.63652,0,0
NVG_PB,D,20080131,000000,2.58806,2.95639,2.56867,2.71407,0,0
NVG_PB,D,20080201,000000,2.73345,2.73345,2.62683,2.63652,0,0
NVG_PB,D,20080204,000000,2.71407,2.71407,2.58806,2.58806,0,0
NVG_PB,D,20080205,000000,2.61714,2.64621,2.49113,2.49113,0,0
NVG_PB,D,20080206,000000,2.47174,2.57836,2.46205,2.56867,0,0
NVG_PB,D,20080207,000000,2.47174,2.56867,2.43297,2.46205,0,0
NVG_PB,D,20080208,000000,2.5299,2.73345,2.48143,2.6656,0,0
NVG_PB,D,20080211,000000,2.75284,3.12118,2.71407,3.03394,0,0
NVG_PB,D,20080212,000000,3.03394,3.13087,2.91762,2.91762,0,0
NVG_PB,D,20080213,000000,2.96609,3.00486,2.91762,2.91762,0,0
NVG_PB,D,20080214,000000,2.91762,2.91762,2.76253,2.77223,0,0
NVG_PB,D,20080215,000000,2.77223,2.79161,2.63652,2.70437,0,0
NVG_PB,D,20080218,000000,2.77223,2.96609,2.6656,2.88854,0,0
NVG_PB,D,20080219,000000,2.85946,2.85946,2.72376,2.79161,0,0
NVG_PB,D,20080220,000000,2.73345,2.79161,2.73345,2.75284,0,0
NVG_PB,D,20080221,000000,2.77223,2.91762,2.75284,2.75284,0,0
NVG_PB,D,20080222,000000,2.77223,2.95639,2.75284,2.95639,0,0
NVG_PB,D,20080225,000000,2.89824,3.15026,2.89824,3.0921,0,0
NVG_PB,D,20080226,000000,3.11148,3.20841,3.00486,3.00486,0,0
NVG_PB,D,20080227,000000,3.0921,3.28596,2.98547,3.21811,0,0
NVG_PB,D,20080228,000000,3.26657,3.5089,3.15026,3.47013,0,0
NVG_PB,D,20080229,000000,3.41197,3.67368,3.41197,3.6543,0,0
NVG_PB,D,20080303,000000,3.49921,3.84816,3.49921,3.75123,0,0
NVG_PB,D,20080304,000000,3.70276,3.87724,3.67368,3.80939,0,0
NVG_PB,D,20080305,000000,3.71246,3.79969,3.51859,3.51859,0,0
NVG_PB,D,20080306,000000,3.51859,3.51859,3.13087,3.13087,0,0
NVG_PB,D,20080307,000000,2.98547,3.21811,2.98547,3.20841,0,0
NVG_PB,D,20080310,000000,3.02425,3.13087,2.99517,3.10179,0,0
NVG_PB,D,20080311,000000,3.12118,3.12118,2.92731,3.06302,0,0
NVG_PB,D,20080312,000000,3.13087,3.26657,2.9467,3.24719,0,0
NVG_PB,D,20080313,000000,3.15995,3.26657,3.04363,3.04363,0,0
NVG_PB,D,20080314,000000,3.10179,3.15026,2.85946,2.85946,0,0
NVG_PB,D,20080317,000000,2.84008,2.96609,2.76253,2.77223,0,0
NVG_PB,D,20080318,000000,2.77223,2.83038,2.6656,2.83038,0,0
NVG_PB,D,20080319,000000,2.78192,2.96609,2.76253,2.9467,0,0
NVG_PB,D,20080320,000000,2.9467,2.9467,2.76253,2.79161,0,0
NVG_PB,D,20080325,000000,2.89824,2.89824,2.87885,2.89824,0,0
NVG_PB,D,20080326,000000,2.82069,2.87885,2.77223,2.77223,0,0
NVG_PB,D,20080327,000000,2.85946,2.85946,2.77223,2.85946,0,0
NVG_PB,D,20080328,000000,2.84008,2.84008,2.77223,2.84008,0,0
NVG_PB,D,20080331,000000,2.85946,2.85946,2.85946,2.85946,0,0
NVG_PB,D,20080401,000000,2.87885,2.88854,2.79161,2.88854,0,0
NVG_PB,D,20080402,000000,2.88854,2.88854,2.82069,2.82069,0,0
NVG_PB,D,20080403,000000,2.75284,2.87885,2.75284,2.76253,0,0
NVG_PB,D,20080404,000000,2.72376,2.79161,2.72376,2.78192,0,0
NVG_PB,D,20080407,000000,2.75284,2.84008,2.72376,2.78192,0,0
NVG_PB,D,20080408,000000,2.79161,2.79161,2.72376,2.73345,0,0
NVG_PB,D,20080409,000000,2.67529,2.76253,2.67529,2.76253,0,0
NVG_PB,D,20080410,000000,2.63652,2.76253,2.63652,2.63652,0,0
NVG_PB,D,20080411,000000,2.64621,2.78192,2.64621,2.65591,0,0
NVG_PB,D,20080414,000000,2.59775,2.67529,2.5202,2.5202,0,0
NVG_PB,D,20080415,000000,2.91762,3.47982,2.91762,3.47982,0,0
NVG_PB,D,20080416,000000,3.47982,3.47982,2.98547,2.98547,0,0
NVG_PB,D,20080417,000000,3.01455,3.01455,2.75284,2.76253,0,0
NVG_PB,D,20080418,000000,2.76253,3.11148,2.76253,2.98547,0,0
NVG_PB,D,20080421,000000,2.9467,2.95639,2.87885,2.95639,0,0
NVG_PB,D,20080422,000000,2.99517,3.24719,2.92731,2.92731,0,0
NVG_PB,D,20080423,000000,2.96609,3.02425,2.79161,2.84008,0,0
NVG_PB,D,20080424,000000,2.96609,2.96609,2.78192,2.86916,0,0
NVG_PB,D,20080425,000000,2.87885,2.89824,2.73345,2.82069,0,0
NVG_PB,D,20080428,000000,2.811,3.02425,2.79161,2.85946,0,0
NVG_PB,D,20080429,000000,2.79161,2.83038,2.64621,2.67529,0,0
NVG_PB,D,20080430,000000,2.69468,2.69468,2.58806,2.69468,0,0
NVG_PB,D,20080505,000000,2.65591,2.78192,2.63652,2.67529,0,0
NVG_PB,D,20080506,000000,2.6656,2.6656,2.57836,2.6656,0,0
NVG_PB,D,20080507,000000,2.70437,2.71407,2.59775,2.70437,0,0
NVG_PB,D,20080508,000000,2.67529,2.78192,2.63652,2.75284,0,0
NVG_PB,D,20080509,000000,2.73345,2.811,2.72376,2.811,0,0
NVG_PB,D,20080512,000000,2.82069,2.82069,2.73345,2.82069,0,0
NVG_PB,D,20080513,000000,2.78192,2.811,2.75284,2.811,0,0
NVG_PB,D,20080514,000000,2.811,2.93701,2.76253,2.89824,0,0
NVG_PB,D,20080515,000000,2.9467,2.9467,2.82069,2.88854,0,0
NVG_PB,D,20080516,000000,2.82069,2.90793,2.79161,2.90793,0,0
NVG_PB,D,20080519,000000,2.84008,2.88854,2.82069,2.88854,0,0
NVG_PB,D,20080520,000000,2.87885,2.9467,2.76253,2.76253,0,0
NVG_PB,D,20080521,000000,2.84008,2.84008,2.76253,2.83038,0,0
NVG_PB,D,20080523,000000,2.88854,2.97578,2.83038,2.90793,0,0
NVG_PB,D,20080526,000000,2.91762,2.91762,2.85946,2.90793,0,0
NVG_PB,D,20080527,000000,2.86916,2.86916,2.78192,2.78192,0,0
NVG_PB,D,20080528,000000,2.76253,2.78192,2.61714,2.61714,0,0
NVG_PB,D,20080529,000000,2.67529,2.67529,2.60744,2.60744,0,0
NVG_PB,D,20080530,000000,2.6656,2.76253,2.60744,2.6656,0,0
NVG_PB,D,20080602,000000,2.6656,2.71407,2.59775,2.61714,0,0
NVG_PB,D,20080603,000000,2.59775,2.71407,2.59775,2.65591,0,0
NVG_PB,D,20080604,000000,2.67529,2.70437,2.53959,2.53959,0,0
NVG_PB,D,20080605,000000,2.54928,2.59775,2.37481,2.3845,0,0
NVG_PB,D,20080606,000000,2.47174,2.53959,2.3845,2.39419,0,0
NVG_PB,D,20080609,000000,2.43297,2.43297,2.33604,2.34573,0,0
NVG_PB,D,20080610,000000,2.2488,2.34573,2.17125,2.19064,0,0
NVG_PB,D,20080611,000000,2.13248,2.13248,2.06463,2.11309,0,0
NVG_PB,D,20080612,000000,2.07432,2.17125,2.07432,2.12279,0,0
NVG_PB,D,20080613,000000,2.16156,2.16156,2.03555,2.09371,0,0
NVG_PB,D,20080616,000000,2.17125,2.17125,1.76414,1.77384,0,0
