<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT_PE,D,20080211,000000,6.76794,6.76794,6.76794,6.76794,0,0
NVT_PE,D,20080212,000000,7.08413,7.08413,6.7367,6.92664,0,0
NVT_PE,D,20080213,000000,6.92664,7.17832,6.7367,7.17832,0,0
NVT_PE,D,20080214,000000,7.27394,7.4004,7.08413,7.21069,0,0
NVT_PE,D,20080215,000000,7.33717,7.33717,7.1156,7.1156,0,0
NVT_PE,D,20080218,000000,7.1156,7.4004,7.08413,7.27394,0,0
NVT_PE,D,20080219,000000,7.4004,7.4004,6.83073,7.14783,0,0
NVT_PE,D,20080220,000000,7.1156,7.1156,7.0526,7.08413,0,0
NVT_PE,D,20080221,000000,7.08413,7.08413,6.80002,7.08413,0,0
NVT_PE,D,20080222,000000,6.80002,6.95744,6.7367,6.7367,0,0
NVT_PE,D,20080225,000000,6.95744,6.95744,6.57852,6.7367,0,0
NVT_PE,D,20080226,000000,6.86371,6.95744,6.54668,6.54668,0,0
NVT_PE,D,20080227,000000,6.95744,6.95744,6.54668,6.57852,0,0
NVT_PE,D,20080228,000000,6.54668,6.86371,6.35666,6.57852,0,0
NVT_PE,D,20080229,000000,6.67286,6.67286,6.38814,6.60909,0,0
NVT_PE,D,20080303,000000,6.32453,6.83073,6.26212,6.83073,0,0
NVT_PE,D,20080304,000000,6.92664,6.98966,6.67286,6.92664,0,0
NVT_PE,D,20080305,000000,6.95744,7.0526,6.95744,6.95744,0,0
NVT_PE,D,20080306,000000,7.14783,7.14783,6.7367,6.95744,0,0
NVT_PE,D,20080307,000000,6.95744,7.30555,6.92664,7.30555,0,0
NVT_PE,D,20080310,000000,7.30555,8.25413,7.30555,8.22252,0,0
NVT_PE,D,20080311,000000,8.16003,8.3181,7.97029,8.25413,0,0
NVT_PE,D,20080312,000000,8.38139,8.38139,8.0644,8.22252,0,0
NVT_PE,D,20080313,000000,8.19238,8.25413,7.97029,8.22252,0,0
NVT_PE,D,20080314,000000,8.22252,8.50783,8.00117,8.28575,0,0
NVT_PE,D,20080317,000000,8.22252,8.25413,7.93793,8.25413,0,0
