<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG_MV,D,20131205,000000,723.105,723.105,723.105,723.105,0,0
NWG_MV,D,20131206,000000,723.105,723.105,694.112,712.196,0,0
NWG_MV,D,20131209,000000,716.86,716.86,708.138,710.633,0,0
NWG_MV,D,20131210,000000,708.771,708.771,693.785,695.368,0,0
NWG_MV,D,20131211,000000,692.557,695.051,672.61,685.697,0,0
NWG_MV,D,20131212,000000,679.47,682.588,666.988,671.987,0,0
NWG_MV,D,20131213,000000,670.106,684.756,670.106,673.847,0,0
NWG_MV,D,20131216,000000,685.073,685.073,679.47,682.588,0,0
NWG_MV,D,20131217,000000,682.588,682.588,661.077,670.106,0,0
NWG_MV,D,20131218,000000,663.879,682.588,663.879,673.234,0,0
NWG_MV,D,20131219,000000,682.588,682.588,658.583,659.514,0,0
NWG_MV,D,20131220,000000,661.077,663.879,655.773,661.077,0,0
NWG_MV,D,20131223,000000,665.136,682.588,661.077,676.351,0,0
NWG_MV,D,20131227,000000,676.351,681.974,671.046,681.974,0,0
NWG_MV,D,20131230,000000,679.777,683.51,676.035,678.529,0,0
NWG_MV,D,20140102,000000,682.588,685.073,679.47,679.47,0,0
NWG_MV,D,20140103,000000,679.47,682.588,673.847,680.4,0,0
NWG_MV,D,20140107,000000,682.588,682.588,671.661,676.351,0,0
NWG_MV,D,20140108,000000,678.856,678.856,662.316,666.988,0,0
NWG_MV,D,20140109,000000,663.256,663.879,639.251,640.498,0,0
NWG_MV,D,20140110,000000,640.498,663.879,637.39,640.498,0,0
NWG_MV,D,20140113,000000,670.106,673.234,660.762,673.234,0,0
NWG_MV,D,20140114,000000,672.61,672.61,663.879,666.066,0,0
NWG_MV,D,20140115,000000,670.106,670.106,665.136,665.136,0,0
NWG_MV,D,20140116,000000,665.136,670.106,660.762,664.196,0,0
NWG_MV,D,20140117,000000,665.434,670.106,661.077,667.305,0,0
NWG_MV,D,20140120,000000,676.351,684.143,668.878,678.529,0,0
NWG_MV,D,20140121,000000,682.588,685.697,674.78,676.351,0,0
NWG_MV,D,20140122,000000,676.351,679.154,673.847,675.105,0,0
NWG_MV,D,20140123,000000,673.234,676.351,671.046,675.738,0,0
NWG_MV,D,20140124,000000,674.78,674.78,666.988,667.62,0,0
NWG_MV,D,20140127,000000,665.434,668.553,665.434,667.62,0,0
NWG_MV,D,20140128,000000,666.988,672.293,665.434,670.106,0,0
NWG_MV,D,20140129,000000,672.293,684.143,670.423,670.739,0,0
NWG_MV,D,20140130,000000,670.106,673.234,666.066,673.234,0,0
NWG_MV,D,20140131,000000,673.234,674.78,660.762,673.234,0,0
NWG_MV,D,20140203,000000,673.234,673.234,657.959,667.62,0,0
NWG_MV,D,20140204,000000,660.762,667.62,658.277,666.988,0,0
NWG_MV,D,20140205,000000,665.434,673.234,664.196,670.739,0,0
NWG_MV,D,20140206,000000,664.504,671.046,664.504,667.62,0,0
NWG_MV,D,20140207,000000,670.106,670.106,661.077,666.374,0,0
NWG_MV,D,20140210,000000,661.375,665.434,648.298,660.454,0,0
NWG_MV,D,20140211,000000,654.525,660.454,652.97,658.583,0,0
NWG_MV,D,20140212,000000,655.773,658.583,652.05,656.089,0,0
NWG_MV,D,20140213,000000,654.525,659.207,654.525,654.842,0,0
NWG_MV,D,20140214,000000,656.089,662.641,653.278,662.641,0,0
NWG_MV,D,20140217,000000,658.583,666.374,657.652,661.701,0,0
NWG_MV,D,20140218,000000,666.066,666.374,657.652,663.256,0,0
NWG_MV,D,20140219,000000,660.762,682.588,660.762,670.423,0,0
NWG_MV,D,20140220,000000,666.681,670.106,654.842,662.008,0,0
NWG_MV,D,20140221,000000,663.879,663.879,652.664,661.375,0,0
NWG_MV,D,20140224,000000,662.316,665.136,657.652,661.077,0,0
NWG_MV,D,20140225,000000,661.077,662.316,648.298,648.298,0,0
NWG_MV,D,20140226,000000,648.298,648.298,620.244,620.244,0,0
NWG_MV,D,20140227,000000,620.244,628.975,617.117,620.244,0,0
NWG_MV,D,20140228,000000,617.117,620.244,599.674,607.148,0,0
NWG_MV,D,20140303,000000,598.119,598.119,576.61,580.035,0,0
NWG_MV,D,20140304,000000,577.233,596.547,577.233,592.19,0,0
NWG_MV,D,20140305,000000,592.19,593.755,589.081,591.576,0,0
NWG_MV,D,20140306,000000,591.884,593.755,583.143,583.143,0,0
NWG_MV,D,20140307,000000,583.46,588.756,582.845,583.143,0,0
NWG_MV,D,20140310,000000,582.52,584.399,568.511,569.749,0,0
NWG_MV,D,20140311,000000,569.126,579.105,569.126,579.105,0,0
NWG_MV,D,20140312,000000,579.718,582.52,568.511,570.689,0,0
NWG_MV,D,20140313,000000,570.057,576.61,570.057,573.482,0,0
NWG_MV,D,20140314,000000,570.057,570.057,548.565,563.206,0,0
NWG_MV,D,20140317,000000,564.453,568.195,556.356,567.255,0,0
NWG_MV,D,20140318,000000,567.255,567.571,557.919,564.147,0,0
NWG_MV,D,20140319,000000,561.018,568.195,561.018,564.147,0,0
NWG_MV,D,20140320,000000,559.464,566.622,559.464,566.622,0,0
NWG_MV,D,20140321,000000,565.7,572.56,565.7,572.56,0,0
NWG_MV,D,20140324,000000,573.482,601.228,573.482,601.228,0,0
NWG_MV,D,20140325,000000,601.228,630.213,601.228,629.589,0,0
NWG_MV,D,20140326,000000,627.105,632.103,623.976,631.154,0,0
NWG_MV,D,20140327,000000,623.344,630.846,623.046,623.344,0,0
NWG_MV,D,20140328,000000,623.344,630.846,623.344,629.589,0,0
NWG_MV,D,20140331,000000,629.906,634.886,607.772,607.772,0,0
NWG_MV,D,20140401,000000,618.374,627.105,618.374,620.244,0,0
NWG_MV,D,20140402,000000,624.917,626.48,614.017,626.48,0,0
NWG_MV,D,20140403,000000,615.265,639.567,615.265,638.952,0,0
NWG_MV,D,20140404,000000,638.952,638.952,635.835,638.952,0,0
NWG_MV,D,20140407,000000,638.004,638.004,633.014,635.835,0,0
NWG_MV,D,20140408,000000,635.835,640.498,635.835,637.39,0,0
NWG_MV,D,20140409,000000,635.835,637.073,635.835,635.835,0,0
NWG_MV,D,20140410,000000,635.835,637.39,635.835,635.835,0,0
NWG_MV,D,20140411,000000,632.4,636.449,630.539,635.835,0,0
NWG_MV,D,20140414,000000,635.518,635.518,615.879,631.154,0,0
NWG_MV,D,20140415,000000,632.717,632.717,623.344,625.54,0,0
NWG_MV,D,20140416,000000,623.344,623.344,620.56,623.344,0,0
NWG_MV,D,20140417,000000,623.344,623.344,618.057,623.046,0,0
NWG_MV,D,20140422,000000,621.798,623.344,619.62,619.62,0,0
NWG_MV,D,20140423,000000,619.938,620.56,619.938,620.244,0,0
NWG_MV,D,20140424,000000,620.244,620.244,614.325,619.314,0,0
NWG_MV,D,20140425,000000,608.405,619.314,608.405,619.314,0,0
NWG_MV,D,20140428,000000,608.721,617.117,607.772,612.454,0,0
NWG_MV,D,20140429,000000,607.772,616.503,605.594,607.772,0,0
NWG_MV,D,20140430,000000,601.852,607.772,598.119,607.475,0,0
NWG_MV,D,20140502,000000,607.772,607.772,604.654,604.654,0,0
NWG_MV,D,20140505,000000,604.654,604.654,589.081,596.547,0,0
NWG_MV,D,20140506,000000,595.327,596.547,585.954,586.885,0,0
NWG_MV,D,20140507,000000,585.954,586.885,569.126,576.61,0,0
NWG_MV,D,20140508,000000,576.61,585.954,576.61,579.718,0,0
NWG_MV,D,20140509,000000,579.718,579.718,575.363,577.857,0,0
NWG_MV,D,20140512,000000,576.61,576.61,567.255,570.374,0,0
NWG_MV,D,20140513,000000,570.374,579.105,558.217,573.818,0,0
NWG_MV,D,20140514,000000,569.126,573.482,567.255,571.314,0,0
NWG_MV,D,20140515,000000,573.482,576.61,573.482,573.482,0,0
NWG_MV,D,20140516,000000,574.431,576.61,563.206,565.7,0,0
NWG_MV,D,20140519,000000,575.055,575.363,561.018,570.997,0,0
NWG_MV,D,20140520,000000,575.363,607.772,573.482,607.475,0,0
NWG_MV,D,20140521,000000,607.475,638.33,596.547,638.33,0,0
NWG_MV,D,20140522,000000,638.33,648.298,628.659,629.283,0,0
NWG_MV,D,20140523,000000,647.982,647.982,620.56,634.271,0,0
NWG_MV,D,20140526,000000,635.835,635.835,627.718,628.659,0,0
NWG_MV,D,20140527,000000,627.718,628.659,625.242,628.035,0,0
NWG_MV,D,20140528,000000,623.344,623.344,609.336,621.798,0,0
NWG_MV,D,20140529,000000,614.017,618.374,608.079,614.948,0,0
NWG_MV,D,20140530,000000,608.079,626.48,608.079,623.344,0,0
NWG_MV,D,20140602,000000,615.571,623.344,615.571,620.244,0,0
NWG_MV,D,20140603,000000,619.006,620.244,609.336,619.62,0,0
NWG_MV,D,20140604,000000,619.938,619.938,609.336,609.336,0,0
NWG_MV,D,20140605,000000,609.336,623.344,609.336,623.344,0,0
NWG_MV,D,20140606,000000,626.48,626.48,619.314,623.344,0,0
NWG_MV,D,20140609,000000,610.89,624.917,610.89,623.344,0,0
NWG_MV,D,20140610,000000,640.498,640.498,640.498,640.498,0,0
