<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG_PB,D,20131205,000000,2.30638,2.30638,2.30638,2.30638,0,0
NWG_PB,D,20131206,000000,2.30638,2.30638,2.21647,2.27185,0,0
NWG_PB,D,20131209,000000,2.28553,2.28553,2.25808,2.26487,0,0
NWG_PB,D,20131210,000000,2.26487,2.26487,2.21647,2.21647,0,0
NWG_PB,D,20131211,000000,2.20948,2.21647,2.14703,2.18864,0,0
NWG_PB,D,20131212,000000,2.16798,2.17486,2.12637,2.14703,0,0
NWG_PB,D,20131213,000000,2.14015,2.18184,2.14015,2.14703,0,0
NWG_PB,D,20131216,000000,2.18864,2.18864,2.16798,2.17486,0,0
NWG_PB,D,20131217,000000,2.17486,2.17486,2.1125,2.14015,0,0
NWG_PB,D,20131218,000000,2.11957,2.17486,2.11957,2.14703,0,0
NWG_PB,D,20131219,000000,2.17486,2.17486,2.09863,2.10561,0,0
NWG_PB,D,20131220,000000,2.1125,2.11957,2.09175,2.1125,0,0
NWG_PB,D,20131223,000000,2.11957,2.17486,2.1125,2.16099,0,0
NWG_PB,D,20131227,000000,2.16099,2.17486,2.14015,2.17486,0,0
NWG_PB,D,20131230,000000,2.16798,2.18184,2.1541,2.16798,0,0
NWG_PB,D,20140102,000000,2.17486,2.18864,2.16798,2.16798,0,0
NWG_PB,D,20140103,000000,2.16798,2.17486,2.14703,2.16798,0,0
NWG_PB,D,20140107,000000,2.17486,2.17486,2.14015,2.16099,0,0
NWG_PB,D,20140108,000000,2.16798,2.16798,2.1125,2.12637,0,0
NWG_PB,D,20140109,000000,2.11957,2.11957,2.03637,2.04326,0,0
NWG_PB,D,20140110,000000,2.04326,2.11957,2.03637,2.04326,0,0
NWG_PB,D,20140113,000000,2.14015,2.14703,2.10561,2.14703,0,0
NWG_PB,D,20140114,000000,2.14703,2.14703,2.11957,2.12637,0,0
NWG_PB,D,20140115,000000,2.14015,2.14015,2.11957,2.11957,0,0
NWG_PB,D,20140116,000000,2.11957,2.14015,2.10561,2.11957,0,0
NWG_PB,D,20140117,000000,2.12637,2.14015,2.1125,2.12637,0,0
NWG_PB,D,20140120,000000,2.16099,2.18184,2.13326,2.16798,0,0
NWG_PB,D,20140121,000000,2.17486,2.18864,2.1541,2.16099,0,0
NWG_PB,D,20140122,000000,2.16099,2.16798,2.14703,2.1541,0,0
NWG_PB,D,20140123,000000,2.14703,2.16099,2.14015,2.1541,0,0
NWG_PB,D,20140124,000000,2.1541,2.1541,2.12637,2.13326,0,0
NWG_PB,D,20140127,000000,2.12637,2.13326,2.12637,2.13326,0,0
NWG_PB,D,20140128,000000,2.12637,2.14703,2.12637,2.14015,0,0
NWG_PB,D,20140129,000000,2.14703,2.18184,2.14015,2.14015,0,0
NWG_PB,D,20140130,000000,2.14015,2.14703,2.12637,2.14703,0,0
NWG_PB,D,20140131,000000,2.14703,2.1541,2.10561,2.14703,0,0
NWG_PB,D,20140203,000000,2.14703,2.14703,2.09863,2.13326,0,0
NWG_PB,D,20140204,000000,2.10561,2.13326,2.09863,2.12637,0,0
NWG_PB,D,20140205,000000,2.12637,2.14703,2.11957,2.14015,0,0
