<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBL_PE,D,20071122,000000,7.8024,7.8024,7.8024,7.8024,0,0
OBL_PE,D,20071123,000000,7.8024,7.8024,7.40427,7.72277,0,0
OBL_PE,D,20071126,000000,7.96165,7.96165,7.8024,7.8024,0,0
OBL_PE,D,20071127,000000,7.8024,7.8024,7.32475,7.48399,0,0
OBL_PE,D,20071128,000000,7.48399,7.88203,7.48399,7.8024,0,0
OBL_PE,D,20071129,000000,7.8024,7.96165,7.8024,7.96165,0,0
OBL_PE,D,20071130,000000,7.96165,7.96165,7.8024,7.8024,0,0
OBL_PE,D,20071203,000000,7.8024,7.96165,7.8024,7.96165,0,0
OBL_PE,D,20071204,000000,7.8024,7.96165,7.8024,7.88203,0,0
OBL_PE,D,20071205,000000,7.88203,7.88203,6.44896,6.44896,0,0
OBL_PE,D,20071206,000000,6.44896,6.60812,6.44896,6.60812,0,0
OBL_PE,D,20071207,000000,6.60812,6.76728,6.60812,6.76728,0,0
OBL_PE,D,20071210,000000,6.76728,7.00615,6.76728,7.00615,0,0
OBL_PE,D,20071211,000000,7.00615,7.00615,6.76728,6.847,0,0
OBL_PE,D,20071212,000000,6.92662,6.92662,6.92662,6.92662,0,0
OBL_PE,D,20071213,000000,6.847,6.92662,6.52859,6.847,0,0
OBL_PE,D,20071214,000000,6.76728,6.76728,6.52859,6.60812,0,0
OBL_PE,D,20071217,000000,6.60812,6.92662,6.60812,6.847,0,0
OBL_PE,D,20071218,000000,6.92662,6.92662,6.60812,6.847,0,0
OBL_PE,D,20071219,000000,6.92662,6.92662,6.68784,6.847,0,0
OBL_PE,D,20071220,000000,6.68784,6.847,6.60812,6.76728,0,0
OBL_PE,D,20071221,000000,6.76728,6.76728,6.52859,6.60812,0,0
OBL_PE,D,20071227,000000,6.60812,6.76728,6.21009,6.76728,0,0
OBL_PE,D,20071228,000000,6.76728,6.76728,6.68784,6.68784,0,0
OBL_PE,D,20080102,000000,6.68784,6.847,6.68784,6.68784,0,0
OBL_PE,D,20080103,000000,6.52859,6.76728,6.52859,6.60812,0,0
OBL_PE,D,20080104,000000,6.60812,6.68784,6.44896,6.60812,0,0
OBL_PE,D,20080107,000000,6.60812,6.60812,6.21009,6.28972,0,0
OBL_PE,D,20080108,000000,6.44896,6.44896,6.21009,6.28972,0,0
OBL_PE,D,20080109,000000,6.21009,6.28972,6.21009,6.28972,0,0
OBL_PE,D,20080110,000000,6.28972,6.28972,6.21009,6.21009,0,0
OBL_PE,D,20080111,000000,6.21009,6.21009,5.89159,6.13037,0,0
OBL_PE,D,20080114,000000,6.21009,6.21009,6.21009,6.21009,0,0
OBL_PE,D,20080115,000000,6.21009,6.21009,6.13037,6.21009,0,0
OBL_PE,D,20080116,000000,5.73234,6.13037,5.73234,5.97112,0,0
OBL_PE,D,20080117,000000,5.97112,6.13037,5.97112,6.05084,0,0
OBL_PE,D,20080118,000000,6.05084,6.05084,5.89159,5.89159,0,0
OBL_PE,D,20080121,000000,5.89159,5.97112,5.89159,5.97112,0,0
OBL_PE,D,20080122,000000,5.97112,5.97112,5.89159,5.97112,0,0
OBL_PE,D,20080123,000000,5.97112,6.05084,5.97112,6.05084,0,0
OBL_PE,D,20080124,000000,6.05084,6.05084,6.05084,6.05084,0,0
OBL_PE,D,20080125,000000,6.05084,6.05084,5.97112,6.05084,0,0
OBL_PE,D,20080128,000000,6.05084,6.05084,5.97112,5.97112,0,0
OBL_PE,D,20080129,000000,5.97112,6.05084,5.97112,6.05084,0,0
OBL_PE,D,20080130,000000,6.05084,6.05084,5.97112,6.05084,0,0
OBL_PE,D,20080131,000000,6.05084,6.28972,6.05084,6.28972,0,0
OBL_PE,D,20080201,000000,6.28972,6.28972,6.05084,6.21009,0,0
OBL_PE,D,20080204,000000,6.28972,6.28972,6.13037,6.13037,0,0
OBL_PE,D,20080205,000000,6.21009,6.21009,5.97112,6.13037,0,0
OBL_PE,D,20080206,000000,6.05084,6.13037,6.05084,6.13037,0,0
OBL_PE,D,20080207,000000,5.97112,6.13037,5.97112,6.13037,0,0
OBL_PE,D,20080208,000000,6.21009,6.21009,6.05084,6.13037,0,0
OBL_PE,D,20080211,000000,6.13037,6.21009,6.13037,6.21009,0,0
OBL_PE,D,20080212,000000,6.21009,6.28972,6.13037,6.13037,0,0
OBL_PE,D,20080213,000000,6.13037,6.13037,6.13037,6.13037,0,0
OBL_PE,D,20080214,000000,6.05084,6.13037,6.05084,6.13037,0,0
OBL_PE,D,20080215,000000,6.13037,6.13037,6.13037,6.13037,0,0
OBL_PE,D,20080218,000000,6.13037,6.13037,6.13037,6.13037,0,0
OBL_PE,D,20080219,000000,6.13037,6.28972,6.05084,6.28972,0,0
OBL_PE,D,20080220,000000,6.28972,6.36924,6.21009,6.28972,0,0
OBL_PE,D,20080221,000000,6.28972,6.28972,6.13037,6.28972,0,0
OBL_PE,D,20080222,000000,6.28972,6.44896,6.28972,6.36924,0,0
OBL_PE,D,20080225,000000,6.36924,6.44896,6.28972,6.44896,0,0
OBL_PE,D,20080226,000000,6.44896,6.44896,6.36924,6.36924,0,0
OBL_PE,D,20080227,000000,6.44896,6.44896,6.28972,6.36924,0,0
OBL_PE,D,20080228,000000,6.44896,6.44896,6.21009,6.36924,0,0
OBL_PE,D,20080229,000000,6.36924,6.44896,6.28972,6.44896,0,0
OBL_PE,D,20080303,000000,6.44896,7.32475,6.36924,7.32475,0,0
OBL_PE,D,20080304,000000,7.40427,7.40427,7.08587,7.24503,0,0
OBL_PE,D,20080305,000000,7.16549,7.40427,7.00615,7.32475,0,0
OBL_PE,D,20080306,000000,7.32475,7.40427,7.24503,7.40427,0,0
OBL_PE,D,20080307,000000,7.40427,7.40427,7.08587,7.24503,0,0
OBL_PE,D,20080310,000000,7.00615,7.24503,7.00615,7.08587,0,0
OBL_PE,D,20080311,000000,7.00615,7.24503,7.00615,7.24503,0,0
OBL_PE,D,20080312,000000,7.24503,7.24503,7.16549,7.24503,0,0
OBL_PE,D,20080313,000000,7.24503,7.24503,7.08587,7.24503,0,0
OBL_PE,D,20080314,000000,7.24503,7.32475,7.16549,7.24503,0,0
OBL_PE,D,20080317,000000,7.08587,7.24503,7.08587,7.16549,0,0
OBL_PE,D,20080318,000000,7.24503,7.24503,7.08587,7.16549,0,0
OBL_PE,D,20080319,000000,7.24503,7.24503,7.08587,7.08587,0,0
OBL_PE,D,20080320,000000,7.08587,7.08587,7.08587,7.08587,0,0
