<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND_MV,D,20210719,000000,1252.78,1252.78,1252.78,1252.78,0,0
OND_MV,D,20210720,000000,1271.53,1315.03,1204.61,1227.8,0,0
OND_MV,D,20210721,000000,1252.78,1252.78,1204.61,1204.61,0,0
OND_MV,D,20210722,000000,1205.5,1205.72,1187.21,1195.68,0,0
OND_MV,D,20210723,000000,1195.68,1225.13,1193.45,1200.14,0,0
OND_MV,D,20210726,000000,1244.75,1244.75,1204.16,1217.98,0,0
OND_MV,D,20210727,000000,1231.14,1231.14,1200.59,1200.59,0,0
OND_MV,D,20210728,000000,1200.59,1203.49,1168.92,1182.3,0,0
OND_MV,D,20210729,000000,1200.14,1226.91,1182.3,1198.81,0,0
OND_MV,D,20210730,000000,1204.61,1258.15,1175.6,1252.78,0,0
OND_MV,D,20210802,000000,1266.84,1289.38,1238.07,1238.07,0,0
OND_MV,D,20210803,000000,1258.15,1262.38,1204.82,1235.39,0,0
OND_MV,D,20210804,000000,1249.22,1249.22,1204.61,1231.38,0,0
OND_MV,D,20210805,000000,1231.14,1231.14,1204.38,1224.9,0,0
OND_MV,D,20210806,000000,1231.38,1231.38,1195.68,1208.84,0,0
OND_MV,D,20210809,000000,1226.46,1226.46,1204.61,1226.01,0,0
OND_MV,D,20210810,000000,1213.53,1232.26,1191.22,1200.14,0,0
OND_MV,D,20210811,000000,1239.41,1239.41,1195.68,1221.12,0,0
OND_MV,D,20210812,000000,1205.94,1224.47,1195.9,1196.13,0,0
OND_MV,D,20210813,000000,1204.61,1204.61,1193.45,1204.61,0,0
OND_MV,D,20210816,000000,1204.61,1204.61,1177.84,1195.24,0,0
OND_MV,D,20210817,000000,1204.16,1204.16,1178.28,1191.22,0,0
OND_MV,D,20210818,000000,1182.74,1195.24,1177.84,1195.24,0,0
OND_MV,D,20210819,000000,1204.16,1204.16,1182.3,1182.3,0,0
OND_MV,D,20210820,000000,1186.76,1211.3,1182.3,1211.3,0,0
OND_MV,D,20210823,000000,1222.45,1222.45,1204.82,1220.67,0,0
OND_MV,D,20210824,000000,1222.45,1226.46,1183.42,1226.46,0,0
OND_MV,D,20210825,000000,1235.84,1235.84,1187.87,1191.22,0,0
OND_MV,D,20210826,000000,1191.22,1191.22,1178.95,1182.74,0,0
OND_MV,D,20210827,000000,1180.07,1220.67,1180.07,1187.65,0,0
OND_MV,D,20210830,000000,1200.14,1202.37,1186.76,1202.37,0,0
OND_MV,D,20210831,000000,1204.61,1390.81,1178.73,1390.81,0,0
OND_MV,D,20210901,000000,1396.06,1396.06,1382.93,1389.22,0,0
OND_MV,D,20210902,000000,1411.27,1411.27,1378.21,1380.83,0,0
OND_MV,D,20210903,000000,1388.18,1389.75,1376.11,1378.47,0,0
OND_MV,D,20210906,000000,1385.55,1385.55,1356.17,1364.04,0,0
OND_MV,D,20210907,000000,1361.94,1361.94,1306.83,1308.93,0,0
OND_MV,D,20210908,000000,1312.08,1312.08,1257.49,1259.6,0,0
OND_MV,D,20210909,000000,1259.32,1312.08,1259.32,1301.32,0,0
OND_MV,D,20210910,000000,1311.81,1312.08,1294.76,1295.03,0,0
OND_MV,D,20210913,000000,1312.08,1369.29,1296.34,1348.81,0,0
OND_MV,D,20210914,000000,1364.29,1384.5,1354.06,1361.94,0,0
OND_MV,D,20210915,000000,1379.78,1379.78,1355.11,1374.02,0,0
OND_MV,D,20210916,000000,1364.56,1390.81,1333.07,1354.59,0,0
OND_MV,D,20210917,000000,1364.56,1385.55,1322.58,1374.8,0,0
OND_MV,D,20210920,000000,1374.54,1374.54,1311.55,1311.55,0,0
OND_MV,D,20210921,000000,1311.03,1338.06,1284.53,1285.84,0,0
OND_MV,D,20210922,000000,1343.57,1372.43,1285.84,1285.84,0,0
OND_MV,D,20210923,000000,1305.79,1337.79,1293.18,1319.69,0,0
OND_MV,D,20210924,000000,1321,1355.9,1312.08,1312.08,0,0
OND_MV,D,20210927,000000,1312.08,1342.25,1308.93,1333.07,0,0
OND_MV,D,20210928,000000,1313.13,1327.83,1309.98,1325.72,0,0
OND_MV,D,20210929,000000,1312.08,1313.92,1291.09,1294.76,0,0
OND_MV,D,20210930,000000,1294.76,1301.58,1259.6,1285.84,0,0
OND_MV,D,20211001,000000,1274.82,1304.21,1264.84,1303.42,0,0
OND_MV,D,20211004,000000,1285.84,1317.32,1285.84,1312.08,0,0
OND_MV,D,20211005,000000,1312.08,1317.32,1286.62,1315.76,0,0
OND_MV,D,20211006,000000,1303.15,1312.08,1259.6,1284.78,0,0
OND_MV,D,20211007,000000,1285.84,1296.34,1259.6,1291.09,0,0
OND_MV,D,20211008,000000,1280.58,1290.04,1259.6,1264.84,0,0
OND_MV,D,20211011,000000,1275.34,1285.31,1255.4,1259.6,0,0
OND_MV,D,20211012,000000,1271.93,1271.93,1239.91,1249.09,0,0
OND_MV,D,20211013,000000,1249.09,1280.58,1232.83,1233.36,0,0
OND_MV,D,20211014,000000,1253.04,1269.83,1228.11,1233.36,0,0
OND_MV,D,20211015,000000,1233.36,1285.84,1233.36,1280.58,0,0
OND_MV,D,20211018,000000,1285.84,1298.7,1280.58,1296.34,0,0
OND_MV,D,20211019,000000,1294.76,1294.76,1233.36,1249.09,0,0
OND_MV,D,20211020,000000,1241.23,1243.32,1207.11,1218.14,0,0
OND_MV,D,20211021,000000,1218.66,1228.11,1201.87,1207.11,0,0
OND_MV,D,20211022,000000,1207.11,1207.11,1178.51,1178.51,0,0
OND_MV,D,20211025,000000,1192.16,1192.16,1144.65,1144.65,0,0
OND_MV,D,20211026,000000,1144.65,1159.88,1117.89,1128.12,0,0
OND_MV,D,20211027,000000,1128.12,1128.12,1082.98,1114.75,0,0
OND_MV,D,20211028,000000,1107.39,1107.39,1050.19,1054.91,0,0
OND_MV,D,20211029,000000,1060.17,1119.73,1049.93,1050.45,0,0
OND_MV,D,20211102,000000,1050.71,1100.05,1050.71,1055.96,0,0
OND_MV,D,20211103,000000,1055.96,1085.35,1050.19,1068.29,0,0
OND_MV,D,20211104,000000,1068.03,1099.52,1068.03,1091.65,0,0
OND_MV,D,20211105,000000,1102.15,1117.89,1066.45,1071.18,0,0
OND_MV,D,20211108,000000,1080.63,1080.63,981.434,997.184,0,0
OND_MV,D,20211109,000000,997.184,1004.21,984.578,988.686,0,0
OND_MV,D,20211110,000000,991.412,991.519,947.845,965.688,0,0
OND_MV,D,20211112,000000,948.368,964.744,913.205,918.46,0,0
