<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL_PE,D,20070813,000000,6.04232,6.04232,6.04232,6.04232,0,0
OPL_PE,D,20070814,000000,6.04232,6.04232,6.04232,6.04232,0,0
OPL_PE,D,20070816,000000,5.74395,5.74395,5.74395,5.74395,0,0
OPL_PE,D,20070817,000000,5.91573,5.91573,5.91573,5.91573,0,0
OPL_PE,D,20070820,000000,5.91573,5.91573,5.91573,5.91573,0,0
OPL_PE,D,20070821,000000,5.95632,5.95632,5.95632,5.95632,0,0
OPL_PE,D,20070822,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20070823,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20070824,000000,6.29529,6.29529,6.29529,6.29529,0,0
OPL_PE,D,20070827,000000,6.25008,6.25008,6.25008,6.25008,0,0
OPL_PE,D,20070828,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20070829,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20070830,000000,5.99697,5.99697,5.99697,5.99697,0,0
OPL_PE,D,20070831,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20070903,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20070904,000000,6.42179,6.42179,6.42179,6.42179,0,0
OPL_PE,D,20070905,000000,6.25008,6.25008,6.25008,6.25008,0,0
OPL_PE,D,20070906,000000,6.25008,6.25008,6.25008,6.25008,0,0
OPL_PE,D,20070907,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20070910,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20070911,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20070912,000000,6.25008,6.25008,6.25008,6.25008,0,0
OPL_PE,D,20070913,000000,6.29529,6.29529,6.29529,6.29529,0,0
OPL_PE,D,20070914,000000,6.29529,6.29529,6.29529,6.29529,0,0
OPL_PE,D,20070917,000000,6.25008,6.25008,6.25008,6.25008,0,0
OPL_PE,D,20070918,000000,6.25008,6.25008,6.25008,6.25008,0,0
OPL_PE,D,20070919,000000,6.33602,6.33602,6.33602,6.33602,0,0
OPL_PE,D,20070920,000000,6.3766,6.3766,6.3766,6.3766,0,0
OPL_PE,D,20070921,000000,6.12365,6.12365,6.12365,6.12365,0,0
OPL_PE,D,20070924,000000,5.99697,5.99697,5.99697,5.99697,0,0
OPL_PE,D,20070925,000000,5.99697,5.99697,5.99697,5.99697,0,0
OPL_PE,D,20070926,000000,5.99697,5.99697,5.99697,5.99697,0,0
OPL_PE,D,20070927,000000,5.95632,5.95632,5.95632,5.95632,0,0
OPL_PE,D,20070928,000000,5.95632,5.95632,5.95632,5.95632,0,0
OPL_PE,D,20071001,000000,6.08292,6.08292,6.08292,6.08292,0,0
OPL_PE,D,20071002,000000,6.12365,6.12365,6.12365,6.12365,0,0
OPL_PE,D,20071003,000000,6.04232,6.04232,6.04232,6.04232,0,0
OPL_PE,D,20071004,000000,5.95632,5.95632,5.95632,5.95632,0,0
OPL_PE,D,20071005,000000,5.95632,5.95632,5.95632,5.95632,0,0
OPL_PE,D,20071008,000000,5.91573,5.91573,5.91573,5.91573,0,0
OPL_PE,D,20071009,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20071010,000000,5.99697,5.99697,5.99697,5.99697,0,0
OPL_PE,D,20071011,000000,6.16885,6.16885,6.16885,6.16885,0,0
OPL_PE,D,20071012,000000,6.08292,6.08292,6.08292,6.08292,0,0
OPL_PE,D,20071015,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20071016,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20071017,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20071018,000000,6.12365,6.12365,6.12365,6.12365,0,0
OPL_PE,D,20071019,000000,6.20942,6.20942,6.20942,6.20942,0,0
OPL_PE,D,20071022,000000,6.29529,6.29529,6.29529,6.29529,0,0
OPL_PE,D,20071023,000000,6.46262,6.46262,6.46262,6.46262,0,0
OPL_PE,D,20071024,000000,6.46262,6.46262,6.46262,6.46262,0,0
OPL_PE,D,20071025,000000,6.63433,6.63433,6.63433,6.63433,0,0
OPL_PE,D,20071026,000000,6.67531,6.67531,6.67531,6.67531,0,0
OPL_PE,D,20071029,000000,6.96819,6.96819,6.96819,6.96819,0,0
OPL_PE,D,20071030,000000,6.84199,6.84199,6.84199,6.84199,0,0
OPL_PE,D,20071031,000000,6.84199,6.84199,6.84199,6.84199,0,0
OPL_PE,D,20071102,000000,6.84199,6.84199,6.84199,6.84199,0,0
OPL_PE,D,20071105,000000,6.84199,6.84199,6.84199,6.84199,0,0
OPL_PE,D,20071106,000000,6.80174,6.80174,6.80174,6.80174,0,0
OPL_PE,D,20071107,000000,6.76076,6.76076,6.76076,6.76076,0,0
OPL_PE,D,20071108,000000,6.71565,6.71565,6.71565,6.71565,0,0
OPL_PE,D,20071109,000000,6.67531,6.67531,6.50781,6.58905,0,0
OPL_PE,D,20071112,000000,6.58905,6.58905,6.46262,6.54839,0,0
OPL_PE,D,20071113,000000,6.50781,6.63433,6.50781,6.50781,0,0
OPL_PE,D,20071114,000000,6.54839,6.63433,6.46262,6.46262,0,0
OPL_PE,D,20071115,000000,6.46262,6.50781,6.3766,6.3766,0,0
OPL_PE,D,20071116,000000,6.33602,6.42179,6.20942,6.20942,0,0
OPL_PE,D,20071119,000000,6.25008,6.42179,6.20942,6.42179,0,0
OPL_PE,D,20071121,000000,6.33602,6.3766,6.29529,6.33602,0,0
OPL_PE,D,20071122,000000,6.29529,6.50781,6.20942,6.50781,0,0
OPL_PE,D,20071123,000000,6.58905,6.63433,6.50781,6.50781,0,0
OPL_PE,D,20071126,000000,6.58905,6.58905,6.20942,6.20942,0,0
OPL_PE,D,20071127,000000,6.25008,6.33602,6.08292,6.12365,0,0
OPL_PE,D,20071128,000000,6.33602,6.42179,6.25008,6.42179,0,0
OPL_PE,D,20071129,000000,6.50781,6.58905,6.33602,6.33602,0,0
OPL_PE,D,20071130,000000,6.46262,6.54839,6.42179,6.42179,0,0
OPL_PE,D,20071203,000000,6.46262,6.67531,6.46262,6.67531,0,0
OPL_PE,D,20071204,000000,6.71565,6.76076,6.71565,6.71565,0,0
OPL_PE,D,20071205,000000,6.80174,6.88719,6.80174,6.88719,0,0
OPL_PE,D,20071206,000000,6.84199,7.22138,6.84199,7.09519,0,0
OPL_PE,D,20071207,000000,7.09519,7.30747,7.09519,7.26731,0,0
OPL_PE,D,20071210,000000,7.22138,7.26731,7.14038,7.18129,0,0
OPL_PE,D,20071211,000000,7.18129,7.18129,6.96819,7.05501,0,0
OPL_PE,D,20071212,000000,6.96819,7.09519,6.96819,7.01346,0,0
OPL_PE,D,20071213,000000,7.01346,7.14038,6.92826,6.92826,0,0
OPL_PE,D,20071214,000000,7.01346,7.01346,6.88719,6.92826,0,0
OPL_PE,D,20071217,000000,6.84199,6.92826,6.80174,6.80174,0,0
OPL_PE,D,20071218,000000,6.80174,6.88719,6.76076,6.84199,0,0
OPL_PE,D,20071219,000000,6.80174,6.80174,6.67531,6.71565,0,0
OPL_PE,D,20071220,000000,6.71565,6.76076,6.63433,6.67531,0,0
OPL_PE,D,20071221,000000,6.71565,6.76076,6.67531,6.67531,0,0
OPL_PE,D,20071227,000000,6.63433,6.71565,6.54839,6.71565,0,0
OPL_PE,D,20071228,000000,6.67531,6.67531,6.50781,6.50781,0,0
OPL_PE,D,20080102,000000,6.50781,6.71565,6.50781,6.54839,0,0
OPL_PE,D,20080103,000000,6.54839,6.71565,6.54839,6.67531,0,0
OPL_PE,D,20080104,000000,6.71565,6.76076,6.58905,6.63433,0,0
OPL_PE,D,20080107,000000,6.58905,6.76076,6.58905,6.71565,0,0
OPL_PE,D,20080108,000000,6.71565,6.76076,6.58905,6.58905,0,0
OPL_PE,D,20080109,000000,6.58905,6.58905,6.42179,6.50781,0,0
OPL_PE,D,20080110,000000,6.42179,6.63433,6.3766,6.63433,0,0
OPL_PE,D,20080111,000000,6.58905,6.63433,6.54839,6.54839,0,0
OPL_PE,D,20080114,000000,6.46262,6.46262,6.46262,6.46262,0,0
OPL_PE,D,20080115,000000,6.42179,6.42179,6.08292,6.12365,0,0
OPL_PE,D,20080116,000000,5.87054,6.04232,5.8298,5.87054,0,0
OPL_PE,D,20080117,000000,5.95632,5.99697,5.87054,5.95632,0,0
OPL_PE,D,20080118,000000,5.91573,6.25008,5.91573,6.08292,0,0
OPL_PE,D,20080121,000000,5.91573,5.99697,5.87054,5.95632,0,0
OPL_PE,D,20080122,000000,5.91573,6.20942,5.91573,6.08292,0,0
OPL_PE,D,20080123,000000,6.25008,6.25008,5.87054,5.95632,0,0
OPL_PE,D,20080124,000000,6.08292,6.16885,6.08292,6.16885,0,0
OPL_PE,D,20080125,000000,6.20942,6.3766,6.12365,6.25008,0,0
OPL_PE,D,20080128,000000,6.12365,6.33602,6.08292,6.20942,0,0
OPL_PE,D,20080129,000000,6.25008,6.29529,6.12365,6.20942,0,0
OPL_PE,D,20080130,000000,6.33602,6.71565,6.33602,6.71565,0,0
OPL_PE,D,20080131,000000,6.71565,6.71565,6.54839,6.63433,0,0
OPL_PE,D,20080201,000000,6.71565,6.92826,6.12365,6.12365,0,0
OPL_PE,D,20080204,000000,6.16885,6.16885,5.99697,6.08292,0,0
OPL_PE,D,20080205,000000,6.04232,6.08292,5.78914,5.78914,0,0
OPL_PE,D,20080206,000000,5.70336,5.74395,5.6627,5.74395,0,0
OPL_PE,D,20080207,000000,5.74395,5.78914,5.6627,5.70336,0,0
OPL_PE,D,20080208,000000,5.74395,5.8298,5.70336,5.70336,0,0
OPL_PE,D,20080211,000000,5.6627,5.8298,5.6627,5.74395,0,0
OPL_PE,D,20080212,000000,5.78914,5.99697,5.78914,5.91573,0,0
OPL_PE,D,20080213,000000,5.91573,5.95632,5.74395,5.91573,0,0
OPL_PE,D,20080214,000000,5.99697,5.99697,5.8298,5.99697,0,0
OPL_PE,D,20080215,000000,5.99697,5.99697,5.8298,5.91573,0,0
OPL_PE,D,20080218,000000,5.91573,5.99697,5.91573,5.99697,0,0
OPL_PE,D,20080219,000000,6.04232,6.08292,5.87054,6.04232,0,0
OPL_PE,D,20080220,000000,5.95632,6.04232,5.87054,5.95632,0,0
OPL_PE,D,20080221,000000,5.99697,5.99697,5.8298,5.8298,0,0
OPL_PE,D,20080222,000000,5.8298,5.8298,5.70336,5.78914,0,0
OPL_PE,D,20080225,000000,5.87054,5.95632,5.87054,5.91573,0,0
OPL_PE,D,20080226,000000,5.87054,5.99697,5.74395,5.87054,0,0
OPL_PE,D,20080227,000000,5.87054,5.91573,5.74395,5.78914,0,0
OPL_PE,D,20080228,000000,5.8298,5.8298,5.6627,5.70336,0,0
OPL_PE,D,20080229,000000,5.6175,5.70336,5.53611,5.53611,0,0
OPL_PE,D,20080303,000000,5.45026,5.57669,5.36432,5.57669,0,0
OPL_PE,D,20080304,000000,5.6175,5.6175,5.49091,5.49091,0,0
OPL_PE,D,20080305,000000,5.53611,5.78914,5.49091,5.6627,0,0
OPL_PE,D,20080306,000000,5.6627,5.6627,5.49091,5.53611,0,0
OPL_PE,D,20080307,000000,5.49091,5.6627,5.45026,5.53611,0,0
OPL_PE,D,20080310,000000,5.57669,5.6627,5.53611,5.6175,0,0
OPL_PE,D,20080311,000000,5.6175,5.87054,5.6175,5.8298,0,0
OPL_PE,D,20080312,000000,5.87054,5.91573,5.78914,5.78914,0,0
OPL_PE,D,20080313,000000,5.74395,5.78914,5.70336,5.70336,0,0
OPL_PE,D,20080314,000000,5.70336,5.8298,5.70336,5.70336,0,0
OPL_PE,D,20080317,000000,5.6175,5.70336,5.6175,5.6627,0,0
OPL_PE,D,20080318,000000,5.70336,5.78914,5.6627,5.74395,0,0
OPL_PE,D,20080319,000000,5.74395,5.74395,5.6175,5.6627,0,0
OPL_PE,D,20080320,000000,5.70336,5.70336,5.49091,5.49091,0,0
OPL_PE,D,20080325,000000,5.6627,5.6627,5.53611,5.57669,0,0
OPL_PE,D,20080326,000000,5.6175,5.6175,5.49091,5.53611,0,0
OPL_PE,D,20080327,000000,5.57669,5.57669,5.49091,5.53611,0,0
OPL_PE,D,20080328,000000,5.49091,5.53611,5.45026,5.49091,0,0
OPL_PE,D,20080331,000000,5.6175,5.6175,5.6175,5.6175,0,0
OPL_PE,D,20080401,000000,5.53611,5.6627,5.49091,5.57669,0,0
OPL_PE,D,20080402,000000,5.57669,5.57669,5.49091,5.49091,0,0
OPL_PE,D,20080403,000000,5.49091,5.53611,5.45026,5.49091,0,0
OPL_PE,D,20080404,000000,5.45026,5.57669,5.45026,5.53611,0,0
OPL_PE,D,20080407,000000,5.57669,5.57669,5.49091,5.53611,0,0
OPL_PE,D,20080408,000000,5.53611,5.53611,5.49091,5.53611,0,0
OPL_PE,D,20080409,000000,5.57669,5.57669,5.53611,5.53611,0,0
OPL_PE,D,20080410,000000,5.53611,5.57669,5.53611,5.53611,0,0
OPL_PE,D,20080411,000000,5.57669,5.6627,5.49091,5.49091,0,0
OPL_PE,D,20080414,000000,5.49091,5.53611,5.45026,5.53611,0,0
OPL_PE,D,20080415,000000,5.53611,5.6175,5.53611,5.57669,0,0
OPL_PE,D,20080416,000000,5.57669,5.6175,5.49091,5.57669,0,0
OPL_PE,D,20080417,000000,5.6175,5.6175,5.53611,5.53611,0,0
OPL_PE,D,20080418,000000,5.49091,5.57669,5.49091,5.57669,0,0
OPL_PE,D,20080421,000000,5.6175,5.6175,5.53611,5.53611,0,0
OPL_PE,D,20080422,000000,5.57669,5.57669,5.45026,5.53611,0,0
OPL_PE,D,20080423,000000,5.53611,5.53611,5.45026,5.45026,0,0
OPL_PE,D,20080424,000000,5.45026,5.49091,5.40498,5.49091,0,0
OPL_PE,D,20080425,000000,5.49091,5.53611,5.49091,5.53611,0,0
OPL_PE,D,20080428,000000,5.57669,5.57669,5.53611,5.53611,0,0
OPL_PE,D,20080429,000000,5.6627,5.6627,5.57669,5.57669,0,0
OPL_PE,D,20080430,000000,5.57669,5.70336,5.27847,5.27847,0,0
OPL_PE,D,20080505,000000,5.36432,5.45026,5.36432,5.45026,0,0
OPL_PE,D,20080506,000000,5.49091,5.49091,5.32367,5.32367,0,0
OPL_PE,D,20080507,000000,5.36432,5.40498,5.32367,5.36432,0,0
OPL_PE,D,20080508,000000,5.32367,5.36432,5.32367,5.32367,0,0
OPL_PE,D,20080509,000000,5.36432,5.40498,5.32367,5.36432,0,0
OPL_PE,D,20080512,000000,5.40498,5.45026,5.40498,5.45026,0,0
OPL_PE,D,20080513,000000,5.45026,5.45026,5.40498,5.40498,0,0
OPL_PE,D,20080514,000000,5.45026,5.45026,5.40498,5.45026,0,0
OPL_PE,D,20080515,000000,5.45026,5.45026,5.40498,5.40498,0,0
OPL_PE,D,20080516,000000,5.40498,5.45026,5.40498,5.45026,0,0
OPL_PE,D,20080519,000000,5.51351,5.51351,5.42321,5.46824,0,0
OPL_PE,D,20080520,000000,5.51351,5.51351,5.33273,5.33273,0,0
OPL_PE,D,20080521,000000,5.33273,5.37793,5.19715,5.33273,0,0
OPL_PE,D,20080523,000000,5.24234,5.33273,5.24234,5.33273,0,0
OPL_PE,D,20080526,000000,5.33273,5.37793,5.28753,5.33273,0,0
OPL_PE,D,20080527,000000,5.33273,5.33273,5.19715,5.19715,0,0
OPL_PE,D,20080528,000000,5.19715,5.28753,5.19715,5.19715,0,0
OPL_PE,D,20080529,000000,5.24234,5.33273,5.19715,5.33273,0,0
OPL_PE,D,20080530,000000,5.28753,5.33273,5.19715,5.19715,0,0
OPL_PE,D,20080602,000000,5.24234,5.24234,5.19715,5.19715,0,0
OPL_PE,D,20080603,000000,5.19715,5.33273,5.19715,5.33273,0,0
OPL_PE,D,20080604,000000,5.33273,5.33273,5.24234,5.24234,0,0
OPL_PE,D,20080605,000000,5.24234,5.28753,5.24234,5.28753,0,0
OPL_PE,D,20080606,000000,5.33273,5.37793,5.24234,5.28753,0,0
OPL_PE,D,20080609,000000,5.24234,5.28753,5.15203,5.15203,0,0
OPL_PE,D,20080610,000000,5.10684,5.19715,5.10684,5.19715,0,0
OPL_PE,D,20080611,000000,5.19715,5.28753,5.15203,5.24234,0,0
OPL_PE,D,20080612,000000,5.24234,5.37793,5.24234,5.37793,0,0
OPL_PE,D,20080613,000000,5.33273,5.51351,5.33273,5.51351,0,0
OPL_PE,D,20080616,000000,5.55863,5.6491,5.55863,5.60382,0,0
OPL_PE,D,20080617,000000,5.69421,5.69421,5.60382,5.6491,0,0
OPL_PE,D,20080618,000000,5.60382,5.60382,5.42321,5.46824,0,0
OPL_PE,D,20080619,000000,5.42321,5.55863,5.42321,5.42321,0,0
OPL_PE,D,20080620,000000,5.46824,5.55863,5.42321,5.42321,0,0
OPL_PE,D,20080623,000000,5.46824,5.51351,5.33273,5.33273,0,0
OPL_PE,D,20080624,000000,5.37793,5.37793,5.28753,5.33273,0,0
OPL_PE,D,20080625,000000,5.37793,5.37793,5.28753,5.28753,0,0
OPL_PE,D,20080626,000000,5.28753,5.46824,5.28753,5.46824,0,0
OPL_PE,D,20080627,000000,5.37793,5.42321,5.28753,5.28753,0,0
OPL_PE,D,20080630,000000,5.37793,5.42321,5.24234,5.24234,0,0
OPL_PE,D,20080701,000000,5.28753,5.33273,5.28753,5.28753,0,0
OPL_PE,D,20080702,000000,5.28753,5.51351,5.28753,5.51351,0,0
OPL_PE,D,20080703,000000,5.42321,5.6491,5.42321,5.6491,0,0
OPL_PE,D,20080704,000000,5.55863,5.6491,5.55863,5.55863,0,0
OPL_PE,D,20080707,000000,5.51351,5.60382,5.51351,5.51351,0,0
OPL_PE,D,20080708,000000,5.42321,5.46824,5.42321,5.46824,0,0
OPL_PE,D,20080709,000000,5.46824,5.51351,5.42321,5.46824,0,0
OPL_PE,D,20080710,000000,5.42321,5.73949,5.42321,5.60382,0,0
OPL_PE,D,20080711,000000,5.60382,5.6491,5.51351,5.55863,0,0
OPL_PE,D,20080714,000000,5.55863,5.60382,5.51351,5.51351,0,0
OPL_PE,D,20080715,000000,5.37793,5.51351,5.33273,5.37793,0,0
OPL_PE,D,20080716,000000,5.37793,5.55863,5.37793,5.37793,0,0
OPL_PE,D,20080717,000000,5.42321,5.55863,5.42321,5.46824,0,0
OPL_PE,D,20080718,000000,5.46824,5.51351,5.37793,5.46824,0,0
OPL_PE,D,20080721,000000,5.42321,5.69421,5.42321,5.60382,0,0
OPL_PE,D,20080722,000000,5.55863,5.6491,5.51351,5.55863,0,0
OPL_PE,D,20080723,000000,5.60382,5.69421,5.55863,5.60382,0,0
OPL_PE,D,20080724,000000,5.6491,5.69421,5.55863,5.60382,0,0
OPL_PE,D,20080725,000000,5.55863,5.69421,5.55863,5.6491,0,0
OPL_PE,D,20080728,000000,5.60382,5.73949,5.60382,5.6491,0,0
OPL_PE,D,20080729,000000,5.60382,5.78461,5.60382,5.73949,0,0
OPL_PE,D,20080730,000000,5.92019,6.10081,5.8298,6.10081,0,0
OPL_PE,D,20080731,000000,6.01066,6.01066,5.8298,5.8298,0,0
OPL_PE,D,20080801,000000,5.8298,5.96539,5.8298,5.92019,0,0
OPL_PE,D,20080804,000000,5.87499,6.05578,5.87499,6.01066,0,0
OPL_PE,D,20080805,000000,6.05578,6.19137,6.05578,6.19137,0,0
OPL_PE,D,20080806,000000,6.23647,6.23647,6.05578,6.05578,0,0
OPL_PE,D,20080807,000000,6.10081,6.14617,5.42321,5.42321,0,0
OPL_PE,D,20080808,000000,5.46824,5.46824,5.33273,5.37793,0,0
OPL_PE,D,20080811,000000,5.37793,5.37793,5.33273,5.37793,0,0
OPL_PE,D,20080812,000000,5.37793,5.46824,5.33273,5.37793,0,0
OPL_PE,D,20080813,000000,5.42321,5.46824,5.37793,5.46824,0,0
OPL_PE,D,20080814,000000,5.51351,5.51351,5.33273,5.37793,0,0
OPL_PE,D,20080818,000000,5.37793,5.42321,5.37793,5.42321,0,0
OPL_PE,D,20080819,000000,5.42321,5.42321,5.37793,5.37793,0,0
OPL_PE,D,20080820,000000,5.42321,5.46824,5.37793,5.37793,0,0
