<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN_MV,D,20071114,000000,84.5233,84.5233,84.5233,84.5233,0,0
OPN_MV,D,20071115,000000,88.9891,88.9891,78.9544,81.7304,0,0
OPN_MV,D,20071116,000000,86.1825,86.3752,80.145,86.3752,0,0
OPN_MV,D,20071119,000000,87.498,87.498,81.7304,81.7304,0,0
OPN_MV,D,20071120,000000,83.501,83.501,83.501,83.501,0,0
OPN_MV,D,20071121,000000,82.7603,82.7603,79.4143,79.8743,0,0
OPN_MV,D,20071122,000000,81.5527,82.6631,78.9544,82.6631,0,0
OPN_MV,D,20071123,000000,82.6631,84.4227,81.7304,84.4227,0,0
OPN_MV,D,20071126,000000,85.9059,85.9059,82.6631,84.3306,0,0
OPN_MV,D,20071127,000000,85.9059,85.9059,81.7304,83.568,0,0
OPN_MV,D,20071128,000000,81.7304,84.3306,81.7304,83.568,0,0
OPN_MV,D,20071129,000000,83.568,83.568,83.568,83.568,0,0
OPN_MV,D,20071130,000000,85.2774,90.5563,85.2774,90.5563,0,0
OPN_MV,D,20071203,000000,90.0954,90.0954,88.244,90.0954,0,0
OPN_MV,D,20071204,000000,89.9948,89.9948,89.8943,89.8943,0,0
OPN_MV,D,20071205,000000,90.9253,96.5896,89.8103,92.8773,0,0
OPN_MV,D,20071206,000000,92.5931,92.8773,91.9643,92.8773,0,0
OPN_MV,D,20071207,000000,92.7767,92.8773,91.1011,92.8773,0,0
OPN_MV,D,20071210,000000,92.8773,92.8773,90.0954,92.4251,0,0
OPN_MV,D,20071211,000000,92.3246,92.3246,92.2406,92.2406,0,0
OPN_MV,D,20071212,000000,90.3805,90.3805,85.5372,88.6122,0,0
OPN_MV,D,20071213,000000,88.9891,88.9891,83.568,85.8305,0,0
OPN_MV,D,20071214,000000,83.568,83.568,79.954,81.9089,0,0
OPN_MV,D,20071217,000000,81.9089,81.9089,76.4271,79.5962,0,0
OPN_MV,D,20071218,000000,77.9194,77.9194,74.7663,75.5104,0,0
OPN_MV,D,20071219,000000,75.5104,76.1539,72.4443,76.1539,0,0
OPN_MV,D,20071220,000000,77.4703,79.5962,76.2512,79.5962,0,0
OPN_MV,D,20071221,000000,79.3104,80.6302,77.084,78.9544,0,0
OPN_MV,D,20071227,000000,78.9544,78.9544,78.9544,78.9544,0,0
OPN_MV,D,20071228,000000,77.8256,78.9544,77.8256,78.9544,0,0
OPN_MV,D,20080102,000000,78.9544,81.6416,78.9544,80.8145,0,0
OPN_MV,D,20080103,000000,79.1278,80.8145,77.084,80.8145,0,0
OPN_MV,D,20080104,000000,80.8145,80.8145,77.4703,78.0209,0,0
OPN_MV,D,20080107,000000,78.0209,78.0209,72.5415,77.9194,0,0
OPN_MV,D,20080108,000000,77.7469,79.4143,74.5828,79.4143,0,0
OPN_MV,D,20080109,000000,76.2512,78.9544,76.1539,78.7565,0,0
OPN_MV,D,20080110,000000,78.0209,78.0209,75.3194,77.8256,0,0
OPN_MV,D,20080111,000000,77.5549,80.8145,77.5549,80.8145,0,0
OPN_MV,D,20080114,000000,76.5226,76.5226,76.5226,76.5226,0,0
OPN_MV,D,20080115,000000,74.4856,76.3416,74.3021,76.3416,0,0
OPN_MV,D,20080116,000000,76.1539,76.1539,71.0508,71.0508,0,0
OPN_MV,D,20080117,000000,74.2073,74.2073,71.2344,73.2781,0,0
OPN_MV,D,20080118,000000,72.9094,72.9094,69.6574,71.515,0,0
OPN_MV,D,20080121,000000,70.0319,72.9094,69.6574,70.1224,0,0
OPN_MV,D,20080122,000000,71.4262,73.6543,71.4262,72.4443,0,0
OPN_MV,D,20080123,000000,75.791,75.791,71.9801,71.9801,0,0
OPN_MV,D,20080124,000000,73.2781,83.568,72.9094,83.568,0,0
OPN_MV,D,20080125,000000,83.4088,83.501,80.8145,82.6631,0,0
OPN_MV,D,20080128,000000,82.2013,82.2013,82.2013,82.2013,0,0
OPN_MV,D,20080129,000000,84.0456,84.5233,82.2013,83.568,0,0
OPN_MV,D,20080130,000000,83.568,85.1685,83.568,84.716,0,0
OPN_MV,D,20080131,000000,84.6239,88.244,82.6631,88.244,0,0
OPN_MV,D,20080201,000000,88.16,92.6936,86.7438,91.0093,0,0
OPN_MV,D,20080204,000000,89.157,92.7767,89.157,92.7767,0,0
OPN_MV,D,20080205,000000,92.7767,110.432,92.7767,97.5202,0,0
OPN_MV,D,20080206,000000,95.0978,101.047,92.8773,99.6563,0,0
