<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTS_PB,D,20130830,000000,0.98538,0.98538,0.98538,0.98538,0,0
OTS_PB,D,20130902,000000,0.98538,0.98538,0.98538,0.98538,0,0
OTS_PB,D,20130903,000000,0.98538,1.01298,0.9647,0.971612,0,0
OTS_PB,D,20130904,000000,0.978468,0.978468,0.978468,0.978468,0,0
OTS_PB,D,20130905,000000,0.978468,0.978468,0.978468,0.978468,0,0
OTS_PB,D,20130906,000000,0.978468,0.978468,0.978468,0.978468,0,0
OTS_PB,D,20130909,000000,0.978468,0.992301,0.978468,0.978468,0,0
OTS_PB,D,20130910,000000,0.978468,0.978468,0.978468,0.978468,0,0
OTS_PB,D,20130911,000000,0.978468,0.978468,0.978468,0.978468,0,0
OTS_PB,D,20130912,000000,0.978468,0.978468,0.978468,0.978468,0,0
OTS_PB,D,20130913,000000,0.978468,0.992301,0.978468,0.992301,0,0
OTS_PB,D,20130916,000000,0.992301,0.999138,0.992301,0.999138,0,0
OTS_PB,D,20130917,000000,0.999138,1.01298,0.999138,1.00614,0,0
OTS_PB,D,20130918,000000,0.978468,1.03366,0.978468,1.02681,0,0
OTS_PB,D,20130919,000000,1.02681,1.0475,1.02681,1.0475,0,0
OTS_PB,D,20130920,000000,1.03366,1.04051,1.03366,1.04051,0,0
OTS_PB,D,20130923,000000,1.04051,1.06118,1.04051,1.05427,0,0
OTS_PB,D,20130924,000000,1.05427,1.05427,1.05427,1.05427,0,0
OTS_PB,D,20130926,000000,1.05427,1.05427,1.0475,1.0475,0,0
OTS_PB,D,20130927,000000,1.0475,1.0475,1.0475,1.0475,0,0
OTS_PB,D,20130930,000000,1.05427,1.05427,1.05427,1.05427,0,0
OTS_PB,D,20131002,000000,1.05427,1.06118,1.05427,1.06118,0,0
OTS_PB,D,20131003,000000,1.06118,1.06118,1.06118,1.06118,0,0
OTS_PB,D,20131004,000000,1.06118,1.06118,1.06118,1.06118,0,0
OTS_PB,D,20131011,000000,1.04051,1.06118,1.04051,1.06118,0,0
OTS_PB,D,20131014,000000,1.06118,1.07495,1.06118,1.07495,0,0
OTS_PB,D,20131015,000000,1.08187,1.10946,1.08187,1.10946,0,0
OTS_PB,D,20131016,000000,1.10946,1.15083,1.10946,1.13707,0,0
OTS_PB,D,20131017,000000,1.15083,1.15083,1.12323,1.12323,0,0
