<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OVO_PB,D,20110630,000000,3.563,3.563,3.38436,3.563,0,0
OVO_PB,D,20110701,000000,3.563,3.563,3.563,3.563,0,0
OVO_PB,D,20110704,000000,3.563,3.563,3.41115,3.44689,0,0
OVO_PB,D,20110705,000000,3.33975,3.44689,3.304,3.31296,0,0
OVO_PB,D,20110706,000000,3.304,3.304,3.045,3.11649,0,0
OVO_PB,D,20110707,000000,3.10753,3.20581,2.98256,3.20581,0,0
OVO_PB,D,20110708,000000,3.20581,3.28617,3.20581,3.28617,0,0
OVO_PB,D,20110711,000000,3.28617,3.28617,3.28617,3.28617,0,0
OVO_PB,D,20110712,000000,3.22364,3.22364,3.12536,3.16111,0,0
OVO_PB,D,20110713,000000,3.25939,3.25939,3.22364,3.22364,0,0
OVO_PB,D,20110714,000000,3.25939,3.25939,3.22364,3.22364,0,0
OVO_PB,D,20110715,000000,3.22364,3.22364,3.15224,3.15224,0,0
OVO_PB,D,20110718,000000,3.16111,9.3044,3.10753,9.3044,0,0
OVO_PB,D,20110719,000000,9.17093,9.51907,9.17093,9.51907,0,0
OVO_PB,D,20110720,000000,9.37627,9.37627,3.16111,3.16111,0,0
OVO_PB,D,20110721,000000,3.10753,3.16111,3.07179,3.13432,0,0
OVO_PB,D,20110722,000000,3.16111,3.16111,3.10753,3.16111,0,0
OVO_PB,D,20110725,000000,3.17903,3.39332,3.17903,3.38436,0,0
OVO_PB,D,20110726,000000,3.38436,3.38436,3.304,3.304,0,0
OVO_PB,D,20110727,000000,3.304,3.39332,3.304,3.304,0,0
OVO_PB,D,20110728,000000,3.33975,3.33975,3.27721,3.33975,0,0
OVO_PB,D,20110729,000000,3.35757,3.35757,3.35757,3.35757,0,0
OVO_PB,D,20110801,000000,3.35757,3.35757,3.25939,3.34861,0,0
OVO_PB,D,20110802,000000,3.27721,3.27721,3.22364,3.27721,0,0
OVO_PB,D,20110803,000000,3.27721,3.27721,3.01821,3.12536,0,0
