<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX_MV,D,20150708,000000,180.385,180.385,180.385,180.385,0,0
PBX_MV,D,20150709,000000,180.385,180.385,179.496,179.496,0,0
PBX_MV,D,20150710,000000,184.725,185.792,182.196,182.196,0,0
PBX_MV,D,20150713,000000,182.196,186.708,182.196,186.708,0,0
PBX_MV,D,20150714,000000,189.399,191.231,186.708,190.325,0,0
PBX_MV,D,20150715,000000,191.231,191.231,191.231,191.231,0,0
PBX_MV,D,20150716,000000,192.486,194.459,192.486,194.459,0,0
PBX_MV,D,20150717,000000,195.176,196.64,194.837,194.837,0,0
PBX_MV,D,20150720,000000,195.733,198.424,195.733,198.424,0,0
PBX_MV,D,20150721,000000,198.424,198.424,196.451,196.451,0,0
PBX_MV,D,20150722,000000,191.231,191.231,191.231,191.231,0,0
PBX_MV,D,20150723,000000,193.024,193.194,193.024,193.194,0,0
PBX_MV,D,20150724,000000,189.22,189.22,189.22,189.22,0,0
PBX_MV,D,20150728,000000,193.024,193.024,190.503,190.503,0,0
PBX_MV,D,20150729,000000,190.503,194.837,186.161,193.024,0,0
PBX_MV,D,20150730,000000,193.024,193.024,193.024,193.024,0,0
PBX_MV,D,20150731,000000,194.459,194.459,186.161,186.161,0,0
PBX_MV,D,20150803,000000,189.399,189.399,189.399,189.399,0,0
PBX_MV,D,20150804,000000,193.024,193.024,193.024,193.024,0,0
PBX_MV,D,20150805,000000,188.513,189.399,188.513,189.399,0,0
PBX_MV,D,20150806,000000,189.598,189.598,189.598,189.598,0,0
PBX_MV,D,20150807,000000,191.051,193.024,191.051,193.024,0,0
PBX_MV,D,20150810,000000,193.921,193.921,193.024,193.024,0,0
PBX_MV,D,20150811,000000,191.58,191.58,191.58,191.58,0,0
PBX_MV,D,20150812,000000,191.231,191.231,189.399,189.399,0,0
PBX_MV,D,20150813,000000,191.58,193.921,191.58,193.921,0,0
PBX_MV,D,20150818,000000,192.854,220.106,192.854,220.106,0,0
PBX_MV,D,20150819,000000,218.237,224.676,218.04,218.04,0,0
PBX_MV,D,20150820,000000,218.04,218.87,218.04,218.671,0,0
PBX_MV,D,20150824,000000,207.882,217.841,207.26,215.746,0,0
PBX_MV,D,20150825,000000,215.746,215.746,214.726,215.746,0,0
PBX_MV,D,20150828,000000,215.746,217.841,215.746,217.841,0,0
PBX_MV,D,20150831,000000,218.87,220.938,217.841,220.938,0,0
PBX_MV,D,20150901,000000,220.938,220.938,217.841,220.106,0,0
PBX_MV,D,20150902,000000,220.74,220.74,220.531,220.531,0,0
PBX_MV,D,20150903,000000,219.908,220.938,219.908,220.938,0,0
PBX_MV,D,20150904,000000,217.841,217.841,217.841,217.841,0,0
PBX_MV,D,20150907,000000,211.611,220.324,209.534,219.078,0,0
PBX_MV,D,20150908,000000,215.746,217.417,210.563,217.417,0,0
PBX_MV,D,20150910,000000,215.746,215.746,215.746,215.746,0,0
PBX_MV,D,20150911,000000,215.746,220.106,215.746,219.473,0,0
PBX_MV,D,20150914,000000,219.473,219.473,213.679,217.841,0,0
PBX_MV,D,20150915,000000,219.078,219.078,218.671,218.671,0,0
PBX_MV,D,20150916,000000,218.671,218.671,217.001,217.001,0,0
PBX_MV,D,20150917,000000,217.615,217.615,216.18,216.18,0,0
PBX_MV,D,20150918,000000,215.746,215.746,215.746,215.746,0,0
PBX_MV,D,20150921,000000,215.746,215.746,214.726,214.726,0,0
PBX_MV,D,20150922,000000,214.726,215.746,214.726,215.746,0,0
PBX_MV,D,20150923,000000,215.746,215.746,215.746,215.746,0,0
PBX_MV,D,20150924,000000,217.199,219.908,214.499,219.908,0,0
PBX_MV,D,20150925,000000,214.726,216.377,214.726,216.377,0,0
PBX_MV,D,20150928,000000,217.841,217.841,216.793,216.793,0,0
PBX_MV,D,20150929,000000,217.841,217.841,217.841,217.841,0,0
PBX_MV,D,20150930,000000,217.615,217.841,217.615,217.841,0,0
PBX_MV,D,20151001,000000,217.615,219.473,217.615,217.841,0,0
PBX_MV,D,20151002,000000,219.701,219.701,217.841,217.841,0,0
PBX_MV,D,20151005,000000,217.841,219.701,217.001,217.841,0,0
PBX_MV,D,20151006,000000,217.841,223.844,215.133,223.024,0,0
PBX_MV,D,20151007,000000,223.024,223.024,221.976,222.609,0,0
PBX_MV,D,20151008,000000,222.609,223.024,221.976,221.976,0,0
PBX_MV,D,20151009,000000,223.024,223.024,220.106,223.024,0,0
PBX_MV,D,20151012,000000,223.024,227.158,223.024,226.95,0,0
PBX_MV,D,20151013,000000,226.129,237.552,226.129,237.552,0,0
PBX_MV,D,20151015,000000,234.229,234.435,234.229,234.435,0,0
PBX_MV,D,20151016,000000,230.273,237.552,230.273,237.108,0,0
PBX_MV,D,20151019,000000,238.788,247.925,238.788,246.868,0,0
PBX_MV,D,20151020,000000,246.868,246.868,237.552,237.552,0,0
PBX_MV,D,20151021,000000,237.552,237.552,231.529,236.504,0,0
PBX_MV,D,20151022,000000,234.435,238.571,234.435,238.571,0,0
PBX_MV,D,20151023,000000,238.571,241.072,238.571,241.072,0,0
PBX_MV,D,20151026,000000,230.273,241.072,230.273,241.072,0,0
PBX_MV,D,20151027,000000,240.657,246.868,240.657,245.82,0,0
PBX_MV,D,20151028,000000,234.435,244.801,234.435,244.801,0,0
PBX_MV,D,20151029,000000,244.395,244.801,240.657,244.395,0,0
PBX_MV,D,20151030,000000,244.395,244.801,239.401,244.801,0,0
PBX_MV,D,20151102,000000,243.764,246.048,243.764,246.048,0,0
PBX_MV,D,20151103,000000,244.801,244.801,234.435,244.801,0,0
PBX_MV,D,20151104,000000,244.395,244.395,234.643,244.395,0,0
PBX_MV,D,20151105,000000,243.764,244.395,238.571,244.395,0,0
PBX_MV,D,20151106,000000,235.475,243.764,235.268,243.764,0,0
PBX_MV,D,20151109,000000,243.556,243.556,243.556,243.556,0,0
PBX_MV,D,20151110,000000,235.268,243.556,234.833,243.556,0,0
PBX_MV,D,20151113,000000,238.571,242.724,234.435,242.724,0,0
PBX_MV,D,20151116,000000,237.552,241.488,231.529,241.488,0,0
PBX_MV,D,20151117,000000,237.552,242.724,237.552,242.724,0,0
PBX_MV,D,20151118,000000,240.657,242.724,240.657,242.724,0,0
PBX_MV,D,20151119,000000,242.527,244.583,242.527,244.583,0,0
PBX_MV,D,20151120,000000,244.395,244.395,244.395,244.395,0,0
PBX_MV,D,20151124,000000,234.643,241.686,234.435,241.686,0,0
PBX_MV,D,20151125,000000,242.724,242.724,242.724,242.724,0,0
PBX_MV,D,20151126,000000,238.571,244.395,234.435,242.724,0,0
PBX_MV,D,20151127,000000,233.182,236.504,233.182,236.504,0,0
PBX_MV,D,20151130,000000,241.686,241.686,232.369,241.686,0,0
PBX_MV,D,20151201,000000,243.764,243.764,241.686,241.686,0,0
PBX_MV,D,20151203,000000,229.244,238.571,229.244,238.571,0,0
PBX_MV,D,20151204,000000,233.379,239.61,233.379,239.61,0,0
PBX_MV,D,20151207,000000,241.686,241.686,230.5,241.686,0,0
PBX_MV,D,20151208,000000,242.724,242.724,242.724,242.724,0,0
PBX_MV,D,20151209,000000,238.571,242.724,232.369,242.724,0,0
PBX_MV,D,20151210,000000,243.764,243.764,232.557,238.571,0,0
PBX_MV,D,20151211,000000,243.347,243.347,230.5,238.571,0,0
PBX_MV,D,20151214,000000,239.212,239.212,229.244,235.475,0,0
PBX_MV,D,20151215,000000,238.788,238.788,226.129,237.552,0,0
PBX_MV,D,20151216,000000,238.788,240.657,238.788,240.243,0,0
PBX_MV,D,20151217,000000,240.243,240.449,240.243,240.449,0,0
PBX_MV,D,20151218,000000,230.5,234.435,223.429,234.435,0,0
PBX_MV,D,20151221,000000,238.571,238.571,228.196,228.196,0,0
PBX_MV,D,20151222,000000,236.296,236.296,225.516,228.196,0,0
PBX_MV,D,20151223,000000,234.833,234.833,225.516,233.182,0,0
PBX_MV,D,20151228,000000,233.182,235.475,228.196,235.475,0,0
PBX_MV,D,20151229,000000,234.435,234.435,234.435,234.435,0,0
PBX_MV,D,20151230,000000,236.504,236.504,221.976,232.369,0,0
PBX_MV,D,20160104,000000,240.657,240.657,229.244,234.229,0,0
PBX_MV,D,20160105,000000,224.052,233.182,224.052,232.369,0,0
PBX_MV,D,20160111,000000,224.676,224.676,203.304,217.841,0,0
PBX_MV,D,20160112,000000,227.999,227.999,213.462,213.462,0,0
PBX_MV,D,20160113,000000,222.193,222.193,208.496,213.679,0,0
PBX_MV,D,20160114,000000,209.534,209.534,209.534,209.534,0,0
PBX_MV,D,20160115,000000,211.611,220.938,207.458,220.324,0,0
PBX_MV,D,20160118,000000,219.078,219.078,211.611,217.615,0,0
PBX_MV,D,20160119,000000,216.793,216.793,216.793,216.793,0,0
PBX_MV,D,20160120,000000,216.793,216.793,216.793,216.793,0,0
PBX_MV,D,20160121,000000,207.458,213.679,207.458,213.679,0,0
PBX_MV,D,20160122,000000,216.793,216.793,206.428,206.428,0,0
PBX_MV,D,20160125,000000,216.793,216.793,208.496,216.18,0,0
PBX_MV,D,20160126,000000,215.746,215.746,205.39,209.118,0,0
PBX_MV,D,20160127,000000,199.17,210.563,199.17,209.534,0,0
PBX_MV,D,20160128,000000,209.534,209.534,197.083,207.26,0,0
PBX_MV,D,20160129,000000,197.083,209.534,197.083,207.042,0,0
PBX_MV,D,20160201,000000,197.083,205.174,186.916,190.853,0,0
PBX_MV,D,20160202,000000,190.853,203.304,188.795,203.106,0,0
PBX_MV,D,20160203,000000,205.174,205.174,188.795,202.057,0,0
PBX_MV,D,20160204,000000,186.916,202.284,186.916,202.057,0,0
PBX_MV,D,20160205,000000,201.227,202.284,197.083,202.284,0,0
PBX_MV,D,20160208,000000,202.284,202.284,189.833,201.227,0,0
PBX_MV,D,20160209,000000,201.227,202.057,198.122,198.122,0,0
PBX_MV,D,20160210,000000,198.122,201.227,198.122,201.227,0,0
PBX_MV,D,20160211,000000,199.17,202.284,195.016,202.284,0,0
PBX_MV,D,20160212,000000,195.016,203.304,195.016,203.304,0,0
PBX_MV,D,20160215,000000,203.304,213.462,203.304,211.195,0,0
PBX_MV,D,20160216,000000,207.458,211.195,193.127,207.26,0,0
PBX_MV,D,20160217,000000,203.304,207.26,201.227,203.304,0,0
PBX_MV,D,20160218,000000,208.288,209.534,207.458,207.458,0,0
PBX_MV,D,20160219,000000,207.458,209.534,207.458,209.534,0,0
PBX_MV,D,20160222,000000,213.272,213.272,207.458,209.534,0,0
PBX_MV,D,20160223,000000,209.534,209.534,199.566,209.534,0,0
PBX_MV,D,20160224,000000,209.534,209.534,202.472,209.327,0,0
PBX_MV,D,20160225,000000,201.661,207.26,200.605,207.26,0,0
PBX_MV,D,20160226,000000,205.39,209.327,205.39,209.327,0,0
PBX_MV,D,20160229,000000,209.534,209.534,200.821,205.39,0,0
PBX_MV,D,20160301,000000,210.563,211.611,207.458,211.394,0,0
PBX_MV,D,20160302,000000,211.394,213.679,200.208,213.462,0,0
PBX_MV,D,20160303,000000,212.64,212.64,207.458,211.611,0,0
PBX_MV,D,20160304,000000,211.611,211.611,204.333,209.534,0,0
PBX_MV,D,20160307,000000,212.64,212.64,207.458,212.017,0,0
PBX_MV,D,20160308,000000,211.819,212.017,208.288,212.017,0,0
PBX_MV,D,20160309,000000,208.496,212.017,208.288,211.611,0,0
PBX_MV,D,20160310,000000,212.017,219.908,209.733,219.908,0,0
PBX_MV,D,20160311,000000,220.324,226.763,220.324,226.555,0,0
PBX_MV,D,20160314,000000,226.328,227.999,224.052,224.052,0,0
PBX_MV,D,20160315,000000,224.052,230.5,220.938,230.5,0,0
PBX_MV,D,20160316,000000,230.273,234.229,228.413,229.443,0,0
PBX_MV,D,20160317,000000,231.322,236.504,231.322,236.504,0,0
PBX_MV,D,20160318,000000,230.273,236.504,230.273,235.475,0,0
PBX_MV,D,20160321,000000,235.475,236.504,235.475,236.504,0,0
PBX_MV,D,20160322,000000,236.504,236.504,213.896,233.379,0,0
PBX_MV,D,20160323,000000,236.504,236.504,233.379,233.379,0,0
PBX_MV,D,20160324,000000,232.369,234.435,232.369,234.435,0,0
PBX_MV,D,20160329,000000,234.435,237.552,228.413,237.552,0,0
PBX_MV,D,20160330,000000,237.552,242.527,237.552,242.527,0,0
PBX_MV,D,20160331,000000,242.724,244.395,236.296,242.527,0,0
PBX_MV,D,20160401,000000,240.657,249.38,240.657,249.38,0,0
PBX_MV,D,20160404,000000,248.955,249.38,248.955,248.955,0,0
PBX_MV,D,20160405,000000,244.801,244.801,244.801,244.801,0,0
PBX_MV,D,20160406,000000,232.369,238.571,232.369,238.571,0,0
PBX_MV,D,20160407,000000,238.571,244.801,238.571,241.072,0,0
PBX_MV,D,20160408,000000,242.724,242.724,241.28,241.28,0,0
PBX_MV,D,20160411,000000,241.28,241.28,238.571,238.571,0,0
PBX_MV,D,20160412,000000,238.571,255.175,238.571,248.955,0,0
PBX_MV,D,20160414,000000,246.868,253.108,246.868,253.108,0,0
PBX_MV,D,20160415,000000,253.108,253.108,248.955,248.955,0,0
PBX_MV,D,20160418,000000,252.477,252.477,248.955,248.955,0,0
PBX_MV,D,20160419,000000,248.955,252.901,244.801,244.801,0,0
PBX_MV,D,20160420,000000,244.583,245.82,244.583,245.82,0,0
PBX_MV,D,20160421,000000,247.925,248.955,247.925,248.955,0,0
PBX_MV,D,20160422,000000,252.901,253.108,248.955,253.108,0,0
PBX_MV,D,20160425,000000,254.137,254.137,253.919,253.919,0,0
PBX_MV,D,20160426,000000,253.72,255.175,253.72,255.175,0,0
PBX_MV,D,20160427,000000,247.69,263.275,247.69,255.175,0,0
PBX_MV,D,20160429,000000,255.175,255.175,255.175,255.175,0,0
PBX_MV,D,20160502,000000,255.175,255.175,255.175,255.175,0,0
PBX_MV,D,20160504,000000,261.396,261.396,252.061,252.901,0,0
PBX_MV,D,20160505,000000,230.273,230.273,230.273,230.273,0,0
PBX_MV,D,20160506,000000,230.699,252.901,230.699,240.657,0,0
PBX_MV,D,20160509,000000,246.264,246.264,246.264,246.264,0,0
PBX_MV,D,20160511,000000,232.369,242.724,232.369,242.724,0,0
PBX_MV,D,20160512,000000,238.571,238.571,229.244,232.557,0,0
PBX_MV,D,20160513,000000,221.976,238.571,221.976,238.571,0,0
PBX_MV,D,20160517,000000,238.571,242.527,238.571,238.571,0,0
PBX_MV,D,20160518,000000,243.764,243.764,237.108,243.764,0,0
PBX_MV,D,20160519,000000,244.801,244.801,240.657,240.657,0,0
PBX_MV,D,20160520,000000,246.868,246.868,236.504,246.868,0,0
PBX_MV,D,20160523,000000,246.868,253.72,242.724,252.683,0,0
PBX_MV,D,20160524,000000,242.724,254.137,242.724,254.137,0,0
PBX_MV,D,20160525,000000,248.955,251.022,248.955,251.022,0,0
PBX_MV,D,20160527,000000,242.724,242.724,242.724,242.724,0,0
PBX_MV,D,20160530,000000,253.108,253.108,253.108,253.108,0,0
PBX_MV,D,20160531,000000,252.061,258.706,252.061,258.706,0,0
PBX_MV,D,20160601,000000,248.955,253.108,244.801,253.108,0,0
PBX_MV,D,20160602,000000,246.868,251.022,240.657,251.022,0,0
PBX_MV,D,20160603,000000,253.108,253.108,253.108,253.108,0,0
PBX_MV,D,20160607,000000,248.955,255.175,245.018,245.018,0,0
PBX_MV,D,20160608,000000,245.018,245.018,245.018,245.018,0,0
PBX_MV,D,20160609,000000,244.395,244.395,240.657,240.657,0,0
PBX_MV,D,20160614,000000,238.571,243.556,232.369,243.556,0,0
PBX_MV,D,20160615,000000,254.137,254.137,254.137,254.137,0,0
PBX_MV,D,20160616,000000,248.955,249.775,239.212,248.955,0,0
PBX_MV,D,20160617,000000,248.955,248.955,248.955,248.955,0,0
PBX_MV,D,20160621,000000,241.072,248.124,236.712,240.657,0,0
PBX_MV,D,20160622,000000,239.212,244.801,239.212,244.801,0,0
PBX_MV,D,20160623,000000,239.212,243.764,238.382,243.764,0,0
PBX_MV,D,20160624,000000,228.196,244.801,228.196,244.801,0,0
PBX_MV,D,20160627,000000,239.212,239.817,228.196,239.817,0,0
PBX_MV,D,20160628,000000,232.766,232.766,230.273,232.369,0,0
PBX_MV,D,20160629,000000,240.243,250.617,229.037,244.801,0,0
PBX_MV,D,20160630,000000,246.868,248.955,246.868,248.955,0,0
PBX_MV,D,20160701,000000,242.724,253.108,242.724,253.108,0,0
PBX_MV,D,20160704,000000,243.148,255.175,243.148,255.175,0,0
PBX_MV,D,20160706,000000,245.018,254.137,245.018,254.137,0,0
PBX_MV,D,20160707,000000,245.018,256.205,245.018,256.205,0,0
PBX_MV,D,20160708,000000,257.251,257.251,257.251,257.251,0,0
PBX_MV,D,20160712,000000,257.251,259.32,257.251,259.32,0,0
PBX_MV,D,20160713,000000,248.955,261.396,248.955,261.396,0,0
PBX_MV,D,20160718,000000,253.296,263.464,253.296,263.464,0,0
PBX_MV,D,20160721,000000,253.514,269.684,253.514,269.684,0,0
PBX_MV,D,20160722,000000,269.684,269.684,269.684,269.684,0,0
PBX_MV,D,20160725,000000,267.627,273.848,267.627,269.684,0,0
PBX_MV,D,20160726,000000,271.771,274.262,269.684,274.262,0,0
PBX_MV,D,20160727,000000,263.058,273.848,263.058,273.848,0,0
PBX_MV,D,20160729,000000,269.684,269.684,269.684,269.684,0,0
PBX_MV,D,20160801,000000,267.627,267.627,267.627,267.627,0,0
PBX_MV,D,20160808,000000,262.851,267.627,262.851,267.627,0,0
PBX_MV,D,20160809,000000,269.684,269.684,268.033,269.684,0,0
PBX_MV,D,20160810,000000,273.848,273.848,273.848,273.848,0,0
PBX_MV,D,20160812,000000,275.735,292.443,274.678,275.735,0,0
PBX_MV,D,20160816,000000,275.735,275.735,275.735,275.735,0,0
PBX_MV,D,20160818,000000,275.735,275.735,275.735,275.735,0,0
PBX_MV,D,20160822,000000,265.492,271.544,265.492,271.544,0,0
PBX_MV,D,20160825,000000,271.544,271.544,271.544,271.544,0,0
PBX_MV,D,20160829,000000,271.752,271.752,271.544,271.544,0,0
PBX_MV,D,20160830,000000,267.382,267.382,267.382,267.382,0,0
PBX_MV,D,20160831,000000,267.382,267.382,267.382,267.382,0,0
PBX_MV,D,20160906,000000,267.382,267.382,264.238,264.238,0,0
PBX_MV,D,20160907,000000,264.238,271.544,264.238,271.544,0,0
PBX_MV,D,20160909,000000,271.752,271.752,271.544,271.544,0,0
PBX_MV,D,20160912,000000,261.104,269.458,261.104,269.458,0,0
PBX_MV,D,20160915,000000,273.631,273.631,273.631,273.631,0,0
PBX_MV,D,20160919,000000,273.631,273.631,273.631,273.631,0,0
PBX_MV,D,20160921,000000,273.631,273.631,273.631,273.631,0,0
PBX_MV,D,20160923,000000,267.382,271.544,267.382,271.544,0,0
PBX_MV,D,20160927,000000,271.544,271.544,271.544,271.544,0,0
