<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX_PE,D,20150708,000000,9.94952,9.94952,9.94952,9.94952,0,0
PBX_PE,D,20150709,000000,9.94952,9.94952,9.86544,9.86544,0,0
PBX_PE,D,20150710,000000,10.1194,10.2045,10.0344,10.0344,0,0
PBX_PE,D,20150713,000000,10.0344,10.2904,10.0344,10.2904,0,0
PBX_PE,D,20150714,000000,10.4611,10.5443,10.2904,10.4611,0,0
PBX_PE,D,20150715,000000,10.5443,10.5443,10.5443,10.5443,0,0
PBX_PE,D,20150716,000000,10.6292,10.7151,10.6292,10.7151,0,0
PBX_PE,D,20150717,000000,10.7151,10.8,10.7151,10.7151,0,0
PBX_PE,D,20150720,000000,10.8,10.97,10.8,10.97,0,0
PBX_PE,D,20150721,000000,10.97,10.97,10.8,10.8,0,0
PBX_PE,D,20150722,000000,10.5443,10.5443,10.5443,10.5443,0,0
PBX_PE,D,20150723,000000,10.6292,10.6292,10.6292,10.6292,0,0
PBX_PE,D,20150724,000000,10.3761,10.4611,10.3761,10.4611,0,0
PBX_PE,D,20150728,000000,10.6292,10.6292,10.5443,10.5443,0,0
PBX_PE,D,20150729,000000,10.5443,10.8,10.2904,10.6292,0,0
PBX_PE,D,20150730,000000,10.6292,10.6292,10.6292,10.6292,0,0
PBX_PE,D,20150731,000000,10.7151,10.7151,10.2904,10.2904,0,0
PBX_PE,D,20150803,000000,10.4611,10.4611,10.4611,10.4611,0,0
PBX_PE,D,20150804,000000,10.6292,10.6292,10.6292,10.6292,0,0
PBX_PE,D,20150805,000000,10.3761,10.4611,10.3761,10.4611,0,0
PBX_PE,D,20150806,000000,10.4611,10.4611,10.4611,10.4611,0,0
PBX_PE,D,20150807,000000,10.5443,10.6292,10.5443,10.6292,0,0
PBX_PE,D,20150810,000000,10.7151,10.7151,10.6292,10.6292,0,0
PBX_PE,D,20150811,000000,10.5443,10.5443,10.5443,10.5443,0,0
PBX_PE,D,20150812,000000,10.5443,10.5443,10.4611,10.4611,0,0
PBX_PE,D,20150813,000000,10.5443,10.7151,10.5443,10.7151,0,0
PBX_PE,D,20150818,000000,10.6292,12.1593,10.6292,12.1593,0,0
PBX_PE,D,20150819,000000,12.082,12.4236,11.996,11.996,0,0
PBX_PE,D,20150820,000000,11.996,12.082,11.996,12.082,0,0
PBX_PE,D,20150824,000000,11.4816,11.996,11.4816,11.9083,0,0
PBX_PE,D,20150825,000000,11.9083,11.9083,11.8242,11.9083,0,0
PBX_PE,D,20150828,000000,11.9083,11.996,11.9083,11.996,0,0
PBX_PE,D,20150831,000000,12.082,12.166,11.996,12.166,0,0
PBX_PE,D,20150901,000000,12.166,12.166,9.93912,9.93912,0,0
PBX_PE,D,20150902,000000,9.93912,10.024,9.93912,10.024,0,0
PBX_PE,D,20150903,000000,10.024,10.024,10.024,10.024,0,0
PBX_PE,D,20150904,000000,9.85314,9.85314,9.85314,9.85314,0,0
PBX_PE,D,20150907,000000,9.5955,9.93912,9.51055,9.93912,0,0
PBX_PE,D,20150908,000000,9.76724,9.85314,9.5955,9.85314,0,0
PBX_PE,D,20150910,000000,9.76724,9.76724,9.76724,9.76724,0,0
PBX_PE,D,20150911,000000,9.76724,9.93912,9.76724,9.93912,0,0
PBX_PE,D,20150914,000000,9.93912,9.93912,9.68235,9.85314,0,0
PBX_PE,D,20150915,000000,9.93912,9.93912,9.85314,9.93912,0,0
PBX_PE,D,20150916,000000,9.93912,9.93912,9.85314,9.85314,0,0
PBX_PE,D,20150917,000000,9.85314,9.85314,9.85314,9.85314,0,0
PBX_PE,D,20150918,000000,9.76724,9.76724,9.76724,9.76724,0,0
PBX_PE,D,20150921,000000,9.76724,9.76724,9.68235,9.76724,0,0
PBX_PE,D,20150922,000000,9.76724,9.85314,9.76724,9.76724,0,0
PBX_PE,D,20150923,000000,9.76724,9.76724,9.76724,9.76724,0,0
PBX_PE,D,20150924,000000,9.85314,9.93912,9.68235,9.93912,0,0
PBX_PE,D,20150925,000000,9.68235,9.76724,9.68235,9.76724,0,0
PBX_PE,D,20150928,000000,9.85314,9.85314,9.76724,9.85314,0,0
PBX_PE,D,20150929,000000,9.93912,9.93912,9.85314,9.85314,0,0
PBX_PE,D,20150930,000000,9.85314,9.85314,9.85314,9.85314,0,0
