<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCO_PB,D,20210526,000000,6.57896,6.57896,6.57896,6.57896,0,0
PCO_PB,D,20210527,000000,6.57896,6.57896,6.43123,6.43123,0,0
PCO_PB,D,20210528,000000,6.51987,6.52972,6.40169,6.51987,0,0
PCO_PB,D,20210531,000000,6.51987,6.51987,6.39184,6.42138,0,0
PCO_PB,D,20210601,000000,6.42138,6.45093,6.39184,6.45093,0,0
PCO_PB,D,20210602,000000,6.45093,6.47063,6.38199,6.43123,0,0
PCO_PB,D,20210604,000000,6.43123,6.46078,6.40169,6.43123,0,0
PCO_PB,D,20210607,000000,6.43123,6.48048,6.43123,6.46078,0,0
PCO_PB,D,20210608,000000,6.48048,6.50017,6.46078,6.46078,0,0
PCO_PB,D,20210609,000000,6.46078,6.50017,6.45093,6.47063,0,0
PCO_PB,D,20210610,000000,6.48048,6.48048,6.40169,6.40169,0,0
PCO_PB,D,20210611,000000,6.39184,6.42138,6.37214,6.40169,0,0
PCO_PB,D,20210614,000000,6.39184,6.42138,6.25396,6.3032,0,0
PCO_PB,D,20210615,000000,6.3229,6.3229,6.20471,6.20471,0,0
PCO_PB,D,20210616,000000,6.23426,6.3032,6.14562,6.3032,0,0
PCO_PB,D,20210617,000000,6.27365,6.35244,6.17517,6.34259,0,0
PCO_PB,D,20210618,000000,6.33275,6.37214,6.2638,6.34259,0,0
PCO_PB,D,20210621,000000,6.34259,6.39184,6.31305,6.36229,0,0
PCO_PB,D,20210622,000000,6.35244,6.59866,6.35244,6.58881,0,0
PCO_PB,D,20210623,000000,6.59866,6.81533,6.56912,6.81533,0,0
PCO_PB,D,20210624,000000,6.81533,7.43581,6.75624,6.85473,0,0
PCO_PB,D,20210625,000000,6.73654,7.0714,6.73654,7.02216,0,0
PCO_PB,D,20210628,000000,7.03201,7.20928,7.03201,7.13049,0,0
PCO_PB,D,20210629,000000,7.13049,7.20928,7.06155,7.08125,0,0
