<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGV_MV,D,20070827,000000,82,82,82,82,0,0
PGV_MV,D,20070828,000000,74.82,74.82,74.82,74.82,0,0
PGV_MV,D,20070829,000000,73.8,73.8,73.8,73.8,0,0
PGV_MV,D,20070830,000000,67.65,67.65,67.65,67.65,0,0
PGV_MV,D,20070831,000000,69.29,69.29,69.29,69.29,0,0
PGV_MV,D,20070903,000000,67.65,67.65,67.65,67.65,0,0
PGV_MV,D,20070904,000000,65.8,65.8,65.8,65.8,0,0
PGV_MV,D,20070905,000000,63.55,63.55,63.55,63.55,0,0
PGV_MV,D,20070906,000000,64.57,64.57,64.57,64.57,0,0
PGV_MV,D,20070907,000000,64.16,64.16,64.16,64.16,0,0
PGV_MV,D,20070910,000000,61.7,61.7,61.7,61.7,0,0
PGV_MV,D,20070911,000000,62.52,62.52,62.52,62.52,0,0
PGV_MV,D,20070912,000000,62.11,62.11,62.11,62.11,0,0
PGV_MV,D,20070913,000000,61.5,61.5,61.5,61.5,0,0
PGV_MV,D,20070914,000000,61.29,61.29,61.29,61.29,0,0
PGV_MV,D,20070917,000000,58.63,58.63,58.63,58.63,0,0
PGV_MV,D,20070918,000000,59.24,59.24,59.24,59.24,0,0
PGV_MV,D,20070919,000000,61.5,61.5,61.5,61.5,0,0
PGV_MV,D,20070920,000000,63.34,63.34,63.34,63.34,0,0
PGV_MV,D,20070921,000000,62.93,62.93,62.93,62.93,0,0
PGV_MV,D,20070924,000000,62.11,62.11,62.11,62.11,0,0
PGV_MV,D,20070925,000000,59.45,59.45,59.45,59.45,0,0
PGV_MV,D,20070926,000000,60.47,60.47,60.47,60.47,0,0
PGV_MV,D,20070927,000000,60.47,60.47,60.47,60.47,0,0
PGV_MV,D,20070928,000000,60.47,60.47,60.47,60.47,0,0
PGV_MV,D,20071001,000000,58.42,58.42,58.42,58.42,0,0
PGV_MV,D,20071002,000000,57.81,57.81,57.81,57.81,0,0
PGV_MV,D,20071003,000000,57.19,57.19,57.19,57.19,0,0
PGV_MV,D,20071004,000000,76.67,76.67,76.67,76.67,0,0
PGV_MV,D,20071005,000000,67.24,67.24,67.24,67.24,0,0
PGV_MV,D,20071008,000000,65.8,65.8,65.8,65.8,0,0
PGV_MV,D,20071009,000000,69.29,69.29,69.29,69.29,0,0
PGV_MV,D,20071010,000000,69.7,69.7,69.7,69.7,0,0
PGV_MV,D,20071011,000000,67.03,67.03,67.03,67.03,0,0
PGV_MV,D,20071012,000000,67.03,67.03,67.03,67.03,0,0
PGV_MV,D,20071015,000000,66.83,66.83,66.83,66.83,0,0
PGV_MV,D,20071016,000000,65.19,65.19,65.19,65.19,0,0
PGV_MV,D,20071017,000000,64.57,64.57,64.57,64.57,0,0
PGV_MV,D,20071018,000000,64.78,64.78,64.78,64.78,0,0
PGV_MV,D,20071019,000000,68.67,68.67,68.67,68.67,0,0
PGV_MV,D,20071022,000000,67.65,67.65,67.65,67.65,0,0
PGV_MV,D,20071023,000000,71.34,71.34,71.34,71.34,0,0
PGV_MV,D,20071024,000000,70.93,70.93,70.93,70.93,0,0
PGV_MV,D,20071025,000000,71.75,71.75,71.75,71.75,0,0
PGV_MV,D,20071026,000000,69.7,69.7,69.7,69.7,0,0
PGV_MV,D,20071029,000000,68.26,68.26,68.26,68.26,0,0
PGV_MV,D,20071030,000000,67.44,67.44,67.44,67.44,0,0
PGV_MV,D,20071031,000000,67.24,67.24,67.24,67.24,0,0
PGV_MV,D,20071102,000000,66.42,66.42,66.42,66.42,0,0
PGV_MV,D,20071105,000000,64.37,64.37,64.37,64.37,0,0
PGV_MV,D,20071106,000000,64.37,64.37,64.37,64.37,0,0
PGV_MV,D,20071107,000000,59.86,59.86,59.86,59.86,0,0
PGV_MV,D,20071108,000000,57.19,57.19,57.19,57.19,0,0
PGV_MV,D,20071109,000000,57.4,58.22,51.66,55.14,0,0
PGV_MV,D,20071112,000000,53.3,55.14,52.27,54.12,0,0
PGV_MV,D,20071113,000000,53.3,53.91,51.04,53.91,0,0
PGV_MV,D,20071114,000000,54.53,54.53,52.48,52.68,0,0
PGV_MV,D,20071115,000000,54.53,54.53,45.3,47.15,0,0
PGV_MV,D,20071116,000000,47.97,48.79,44.07,47.97,0,0
PGV_MV,D,20071119,000000,47.97,49.2,45.3,45.3,0,0
PGV_MV,D,20071120,000000,41.82,41.82,41.82,41.82,0,0
PGV_MV,D,20071121,000000,40.79,40.79,37.92,38.13,0,0
PGV_MV,D,20071122,000000,36.08,41.61,34.03,41,0,0
PGV_MV,D,20071123,000000,44.28,45.1,41,42.43,0,0
PGV_MV,D,20071126,000000,42.84,46.94,42.02,44.07,0,0
PGV_MV,D,20071127,000000,43.05,43.05,41.61,42.84,0,0
PGV_MV,D,20071128,000000,43.25,46.12,41.61,46.12,0,0
PGV_MV,D,20071129,000000,47.76,47.97,43.25,43.25,0,0
PGV_MV,D,20071130,000000,43.87,46.53,43.66,46.53,0,0
PGV_MV,D,20071203,000000,46.74,46.74,45.1,45.71,0,0
PGV_MV,D,20071204,000000,46.53,46.53,44.28,45.3,0,0
PGV_MV,D,20071205,000000,45.71,47.15,45.51,47.15,0,0
PGV_MV,D,20071206,000000,47.15,50.22,46.12,47.76,0,0
PGV_MV,D,20071207,000000,49.2,51.04,47.97,49.2,0,0
PGV_MV,D,20071210,000000,49.2,50.22,48.17,48.17,0,0
PGV_MV,D,20071211,000000,47.56,50.22,44.69,50.22,0,0
PGV_MV,D,20071212,000000,46.12,57.4,46.12,56.17,0,0
PGV_MV,D,20071213,000000,53.71,58.83,52.68,53.09,0,0
PGV_MV,D,20071214,000000,54.73,54.73,52.89,53.09,0,0
PGV_MV,D,20071217,000000,52.89,57.4,51.25,53.3,0,0
PGV_MV,D,20071218,000000,52.27,53.71,49.2,50.02,0,0
PGV_MV,D,20071219,000000,51.25,52.27,49.81,50.43,0,0
PGV_MV,D,20071220,000000,50.43,53.3,49.4,50.84,0,0
PGV_MV,D,20071221,000000,50.84,51.25,47.76,48.17,0,0
PGV_MV,D,20071227,000000,47.15,48.99,46.94,48.99,0,0
PGV_MV,D,20071228,000000,47.97,48.79,46.94,48.17,0,0
PGV_MV,D,20080102,000000,48.17,51.86,46.94,49.2,0,0
PGV_MV,D,20080103,000000,47.56,49.2,47.35,47.97,0,0
PGV_MV,D,20080104,000000,47.56,51.25,47.15,50.02,0,0
PGV_MV,D,20080107,000000,48.99,50.22,47.15,47.97,0,0
PGV_MV,D,20080108,000000,47.97,48.38,46.53,46.74,0,0
PGV_MV,D,20080109,000000,46.12,46.12,43.25,44.69,0,0
PGV_MV,D,20080110,000000,44.69,45.92,41,43.66,0,0
PGV_MV,D,20080111,000000,44.69,46.12,44.07,45.1,0,0
PGV_MV,D,20080114,000000,43.87,43.87,43.87,43.87,0,0
PGV_MV,D,20080115,000000,42.43,42.64,41,41,0,0
PGV_MV,D,20080116,000000,40.38,40.38,36.49,36.49,0,0
PGV_MV,D,20080117,000000,38.54,38.54,35.46,37.31,0,0
PGV_MV,D,20080118,000000,36.9,38.33,36.08,38.13,0,0
PGV_MV,D,20080121,000000,37.72,37.92,36.28,36.69,0,0
PGV_MV,D,20080122,000000,34.85,35.87,34.44,35.67,0,0
PGV_MV,D,20080123,000000,36.9,36.9,33.82,35.05,0,0
PGV_MV,D,20080124,000000,36.49,38.13,36.28,38.13,0,0
PGV_MV,D,20080125,000000,38.33,39.15,38.13,38.33,0,0
PGV_MV,D,20080128,000000,36.49,36.9,36.49,36.9,0,0
PGV_MV,D,20080129,000000,38.13,39.36,37.72,39.36,0,0
PGV_MV,D,20080130,000000,39.36,44.89,38.54,43.05,0,0
PGV_MV,D,20080131,000000,43.05,44.69,39.77,39.77,0,0
PGV_MV,D,20080201,000000,42.02,43.46,41,42.84,0,0
PGV_MV,D,20080204,000000,43.46,44.07,41.82,42.64,0,0
PGV_MV,D,20080205,000000,41.61,42.02,38.95,39.15,0,0
PGV_MV,D,20080206,000000,37.51,40.38,37.51,39.56,0,0
PGV_MV,D,20080207,000000,38.95,40.18,38.95,39.36,0,0
PGV_MV,D,20080208,000000,40.38,40.59,38.74,40.59,0,0
PGV_MV,D,20080211,000000,39.97,40.38,39.77,39.97,0,0
PGV_MV,D,20080212,000000,40.59,42.23,40.59,41.61,0,0
PGV_MV,D,20080213,000000,41.41,42.23,39.36,42.23,0,0
PGV_MV,D,20080214,000000,42.43,42.43,41.2,41.41,0,0
PGV_MV,D,20080215,000000,41,41,39.77,41,0,0
PGV_MV,D,20080218,000000,40.18,40.38,38.95,39.77,0,0
PGV_MV,D,20080219,000000,40.18,41.41,39.97,41.41,0,0
PGV_MV,D,20080220,000000,41,41,40.18,41,0,0
PGV_MV,D,20080221,000000,40.18,41,38.95,40.59,0,0
PGV_MV,D,20080222,000000,39.36,40.18,38.95,39.97,0,0
PGV_MV,D,20080225,000000,39.97,39.97,38.95,39.56,0,0
PGV_MV,D,20080226,000000,39.77,39.97,39.15,39.15,0,0
PGV_MV,D,20080227,000000,39.36,39.36,38.33,38.33,0,0
PGV_MV,D,20080228,000000,38.13,38.74,37.92,37.92,0,0
PGV_MV,D,20080229,000000,38.13,39.56,37.72,38.54,0,0
PGV_MV,D,20080303,000000,37.92,38.54,36.49,36.9,0,0
PGV_MV,D,20080304,000000,36.9,37.92,36.49,37.92,0,0
PGV_MV,D,20080305,000000,38.33,39.36,37.92,37.92,0,0
PGV_MV,D,20080306,000000,38.33,38.74,37.31,37.72,0,0
PGV_MV,D,20080307,000000,37.92,37.92,36.69,36.9,0,0
PGV_MV,D,20080310,000000,36.28,37.31,36.28,37.31,0,0
PGV_MV,D,20080311,000000,36.9,37.72,36.9,37.31,0,0
PGV_MV,D,20080312,000000,38.13,38.54,37.31,38.13,0,0
PGV_MV,D,20080313,000000,36.9,38.13,36.49,37.31,0,0
PGV_MV,D,20080314,000000,36.49,38.13,36.49,38.13,0,0
PGV_MV,D,20080317,000000,36.9,37.31,36.08,36.28,0,0
PGV_MV,D,20080318,000000,36.9,37.1,36.9,37.1,0,0
PGV_MV,D,20080319,000000,36.49,37.92,36.49,37.92,0,0
PGV_MV,D,20080320,000000,37.92,37.92,36.08,37.31,0,0
PGV_MV,D,20080325,000000,37.31,37.51,37.31,37.51,0,0
PGV_MV,D,20080326,000000,37.51,37.92,37.51,37.72,0,0
PGV_MV,D,20080327,000000,37.92,38.13,37.31,38.13,0,0
PGV_MV,D,20080328,000000,37.51,37.92,37.51,37.92,0,0
