<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHR_PB,D,20080825,000000,72.1674,72.1674,72.1674,72.1674,0,0
PHR_PB,D,20080826,000000,72.48,72.48,72.48,72.48,0,0
PHR_PB,D,20080827,000000,71.2468,71.2468,71.2468,71.2468,0,0
PHR_PB,D,20080828,000000,72.4276,72.4276,72.4276,72.4276,0,0
PHR_PB,D,20080902,000000,72.6969,72.6969,69.9865,72.1927,0,0
PHR_PB,D,20080904,000000,70.8475,70.8565,70.8475,70.8565,0,0
PHR_PB,D,20080905,000000,72.6969,72.6969,72.6878,72.6878,0,0
PHR_PB,D,20080911,000000,71.3769,71.3769,71.2468,71.2468,0,0
PHR_PB,D,20080915,000000,71.507,71.507,71.507,71.507,0,0
PHR_PB,D,20080916,000000,71.7763,71.7763,71.7681,71.7681,0,0
PHR_PB,D,20080929,000000,71.8287,71.8287,71.8287,71.8287,0,0
PHR_PB,D,20081001,000000,71.8287,72.0374,71.8287,72.0374,0,0
PHR_PB,D,20081003,000000,71.9326,72.1674,71.9326,72.1674,0,0
PHR_PB,D,20081006,000000,70.8818,71.638,69.0144,69.0144,0,0
PHR_PB,D,20081007,000000,69.0144,69.0144,66.9988,66.9988,0,0
PHR_PB,D,20081008,000000,67.4424,67.4424,67.4424,67.4424,0,0
PHR_PB,D,20081010,000000,65.8704,65.8704,65.8704,65.8704,0,0
PHR_PB,D,20081013,000000,66.3917,66.3917,66.3917,66.3917,0,0
PHR_PB,D,20081014,000000,66.3917,66.3917,66.3917,66.3917,0,0
PHR_PB,D,20081024,000000,63.7157,63.7157,63.6642,63.6642,0,0
PHR_PB,D,20081029,000000,63.7681,63.8982,63.7681,63.8982,0,0
PHR_PB,D,20081030,000000,63.9253,63.9768,63.9253,63.9768,0,0
PHR_PB,D,20081031,000000,64.0283,64.0283,64.0283,64.0283,0,0
PHR_PB,D,20081103,000000,64.2894,64.6887,64.2894,64.6887,0,0
PHR_PB,D,20081106,000000,65.1061,66.1306,65.1061,66.1306,0,0
PHR_PB,D,20081107,000000,66.1306,66.1306,66.1306,66.1306,0,0
PHR_PB,D,20081110,000000,66.2616,66.3655,66.2616,66.3655,0,0
PHR_PB,D,20081112,000000,66.913,67.0521,65.3401,65.3401,0,0
PHR_PB,D,20081113,000000,63.2477,65.818,63.2477,65.818,0,0
PHR_PB,D,20081114,000000,65.818,65.818,65.818,65.818,0,0
