<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJP_MV,D,20070813,000000,149.315,149.315,149.315,149.315,0,0
PJP_MV,D,20070814,000000,142.361,142.361,142.361,142.361,0,0
PJP_MV,D,20070816,000000,115.398,115.398,115.398,115.398,0,0
PJP_MV,D,20070817,000000,125.54,125.54,125.54,125.54,0,0
PJP_MV,D,20070820,000000,131.804,131.804,131.804,131.804,0,0
PJP_MV,D,20070821,000000,118.992,118.992,118.992,118.992,0,0
PJP_MV,D,20070822,000000,124.772,124.772,124.772,124.772,0,0
PJP_MV,D,20070823,000000,125.885,125.885,125.885,125.885,0,0
PJP_MV,D,20070824,000000,126.586,126.586,126.586,126.586,0,0
PJP_MV,D,20070827,000000,132.883,132.883,132.883,132.883,0,0
PJP_MV,D,20070828,000000,130.628,130.628,130.628,130.628,0,0
PJP_MV,D,20070829,000000,136.036,136.036,136.036,136.036,0,0
PJP_MV,D,20070830,000000,139.889,139.889,139.889,139.889,0,0
PJP_MV,D,20070831,000000,146.879,146.879,146.879,146.879,0,0
PJP_MV,D,20070903,000000,152.122,152.122,152.122,152.122,0,0
PJP_MV,D,20070904,000000,165.513,165.513,165.513,165.513,0,0
PJP_MV,D,20070905,000000,167.162,167.162,167.162,167.162,0,0
PJP_MV,D,20070906,000000,166.792,166.792,166.792,166.792,0,0
PJP_MV,D,20070907,000000,154.568,154.568,154.568,154.568,0,0
PJP_MV,D,20070910,000000,151.941,151.941,151.941,151.941,0,0
PJP_MV,D,20070911,000000,155.423,155.423,155.423,155.423,0,0
PJP_MV,D,20070912,000000,153.867,153.867,153.867,153.867,0,0
PJP_MV,D,20070913,000000,157.366,157.366,157.366,157.366,0,0
PJP_MV,D,20070914,000000,159.111,159.111,159.111,159.111,0,0
PJP_MV,D,20070917,000000,153.867,153.867,153.867,153.867,0,0
PJP_MV,D,20070918,000000,156.667,156.667,156.667,156.667,0,0
PJP_MV,D,20070919,000000,160.001,160.001,160.001,160.001,0,0
PJP_MV,D,20070920,000000,159.111,159.111,159.111,159.111,0,0
PJP_MV,D,20070921,000000,160.139,160.139,160.139,160.139,0,0
PJP_MV,D,20070924,000000,156.667,156.667,156.667,156.667,0,0
PJP_MV,D,20070925,000000,152.476,152.476,152.476,152.476,0,0
PJP_MV,D,20070926,000000,155.578,155.578,155.578,155.578,0,0
PJP_MV,D,20070927,000000,155.578,155.578,155.578,155.578,0,0
PJP_MV,D,20070928,000000,151.068,151.068,151.068,151.068,0,0
PJP_MV,D,20071001,000000,148.796,148.796,148.796,148.796,0,0
PJP_MV,D,20071002,000000,148.451,148.451,148.451,148.451,0,0
PJP_MV,D,20071003,000000,147.811,147.811,147.811,147.811,0,0
PJP_MV,D,20071004,000000,146.879,146.879,146.879,146.879,0,0
PJP_MV,D,20071005,000000,153.168,153.168,153.168,153.168,0,0
PJP_MV,D,20071008,000000,155.621,155.621,155.621,155.621,0,0
PJP_MV,D,20071009,000000,157.202,157.202,157.202,157.202,0,0
PJP_MV,D,20071010,000000,151.034,151.034,151.034,151.034,0,0
PJP_MV,D,20071011,000000,159.794,159.794,159.794,159.794,0,0
PJP_MV,D,20071012,000000,157.366,157.366,157.366,157.366,0,0
PJP_MV,D,20071015,000000,162.973,162.973,162.973,162.973,0,0
PJP_MV,D,20071016,000000,163.456,163.456,163.456,163.456,0,0
PJP_MV,D,20071017,000000,164.372,164.372,164.372,164.372,0,0
PJP_MV,D,20071018,000000,167.128,167.128,167.128,167.128,0,0
PJP_MV,D,20071019,000000,166.792,166.792,166.792,166.792,0,0
PJP_MV,D,20071022,000000,159.466,159.466,159.466,159.466,0,0
PJP_MV,D,20071023,000000,155.966,155.966,155.966,155.966,0,0
PJP_MV,D,20071024,000000,157.902,157.902,157.902,157.902,0,0
PJP_MV,D,20071025,000000,157.902,157.902,157.902,157.902,0,0
PJP_MV,D,20071026,000000,157.366,157.366,157.366,157.366,0,0
PJP_MV,D,20071029,000000,155.267,155.267,155.267,155.267,0,0
PJP_MV,D,20071030,000000,154.274,154.274,154.274,154.274,0,0
