<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO_MV,D,20070813,000000,31470.1,31470.1,31470.1,31470.1,0,0
PKO_MV,D,20070814,000000,30876.4,30876.4,30876.4,30876.4,0,0
PKO_MV,D,20070816,000000,28750.7,28750.7,28750.7,28750.7,0,0
PKO_MV,D,20070817,000000,29807.6,29807.6,29807.6,29807.6,0,0
PKO_MV,D,20070820,000000,29837.4,29837.4,29837.4,29837.4,0,0
PKO_MV,D,20070821,000000,29190.1,29190.1,29190.1,29190.1,0,0
PKO_MV,D,20070822,000000,31173.2,31173.2,31173.2,31173.2,0,0
PKO_MV,D,20070823,000000,31173.2,31173.2,31173.2,31173.2,0,0
PKO_MV,D,20070824,000000,31410.8,31410.8,31410.8,31410.8,0,0
PKO_MV,D,20070827,000000,31470.1,31470.1,31470.1,31470.1,0,0
PKO_MV,D,20070828,000000,31410.8,31410.8,31410.8,31410.8,0,0
PKO_MV,D,20070829,000000,31945.3,31945.3,31945.3,31945.3,0,0
PKO_MV,D,20070830,000000,30876.4,30876.4,30876.4,30876.4,0,0
PKO_MV,D,20070831,000000,32034.4,32034.4,32034.4,32034.4,0,0
PKO_MV,D,20070903,000000,31618.6,31618.6,31618.6,31618.6,0,0
PKO_MV,D,20070904,000000,31945.3,31945.3,31945.3,31945.3,0,0
PKO_MV,D,20070905,000000,31173.2,31173.2,31173.2,31173.2,0,0
PKO_MV,D,20070906,000000,30728,30728,30728,30728,0,0
PKO_MV,D,20070907,000000,30282.7,30282.7,30282.7,30282.7,0,0
PKO_MV,D,20070910,000000,29510.6,29510.6,29510.6,29510.6,0,0
PKO_MV,D,20070911,000000,29956.1,29956.1,29956.1,29956.1,0,0
PKO_MV,D,20070912,000000,31024.9,31024.9,31024.9,31024.9,0,0
PKO_MV,D,20070913,000000,31529.5,31529.5,31529.5,31529.5,0,0
PKO_MV,D,20070914,000000,31173.2,31173.2,31173.2,31173.2,0,0
PKO_MV,D,20070917,000000,31767.1,31767.1,31767.1,31767.1,0,0
PKO_MV,D,20070918,000000,31945.3,31945.3,31945.3,31945.3,0,0
PKO_MV,D,20070919,000000,33518.8,33518.8,33518.8,33518.8,0,0
PKO_MV,D,20070920,000000,33607.8,33607.8,33607.8,33607.8,0,0
PKO_MV,D,20070921,000000,33014,33014,33014,33014,0,0
PKO_MV,D,20070924,000000,32657.7,32657.7,32657.7,32657.7,0,0
PKO_MV,D,20070925,000000,32034.4,32034.4,32034.4,32034.4,0,0
PKO_MV,D,20070926,000000,32360.8,32360.8,32360.8,32360.8,0,0
PKO_MV,D,20070927,000000,32479.6,32479.6,32479.6,32479.6,0,0
PKO_MV,D,20070928,000000,32776.5,32776.5,32776.5,32776.5,0,0
PKO_MV,D,20071001,000000,32746.8,32746.8,32746.8,32746.8,0,0
PKO_MV,D,20071002,000000,33429.7,33429.7,33429.7,33429.7,0,0
PKO_MV,D,20071003,000000,33132.8,33132.8,33132.8,33132.8,0,0
PKO_MV,D,20071004,000000,32657.7,32657.7,32657.7,32657.7,0,0
PKO_MV,D,20071005,000000,32687.5,32687.5,32687.5,32687.5,0,0
PKO_MV,D,20071008,000000,32657.7,32657.7,32657.7,32657.7,0,0
PKO_MV,D,20071009,000000,33162.5,33162.5,33162.5,33162.5,0,0
PKO_MV,D,20071010,000000,33340.6,33340.6,33340.6,33340.6,0,0
PKO_MV,D,20071011,000000,33548.5,33548.5,33548.5,33548.5,0,0
PKO_MV,D,20071012,000000,33192.2,33192.2,33192.2,33192.2,0,0
PKO_MV,D,20071015,000000,33251.6,33251.6,33251.6,33251.6,0,0
PKO_MV,D,20071016,000000,32182.8,32182.8,32182.8,32182.8,0,0
PKO_MV,D,20071017,000000,32657.7,32657.7,32657.7,32657.7,0,0
PKO_MV,D,20071018,000000,31796.8,31796.8,31796.8,31796.8,0,0
PKO_MV,D,20071019,000000,32390.6,32390.6,32390.6,32390.6,0,0
PKO_MV,D,20071022,000000,32509.3,32509.3,32509.3,32509.3,0,0
PKO_MV,D,20071023,000000,33548.5,33548.5,33548.5,33548.5,0,0
PKO_MV,D,20071024,000000,32954.6,32954.6,32954.6,32954.6,0,0
PKO_MV,D,20071025,000000,33370.3,33370.3,33370.3,33370.3,0,0
PKO_MV,D,20071026,000000,33043.7,33043.7,33043.7,33043.7,0,0
PKO_MV,D,20071029,000000,33251.6,33251.6,33251.6,33251.6,0,0
PKO_MV,D,20071030,000000,33400,33400,33400,33400,0,0
PKO_MV,D,20071031,000000,32954.6,32954.6,32954.6,32954.6,0,0
PKO_MV,D,20071102,000000,32360.8,32360.8,32360.8,32360.8,0,0
PKO_MV,D,20071105,000000,32420.3,32420.3,32420.3,32420.3,0,0
