<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO_PB,D,20070813,000000,3.0104,3.0104,3.0104,3.0104,0,0
PKO_PB,D,20070814,000000,2.94976,2.94976,2.94976,2.94976,0,0
PKO_PB,D,20070816,000000,2.74949,2.74949,2.74949,2.74949,0,0
PKO_PB,D,20070817,000000,2.85259,2.85259,2.85259,2.85259,0,0
PKO_PB,D,20070820,000000,2.85871,2.85871,2.85871,2.85871,0,0
PKO_PB,D,20070821,000000,2.79188,2.79188,2.79188,2.79188,0,0
PKO_PB,D,20070822,000000,2.98007,2.98007,2.98007,2.98007,0,0
PKO_PB,D,20070823,000000,2.98007,2.98007,2.98007,2.98007,0,0
PKO_PB,D,20070824,000000,3.0043,3.0043,3.0043,3.0043,0,0
PKO_PB,D,20070827,000000,3.0104,3.0104,3.0104,3.0104,0,0
PKO_PB,D,20070828,000000,3.0043,3.0043,3.0043,3.0043,0,0
PKO_PB,D,20070829,000000,3.05881,3.05881,3.05881,3.05881,0,0
PKO_PB,D,20070830,000000,2.97413,2.97413,2.97413,2.97413,0,0
PKO_PB,D,20070831,000000,3.08922,3.08922,3.08922,3.08922,0,0
PKO_PB,D,20070903,000000,3.04675,3.04675,3.04675,3.04675,0,0
PKO_PB,D,20070904,000000,3.07708,3.07708,3.07708,3.07708,0,0
PKO_PB,D,20070905,000000,3.0043,3.0043,3.0043,3.0043,0,0
PKO_PB,D,20070906,000000,2.96198,2.96198,2.96198,2.96198,0,0
PKO_PB,D,20070907,000000,2.91323,2.91323,2.91323,2.91323,0,0
PKO_PB,D,20070910,000000,2.84664,2.84664,2.84664,2.84664,0,0
PKO_PB,D,20070911,000000,2.88293,2.88293,2.88293,2.88293,0,0
PKO_PB,D,20070912,000000,2.98619,2.98619,2.98619,2.98619,0,0
PKO_PB,D,20070913,000000,3.04072,3.04072,3.04072,3.04072,0,0
PKO_PB,D,20070914,000000,3.0043,3.0043,3.0043,3.0043,0,0
PKO_PB,D,20070917,000000,3.05881,3.05881,3.05881,3.05881,0,0
PKO_PB,D,20070918,000000,3.07708,3.07708,3.07708,3.07708,0,0
PKO_PB,D,20070919,000000,3.22884,3.22884,3.22884,3.22884,0,0
PKO_PB,D,20070920,000000,3.23487,3.23487,3.23487,3.23487,0,0
PKO_PB,D,20070921,000000,3.18042,3.18042,3.18042,3.18042,0,0
PKO_PB,D,20070924,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20070925,000000,3.08922,3.08922,3.08922,3.08922,0,0
PKO_PB,D,20070926,000000,3.11962,3.11962,3.11962,3.11962,0,0
PKO_PB,D,20070927,000000,3.13177,3.13177,3.13177,3.13177,0,0
PKO_PB,D,20070928,000000,3.15604,3.15604,3.15604,3.15604,0,0
PKO_PB,D,20071001,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20071002,000000,3.2167,3.2167,3.2167,3.2167,0,0
PKO_PB,D,20071003,000000,3.19249,3.19249,3.19249,3.19249,0,0
PKO_PB,D,20071004,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20071005,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20071008,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20071009,000000,3.19249,3.19249,3.19249,3.19249,0,0
PKO_PB,D,20071010,000000,3.21074,3.21074,3.21074,3.21074,0,0
PKO_PB,D,20071011,000000,3.22884,3.22884,3.22884,3.22884,0,0
PKO_PB,D,20071012,000000,3.19852,3.19852,3.19852,3.19852,0,0
PKO_PB,D,20071015,000000,3.20456,3.20456,3.20456,3.20456,0,0
PKO_PB,D,20071016,000000,3.10136,3.10136,3.10136,3.10136,0,0
PKO_PB,D,20071017,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20071018,000000,3.06493,3.06493,3.06493,3.06493,0,0
PKO_PB,D,20071019,000000,3.12574,3.12574,3.12574,3.12574,0,0
PKO_PB,D,20071022,000000,3.13789,3.13789,3.13789,3.13789,0,0
PKO_PB,D,20071023,000000,3.22884,3.22884,3.22884,3.22884,0,0
PKO_PB,D,20071024,000000,3.17432,3.17432,3.17432,3.17432,0,0
PKO_PB,D,20071025,000000,3.21074,3.21074,3.21074,3.21074,0,0
PKO_PB,D,20071026,000000,3.18042,3.18042,3.18042,3.18042,0,0
PKO_PB,D,20071029,000000,3.20456,3.20456,3.20456,3.20456,0,0
PKO_PB,D,20071030,000000,3.2167,3.2167,3.2167,3.2167,0,0
PKO_PB,D,20071031,000000,3.17432,3.17432,3.17432,3.17432,0,0
PKO_PB,D,20071102,000000,3.11962,3.11962,3.11962,3.11962,0,0
PKO_PB,D,20071105,000000,3.12574,3.12574,3.12574,3.12574,0,0
PKO_PB,D,20071106,000000,3.15002,3.15002,3.15002,3.15002,0,0
PKO_PB,D,20071107,000000,3.0831,3.0831,3.0831,3.0831,0,0
PKO_PB,D,20071108,000000,3.01643,3.01643,3.01643,3.01643,0,0
PKO_PB,D,20071109,000000,3.10748,3.10748,2.97413,3.06493,0,0
PKO_PB,D,20071112,000000,3.0043,3.06493,2.99222,2.99222,0,0
PKO_PB,D,20071113,000000,2.99222,3.10136,2.99222,3.07708,0,0
PKO_PB,D,20071114,000000,3.10748,3.10748,2.97413,2.97413,0,0
PKO_PB,D,20071115,000000,2.98619,3.03477,2.92538,2.97413,0,0
PKO_PB,D,20071116,000000,2.96793,2.97413,2.91936,2.94364,0,0
PKO_PB,D,20071119,000000,2.96198,2.98007,2.9315,2.94976,0,0
PKO_PB,D,20071120,000000,2.93753,2.98619,2.91323,2.98619,0,0
PKO_PB,D,20071121,000000,2.9315,2.97413,2.9315,2.93753,0,0
PKO_PB,D,20071122,000000,2.94976,2.98619,2.91936,2.97413,0,0
PKO_PB,D,20071123,000000,2.97413,2.98007,2.95578,2.96198,0,0
PKO_PB,D,20071126,000000,2.97413,2.97413,2.91936,2.94364,0,0
PKO_PB,D,20071127,000000,2.91323,2.91323,2.86474,2.87688,0,0
PKO_PB,D,20071128,000000,2.87078,2.92538,2.74338,2.74338,0,0
PKO_PB,D,20071129,000000,2.77379,2.77379,2.73116,2.74338,0,0
PKO_PB,D,20071130,000000,2.75552,2.78592,2.68266,2.68266,0,0
PKO_PB,D,20071203,000000,2.74949,2.74949,2.67663,2.73116,0,0
PKO_PB,D,20071204,000000,2.71901,2.74949,2.70091,2.74949,0,0
PKO_PB,D,20071205,000000,2.76164,2.85871,2.76164,2.82831,0,0
PKO_PB,D,20071206,000000,2.82228,2.90118,2.82228,2.82228,0,0
PKO_PB,D,20071207,000000,2.87688,2.92538,2.85259,2.88903,0,0
PKO_PB,D,20071210,000000,2.88903,2.96793,2.88903,2.91936,0,0
PKO_PB,D,20071211,000000,2.92538,2.93753,2.91323,2.9315,0,0
PKO_PB,D,20071212,000000,2.88903,2.94364,2.87688,2.93753,0,0
PKO_PB,D,20071213,000000,2.88903,2.90118,2.82228,2.85259,0,0
PKO_PB,D,20071214,000000,2.85259,2.85259,2.76759,2.78592,0,0
PKO_PB,D,20071217,000000,2.75552,2.75552,2.68266,2.68266,0,0
PKO_PB,D,20071218,000000,2.71901,2.77379,2.67059,2.70091,0,0
PKO_PB,D,20071219,000000,2.71901,2.74949,2.70091,2.70091,0,0
PKO_PB,D,20071220,000000,2.70091,2.74338,2.70091,2.74338,0,0
PKO_PB,D,20071221,000000,2.77974,2.84664,2.76759,2.79806,0,0
PKO_PB,D,20071227,000000,2.81014,2.88903,2.81014,2.88903,0,0
PKO_PB,D,20071228,000000,2.84045,2.86474,2.78592,2.81616,0,0
PKO_PB,D,20080102,000000,2.79188,2.82228,2.72521,2.72521,0,0
PKO_PB,D,20080103,000000,2.73116,2.73116,2.68266,2.70091,0,0
PKO_PB,D,20080104,000000,2.70687,2.71306,2.63408,2.67059,0,0
PKO_PB,D,20080107,000000,2.65837,2.65837,2.59162,2.60376,0,0
PKO_PB,D,20080108,000000,2.62202,2.62797,2.60376,2.62202,0,0
PKO_PB,D,20080109,000000,2.58559,2.58559,2.5127,2.57344,0,0
PKO_PB,D,20080110,000000,2.5308,2.53701,2.48842,2.5127,0,0
PKO_PB,D,20080111,000000,2.46422,2.54295,2.46422,2.47636,0,0
PKO_PB,D,20080114,000000,2.43985,2.43985,2.43985,2.43985,0,0
