<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKP_PB,D,20131030,000000,0.9663,0.9663,0.9663,0.9663,0,0
PKP_PB,D,20131031,000000,0.9572,0.9753,0.9572,0.9663,0,0
PKP_PB,D,20131104,000000,0.9663,0.9663,0.9572,0.9572,0,0
PKP_PB,D,20131105,000000,0.9572,0.9572,0.9572,0.9572,0,0
PKP_PB,D,20131106,000000,0.9482,0.9572,0.9482,0.9572,0,0
PKP_PB,D,20131107,000000,0.9302,0.9572,0.9302,0.9482,0,0
PKP_PB,D,20131108,000000,0.9482,0.9572,0.9482,0.9572,0,0
PKP_PB,D,20131112,000000,0.9482,0.9663,0.9482,0.9663,0,0
PKP_PB,D,20131113,000000,0.9572,0.9843,0.9572,0.9753,0,0
PKP_PB,D,20131114,000000,0.9663,0.9753,0.9572,0.9753,0,0
PKP_PB,D,20131115,000000,0.9663,1.0024,0.9663,0.9843,0,0
PKP_PB,D,20131118,000000,0.9843,1.0024,0.9843,0.9933,0,0
PKP_PB,D,20131119,000000,0.9843,1.0024,0.9843,0.9933,0,0
PKP_PB,D,20131120,000000,0.9933,0.9933,0.9392,0.9392,0,0
PKP_PB,D,20131121,000000,0.9392,0.9392,0.9302,0.9302,0,0
PKP_PB,D,20131122,000000,0.9302,0.9392,0.9302,0.9392,0,0
PKP_PB,D,20131125,000000,0.9392,0.9572,0.9392,0.9572,0,0
PKP_PB,D,20131126,000000,0.9572,0.9572,0.9482,0.9572,0,0
PKP_PB,D,20131127,000000,0.9482,0.9753,0.9482,0.9663,0,0
PKP_PB,D,20131128,000000,0.9663,1.0024,0.9663,0.9843,0,0
PKP_PB,D,20131129,000000,0.9843,0.9933,0.9843,0.9933,0,0
PKP_PB,D,20131202,000000,0.9933,0.9933,0.9753,0.9753,0,0
PKP_PB,D,20131203,000000,0.9843,0.9843,0.9572,0.9663,0,0
PKP_PB,D,20131204,000000,0.9663,0.9753,0.9572,0.9572,0,0
PKP_PB,D,20131205,000000,0.9663,0.9663,0.9482,0.9482,0,0
PKP_PB,D,20131206,000000,0.9572,0.9572,0.9482,0.9572,0,0
PKP_PB,D,20131209,000000,0.9572,0.9843,0.9572,0.9843,0,0
PKP_PB,D,20131210,000000,0.9843,0.9843,0.9753,0.9843,0,0
PKP_PB,D,20131211,000000,0.9843,0.9843,0.9663,0.9753,0,0
