<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW_MV,D,20161019,000000,214.903,214.903,214.903,214.903,0,0
PLW_MV,D,20161020,000000,214.041,214.903,206.563,214.903,0,0
PLW_MV,D,20161021,000000,211.036,214.903,210.942,214.685,0,0
PLW_MV,D,20161024,000000,214.903,227.786,214.64,225.387,0,0
PLW_MV,D,20161025,000000,225.642,225.642,220.323,224.354,0,0
PLW_MV,D,20161026,000000,223.491,223.491,217.054,217.054,0,0
PLW_MV,D,20161027,000000,219.197,219.197,212.752,219.158,0,0
PLW_MV,D,20161028,000000,215.369,218.335,215.369,218.335,0,0
PLW_MV,D,20161031,000000,214.903,223.445,214.903,223.414,0,0
PLW_MV,D,20161102,000000,223.445,223.491,218.591,223.065,0,0
PLW_MV,D,20161103,000000,223.065,223.065,218.544,221.348,0,0
PLW_MV,D,20161104,000000,220.921,220.921,215.974,219.197,0,0
PLW_MV,D,20161107,000000,219.197,219.197,217.054,219.072,0,0
PLW_MV,D,20161108,000000,219.072,219.072,216.068,217.473,0,0
PLW_MV,D,20161109,000000,218.778,219.197,216.183,219.197,0,0
PLW_MV,D,20161110,000000,219.197,219.197,214.041,217.909,0,0
PLW_MV,D,20161114,000000,219.197,219.197,218.778,218.778,0,0
PLW_MV,D,20161115,000000,218.731,218.731,214.041,217.054,0,0
PLW_MV,D,20161116,000000,217.054,217.054,210.648,217.054,0,0
PLW_MV,D,20161117,000000,218.778,218.778,209.739,209.739,0,0
PLW_MV,D,20161118,000000,210.601,210.601,202.136,202.136,0,0
PLW_MV,D,20161121,000000,201.616,201.616,194.06,197.664,0,0
PLW_MV,D,20161122,000000,194.06,213.793,194.06,213.793,0,0
PLW_MV,D,20161123,000000,213.793,213.793,212.519,213.451,0,0
PLW_MV,D,20161124,000000,213.7,213.7,198.565,210.391,0,0
PLW_MV,D,20161125,000000,213.793,222.203,213.793,222.156,0,0
PLW_MV,D,20161128,000000,222.156,222.156,221.636,221.636,0,0
