<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW_PB,D,20161019,000000,13.0732,13.0732,13.0732,13.0732,0,0
PLW_PB,D,20161020,000000,13.0228,13.0732,12.5646,13.0732,0,0
PLW_PB,D,20161021,000000,12.8364,13.0732,12.8294,13.0584,0,0
PLW_PB,D,20161024,000000,13.0732,13.8537,13.0584,13.7108,0,0
PLW_PB,D,20161025,000000,13.7249,13.7249,13.4026,13.6456,0,0
PLW_PB,D,20161026,000000,13.5958,13.5958,13.2015,13.2015,0,0
PLW_PB,D,20161027,000000,13.3311,13.3311,12.9436,13.3311,0,0
PLW_PB,D,20161028,000000,13.1012,13.2806,13.1012,13.2806,0,0
PLW_PB,D,20161031,000000,13.0732,13.5889,13.0732,13.5889,0,0
PLW_PB,D,20161102,000000,13.5889,13.5958,13.2954,13.568,0,0
PLW_PB,D,20161103,000000,13.568,13.568,13.2954,13.4677,0,0
PLW_PB,D,20161104,000000,13.4383,13.4383,13.1377,13.3311,0,0
PLW_PB,D,20161107,000000,13.3311,13.3311,13.2015,13.3234,0,0
PLW_PB,D,20161108,000000,13.3234,13.3234,13.1448,13.2309,0,0
PLW_PB,D,20161109,000000,13.3102,13.3311,13.1517,13.3311,0,0
PLW_PB,D,20161110,000000,13.3311,13.3311,13.0228,13.2527,0,0
PLW_PB,D,20161114,000000,13.3311,13.3311,13.3102,13.3102,0,0
PLW_PB,D,20161115,000000,13.3031,13.3031,13.0228,13.2015,0,0
PLW_PB,D,20161116,000000,13.2015,13.2015,12.8154,13.2015,0,0
PLW_PB,D,20161117,000000,13.3102,13.3102,12.7588,12.7588,0,0
PLW_PB,D,20161118,000000,12.8085,12.8085,12.292,12.292,0,0
PLW_PB,D,20161121,000000,12.2641,12.2641,11.8051,12.0203,0,0
PLW_PB,D,20161122,000000,11.8051,13.0018,11.8051,13.0018,0,0
PLW_PB,D,20161123,000000,13.0018,13.0018,12.9295,12.9862,0,0
PLW_PB,D,20161124,000000,13.0018,13.0018,12.0777,12.7937,0,0
PLW_PB,D,20161125,000000,13.0018,13.5175,13.0018,13.5097,0,0
PLW_PB,D,20161128,000000,13.5097,13.5097,12.1989,12.1989,0,0
PLW_PB,D,20161129,000000,12.2059,12.6717,11.9697,12.6221,0,0
PLW_PB,D,20161130,000000,12.6221,13.0151,12.3565,13.0088,0,0
PLW_PB,D,20161201,000000,13.0088,13.0088,12.4357,13.0088,0,0
PLW_PB,D,20161202,000000,13.0088,13.0088,12.5934,12.9941,0,0
PLW_PB,D,20161205,000000,12.9941,12.9941,12.636,12.636,0,0
PLW_PB,D,20161206,000000,13.0018,13.0018,12.5786,12.9156,0,0
PLW_PB,D,20161207,000000,12.9156,12.9156,12.5934,12.9009,0,0
PLW_PB,D,20161208,000000,12.5934,12.8791,12.5934,12.8791,0,0
PLW_PB,D,20161209,000000,12.9009,12.9009,12.5856,12.8791,0,0
PLW_PB,D,20161212,000000,12.8791,12.8939,12.5856,12.5856,0,0
PLW_PB,D,20161213,000000,12.5856,13.0018,12.5856,12.8791,0,0
PLW_PB,D,20161214,000000,12.9295,12.9295,12.7509,12.7509,0,0
PLW_PB,D,20161215,000000,12.7509,12.7509,12.5934,12.7509,0,0
PLW_PB,D,20161216,000000,12.7509,12.7509,12.3068,12.4931,0,0
PLW_PB,D,20161219,000000,12.0489,12.6935,12.0342,12.5934,0,0
PLW_PB,D,20161220,000000,12.2059,12.6221,12.2059,12.4862,0,0
PLW_PB,D,20161221,000000,12.4862,12.4862,11.9985,11.9985,0,0
PLW_PB,D,20161222,000000,12.3565,12.3565,11.9775,11.9775,0,0
PLW_PB,D,20161223,000000,12.0987,12.0987,11.9697,12.0342,0,0
PLW_PB,D,20161227,000000,12.0489,12.2999,11.8766,12.2999,0,0
PLW_PB,D,20161228,000000,12.2276,12.2276,11.8766,12.0699,0,0
PLW_PB,D,20161229,000000,12.2773,12.7509,12.2276,12.6221,0,0
PLW_PB,D,20161230,000000,12.4931,12.9156,12.4931,12.9156,0,0
PLW_PB,D,20170102,000000,12.9513,12.9513,12.3992,12.8729,0,0
PLW_PB,D,20170103,000000,12.9513,12.9513,12.2276,12.2276,0,0
PLW_PB,D,20170104,000000,12.4862,12.4862,12.2276,12.2276,0,0
PLW_PB,D,20170105,000000,12.2276,12.4497,11.9697,11.9697,0,0
PLW_PB,D,20170109,000000,11.9697,12.0987,11.9697,11.9775,0,0
PLW_PB,D,20170110,000000,11.9775,11.9915,11.813,11.9697,0,0
PLW_PB,D,20170111,000000,11.9697,11.9697,11.813,11.8339,0,0
PLW_PB,D,20170112,000000,11.9418,11.9418,11.576,11.7834,0,0
PLW_PB,D,20170113,000000,11.9418,11.9418,11.5831,11.7119,0,0
PLW_PB,D,20170116,000000,11.5831,11.6902,11.4471,11.5831,0,0
PLW_PB,D,20170117,000000,11.59,11.59,11.3679,11.3826,0,0
PLW_PB,D,20170118,000000,11.3826,11.4262,11.347,11.4262,0,0
PLW_PB,D,20170119,000000,11.4471,11.4471,11.1893,11.3826,0,0
PLW_PB,D,20170120,000000,11.4471,11.4471,11.1893,11.4184,0,0
PLW_PB,D,20170123,000000,11.4471,11.4471,11.1893,11.4184,0,0
PLW_PB,D,20170124,000000,11.4619,11.4619,11.1893,11.3182,0,0
PLW_PB,D,20170125,000000,11.1963,11.3182,11.1963,11.218,0,0
PLW_PB,D,20170126,000000,11.475,11.576,11.225,11.576,0,0
PLW_PB,D,20170127,000000,11.576,11.576,11.2686,11.3601,0,0
PLW_PB,D,20170130,000000,11.225,11.6614,11.225,11.6546,0,0
PLW_PB,D,20170131,000000,11.6546,12.7214,11.6546,12.2424,0,0
PLW_PB,D,20170201,000000,12.2276,12.4862,12.2276,12.4785,0,0
PLW_PB,D,20170202,000000,12.4931,12.5646,12.3852,12.4931,0,0
PLW_PB,D,20170203,000000,12.4931,12.4931,12.3565,12.3565,0,0
PLW_PB,D,20170206,000000,12.3565,12.4862,12.3565,12.4862,0,0
PLW_PB,D,20170207,000000,12.4862,12.4862,12.4497,12.4497,0,0
PLW_PB,D,20170208,000000,12.4862,12.4862,12.4217,12.4706,0,0
PLW_PB,D,20170209,000000,12.4785,12.7214,12.3348,12.6717,0,0
PLW_PB,D,20170210,000000,12.4931,12.6717,12.4931,12.4931,0,0
PLW_PB,D,20170213,000000,12.4931,12.772,12.4931,12.7509,0,0
PLW_PB,D,20170214,000000,12.8442,12.8442,12.5437,12.6438,0,0
PLW_PB,D,20170215,000000,12.7509,12.8085,12.5001,12.8085,0,0
PLW_PB,D,20170216,000000,12.8085,12.8085,12.5211,12.772,0,0
PLW_PB,D,20170217,000000,12.7509,12.7509,12.5001,12.5211,0,0
PLW_PB,D,20170220,000000,12.8006,12.8442,12.7509,12.8442,0,0
PLW_PB,D,20170221,000000,12.8442,13.1377,12.6221,13.0515,0,0
PLW_PB,D,20170222,000000,13.0515,13.1804,12.8791,13.0375,0,0
PLW_PB,D,20170223,000000,13.1377,13.1377,12.9584,13.0088,0,0
PLW_PB,D,20170224,000000,13.0088,13.0088,12.8294,13.0088,0,0
PLW_PB,D,20170227,000000,13.3102,13.7892,13.3102,13.5454,0,0
PLW_PB,D,20170228,000000,13.682,14.8997,13.5314,14.5703,0,0
PLW_PB,D,20170301,000000,14.9641,15.2935,14.7281,14.8927,0,0
PLW_PB,D,20170302,000000,15.0931,16.3107,15.0931,16.0809,0,0
PLW_PB,D,20170303,000000,16.5258,17.4343,16.1601,16.8115,0,0
PLW_PB,D,20170306,000000,16.862,16.862,16.3107,16.7704,0,0
PLW_PB,D,20170307,000000,16.0809,16.2253,15.1217,15.3501,0,0
PLW_PB,D,20170308,000000,15.337,15.8743,14.6986,14.8275,0,0
PLW_PB,D,20170309,000000,15.0931,15.4799,14.6986,15.3439,0,0
PLW_PB,D,20170310,000000,15.5807,16.1313,15.1513,16.0809,0,0
PLW_PB,D,20170313,000000,16.3107,16.3898,16.2898,16.383,0,0
PLW_PB,D,20170314,000000,16.3107,16.4031,16.0809,16.3612,0,0
PLW_PB,D,20170315,000000,16.3107,16.4465,16.0033,16.4465,0,0
PLW_PB,D,20170316,000000,16.4465,16.4465,16.275,16.3898,0,0
PLW_PB,D,20170317,000000,16.261,16.6554,16.261,16.3898,0,0
PLW_PB,D,20170320,000000,16.6182,16.8846,16.5476,16.7044,0,0
PLW_PB,D,20170321,000000,16.7759,17.0415,16.7331,16.8115,0,0
PLW_PB,D,20170322,000000,16.8846,16.9979,16.3898,16.7828,0,0
PLW_PB,D,20170323,000000,16.9412,16.977,16.5258,16.7828,0,0
PLW_PB,D,20170324,000000,16.9132,16.9195,16.3394,16.6554,0,0
PLW_PB,D,20170327,000000,16.6554,16.6554,16.0033,16.6477,0,0
PLW_PB,D,20170328,000000,16.6554,16.6554,15.7445,16.5972,0,0
PLW_PB,D,20170329,000000,16.5762,16.5762,15.7445,16.1034,0,0
PLW_PB,D,20170330,000000,16.1034,16.1034,15.6296,16.0528,0,0
PLW_PB,D,20170331,000000,16.4108,16.4108,15.6374,15.917,0,0
PLW_PB,D,20170403,000000,16.3898,16.3898,15.3501,15.3501,0,0
PLW_PB,D,20170404,000000,15.587,15.6095,15.3501,15.6017,0,0
PLW_PB,D,20170405,000000,15.4799,15.6095,15.2227,15.6095,0,0
PLW_PB,D,20170406,000000,15.6164,15.8664,15.4867,15.8455,0,0
PLW_PB,D,20170407,000000,15.8385,15.8385,15.5302,15.6095,0,0
PLW_PB,D,20170410,000000,15.6164,15.6164,15.1723,15.6095,0,0
PLW_PB,D,20170411,000000,15.2227,15.6017,5.6877,5.6877,0,0
PLW_PB,D,20170412,000000,5.64468,5.73787,5.64468,5.73787,0,0
PLW_PB,D,20170413,000000,5.73787,5.73787,5.53013,5.64468,0,0
PLW_PB,D,20170418,000000,5.59459,5.68056,5.59459,5.68056,0,0
PLW_PB,D,20170419,000000,5.6877,5.6877,5.60173,5.65897,0,0
PLW_PB,D,20170420,000000,5.6877,6.02441,5.6877,5.96702,0,0
PLW_PB,D,20170421,000000,5.96702,5.98131,5.85248,5.98131,0,0
PLW_PB,D,20170424,000000,5.98131,5.98131,5.88829,5.98131,0,0
PLW_PB,D,20170425,000000,5.93836,5.93836,5.80224,5.89542,0,0
PLW_PB,D,20170426,000000,5.88829,5.88829,5.54434,5.63047,0,0
PLW_PB,D,20170427,000000,5.6877,5.88105,5.6877,5.84535,0,0
PLW_PB,D,20170428,000000,5.84535,5.84535,5.73787,5.84535,0,0
PLW_PB,D,20170502,000000,5.85963,5.85963,5.73787,5.82366,0,0
PLW_PB,D,20170504,000000,5.83089,5.83089,5.59459,5.73787,0,0
PLW_PB,D,20170505,000000,5.73787,5.73787,5.59459,5.59459,0,0
PLW_PB,D,20170508,000000,5.59459,5.64468,5.56586,5.56586,0,0
PLW_PB,D,20170509,000000,5.56586,5.56586,5.23636,5.44409,0,0
PLW_PB,D,20170510,000000,5.30082,5.63047,5.30082,5.54434,0,0
PLW_PB,D,20170511,000000,5.54434,5.54434,5.48719,5.54434,0,0
PLW_PB,D,20170512,000000,5.54434,5.54434,5.25795,5.54434,0,0
PLW_PB,D,20170515,000000,5.49426,5.49426,5.394,5.48719,0,0
PLW_PB,D,20170516,000000,5.48719,5.48719,5.25073,5.25073,0,0
PLW_PB,D,20170517,000000,5.394,5.394,4.90681,5.10031,0,0
PLW_PB,D,20170518,000000,5.17906,5.20057,5.05015,5.05015,0,0
PLW_PB,D,20170519,000000,5.05015,5.394,5.05015,5.394,0,0
PLW_PB,D,20170522,000000,5.394,5.394,5.30082,5.394,0,0
PLW_PB,D,20170523,000000,5.394,5.394,5.30082,5.394,0,0
PLW_PB,D,20170524,000000,5.394,5.394,5.394,5.394,0,0
PLW_PB,D,20170525,000000,5.394,5.55156,5.394,5.55156,0,0
PLW_PB,D,20170526,000000,5.57309,5.57309,5.17192,5.17192,0,0
PLW_PB,D,20170529,000000,5.36536,5.40108,5.19335,5.40108,0,0
PLW_PB,D,20170530,000000,5.40108,5.51577,5.16469,5.51577,0,0
PLW_PB,D,20170531,000000,5.51577,5.59459,5.37965,5.37965,0,0
PLW_PB,D,20170601,000000,5.37965,5.60173,5.37965,5.54434,0,0
PLW_PB,D,20170602,000000,5.57309,5.57309,5.45124,5.4656,0,0
PLW_PB,D,20170605,000000,5.54434,5.64468,5.54434,5.57309,0,0
PLW_PB,D,20170606,000000,5.6519,5.6519,5.47997,5.64468,0,0
PLW_PB,D,20170607,000000,5.6519,5.6519,5.47997,5.63047,0,0
PLW_PB,D,20170608,000000,5.6519,5.6519,5.63752,5.63752,0,0
PLW_PB,D,20170609,000000,5.6519,5.6519,5.6519,5.6519,0,0
PLW_PB,D,20170612,000000,5.55871,5.57309,5.45124,5.4656,0,0
PLW_PB,D,20170613,000000,5.47997,5.66619,5.47997,5.57309,0,0
PLW_PB,D,20170614,000000,5.57309,5.7235,5.51577,5.70199,0,0
PLW_PB,D,20170616,000000,5.66619,5.75215,5.66619,5.71628,0,0
PLW_PB,D,20170619,000000,5.67333,5.70199,5.66619,5.70199,0,0
PLW_PB,D,20170620,000000,5.75929,5.75929,5.4298,5.4298,0,0
PLW_PB,D,20170621,000000,5.47997,5.47997,5.4298,5.4656,0,0
PLW_PB,D,20170622,000000,5.57309,5.71628,5.52291,5.61603,0,0
PLW_PB,D,20170623,000000,5.66619,5.66619,5.57309,5.66619,0,0
PLW_PB,D,20170626,000000,5.66619,5.66619,5.52291,5.66619,0,0
PLW_PB,D,20170627,000000,5.66619,5.66619,5.57309,5.57309,0,0
PLW_PB,D,20170628,000000,5.61603,5.66619,5.57309,5.59459,0,0
PLW_PB,D,20170629,000000,5.61603,5.66619,5.57309,5.66619,0,0
PLW_PB,D,20170630,000000,5.66619,5.75929,5.61603,5.75929,0,0
PLW_PB,D,20170703,000000,5.75929,5.85248,5.75929,5.83089,0,0
PLW_PB,D,20170704,000000,5.83811,5.85248,5.76652,5.82366,0,0
PLW_PB,D,20170705,000000,5.82366,5.82366,5.61603,5.61603,0,0
PLW_PB,D,20170706,000000,5.71628,5.71628,5.58023,5.65897,0,0
PLW_PB,D,20170707,000000,5.65897,5.78803,5.65897,5.78803,0,0
PLW_PB,D,20170710,000000,5.90257,5.90257,5.85248,5.85248,0,0
