<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPS_PE,D,20070813,000000,22.5136,22.5136,22.5136,22.5136,0,0
PPS_PE,D,20070814,000000,22.2705,22.2705,22.2705,22.2705,0,0
PPS_PE,D,20070816,000000,20.1653,20.1653,20.1653,20.1653,0,0
PPS_PE,D,20070817,000000,20.7316,20.7316,20.7316,20.7316,0,0
PPS_PE,D,20070820,000000,20.4084,20.4084,20.4084,20.4084,0,0
PPS_PE,D,20070821,000000,19.7591,19.7591,19.7591,19.7591,0,0
PPS_PE,D,20070822,000000,20.7316,20.7316,20.7316,20.7316,0,0
PPS_PE,D,20070823,000000,22.5136,22.5136,22.5136,22.5136,0,0
PPS_PE,D,20070824,000000,3.07742,3.07742,3.07742,3.07742,0,0
PPS_PE,D,20070827,000000,2.91543,2.91543,2.91543,2.91543,0,0
PPS_PE,D,20070828,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070829,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070830,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070831,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070903,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070904,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070905,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070906,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070907,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070910,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070911,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070912,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070913,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070914,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20070917,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070918,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070919,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070920,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070921,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20070924,000000,2.59145,2.59145,2.59145,2.59145,0,0
PPS_PE,D,20070925,000000,2.59145,2.59145,2.59145,2.59145,0,0
PPS_PE,D,20070926,000000,2.5105,2.5105,2.5105,2.5105,0,0
PPS_PE,D,20070927,000000,2.5105,2.5105,2.5105,2.5105,0,0
PPS_PE,D,20070928,000000,2.5105,2.5105,2.5105,2.5105,0,0
PPS_PE,D,20071001,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20071002,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20071003,000000,2.75344,2.75344,2.75344,2.75344,0,0
PPS_PE,D,20071004,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20071005,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20071008,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20071009,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20071010,000000,2.67249,2.67249,2.67249,2.67249,0,0
PPS_PE,D,20071011,000000,2.67249,2.67249,2.67249,2.67249,0,0
