<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTW_MV,D,20130527,000000,18.6205,18.6205,18.6205,18.6205,0,0
PTW_MV,D,20130528,000000,19.6502,19.6502,19.6502,19.6502,0,0
PTW_MV,D,20130531,000000,19.1184,21.7787,19.1184,21.7787,0,0
PTW_MV,D,20130604,000000,20.2781,21.7787,20.2781,21.7787,0,0
PTW_MV,D,20130701,000000,21.2477,21.2477,21.2477,21.2477,0,0
PTW_MV,D,20130702,000000,21.2477,21.2477,21.2477,21.2477,0,0
PTW_MV,D,20130715,000000,21.2477,21.4047,21.2477,21.4047,0,0
PTW_MV,D,20130716,000000,21.4047,21.4047,21.4047,21.4047,0,0
PTW_MV,D,20130717,000000,21.3521,21.3521,21.3521,21.3521,0,0
PTW_MV,D,20130718,000000,21.3521,21.3521,21.3521,21.3521,0,0
PTW_MV,D,20130722,000000,19.1184,21.3521,19.1184,21.3521,0,0
PTW_MV,D,20130723,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130724,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130726,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130729,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130730,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130731,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130801,000000,22.3075,22.3075,22.3075,22.3075,0,0
PTW_MV,D,20130802,000000,22.3075,22.8385,22.3075,22.3075,0,0
PTW_MV,D,20130805,000000,22.7333,22.7333,22.7333,22.7333,0,0
PTW_MV,D,20130806,000000,22.7333,22.7333,22.7333,22.7333,0,0
PTW_MV,D,20130807,000000,22.7333,22.7333,22.7333,22.7333,0,0
PTW_MV,D,20130808,000000,22.7333,22.7333,22.7333,22.7333,0,0
PTW_MV,D,20130809,000000,22.7333,22.7333,22.7333,22.7333,0,0
PTW_MV,D,20130812,000000,22.7333,22.7333,22.7333,22.7333,0,0
PTW_MV,D,20130813,000000,22.7333,23.8998,22.7333,23.8998,0,0
PTW_MV,D,20131004,000000,23.8998,26.5587,23.8998,26.5587,0,0
PTW_MV,D,20131104,000000,29.2497,29.2497,29.2497,29.2497,0,0
PTW_MV,D,20131115,000000,29.2497,29.2497,29.2497,29.2497,0,0
