<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTW_PE,D,20130527,000000,9.03868,9.03868,9.03868,9.03868,0,0
PTW_PE,D,20130528,000000,9.56141,9.56141,9.56141,9.56141,0,0
PTW_PE,D,20130531,000000,9.30001,10.6107,9.30001,10.6107,0,0
PTW_PE,D,20130604,000000,9.88966,10.6107,8.51439,8.51439,0,0
PTW_PE,D,20130701,000000,8.25225,8.25225,8.25225,8.25225,0,0
PTW_PE,D,20130702,000000,8.25225,8.25225,8.25225,8.25225,0,0
PTW_PE,D,20130715,000000,8.25225,8.31761,8.25225,8.31761,0,0
PTW_PE,D,20130716,000000,8.31761,8.31761,8.31761,8.31761,0,0
PTW_PE,D,20130717,000000,8.31761,8.31761,8.31761,8.31761,0,0
PTW_PE,D,20130718,000000,8.31761,8.31761,8.31761,8.31761,0,0
PTW_PE,D,20130722,000000,7.46738,8.31761,7.46738,8.31761,0,0
PTW_PE,D,20130723,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130724,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130726,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130729,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130730,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130731,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130801,000000,8.71189,8.71189,8.71189,8.71189,0,0
PTW_PE,D,20130802,000000,8.71189,8.90795,8.71189,8.71189,0,0
PTW_PE,D,20130805,000000,8.90795,8.90795,8.84194,8.84194,0,0
PTW_PE,D,20130806,000000,8.84194,8.84194,8.84194,8.84194,0,0
PTW_PE,D,20130807,000000,8.84194,8.84194,8.84194,8.84194,0,0
PTW_PE,D,20130808,000000,8.84194,8.84194,8.84194,8.84194,0,0
PTW_PE,D,20130809,000000,8.84194,8.84194,8.84194,8.84194,0,0
PTW_PE,D,20130812,000000,8.84194,8.84194,8.84194,8.84194,0,0
PTW_PE,D,20130813,000000,8.84194,9.30001,8.84194,9.30001,0,0
PTW_PE,D,20131004,000000,14.4083,15.9803,14.4083,15.9803,0,0
PTW_PE,D,20131104,000000,17.6183,17.6183,17.6183,17.6183,0,0
PTW_PE,D,20131115,000000,17.6183,17.6183,17.6183,17.6183,0,0
PTW_PE,D,20131218,000000,18.5355,18.5355,18.5355,18.5355,0,0
PTW_PE,D,20131219,000000,19.9761,19.9761,17.1602,17.1602,0,0
PTW_PE,D,20131220,000000,16.5707,16.5707,16.5707,16.5707,0,0
PTW_PE,D,20131230,000000,15.9803,15.9803,15.9803,15.9803,0,0
PTW_PE,D,20140117,000000,15.9803,15.9803,15.9803,15.9803,0,0
PTW_PE,D,20140120,000000,16.5707,16.5707,16.5707,16.5707,0,0
PTW_PE,D,20140131,000000,19.059,22.0723,19.059,22.0723,0,0
PTW_PE,D,20140205,000000,22.0723,22.4006,22.0723,22.4006,0,0
PTW_PE,D,20140206,000000,18.9943,22.4006,18.9943,22.4006,0,0
PTW_PE,D,20140207,000000,22.4006,22.4006,22.4006,22.4006,0,0
PTW_PE,D,20140306,000000,20.8939,23.317,20.8939,23.317,0,0
PTW_PE,D,20140307,000000,23.317,23.317,23.317,23.317,0,0
PTW_PE,D,20140310,000000,23.317,27.967,23.317,27.5735,0,0
PTW_PE,D,20140311,000000,27.5735,33.0759,27.5735,27.5735,0,0
PTW_PE,D,20140312,000000,26.9853,32.3549,26.9853,32.3549,0,0
PTW_PE,D,20140313,000000,38.7082,41.721,36.8089,39.8875,0,0
PTW_PE,D,20140314,000000,31.8967,31.8967,25.8053,31.3078,0,0
PTW_PE,D,20140319,000000,29.014,29.014,28.9494,28.9494,0,0
PTW_PE,D,20140325,000000,27.967,27.967,27.967,27.967,0,0
PTW_PE,D,20140331,000000,27.967,27.967,27.967,27.967,0,0
PTW_PE,D,20140415,000000,26.0674,26.0674,26.0674,26.0674,0,0
PTW_PE,D,20140416,000000,24.5615,24.5615,24.5615,24.5615,0,0
PTW_PE,D,20140516,000000,17.1602,17.1602,17.0949,17.0949,0,0
