<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PUR_PB,D,20181211,000000,10.87,10.87,10.87,10.87,0,0
PUR_PB,D,20181212,000000,10.82,10.82,7.12,7.79,0,0
PUR_PB,D,20181213,000000,8.02,8.26,7.83,7.83,0,0
PUR_PB,D,20181214,000000,8.23,8.47,8.04,8.45,0,0
PUR_PB,D,20181217,000000,8.47,9.66,8.47,9.17,0,0
PUR_PB,D,20181218,000000,9.24,9.67,8.73,9.67,0,0
PUR_PB,D,20181219,000000,9.49,10.44,9.49,10.3,0,0
PUR_PB,D,20181220,000000,10.44,10.44,9.73,9.97,0,0
PUR_PB,D,20181221,000000,10.44,10.44,9.68,9.92,0,0
PUR_PB,D,20181227,000000,10.28,10.28,9.49,9.96,0,0
PUR_PB,D,20181228,000000,9.96,9.96,9.45,9.64,0,0
PUR_PB,D,20190102,000000,9.83,9.83,9.01,9.25,0,0
PUR_PB,D,20190103,000000,9.25,9.25,8.83,9.25,0,0
PUR_PB,D,20190104,000000,9.49,9.83,9.06,9.72,0,0
PUR_PB,D,20190107,000000,9.72,9.72,9.59,9.72,0,0
PUR_PB,D,20190108,000000,9.72,9.72,9.02,9.4,0,0
PUR_PB,D,20190109,000000,9.4,9.72,8.73,9.42,0,0
PUR_PB,D,20190110,000000,9.42,9.42,8.07,8.59,0,0
PUR_PB,D,20190111,000000,8.97,8.97,8.59,8.65,0,0
PUR_PB,D,20190114,000000,8.66,8.66,7.69,8.47,0,0
PUR_PB,D,20190115,000000,8.47,8.47,7.6,7.6,0,0
PUR_PB,D,20190116,000000,7.69,8.56,7.69,8.56,0,0
PUR_PB,D,20190117,000000,8.55,8.56,8.55,8.56,0,0
PUR_PB,D,20190118,000000,8.56,8.57,8.56,8.57,0,0
PUR_PB,D,20190121,000000,8.57,8.57,8.07,8.07,0,0
PUR_PB,D,20190122,000000,8.56,8.56,7.64,8.07,0,0
PUR_PB,D,20190123,000000,8.11,8.54,8.07,8.54,0,0
PUR_PB,D,20190124,000000,8.54,8.57,8.46,8.57,0,0
PUR_PB,D,20190125,000000,8.57,8.57,8.31,8.57,0,0
PUR_PB,D,20190128,000000,8.57,8.57,8.21,8.31,0,0
PUR_PB,D,20190129,000000,8.5,8.5,8.31,8.31,0,0
PUR_PB,D,20190130,000000,8.36,8.56,8.36,8.56,0,0
PUR_PB,D,20190131,000000,8.56,12.25,8.56,9.72,0,0
PUR_PB,D,20190201,000000,10.2,10.2,9.49,9.73,0,0
PUR_PB,D,20190204,000000,9.85,9.85,8.83,9.2,0,0
PUR_PB,D,20190205,000000,9.2,9.53,8.83,9.02,0,0
