<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWX_PE,D,20141006,000000,5.43941,5.43941,5.43941,5.43941,0,0
PWX_PE,D,20141007,000000,5.51936,5.51936,5.43941,5.43941,0,0
PWX_PE,D,20141008,000000,5.43941,5.43941,5.35947,5.43941,0,0
PWX_PE,D,20141009,000000,5.43941,5.43941,5.43941,5.43941,0,0
PWX_PE,D,20141010,000000,5.43941,5.43941,5.27952,5.35947,0,0
PWX_PE,D,20141013,000000,5.35947,5.35947,5.35947,5.35947,0,0
PWX_PE,D,20141014,000000,5.35947,5.35947,5.27952,5.35947,0,0
PWX_PE,D,20141015,000000,5.27952,5.27952,5.27952,5.27952,0,0
PWX_PE,D,20141016,000000,5.27952,5.27952,5.27952,5.27952,0,0
PWX_PE,D,20141017,000000,5.27952,5.27952,5.27952,5.27952,0,0
PWX_PE,D,20141020,000000,5.27952,5.27952,5.27952,5.27952,0,0
PWX_PE,D,20141021,000000,5.27952,5.27952,5.27952,5.27952,0,0
PWX_PE,D,20141022,000000,5.27952,5.35947,5.27952,5.27952,0,0
PWX_PE,D,20141023,000000,5.27952,5.27952,5.27952,5.27952,0,0
PWX_PE,D,20141024,000000,5.27952,5.35947,5.27952,5.27952,0,0
PWX_PE,D,20141027,000000,5.35947,5.35947,5.27952,5.35947,0,0
PWX_PE,D,20141028,000000,5.35947,5.43941,5.35947,5.43941,0,0
PWX_PE,D,20141029,000000,5.43941,5.43941,5.43941,5.43941,0,0
PWX_PE,D,20141030,000000,5.43941,5.43941,5.35947,5.35947,0,0
PWX_PE,D,20141031,000000,5.35947,5.35947,5.35947,5.35947,0,0
PWX_PE,D,20141103,000000,5.35947,5.35947,5.35947,5.35947,0,0
PWX_PE,D,20141104,000000,5.35947,5.35947,5.35947,5.35947,0,0
PWX_PE,D,20141105,000000,5.35947,5.35947,5.35947,5.35947,0,0
PWX_PE,D,20141106,000000,5.35947,5.67944,5.35947,5.67944,0,0
PWX_PE,D,20141107,000000,5.67944,5.67944,5.5994,5.67944,0,0
PWX_PE,D,20141110,000000,5.75939,5.83942,5.35947,5.35947,0,0
PWX_PE,D,20141112,000000,5.35947,5.5994,5.35947,5.35947,0,0
PWX_PE,D,20141113,000000,5.35947,5.43941,5.35947,5.43941,0,0
PWX_PE,D,20141114,000000,5.51936,5.51936,5.43941,5.51936,0,0
PWX_PE,D,20141117,000000,5.51936,5.67944,5.51936,5.67944,0,0
PWX_PE,D,20141118,000000,5.75939,5.75939,5.5994,5.5994,0,0
PWX_PE,D,20141119,000000,5.5994,5.5994,5.43941,5.5994,0,0
PWX_PE,D,20141120,000000,5.5994,5.5994,5.51936,5.51936,0,0
PWX_PE,D,20141121,000000,5.43941,5.5994,5.43941,5.5994,0,0
PWX_PE,D,20141124,000000,5.5994,5.5994,5.51936,5.51936,0,0
PWX_PE,D,20141125,000000,5.51936,5.51936,5.35947,5.43941,0,0
PWX_PE,D,20141126,000000,5.35947,5.51936,5.27952,5.51936,0,0
PWX_PE,D,20141127,000000,5.51936,5.51936,5.35947,5.51936,0,0
PWX_PE,D,20141128,000000,5.51936,5.51936,5.51936,5.51936,0,0
PWX_PE,D,20141201,000000,5.43941,5.43941,5.35947,5.43941,0,0
PWX_PE,D,20141202,000000,5.51936,5.51936,5.35947,5.51936,0,0
PWX_PE,D,20141203,000000,5.43941,5.51936,5.43941,5.43941,0,0
PWX_PE,D,20141204,000000,5.43941,5.43941,5.35947,5.43941,0,0
PWX_PE,D,20141205,000000,5.43941,5.51936,5.35947,5.51936,0,0
PWX_PE,D,20141208,000000,5.43941,5.51936,5.35947,5.51936,0,0
PWX_PE,D,20141209,000000,5.43941,5.51936,5.35947,5.51936,0,0
PWX_PE,D,20141210,000000,5.51936,5.51936,5.43941,5.51936,0,0
PWX_PE,D,20141211,000000,5.43941,5.51936,5.43941,5.51936,0,0
