<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU_PE,D,20100512,000000,2.85781,2.85781,2.85781,2.85781,0,0
PZU_PE,D,20100513,000000,2.85781,2.85781,2.82347,2.82347,0,0
PZU_PE,D,20100514,000000,2.82347,2.82347,2.78905,2.78905,0,0
PZU_PE,D,20100517,000000,2.72014,2.78905,2.72014,2.78905,0,0
PZU_PE,D,20100518,000000,2.78905,2.82347,2.78905,2.78905,0,0
PZU_PE,D,20100519,000000,2.75463,2.78905,2.72014,2.72014,0,0
PZU_PE,D,20100520,000000,2.72014,2.85781,2.61682,2.85781,0,0
PZU_PE,D,20100521,000000,2.85781,2.92672,2.85781,2.92672,0,0
PZU_PE,D,20100524,000000,2.92672,2.99562,2.92672,2.96121,0,0
PZU_PE,D,20100525,000000,2.89237,2.92672,2.85781,2.85781,0,0
PZU_PE,D,20100526,000000,2.89237,3.06445,2.89237,3.06445,0,0
PZU_PE,D,20100527,000000,2.99562,3.03012,2.99562,3.03012,0,0
PZU_PE,D,20100528,000000,3.03012,3.03012,2.99562,3.03012,0,0
PZU_PE,D,20100531,000000,2.99681,3.02864,2.96127,3.02864,0,0
PZU_PE,D,20100601,000000,2.99562,3.03012,2.96121,3.03012,0,0
PZU_PE,D,20100602,000000,3.03012,3.06445,3.03012,3.03012,0,0
PZU_PE,D,20100604,000000,3.03012,3.03012,2.96121,2.96121,0,0
PZU_PE,D,20100607,000000,2.89237,2.96121,2.89237,2.96121,0,0
PZU_PE,D,20100608,000000,2.96121,2.99562,2.92672,2.92672,0,0
PZU_PE,D,20100609,000000,2.92672,2.99562,2.92672,2.99562,0,0
PZU_PE,D,20100610,000000,2.96121,3.03012,2.96121,3.03012,0,0
PZU_PE,D,20100611,000000,3.03012,3.03012,2.99562,3.03012,0,0
PZU_PE,D,20100614,000000,3.03012,3.06445,3.03012,3.06445,0,0
PZU_PE,D,20100615,000000,3.06445,3.06445,3.06445,3.06445,0,0
PZU_PE,D,20100616,000000,3.06445,3.06445,2.99562,3.06445,0,0
PZU_PE,D,20100617,000000,3.02864,3.06416,3.02864,3.06416,0,0
PZU_PE,D,20100618,000000,3.06445,3.09888,3.06445,3.09888,0,0
PZU_PE,D,20100621,000000,3.09888,3.1677,3.09888,3.1677,0,0
PZU_PE,D,20100622,000000,3.13336,3.13336,3.13336,3.13336,0,0
PZU_PE,D,20100623,000000,3.13336,3.13336,3.09888,3.09888,0,0
PZU_PE,D,20100624,000000,3.09888,3.13336,3.06445,3.06445,0,0
PZU_PE,D,20100625,000000,3.06445,3.09888,3.06445,3.09888,0,0
PZU_PE,D,20100628,000000,3.09888,3.09888,3.06445,3.06445,0,0
PZU_PE,D,20100629,000000,3.06445,3.06445,3.03012,3.03012,0,0
PZU_PE,D,20100630,000000,3.02864,3.06416,3.02864,3.02864,0,0
PZU_PE,D,20100701,000000,3.03012,3.09888,3.03012,3.09888,0,0
PZU_PE,D,20100702,000000,3.06445,3.09888,3.06445,3.06445,0,0
PZU_PE,D,20100705,000000,3.06445,3.06445,3.06445,3.06445,0,0
PZU_PE,D,20100706,000000,3.06445,3.13336,3.06445,3.09888,0,0
PZU_PE,D,20100707,000000,3.06445,3.09888,3.06445,3.09888,0,0
PZU_PE,D,20100708,000000,3.13336,3.1677,3.09888,3.09888,0,0
PZU_PE,D,20100709,000000,3.09888,3.13336,3.09888,3.13336,0,0
PZU_PE,D,20100712,000000,3.13336,3.23661,3.13336,3.23661,0,0
PZU_PE,D,20100713,000000,3.23661,3.30552,3.23661,3.2711,0,0
PZU_PE,D,20100714,000000,3.2711,3.2711,3.20227,3.20227,0,0
PZU_PE,D,20100715,000000,3.20227,3.23661,3.20227,3.20227,0,0
PZU_PE,D,20100716,000000,3.1677,3.23661,3.1677,3.20227,0,0
PZU_PE,D,20100719,000000,3.20227,3.2711,3.20227,3.23661,0,0
PZU_PE,D,20100720,000000,3.23763,3.23763,3.20227,3.20227,0,0
PZU_PE,D,20100721,000000,3.20227,3.2711,3.20227,3.23661,0,0
PZU_PE,D,20100722,000000,3.23661,3.30552,3.23661,3.30552,0,0
PZU_PE,D,20100723,000000,3.2711,3.30552,3.2711,3.2711,0,0
PZU_PE,D,20100726,000000,3.33994,3.37443,3.30552,3.37443,0,0
PZU_PE,D,20100727,000000,3.37443,3.40877,3.33994,3.33994,0,0
PZU_PE,D,20100728,000000,3.37443,3.37443,3.30552,3.30552,0,0
PZU_PE,D,20100729,000000,3.30552,3.40877,3.30552,3.37443,0,0
PZU_PE,D,20100730,000000,3.37581,3.40767,3.34045,3.40767,0,0
PZU_PE,D,20100802,000000,3.40877,3.44325,3.40877,3.40877,0,0
PZU_PE,D,20100803,000000,3.40767,3.47855,3.40767,3.47855,0,0
PZU_PE,D,20100804,000000,3.47768,3.47768,3.44325,3.44325,0,0
PZU_PE,D,20100805,000000,3.44311,3.47855,3.40767,3.44311,0,0
PZU_PE,D,20100806,000000,3.44311,3.44311,3.40767,3.44311,0,0
PZU_PE,D,20100809,000000,3.44311,3.44311,3.30501,3.30501,0,0
PZU_PE,D,20100810,000000,3.33994,3.33994,3.2711,3.30552,0,0
PZU_PE,D,20100811,000000,3.30552,3.30552,3.2711,3.2711,0,0
PZU_PE,D,20100812,000000,3.2711,3.33994,3.2711,3.33994,0,0
PZU_PE,D,20100813,000000,3.40767,3.40767,3.37581,3.37581,0,0
PZU_PE,D,20100816,000000,3.37581,3.40767,3.37581,3.37581,0,0
PZU_PE,D,20100817,000000,3.37581,3.37581,3.30501,3.34045,0,0
PZU_PE,D,20100818,000000,3.37581,3.37581,3.30501,3.34045,0,0
PZU_PE,D,20100819,000000,3.34045,3.37581,3.34045,3.34045,0,0
PZU_PE,D,20100820,000000,3.34045,3.37581,3.34045,3.37581,0,0
PZU_PE,D,20100823,000000,3.40061,3.50687,3.40061,3.47149,0,0
PZU_PE,D,20100824,000000,3.47149,3.47149,3.40061,3.43605,0,0
PZU_PE,D,20100825,000000,3.40061,3.43605,3.36523,3.40061,0,0
PZU_PE,D,20100826,000000,3.36523,3.40061,3.32971,3.32971,0,0
PZU_PE,D,20100827,000000,3.29426,3.36523,3.29426,3.32971,0,0
PZU_PE,D,20100830,000000,3.36523,3.36523,3.32971,3.36523,0,0
