<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNA_MV,D,20231214,000000,113.65,113.65,113.65,113.65,0,0
QNA_MV,D,20231215,000000,115.22,129.53,101.75,105.82,0,0
QNA_MV,D,20231218,000000,105.82,105.82,94.169,98.86,0,0
QNA_MV,D,20231219,000000,95.612,97.218,91.102,97.18,0,0
QNA_MV,D,20231220,000000,97.181,104.45,97.181,97.6,0,0
QNA_MV,D,20231221,000000,102.11,102.11,97.236,97.24,0,0
QNA_MV,D,20231222,000000,100.48,100.48,93.808,99.22,0,0
QNA_MV,D,20231227,000000,94.349,99.04,93.808,98.26,0,0
QNA_MV,D,20231228,000000,95.612,98.138,94.169,94.89,0,0
QNA_MV,D,20231229,000000,96.875,99.184,93.808,93.81,0,0
QNA_MV,D,20240102,000000,93.808,97.055,93.808,97.04,0,0
QNA_MV,D,20240103,000000,95.63,96.875,91.373,96.87,0,0
QNA_MV,D,20240104,000000,93.808,103.62,93.808,99.15,0,0
QNA_MV,D,20240105,000000,99.148,102.14,97.416,99.08,0,0
QNA_MV,D,20240108,000000,97.596,99.22,95.612,99.2,0,0
QNA_MV,D,20240109,000000,97.416,108.24,97.416,104.63,0,0
QNA_MV,D,20240110,000000,106.42,113.11,106.42,112.84,0,0
QNA_MV,D,20240111,000000,112.89,114.55,111.2,113.62,0,0
QNA_MV,D,20240112,000000,113.58,113.6,106.44,113.6,0,0
QNA_MV,D,20240115,000000,111.85,111.85,108.24,108.24,0,0
QNA_MV,D,20240116,000000,107.34,107.88,106.44,106.44,0,0
QNA_MV,D,20240117,000000,106.44,108.24,103.37,103.55,0,0
QNA_MV,D,20240118,000000,106.35,109.14,103.73,103.73,0,0
QNA_MV,D,20240119,000000,106.26,106.35,106.26,106.35,0,0
QNA_MV,D,20240122,000000,106.35,106.35,106.35,106.35,0,0
QNA_MV,D,20240123,000000,103.01,103.01,92.906,102.83,0,0
QNA_MV,D,20240124,000000,101.93,101.93,95.973,99.04,0,0
QNA_MV,D,20240125,000000,99.04,99.942,95.612,99.94,0,0
QNA_MV,D,20240126,000000,99.942,100.84,94.097,98.86,0,0
QNA_MV,D,20240129,000000,100.21,104.63,100.21,104.45,0,0
QNA_MV,D,20240130,000000,102.83,104.63,101.02,104.63,0,0
QNA_MV,D,20240131,000000,106.44,107.88,104.63,104.81,0,0
QNA_MV,D,20240201,000000,104.81,106.42,104.63,106.35,0,0
QNA_MV,D,20240202,000000,106.44,107.34,104.09,104.09,0,0
QNA_MV,D,20240205,000000,104.09,113.63,101.02,104.63,0,0
QNA_MV,D,20240206,000000,104.83,104.88,100.3,102.83,0,0
QNA_MV,D,20240207,000000,102.83,107.05,99.22,104.61,0,0
QNA_MV,D,20240208,000000,101.2,107.34,99.4,101.02,0,0
QNA_MV,D,20240209,000000,101.02,106.38,101.02,101.02,0,0
QNA_MV,D,20240212,000000,104.51,104.51,96.514,101.6,0,0
QNA_MV,D,20240213,000000,101.6,101.6,100.3,101.02,0,0
QNA_MV,D,20240214,000000,101.02,101.93,96.514,100.12,0,0
QNA_MV,D,20240215,000000,97.596,99.4,97.073,99.4,0,0
QNA_MV,D,20240216,000000,99.328,99.328,95.612,99.15,0,0
QNA_MV,D,20240219,000000,99.148,99.148,97.416,97.42,0,0
QNA_MV,D,20240220,000000,95.883,95.883,92.96,93.63,0,0
QNA_MV,D,20240221,000000,94.169,96.514,93.808,93.81,0,0
QNA_MV,D,20240222,000000,93.808,95.612,92.816,92.82,0,0
QNA_MV,D,20240223,000000,96.334,96.334,92.293,95.43,0,0
QNA_MV,D,20240226,000000,93.808,93.808,85.329,89.3,0,0
QNA_MV,D,20240227,000000,88.396,90.2,84.788,86.77,0,0
QNA_MV,D,20240228,000000,90.11,90.182,88.396,88.4,0,0
QNA_MV,D,20240229,000000,89.298,89.298,86.592,87.49,0,0
QNA_MV,D,20240301,000000,86.601,88.396,85.87,85.87,0,0
QNA_MV,D,20240304,000000,86.213,86.231,86.213,86.213,0,0
QNA_MV,D,20240305,000000,86.213,86.592,85.329,86.21,0,0
QNA_MV,D,20240306,000000,86.051,86.051,85.329,86.05,0,0
QNA_MV,D,20240307,000000,86.033,86.033,85.149,85.87,0,0
QNA_MV,D,20240308,000000,86.033,86.033,84.788,84.79,0,0
QNA_MV,D,20240311,000000,85.681,85.681,77.392,77.57,0,0
QNA_MV,D,20240312,000000,77.59,77.752,70.536,74.29,0,0
QNA_MV,D,20240313,000000,73.928,73.928,66.396,68.37,0,0
QNA_MV,D,20240314,000000,67.83,71.98,66.748,68.55,0,0
QNA_MV,D,20240315,000000,69.238,73.964,67.686,71.529,0,0
QNA_MV,D,20240318,000000,71.619,74.325,70.717,74.31,0,0
QNA_MV,D,20240319,000000,74.307,74.325,69.815,70.36,0,0
QNA_MV,D,20240320,000000,73.603,73.964,69.634,70.34,0,0
QNA_MV,D,20240321,000000,70.356,71.953,69.815,71.95,0,0
QNA_MV,D,20240322,000000,70.356,72.115,69.995,71.26,0,0
QNA_MV,D,20240325,000000,71.186,71.8,69.815,71.8,0,0
QNA_MV,D,20240326,000000,68.732,68.732,63.14,64.04,0,0
QNA_MV,D,20240327,000000,66.171,68.15,63.23,68.15,0,0
QNA_MV,D,20240328,000000,68.002,70.35,68.002,70.35,0,0
QNA_MV,D,20240402,000000,69.454,71.799,68.55,68.55,0,0
QNA_MV,D,20240403,000000,68.552,70.717,68.552,69.45,0,0
QNA_MV,D,20240404,000000,71.258,71.258,67.65,67.65,0,0
QNA_MV,D,20240405,000000,69.454,69.454,65.846,67.65,0,0
QNA_MV,D,20240408,000000,66.838,70.356,66.748,66.75,0,0
QNA_MV,D,20240409,000000,66.838,66.838,63.14,63.5,0,0
QNA_MV,D,20240410,000000,63.501,64.944,54.12,59.35,0,0
QNA_MV,D,20240411,000000,57.006,63.14,57.006,61.61,0,0
QNA_MV,D,20240412,000000,62.869,62.869,60.975,62.33,0,0
QNA_MV,D,20240415,000000,63.32,63.501,63.32,63.5,0,0
QNA_MV,D,20240416,000000,63.14,64.764,62.058,64.76,0,0
QNA_MV,D,20240417,000000,64.673,64.673,64.58,64.58,0,0
QNA_MV,D,20240418,000000,62.689,64.222,62.689,64.22,0,0
QNA_MV,D,20240419,000000,64.222,64.222,63.14,64.22,0,0
QNA_MV,D,20240422,000000,64.042,64.042,62.238,62.24,0,0
QNA_MV,D,20240423,000000,61.877,63.32,61.877,63.32,0,0
QNA_MV,D,20240424,000000,63.32,65.756,61.336,64.94,0,0
QNA_MV,D,20240425,000000,65.575,65.846,63.501,64.94,0,0
QNA_MV,D,20240426,000000,61.336,64.764,61.336,64.04,0,0
QNA_MV,D,20240429,000000,64.042,64.042,61.065,61.34,0,0
QNA_MV,D,20240430,000000,62.869,62.87,62.869,62.87,0,0
QNA_MV,D,20240502,000000,62.509,62.96,62.509,62.96,0,0
QNA_MV,D,20240506,000000,63.862,63.862,63.14,63.14,0,0
QNA_MV,D,20240507,000000,63.14,63.14,58.991,60.89,0,0
QNA_MV,D,20240508,000000,60.885,61.516,54.12,57.37,0,0
QNA_MV,D,20240509,000000,57.367,57.367,54.03,56.47,0,0
QNA_MV,D,20240510,000000,55.563,59.442,54.842,59.35,0,0
QNA_MV,D,20240513,000000,59.171,60.434,54.21,57.73,0,0
QNA_MV,D,20240514,000000,57.728,59.442,57.548,58.45,0,0
QNA_MV,D,20240515,000000,60.073,62.509,60.073,61.34,0,0
QNA_MV,D,20240516,000000,61.877,63.23,61.336,62.96,0,0
QNA_MV,D,20240517,000000,61.336,62.689,59.532,59.71,0,0
QNA_MV,D,20240520,000000,61.967,63.14,61.967,63.14,0,0
QNA_MV,D,20240521,000000,63.14,63.14,60.975,60.98,0,0
QNA_MV,D,20240522,000000,61.246,63.14,61.246,62.96,0,0
QNA_MV,D,20240523,000000,62.869,63.14,62.869,63.14,0,0
QNA_MV,D,20240524,000000,62.96,62.96,57.548,60.25,0,0
QNA_MV,D,20240527,000000,60.434,60.795,56.916,56.92,0,0
QNA_MV,D,20240528,000000,56.916,58.991,55.022,55.56,0,0
QNA_MV,D,20240529,000000,55.112,55.112,51.053,53.49,0,0
QNA_MV,D,20240531,000000,53.218,53.218,50.873,52.77,0,0
QNA_MV,D,20240603,000000,52.316,57.548,52.316,56.83,0,0
QNA_MV,D,20240604,000000,56.826,56.826,53.94,54.48,0,0
QNA_MV,D,20240605,000000,54.842,54.842,52.406,52.41,0,0
QNA_MV,D,20240606,000000,52.587,53.22,52.587,53.22,0,0
QNA_MV,D,20240607,000000,53.218,55.653,53.218,54.84,0,0
QNA_MV,D,20240610,000000,55.653,60.524,54.661,59.17,0,0
QNA_MV,D,20240611,000000,61.516,68.552,61.336,64.04,0,0
QNA_MV,D,20240612,000000,66.207,69.003,66.207,67.83,0,0
QNA_MV,D,20240613,000000,67.83,67.83,61.877,64.04,0,0
QNA_MV,D,20240614,000000,62.418,67.65,62.418,67.2,0,0
QNA_MV,D,20240617,000000,68.552,68.552,63.862,64.13,0,0
QNA_MV,D,20240618,000000,66.207,69.093,66.207,66.658,0,0
QNA_MV,D,20240619,000000,66.748,67.109,65.395,66.75,0,0
QNA_MV,D,20240620,000000,66.748,66.748,64.673,65.94,0,0
QNA_MV,D,20240621,000000,66.026,68.372,63.411,64.31,0,0
QNA_MV,D,20240624,000000,64.313,65.485,63.501,64.4,0,0
QNA_MV,D,20240625,000000,66.928,66.928,64.94,64.94,0,0
QNA_MV,D,20240626,000000,66.477,66.748,63.14,63.14,0,0
QNA_MV,D,20240627,000000,63.681,64.854,62.689,64.49,0,0
QNA_MV,D,20240628,000000,64.493,65.756,62.779,63.14,0,0
QNA_MV,D,20240701,000000,59.983,61.7,59.983,61.7,0,0
QNA_MV,D,20240702,000000,61.336,62.96,59.89,59.89,0,0
QNA_MV,D,20240703,000000,59.893,61.34,59.893,61.34,0,0
QNA_MV,D,20240704,000000,61.336,62.69,61.336,62.69,0,0
QNA_MV,D,20240705,000000,62.599,62.599,57.728,58.45,0,0
QNA_MV,D,20240708,000000,59.893,59.893,55.022,57.01,0,0
QNA_MV,D,20240709,000000,57.006,61.79,57.006,61.79,0,0
QNA_MV,D,20240710,000000,61.697,61.697,59.803,59.89,0,0
QNA_MV,D,20240711,000000,59.893,61.97,57.367,61.97,0,0
QNA_MV,D,20240712,000000,61.877,61.877,57.908,58.27,0,0
QNA_MV,D,20240715,000000,58.269,59.081,57.728,59.08,0,0
QNA_MV,D,20240716,000000,57.548,57.728,56.1,56.1,0,0
QNA_MV,D,20240717,000000,59.803,59.803,55.924,56.01,0,0
QNA_MV,D,20240718,000000,58.359,58.72,58.359,58.72,0,0
QNA_MV,D,20240719,000000,58.45,58.991,57.097,57.1,0,0
QNA_MV,D,20240722,000000,57.728,60.254,57.728,60.25,0,0
QNA_MV,D,20240723,000000,60.254,61.156,60.25,60.25,0,0
QNA_MV,D,20240725,000000,59.532,59.532,59.53,59.53,0,0
QNA_MV,D,20240726,000000,60.975,60.98,60.975,60.98,0,0
QNA_MV,D,20240729,000000,60.975,62.24,60.975,62.24,0,0
QNA_MV,D,20240730,000000,62.328,72.16,62.328,72.16,0,0
QNA_MV,D,20240731,000000,69.995,80.098,69.995,73.6,0,0
QNA_MV,D,20240801,000000,70.446,74.866,70.356,72.16,0,0
QNA_MV,D,20240802,000000,72.16,73.152,69.995,70,0,0
QNA_MV,D,20240805,000000,69.995,69.995,64.042,68.19,0,0
QNA_MV,D,20240806,000000,68.462,70,68.462,70,0,0
QNA_MV,D,20240807,000000,69.995,69.995,67.019,67.02,0,0
QNA_MV,D,20240808,000000,66.928,66.928,64.944,66.75,0,0
QNA_MV,D,20240809,000000,65.666,69.725,65.666,69.72,0,0
QNA_MV,D,20240812,000000,69.725,71.53,69.725,71.53,0,0
QNA_MV,D,20240813,000000,71.438,71.438,69.183,71.26,0,0
