<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNA_PB,D,20231214,000000,7.299,7.299,7.299,7.299,0,0
QNA_PB,D,20231215,000000,7.4,8.319,6.535,6.796,0,0
QNA_PB,D,20231218,000000,6.796,6.796,6.048,6.349,0,0
QNA_PB,D,20231219,000000,6.141,6.244,5.851,6.241,0,0
QNA_PB,D,20231220,000000,6.242,6.708,6.242,6.268,0,0
QNA_PB,D,20231221,000000,6.558,6.558,6.245,6.245,0,0
QNA_PB,D,20231222,000000,6.453,6.453,6.025,6.373,0,0
QNA_PB,D,20231227,000000,6.06,6.361,6.025,6.311,0,0
QNA_PB,D,20231228,000000,6.141,6.303,6.048,6.094,0,0
QNA_PB,D,20231229,000000,6.222,6.37,6.025,6.025,0,0
QNA_PB,D,20240102,000000,6.025,6.233,6.025,6.232,0,0
QNA_PB,D,20240103,000000,6.142,6.222,5.869,6.222,0,0
QNA_PB,D,20240104,000000,6.025,6.655,6.025,6.368,0,0
QNA_PB,D,20240105,000000,6.368,6.56,6.257,6.364,0,0
QNA_PB,D,20240108,000000,6.268,6.373,6.141,6.371,0,0
QNA_PB,D,20240109,000000,6.257,6.952,6.257,6.72,0,0
QNA_PB,D,20240110,000000,6.835,7.265,6.835,7.247,0,0
QNA_PB,D,20240111,000000,7.25,7.357,7.142,7.297,0,0
QNA_PB,D,20240112,000000,7.295,7.296,6.836,7.296,0,0
QNA_PB,D,20240115,000000,7.184,7.184,6.952,6.952,0,0
QNA_PB,D,20240116,000000,6.894,6.929,6.836,6.836,0,0
QNA_PB,D,20240117,000000,6.836,6.952,6.639,6.651,0,0
QNA_PB,D,20240118,000000,6.83,7.01,6.662,6.662,0,0
QNA_PB,D,20240119,000000,6.825,6.83,6.825,6.83,0,0
QNA_PB,D,20240122,000000,6.83,6.83,6.83,6.83,0,0
QNA_PB,D,20240123,000000,6.616,6.616,5.967,6.604,0,0
QNA_PB,D,20240124,000000,6.547,6.547,6.164,6.361,0,0
QNA_PB,D,20240125,000000,6.361,6.419,6.141,6.419,0,0
QNA_PB,D,20240126,000000,6.419,6.477,6.043,6.349,0,0
QNA_PB,D,20240129,000000,6.436,6.72,6.436,6.708,0,0
QNA_PB,D,20240130,000000,6.604,6.72,6.488,6.72,0,0
QNA_PB,D,20240131,000000,6.836,6.929,6.72,6.732,0,0
QNA_PB,D,20240201,000000,6.732,6.835,6.72,6.83,0,0
QNA_PB,D,20240202,000000,6.836,6.894,6.685,6.685,0,0
QNA_PB,D,20240205,000000,6.685,7.298,6.488,6.72,0,0
QNA_PB,D,20240206,000000,6.733,6.736,6.442,6.604,0,0
QNA_PB,D,20240207,000000,6.604,6.875,6.373,6.719,0,0
QNA_PB,D,20240208,000000,6.5,6.894,6.384,6.488,0,0
QNA_PB,D,20240209,000000,6.488,6.832,6.488,6.488,0,0
QNA_PB,D,20240212,000000,6.712,6.712,6.199,6.525,0,0
QNA_PB,D,20240213,000000,6.525,6.525,6.442,6.488,0,0
QNA_PB,D,20240214,000000,6.488,7.281,6.199,7.281,0,0
QNA_PB,D,20240215,000000,7.098,7.229,7.06,7.229,0,0
QNA_PB,D,20240216,000000,7.224,7.224,6.954,7.211,0,0
QNA_PB,D,20240219,000000,7.211,7.211,7.085,7.085,0,0
QNA_PB,D,20240220,000000,6.973,6.973,6.761,6.809,0,0
QNA_PB,D,20240221,000000,6.849,7.019,6.822,6.823,0,0
QNA_PB,D,20240222,000000,6.822,6.954,6.75,6.751,0,0
QNA_PB,D,20240223,000000,7.006,7.006,6.712,6.94,0,0
QNA_PB,D,20240226,000000,6.822,6.822,6.206,6.495,0,0
QNA_PB,D,20240227,000000,6.429,6.56,6.166,6.311,0,0
QNA_PB,D,20240228,000000,6.553,6.559,6.429,6.429,0,0
QNA_PB,D,20240229,000000,6.494,6.494,6.298,6.363,0,0
QNA_PB,D,20240301,000000,6.298,6.429,6.245,6.245,0,0
QNA_PB,D,20240304,000000,6.27,6.271,6.27,6.27,0,0
QNA_PB,D,20240305,000000,6.27,6.298,6.206,6.27,0,0
QNA_PB,D,20240306,000000,6.258,6.258,6.206,6.258,0,0
QNA_PB,D,20240307,000000,6.257,6.257,6.193,6.245,0,0
QNA_PB,D,20240308,000000,6.257,6.257,6.166,6.167,0,0
QNA_PB,D,20240311,000000,6.231,6.231,5.629,5.641,0,0
QNA_PB,D,20240312,000000,5.643,5.655,5.13,5.403,0,0
QNA_PB,D,20240313,000000,5.377,5.377,4.829,4.972,0,0
QNA_PB,D,20240314,000000,4.933,5.235,4.854,4.985,0,0
QNA_PB,D,20240315,000000,5.035,5.379,4.923,5.202,0,0
QNA_PB,D,20240318,000000,5.209,5.405,5.143,5.404,0,0
QNA_PB,D,20240319,000000,5.404,5.405,5.077,5.117,0,0
QNA_PB,D,20240320,000000,5.353,5.379,5.064,5.116,0,0
QNA_PB,D,20240321,000000,5.117,5.233,5.077,5.233,0,0
QNA_PB,D,20240322,000000,5.117,5.245,5.091,5.183,0,0
QNA_PB,D,20240325,000000,5.177,5.222,5.077,5.222,0,0
QNA_PB,D,20240326,000000,4.999,4.999,4.592,4.657,0,0
QNA_PB,D,20240327,000000,4.812,4.956,4.599,4.956,0,0
QNA_PB,D,20240328,000000,4.946,5.116,4.946,5.116,0,0
QNA_PB,D,20240402,000000,5.051,5.222,4.985,4.985,0,0
QNA_PB,D,20240403,000000,4.986,5.143,4.986,5.051,0,0
QNA_PB,D,20240404,000000,5.182,5.182,4.92,4.92,0,0
QNA_PB,D,20240405,000000,5.051,5.051,4.789,4.92,0,0
QNA_PB,D,20240408,000000,4.861,5.117,4.854,4.855,0,0
QNA_PB,D,20240409,000000,4.861,4.861,4.592,4.618,0,0
QNA_PB,D,20240410,000000,4.618,4.723,3.936,4.316,0,0
QNA_PB,D,20240411,000000,4.146,4.592,4.146,4.481,0,0
QNA_PB,D,20240412,000000,4.572,4.572,4.435,4.533,0,0
QNA_PB,D,20240415,000000,4.605,4.618,4.605,4.618,0,0
QNA_PB,D,20240416,000000,4.592,4.71,4.513,4.71,0,0
QNA_PB,D,20240417,000000,4.703,4.703,4.697,4.697,0,0
QNA_PB,D,20240418,000000,4.559,4.671,4.559,4.671,0,0
QNA_PB,D,20240419,000000,4.671,4.671,4.592,4.671,0,0
QNA_PB,D,20240422,000000,4.658,4.658,4.526,4.527,0,0
QNA_PB,D,20240423,000000,4.5,4.605,4.5,4.605,0,0
QNA_PB,D,20240424,000000,4.605,4.782,4.461,4.723,0,0
QNA_PB,D,20240425,000000,4.769,4.789,4.618,4.723,0,0
QNA_PB,D,20240426,000000,4.461,4.71,4.461,4.657,0,0
QNA_PB,D,20240429,000000,4.658,4.658,4.441,4.461,0,0
QNA_PB,D,20240430,000000,4.572,4.572,4.572,4.572,0,0
QNA_PB,D,20240502,000000,4.546,4.579,4.546,4.579,0,0
QNA_PB,D,20240506,000000,4.645,4.645,4.592,4.592,0,0
QNA_PB,D,20240507,000000,4.592,4.592,4.29,4.428,0,0
QNA_PB,D,20240508,000000,4.428,4.474,3.936,4.172,0,0
QNA_PB,D,20240509,000000,4.172,4.172,3.929,4.107,0,0
