<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT_MV,D,20070925,000000,13.6078,13.6078,13.6078,13.6078,0,0
QNT_MV,D,20070926,000000,13.6078,13.6078,13.6078,13.6078,0,0
QNT_MV,D,20070927,000000,13.5984,13.5984,13.5984,13.5984,0,0
QNT_MV,D,20070928,000000,13.531,13.531,13.531,13.531,0,0
QNT_MV,D,20071001,000000,13.0162,13.0162,13.0162,13.0162,0,0
QNT_MV,D,20071002,000000,13.201,13.201,13.201,13.201,0,0
QNT_MV,D,20071003,000000,12.4301,12.4301,12.4301,12.4301,0,0
QNT_MV,D,20071004,000000,12.3886,12.3886,12.3886,12.3886,0,0
QNT_MV,D,20071005,000000,12.6103,12.6103,12.6103,12.6103,0,0
QNT_MV,D,20071008,000000,12.6103,12.6103,12.6103,12.6103,0,0
QNT_MV,D,20071009,000000,12.6785,12.6785,12.6785,12.6785,0,0
QNT_MV,D,20071010,000000,13.2285,13.2285,13.2285,13.2285,0,0
QNT_MV,D,20071011,000000,12.9456,12.9456,12.9456,12.9456,0,0
QNT_MV,D,20071012,000000,13.0083,13.0083,13.0083,13.0083,0,0
QNT_MV,D,20071015,000000,13.1784,13.1784,13.1784,13.1784,0,0
QNT_MV,D,20071016,000000,12.9943,12.9943,12.9943,12.9943,0,0
QNT_MV,D,20071017,000000,12.6825,12.6825,12.6825,12.6825,0,0
QNT_MV,D,20071018,000000,12.7099,12.7099,12.7099,12.7099,0,0
QNT_MV,D,20071019,000000,12.908,12.908,12.908,12.908,0,0
QNT_MV,D,20071022,000000,12.8406,12.8406,12.8406,12.8406,0,0
QNT_MV,D,20071023,000000,12.7099,12.7099,12.7099,12.7099,0,0
QNT_MV,D,20071024,000000,12.6103,12.6103,12.6103,12.6103,0,0
QNT_MV,D,20071025,000000,12.6103,12.6103,12.6103,12.6103,0,0
QNT_MV,D,20071026,000000,12.4927,12.4927,12.4927,12.4927,0,0
QNT_MV,D,20071029,000000,12.4795,12.4795,12.4795,12.4795,0,0
QNT_MV,D,20071030,000000,12.3799,12.3799,12.3799,12.3799,0,0
QNT_MV,D,20071031,000000,12.6056,12.6056,12.6056,12.6056,0,0
QNT_MV,D,20071102,000000,12.3533,12.3533,12.3533,12.3533,0,0
QNT_MV,D,20071105,000000,12.7372,12.7372,12.7372,12.7372,0,0
QNT_MV,D,20071106,000000,12.8313,12.8313,12.8313,12.8313,0,0
QNT_MV,D,20071107,000000,13.4321,13.4321,13.4321,13.4321,0,0
QNT_MV,D,20071108,000000,13.2731,13.2731,13.2731,13.2731,0,0
QNT_MV,D,20071109,000000,13.2731,13.3742,13.2731,13.2731,0,0
QNT_MV,D,20071112,000000,13.3742,13.4056,13.1438,13.2731,0,0
QNT_MV,D,20071113,000000,13.2731,13.5404,13.2731,13.5404,0,0
QNT_MV,D,20071114,000000,13.2731,13.5404,13.2731,13.4722,0,0
QNT_MV,D,20071115,000000,13.2731,13.4722,13.2066,13.2731,0,0
QNT_MV,D,20071116,000000,13.2066,13.3421,12.4246,13.1438,0,0
QNT_MV,D,20071119,000000,13.1438,13.4722,13.1438,13.4683,0,0
QNT_MV,D,20071120,000000,13.4589,13.4589,13.4589,13.4589,0,0
QNT_MV,D,20071121,000000,13.3421,13.3421,12.9456,13.107,0,0
QNT_MV,D,20071122,000000,12.6142,13.3421,12.5107,13.3421,0,0
QNT_MV,D,20071123,000000,13.2731,13.3421,13.2731,13.3421,0,0
QNT_MV,D,20071126,000000,13.5984,13.5984,12.6142,13.5035,0,0
QNT_MV,D,20071127,000000,13.5035,13.5035,13.2731,13.4722,0,0
QNT_MV,D,20071128,000000,12.7404,13.4056,12.7404,13.4056,0,0
QNT_MV,D,20071129,000000,13.4056,13.5944,13.2795,13.2872,0,0
QNT_MV,D,20071130,000000,13.5137,13.5137,13.2731,13.5035,0,0
QNT_MV,D,20071203,000000,13.4683,13.4949,12.9456,13.4949,0,0
QNT_MV,D,20071204,000000,13.2731,13.5404,13.2731,13.531,0,0
QNT_MV,D,20071205,000000,13.5035,13.5404,13.5035,13.5404,0,0
QNT_MV,D,20071206,000000,13.5404,13.5404,12.6103,13.3421,0,0
QNT_MV,D,20071207,000000,13.1932,13.5858,13.1932,13.5858,0,0
QNT_MV,D,20071210,000000,13.4949,13.4949,12.8759,13.2731,0,0
QNT_MV,D,20071211,000000,13.2731,13.2731,13.2731,13.2731,0,0
QNT_MV,D,20071212,000000,12.9489,13.2795,12.9489,13.2795,0,0
QNT_MV,D,20071213,000000,13.2731,13.2731,12.9763,13.0083,0,0
QNT_MV,D,20071214,000000,12.9809,12.9809,12.9763,12.9763,0,0
