<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBW_MV,D,20071122,000000,54.8432,54.8432,54.8432,54.8432,0,0
RBW_MV,D,20071123,000000,54.9218,55.1575,54.1376,54.9218,0,0
RBW_MV,D,20071126,000000,54.8432,55.0788,53.7448,54.9218,0,0
RBW_MV,D,20071127,000000,54.9218,54.9218,53.9805,54.9218,0,0
RBW_MV,D,20071128,000000,54.9218,57.2756,53.6661,57.2756,0,0
RBW_MV,D,20071129,000000,58.8445,58.8445,54.9995,58.6088,0,0
RBW_MV,D,20071130,000000,58.2176,58.2176,56.0201,58.0597,0,0
RBW_MV,D,20071203,000000,58.8445,58.8445,56.8836,58.7653,0,0
RBW_MV,D,20071204,000000,58.8445,58.8445,58.0597,58.0597,0,0
RBW_MV,D,20071205,000000,57.4319,58.6874,57.4319,58.6088,0,0
RBW_MV,D,20071206,000000,58.6874,59.6286,57.2756,58.8445,0,0
RBW_MV,D,20071207,000000,57.2756,58.8445,57.2756,58.8445,0,0
RBW_MV,D,20071210,000000,58.7653,58.8445,58.531,58.8445,0,0
RBW_MV,D,20071211,000000,58.8445,60.3358,58.4517,59.9437,0,0
RBW_MV,D,20071212,000000,59.9437,60.9628,56.5692,60.9628,0,0
RBW_MV,D,20071213,000000,60.9628,61.1977,58.8445,61.1199,0,0
RBW_MV,D,20071214,000000,61.1977,61.3549,61.1199,61.1977,0,0
RBW_MV,D,20071217,000000,61.1977,61.1977,60.4136,60.4136,0,0
RBW_MV,D,20071218,000000,60.8849,61.1977,59.6286,60.4136,0,0
RBW_MV,D,20071219,000000,60.5698,60.5698,58.8445,58.8445,0,0
RBW_MV,D,20071220,000000,58.9224,59.9437,56.4907,57.2756,0,0
RBW_MV,D,20071221,000000,58.6874,58.6874,56.3336,56.3336,0,0
RBW_MV,D,20071227,000000,57.1185,57.2756,56.8836,57.2756,0,0
RBW_MV,D,20071228,000000,56.4907,60.9628,56.4121,60.9628,0,0
RBW_MV,D,20080102,000000,60.7279,60.7279,58.8445,60.2564,0,0
RBW_MV,D,20080103,000000,58.531,59.5508,57.4319,58.7653,0,0
RBW_MV,D,20080104,000000,58.6874,60.8849,58.6874,60.8849,0,0
RBW_MV,D,20080107,000000,60.8055,60.8849,59.0009,60.8849,0,0
RBW_MV,D,20080108,000000,60.0216,60.8055,60.0216,60.1008,0,0
RBW_MV,D,20080109,000000,60.1008,60.1008,58.1376,59.2374,0,0
RBW_MV,D,20080110,000000,57.5112,59.5508,57.5112,57.7461,0,0
RBW_MV,D,20080111,000000,57.4319,59.9437,57.4319,59.9437,0,0
RBW_MV,D,20080114,000000,58.8445,58.8445,58.8445,58.8445,0,0
RBW_MV,D,20080115,000000,57.3534,59.5508,57.3534,58.8445,0,0
RBW_MV,D,20080116,000000,50.9988,55.628,50.9988,53.3527,0,0
RBW_MV,D,20080117,000000,52.5686,57.9026,52.5686,57.9026,0,0
RBW_MV,D,20080118,000000,57.2756,57.8248,55.0788,57.8248,0,0
RBW_MV,D,20080121,000000,57.8248,57.8248,53.7448,54.9218,0,0
RBW_MV,D,20080122,000000,51.1552,54.8432,51.1552,54.1376,0,0
RBW_MV,D,20080123,000000,54.9218,58.8445,54.9218,55.4709,0,0
RBW_MV,D,20080124,000000,59.9437,59.9437,55.0788,55.0788,0,0
RBW_MV,D,20080125,000000,55.7051,56.4907,54.6861,54.6861,0,0
RBW_MV,D,20080128,000000,58.0597,58.0597,57.3534,57.3534,0,0
RBW_MV,D,20080129,000000,58.7653,59.2374,57.3534,57.7461,0,0
RBW_MV,D,20080130,000000,59.4716,59.4716,59.2374,59.2374,0,0
RBW_MV,D,20080131,000000,59.2374,60.8055,59.2374,60.7279,0,0
RBW_MV,D,20080201,000000,60.4136,62.7675,58.8445,62.6111,0,0
RBW_MV,D,20080204,000000,62.6881,65.5903,62.6881,62.9245,0,0
RBW_MV,D,20080205,000000,65.6706,65.6706,61.5119,61.5119,0,0
RBW_MV,D,20080206,000000,57.5112,62.6881,57.5112,62.6111,0,0
RBW_MV,D,20080207,000000,62.6111,65.5118,62.6111,63.8659,0,0
RBW_MV,D,20080208,000000,63.9436,64.1792,63.5523,64.1022,0,0
RBW_MV,D,20080211,000000,64.1022,67.3959,64.1022,67.3959,0,0
RBW_MV,D,20080212,000000,66.6905,66.6905,65.1213,66.611,0,0
RBW_MV,D,20080213,000000,67.3959,69.0426,65.1213,69.0426,0,0
RBW_MV,D,20080214,000000,68.1831,68.2631,65.5118,65.9856,0,0
RBW_MV,D,20080215,000000,66.064,66.064,64.3364,64.3364,0,0
RBW_MV,D,20080218,000000,67.3142,67.3142,65.2777,65.2777,0,0
RBW_MV,D,20080219,000000,63.9436,63.9436,62.7675,63.8659,0,0
RBW_MV,D,20080220,000000,65.907,65.907,63.1594,63.1594,0,0
RBW_MV,D,20080221,000000,63.5523,65.1213,63.1594,65.1213,0,0
RBW_MV,D,20080222,000000,63.5523,65.8277,63.5523,65.8277,0,0
RBW_MV,D,20080225,000000,64.2586,65.907,64.2586,65.907,0,0
RBW_MV,D,20080226,000000,63.7087,65.4339,63.7087,65.4339,0,0
RBW_MV,D,20080227,000000,64.3364,65.907,64.3364,65.907,0,0
RBW_MV,D,20080228,000000,63.7087,65.907,60.7279,65.907,0,0
RBW_MV,D,20080229,000000,64.3364,65.357,62.7675,65.1213,0,0
RBW_MV,D,20080303,000000,62.7675,65.1213,62.7675,65.1213,0,0
RBW_MV,D,20080304,000000,65.1213,65.749,64.1792,65.749,0,0
RBW_MV,D,20080305,000000,65.8277,65.8277,63.6301,63.6301,0,0
RBW_MV,D,20080306,000000,64.3364,64.3364,62.7675,62.7675,0,0
RBW_MV,D,20080307,000000,62.7675,64.2586,62.7675,64.2586,0,0
RBW_MV,D,20080310,000000,63.9436,63.9436,63.9436,63.9436,0,0
RBW_MV,D,20080311,000000,63.9436,64.3364,62.9245,62.9245,0,0
RBW_MV,D,20080312,000000,63.5523,65.1213,62.9245,65.0427,0,0
RBW_MV,D,20080313,000000,65.357,65.5118,65.0427,65.357,0,0
RBW_MV,D,20080314,000000,65.357,66.2945,64.1792,65.907,0,0
RBW_MV,D,20080317,000000,63.5523,65.907,63.5523,65.907,0,0
RBW_MV,D,20080318,000000,63.5523,65.907,63.5523,65.907,0,0
RBW_MV,D,20080319,000000,65.749,66.6905,65.749,66.6905,0,0
RBW_MV,D,20080320,000000,66.6905,66.6905,64.8079,66.611,0,0
RBW_MV,D,20080325,000000,63.5523,68.6522,63.5523,68.6522,0,0
RBW_MV,D,20080326,000000,66.611,70.5362,66.611,68.3371,0,0
RBW_MV,D,20080327,000000,64.7277,68.6522,64.7277,66.6905,0,0
RBW_MV,D,20080328,000000,69.0426,69.7505,66.8482,68.3371,0,0
RBW_MV,D,20080401,000000,67.476,69.3532,66.6905,69.3532,0,0
RBW_MV,D,20080402,000000,69.9862,72.8846,69.43,71.5521,0,0
RBW_MV,D,20080403,000000,72.9716,73.3645,71.7892,71.7892,0,0
RBW_MV,D,20080404,000000,72.1851,72.5719,71.3996,71.3996,0,0
RBW_MV,D,20080407,000000,71.3996,72.4925,70.7726,72.4925,0,0
RBW_MV,D,20080408,000000,72.4925,72.4925,70.8496,70.9259,0,0
RBW_MV,D,20080409,000000,70.9259,71.7892,68.3371,71.7122,0,0
RBW_MV,D,20080410,000000,69.5133,71.7892,69.5133,71.7122,0,0
RBW_MV,D,20080411,000000,71.3996,72.0328,70.6132,70.6132,0,0
RBW_MV,D,20080414,000000,69.8268,69.8268,69.0426,69.0426,0,0
RBW_MV,D,20080415,000000,68.3371,69.1235,68.3371,68.6522,0,0
RBW_MV,D,20080416,000000,68.9687,68.9687,67.3959,67.3959,0,0
RBW_MV,D,20080417,000000,68.1831,68.1831,65.9856,65.9856,0,0
RBW_MV,D,20080418,000000,65.9856,67.476,65.1998,67.476,0,0
RBW_MV,D,20080421,000000,67.3959,67.476,64.7277,67.476,0,0
RBW_MV,D,20080422,000000,63.0809,65.1213,63.0809,65.1213,0,0
RBW_MV,D,20080423,000000,65.907,66.5324,62.9245,62.9245,0,0
RBW_MV,D,20080424,000000,63.0023,65.4339,62.3754,63.5523,0,0
RBW_MV,D,20080425,000000,63.4744,63.5523,63.3944,63.3944,0,0
RBW_MV,D,20080428,000000,62.7675,65.4339,62.7675,65.4339,0,0
RBW_MV,D,20080429,000000,65.1213,65.1213,64.3364,65.0427,0,0
RBW_MV,D,20080430,000000,65.9856,71.0099,65.9856,70.6132,0,0
RBW_MV,D,20080505,000000,70.6132,71.8649,69.9107,71.3996,0,0
RBW_MV,D,20080506,000000,71.0099,71.7892,71.0099,71.7892,0,0
RBW_MV,D,20080507,000000,71.3996,71.6283,71.0099,71.6283,0,0
RBW_MV,D,20080508,000000,70.6894,71.5521,70.6894,71.5521,0,0
RBW_MV,D,20080509,000000,70.6894,71.3996,70.6894,71.3996,0,0
RBW_MV,D,20080512,000000,69.9107,70.2226,68.4103,68.4103,0,0
RBW_MV,D,20080513,000000,71.3996,71.3996,67.6308,70.2997,0,0
RBW_MV,D,20080514,000000,69.0426,71.3996,69.0426,71.3996,0,0
RBW_MV,D,20080515,000000,71.2393,71.2393,71.0862,71.0862,0,0
RBW_MV,D,20080516,000000,68.4904,70.6132,68.4904,70.6132,0,0
RBW_MV,D,20080519,000000,68.2631,69.8268,68.2631,69.8268,0,0
RBW_MV,D,20080520,000000,69.0426,69.0426,68.6522,69.0426,0,0
RBW_MV,D,20080521,000000,68.4103,68.4103,62.9245,63.3944,0,0
RBW_MV,D,20080523,000000,63.9436,65.8277,63.3944,65.8277,0,0
RBW_MV,D,20080526,000000,68.9687,70.2226,66.064,70.1464,0,0
RBW_MV,D,20080527,000000,70.6132,70.6132,69.0426,69.8268,0,0
RBW_MV,D,20080528,000000,69.8268,69.8268,66.611,69.0426,0,0
RBW_MV,D,20080529,000000,69.0426,69.0426,69.0426,69.0426,0,0
RBW_MV,D,20080530,000000,68.2631,68.6522,64.4149,68.6522,0,0
RBW_MV,D,20080602,000000,68.1076,68.1076,66.6905,66.6905,0,0
RBW_MV,D,20080603,000000,66.611,66.611,63.5523,65.1213,0,0
RBW_MV,D,20080604,000000,65.8277,65.8277,65.8277,65.8277,0,0
RBW_MV,D,20080605,000000,66.2945,66.6905,63.5523,66.6905,0,0
RBW_MV,D,20080606,000000,66.2945,66.2945,63.8659,63.8659,0,0
RBW_MV,D,20080609,000000,66.8482,66.8482,63.8659,66.2945,0,0
RBW_MV,D,20080610,000000,62.7675,66.2945,62.7675,65.8277,0,0
RBW_MV,D,20080611,000000,62.7675,64.3364,59.7858,63.4744,0,0
RBW_MV,D,20080612,000000,65.749,65.749,61.9825,63.5523,0,0
RBW_MV,D,20080613,000000,61.4342,62.7675,60.178,62.3754,0,0
RBW_MV,D,20080616,000000,62.7675,63.5523,61.5912,61.5912,0,0
RBW_MV,D,20080617,000000,63.4744,63.4744,61.5912,62.7675,0,0
RBW_MV,D,20080618,000000,60.9628,62.3754,59.2374,61.9825,0,0
RBW_MV,D,20080619,000000,62.2175,62.7675,62.2175,62.6881,0,0
RBW_MV,D,20080620,000000,60.4136,62.7675,59.4716,62.6881,0,0
RBW_MV,D,20080623,000000,59.0009,62.6881,59.0009,62.296,0,0
RBW_MV,D,20080624,000000,59.6286,61.9048,58.9224,60.3358,0,0
RBW_MV,D,20080625,000000,61.1199,61.1199,58.8445,60.0216,0,0
RBW_MV,D,20080626,000000,57.8248,60.3358,57.8248,58.8445,0,0
RBW_MV,D,20080627,000000,56.4907,59.2374,54.9218,59.2374,0,0
RBW_MV,D,20080630,000000,60.2564,60.2564,59.6286,59.6286,0,0
RBW_MV,D,20080701,000000,59.6286,59.6286,56.5692,59.2374,0,0
RBW_MV,D,20080702,000000,59.5508,59.5508,59.5508,59.5508,0,0
RBW_MV,D,20080703,000000,58.8445,58.8445,55.7051,55.7051,0,0
RBW_MV,D,20080704,000000,55.7051,59.158,55.7051,58.0597,0,0
RBW_MV,D,20080707,000000,59.6286,59.6286,59.6286,59.6286,0,0
RBW_MV,D,20080708,000000,54.9218,59.5508,54.1376,58.8445,0,0
RBW_MV,D,20080709,000000,59.5508,59.5508,59.3152,59.3152,0,0
RBW_MV,D,20080710,000000,61.1199,61.1199,57.6677,58.6874,0,0
RBW_MV,D,20080711,000000,61.1977,61.1977,56.9612,56.9612,0,0
RBW_MV,D,20080714,000000,54.2154,57.981,54.2154,56.4907,0,0
RBW_MV,D,20080715,000000,57.9026,57.9026,57.9026,57.9026,0,0
RBW_MV,D,20080716,000000,59.5508,59.5508,53.8234,57.1971,0,0
RBW_MV,D,20080717,000000,54.9218,59.3945,54.9218,57.2756,0,0
RBW_MV,D,20080718,000000,56.4907,56.4907,56.4907,56.4907,0,0
RBW_MV,D,20080721,000000,56.4907,57.1185,54.0582,54.1376,0,0
RBW_MV,D,20080722,000000,56.4907,56.8836,56.4907,56.8836,0,0
RBW_MV,D,20080723,000000,56.8836,58.8445,54.6861,58.0597,0,0
RBW_MV,D,20080724,000000,58.0597,58.0597,53.3527,53.3527,0,0
RBW_MV,D,20080725,000000,54.5289,54.5289,54.5289,54.5289,0,0
RBW_MV,D,20080728,000000,52.4893,54.7645,52.4893,54.5289,0,0
RBW_MV,D,20080729,000000,53.7448,54.8432,53.7448,54.7645,0,0
RBW_MV,D,20080730,000000,54.8432,56.0201,54.8432,55.7859,0,0
RBW_MV,D,20080731,000000,56.255,56.255,54.3724,54.3724,0,0
RBW_MV,D,20080801,000000,54.9218,54.9218,51.3902,53.4305,0,0
RBW_MV,D,20080804,000000,56.8836,56.8836,56.8049,56.8049,0,0
RBW_MV,D,20080805,000000,56.0979,56.0979,54.8432,54.8432,0,0
RBW_MV,D,20080806,000000,54.9218,54.9218,53.7448,53.7448,0,0
RBW_MV,D,20080807,000000,52.1742,55.7051,52.1742,55.7051,0,0
RBW_MV,D,20080808,000000,54.9218,54.9218,54.9218,54.9218,0,0
RBW_MV,D,20080811,000000,55.3138,55.3138,53.9805,53.9805,0,0
RBW_MV,D,20080812,000000,54.1376,54.1376,52.5686,52.5686,0,0
RBW_MV,D,20080814,000000,52.9599,55.3138,52.9599,53.3527,0,0
RBW_MV,D,20080820,000000,53.5083,53.5083,53.5083,53.5083,0,0
RBW_MV,D,20080821,000000,53.7448,53.7448,52.6463,53.3527,0,0
RBW_MV,D,20080822,000000,53.9805,53.9805,53.6661,53.6661,0,0
RBW_MV,D,20080825,000000,51.8615,51.8615,51.8615,51.8615,0,0
RBW_MV,D,20080826,000000,50.9988,50.9988,50.921,50.9988,0,0
RBW_MV,D,20080827,000000,51.8615,52.4893,50.9988,52.4893,0,0
RBW_MV,D,20080828,000000,52.8036,53.3527,52.8036,53.3527,0,0
RBW_MV,D,20080829,000000,53.1948,53.1948,53.1948,53.1948,0,0
RBW_MV,D,20080901,000000,53.1948,53.3527,49.6649,53.3527,0,0
RBW_MV,D,20080902,000000,50.921,53.3527,50.6067,53.3527,0,0
RBW_MV,D,20080903,000000,51.2338,54.1376,51.2338,54.1376,0,0
RBW_MV,D,20080904,000000,54.5289,54.5289,54.1376,54.5289,0,0
RBW_MV,D,20080905,000000,52.5686,54.9218,52.5686,52.9599,0,0
RBW_MV,D,20080908,000000,54.8432,54.8432,54.5289,54.5289,0,0
RBW_MV,D,20080909,000000,54.1376,55.628,54.1376,55.628,0,0
RBW_MV,D,20080910,000000,54.8432,54.9218,53.117,54.1376,0,0
RBW_MV,D,20080911,000000,54.9218,54.9218,52.6463,52.9599,0,0
RBW_MV,D,20080912,000000,53.7448,53.7448,52.6463,53.2742,0,0
RBW_MV,D,20080915,000000,52.6463,52.9599,48.8013,48.8807,0,0
RBW_MV,D,20080916,000000,48.6442,48.6442,47.86,48.6442,0,0
RBW_MV,D,20080917,000000,50.2148,50.2148,48.6442,48.6442,0,0
RBW_MV,D,20080918,000000,45.5848,47.6243,45.5062,47.6243,0,0
RBW_MV,D,20080919,000000,45.6633,47.7815,45.0355,47.7815,0,0
RBW_MV,D,20080922,000000,47.3894,47.3894,47.3894,47.3894,0,0
RBW_MV,D,20080923,000000,46.2918,46.2918,45.0355,46.2918,0,0
RBW_MV,D,20080924,000000,46.2118,46.2918,45.1141,45.5062,0,0
RBW_MV,D,20080925,000000,45.1141,45.5062,42.3675,45.2712,0,0
RBW_MV,D,20080926,000000,45.5062,45.5062,45.5062,45.5062,0,0
RBW_MV,D,20080929,000000,43.4666,43.4666,43.4666,43.4666,0,0
RBW_MV,D,20080930,000000,40.7985,41.1913,39.2293,39.465,0,0
RBW_MV,D,20081001,000000,43.0746,43.0746,39.465,41.1913,0,0
RBW_MV,D,20081002,000000,43.0746,43.1524,41.1913,42.3675,0,0
RBW_MV,D,20081003,000000,43.1524,43.1524,41.584,43.1524,0,0
RBW_MV,D,20081006,000000,43.5444,43.5444,40.7985,42.6824,0,0
RBW_MV,D,20081007,000000,42.2111,42.3675,41.584,41.9755,0,0
RBW_MV,D,20081008,000000,39.2293,41.9755,37.8962,39.935,0,0
RBW_MV,D,20081009,000000,40.0144,40.0144,39.2293,40.0144,0,0
RBW_MV,D,20081010,000000,37.2676,38.8367,37.0334,38.6802,0,0
RBW_MV,D,20081013,000000,39.2293,39.2293,37.7382,38.8367,0,0
RBW_MV,D,20081014,000000,40.4072,40.4072,37.9747,37.9747,0,0
RBW_MV,D,20081015,000000,39.2293,39.2293,37.0334,37.0334,0,0
RBW_MV,D,20081016,000000,37.0334,40.7985,37.0334,38.0533,0,0
RBW_MV,D,20081017,000000,38.0533,38.9944,37.1113,38.8367,0,0
RBW_MV,D,20081020,000000,37.9747,39.7779,37.9747,38.4454,0,0
RBW_MV,D,20081021,000000,37.6613,39.6214,37.6613,39.6214,0,0
RBW_MV,D,20081022,000000,37.8962,39.2293,36.8764,36.8764,0,0
RBW_MV,D,20081023,000000,37.0334,38.0533,36.405,38.0533,0,0
RBW_MV,D,20081024,000000,36.405,38.0533,36.0915,37.1892,0,0
RBW_MV,D,20081027,000000,37.6613,37.6613,36.17,36.7971,0,0
RBW_MV,D,20081028,000000,36.7971,36.8764,36.7971,36.7971,0,0
RBW_MV,D,20081029,000000,36.8764,36.955,36.8764,36.8764,0,0
RBW_MV,D,20081030,000000,37.6613,37.6613,36.4835,36.8764,0,0
RBW_MV,D,20081031,000000,36.405,36.8764,36.0915,36.0915,0,0
RBW_MV,D,20081103,000000,35.4638,36.0915,35.1502,35.1502,0,0
RBW_MV,D,20081104,000000,34.3645,34.9931,34.2876,34.9931,0,0
RBW_MV,D,20081105,000000,34.5218,34.9931,33.8161,34.8368,0,0
RBW_MV,D,20081106,000000,33.6582,34.8368,32.9527,34.3645,0,0
RBW_MV,D,20081107,000000,33.7383,34.3645,33.6582,33.7383,0,0
RBW_MV,D,20081110,000000,32.8742,33.8161,32.1688,33.8161,0,0
RBW_MV,D,20081112,000000,32.9527,33.1098,31.6973,32.1688,0,0
RBW_MV,D,20081113,000000,30.9917,30.9917,30.9917,30.9917,0,0
RBW_MV,D,20081114,000000,32.1688,32.1688,30.5202,30.5202,0,0
RBW_MV,D,20081117,000000,29.8141,29.8141,28.3235,28.8735,0,0
RBW_MV,D,20081118,000000,29.0307,29.422,28.245,29.0307,0,0
RBW_MV,D,20081119,000000,29.3441,29.3441,28.245,28.245,0,0
RBW_MV,D,20081120,000000,28.1671,28.1671,28.1671,28.1671,0,0
RBW_MV,D,20081121,000000,28.0101,28.1671,27.8537,27.8537,0,0
RBW_MV,D,20081124,000000,26.8332,27.7751,26.8332,27.7751,0,0
RBW_MV,D,20081125,000000,28.245,29.0307,28.245,28.9505,0,0
RBW_MV,D,20081126,000000,29.5797,29.5797,29.5004,29.5004,0,0
RBW_MV,D,20081127,000000,29.6576,29.6576,28.4814,29.0307,0,0
RBW_MV,D,20081128,000000,28.245,29.6576,28.245,29.422,0,0
RBW_MV,D,20081201,000000,29.187,29.422,29.187,29.187,0,0
RBW_MV,D,20081202,000000,29.0307,29.3441,29.0307,29.3441,0,0
RBW_MV,D,20081203,000000,29.5797,29.5797,29.5797,29.5797,0,0
RBW_MV,D,20081204,000000,29.3441,29.3441,29.3441,29.3441,0,0
RBW_MV,D,20081205,000000,29.5797,29.5797,28.6377,28.6377,0,0
RBW_MV,D,20081208,000000,29.422,29.422,28.0101,28.0101,0,0
RBW_MV,D,20081209,000000,28.245,28.245,27.2251,27.2251,0,0
RBW_MV,D,20081210,000000,26.7545,27.0688,26.676,26.676,0,0
RBW_MV,D,20081211,000000,26.9902,26.9902,26.676,26.676,0,0
RBW_MV,D,20081212,000000,25.4998,26.2832,25.3435,25.3435,0,0
RBW_MV,D,20081215,000000,25.4998,25.4998,25.4998,25.4998,0,0
RBW_MV,D,20081216,000000,25.4219,25.4219,25.107,25.107,0,0
RBW_MV,D,20081217,000000,24.3229,24.3229,23.1451,23.5379,0,0
RBW_MV,D,20081218,000000,22.9889,24.0863,22.9889,24.0863,0,0
RBW_MV,D,20081219,000000,23.1451,23.4594,23.1451,23.4594,0,0
RBW_MV,D,20081222,000000,23.5379,23.9308,23.5379,23.9308,0,0
RBW_MV,D,20081223,000000,24.3229,24.3229,23.3031,23.3031,0,0
RBW_MV,D,20081229,000000,23.1451,23.1451,23.1451,23.1451,0,0
RBW_MV,D,20081230,000000,22.911,23.2238,22.204,23.1451,0,0
RBW_MV,D,20081231,000000,22.3603,23.1451,22.3603,23.1451,0,0
RBW_MV,D,20090105,000000,23.2238,23.6943,23.1451,23.6943,0,0
RBW_MV,D,20090106,000000,23.6166,23.6166,21.419,21.419,0,0
RBW_MV,D,20090107,000000,21.419,21.7332,20.0064,20.4917,0,0
RBW_MV,D,20090108,000000,20.0919,20.0919,18.7516,18.908,0,0
RBW_MV,D,20090109,000000,18.908,18.908,17.8882,17.8882,0,0
RBW_MV,D,20090112,000000,17.8882,17.8882,16.3923,16.5481,0,0
RBW_MV,D,20090113,000000,15.3642,18.3596,15.0514,16.0773,0,0
RBW_MV,D,20090114,000000,16.5481,18.2811,16.313,17.7319,0,0
RBW_MV,D,20090115,000000,16.8623,17.7319,16.1551,16.1551,0,0
RBW_MV,D,20090116,000000,16.5481,16.7051,15.8364,16.7051,0,0
RBW_MV,D,20090119,000000,16.9416,17.0193,16.4694,16.4694,0,0
RBW_MV,D,20090120,000000,16.1551,17.0193,15.9997,16.4694,0,0
RBW_MV,D,20090121,000000,15.921,16.2345,15.4419,15.6791,0,0
RBW_MV,D,20090122,000000,16.1551,16.1551,14.338,14.9722,0,0
RBW_MV,D,20090123,000000,14.4222,14.7379,13.0049,13.3184,0,0
RBW_MV,D,20090126,000000,13.5532,13.5532,12.7629,12.7629,0,0
RBW_MV,D,20090127,000000,12.7629,12.7629,12.213,12.2924,0,0
RBW_MV,D,20090128,000000,12.2924,12.2924,11.8989,11.8989,0,0
RBW_MV,D,20090129,000000,12.0565,12.0565,9.76904,9.76904,0,0
RBW_MV,D,20090130,000000,9.93233,10.0101,8.90562,9.76904,0,0
RBW_MV,D,20090202,000000,9.76904,9.8538,9.14047,9.61188,0,0
RBW_MV,D,20090203,000000,9.8538,11.1085,9.8538,10.0101,0,0
RBW_MV,D,20090204,000000,10.3238,11.664,9.93233,10.5593,0,0
RBW_MV,D,20090205,000000,10.7165,11.664,10.7165,11.664,0,0
