<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBW_PB,D,20071122,000000,10.2128,10.2128,10.2128,10.2128,0,0
RBW_PB,D,20071123,000000,10.2266,10.2719,10.0817,10.2266,0,0
RBW_PB,D,20071126,000000,10.2128,10.2582,10.0101,10.2266,0,0
RBW_PB,D,20071127,000000,10.2266,10.2266,10.0494,10.2266,0,0
RBW_PB,D,20071128,000000,10.2266,10.6642,9.99019,10.6642,0,0
RBW_PB,D,20071129,000000,10.9584,10.9584,10.239,10.9121,0,0
RBW_PB,D,20071130,000000,10.8404,10.8404,10.4352,10.8151,0,0
RBW_PB,D,20071203,000000,10.9584,10.9584,10.5925,10.9445,0,0
RBW_PB,D,20071204,000000,10.9584,10.9584,10.8151,10.8151,0,0
RBW_PB,D,20071205,000000,10.6972,10.9321,10.6972,10.9121,0,0
RBW_PB,D,20071206,000000,10.9321,10.9321,6.28984,6.28984,0,0
RBW_PB,D,20071207,000000,6.11977,6.28984,6.11977,6.28984,0,0
RBW_PB,D,20071210,000000,6.27675,6.28984,6.25048,6.28984,0,0
RBW_PB,D,20071211,000000,6.28984,6.44628,6.244,6.40122,0,0
RBW_PB,D,20071212,000000,6.40122,6.51222,6.04136,6.51222,0,0
RBW_PB,D,20071213,000000,6.51222,6.53777,6.51222,6.53169,0,0
RBW_PB,D,20071214,000000,6.53777,6.53777,6.53169,6.53777,0,0
RBW_PB,D,20071217,000000,6.53777,6.53777,6.45299,6.45299,0,0
RBW_PB,D,20071218,000000,6.50552,6.53777,6.45299,6.45299,0,0
RBW_PB,D,20071219,000000,6.47316,6.47316,6.28984,6.28984,0,0
RBW_PB,D,20071220,000000,6.29647,6.40122,6.0348,6.11977,0,0
RBW_PB,D,20071221,000000,6.27019,6.27019,6.02179,6.02179,0,0
RBW_PB,D,20071227,000000,6.10021,6.11977,6.07401,6.11977,0,0
RBW_PB,D,20071228,000000,6.0348,6.51222,6.02833,6.51222,0,0
RBW_PB,D,20080102,000000,6.48594,6.48594,6.28984,6.44027,0,0
RBW_PB,D,20080103,000000,6.25048,6.36172,6.13286,6.27675,0,0
RBW_PB,D,20080104,000000,6.27019,6.50552,6.27019,6.50552,0,0
RBW_PB,D,20080107,000000,6.49949,6.50552,6.30309,6.50552,0,0
RBW_PB,D,20080108,000000,6.414,6.49949,6.414,6.42062,0,0
RBW_PB,D,20080109,000000,6.42062,6.42062,6.21143,6.32874,0,0
RBW_PB,D,20080110,000000,6.14603,6.36172,6.14603,6.17214,0,0
RBW_PB,D,20080111,000000,6.13286,6.40122,6.13286,6.40122,0,0
RBW_PB,D,20080114,000000,6.28984,6.28984,6.28984,6.28984,0,0
RBW_PB,D,20080115,000000,6.12639,6.36172,6.12639,6.28984,0,0
RBW_PB,D,20080116,000000,5.44634,5.94329,5.44634,5.70137,0,0
RBW_PB,D,20080117,000000,5.61634,6.18523,5.61634,6.18523,0,0
RBW_PB,D,20080118,000000,6.11977,6.1787,5.88445,6.1787,0,0
RBW_PB,D,20080121,000000,6.1787,6.1787,5.74064,5.86481,0,0
RBW_PB,D,20080122,000000,5.46605,5.85827,5.46605,5.78633,0,0
RBW_PB,D,20080123,000000,5.86481,6.28984,5.86481,5.92374,0,0
RBW_PB,D,20080124,000000,6.40122,6.40122,5.88445,5.88445,0,0
RBW_PB,D,20080125,000000,5.94978,6.0348,5.84517,5.84517,0,0
RBW_PB,D,20080128,000000,6.20489,6.20489,6.12639,6.12639,0,0
RBW_PB,D,20080129,000000,6.27675,6.32874,6.12639,6.17214,0,0
RBW_PB,D,20080130,000000,6.35507,6.35507,6.32874,6.32874,0,0
RBW_PB,D,20080131,000000,6.32874,6.49949,6.32874,6.48594,0,0
RBW_PB,D,20080201,000000,6.45299,6.68829,6.45299,6.68829,0,0
RBW_PB,D,20080204,000000,6.69529,7.02234,6.69529,6.72111,0,0
RBW_PB,D,20080205,000000,7.01587,7.01587,6.54456,6.57067,0,0
RBW_PB,D,20080206,000000,6.14603,6.68829,6.14603,6.68829,0,0
RBW_PB,D,20080207,000000,6.68829,6.82608,6.42062,6.82608,0,0
RBW_PB,D,20080208,000000,6.83301,6.85874,6.78642,6.84489,0,0
RBW_PB,D,20080211,000000,6.84489,7.19896,6.84489,7.19896,0,0
RBW_PB,D,20080212,000000,7.1267,7.1267,6.89841,7.11401,0,0
RBW_PB,D,20080213,000000,7.19896,7.37511,6.91767,7.37511,0,0
RBW_PB,D,20080214,000000,7.28315,7.28984,7.00201,7.04785,0,0
RBW_PB,D,20080215,000000,7.05508,7.05508,2.3799,2.3799,0,0
RBW_PB,D,20080218,000000,2.49107,2.49107,2.39301,2.41264,0,0
RBW_PB,D,20080219,000000,2.36682,2.36682,2.32115,2.36026,0,0
RBW_PB,D,20080220,000000,2.43883,2.43883,2.33408,2.33408,0,0
RBW_PB,D,20080221,000000,2.34725,2.43883,2.29489,2.40602,0,0
RBW_PB,D,20080222,000000,2.34725,2.43229,2.34725,2.43229,0,0
