<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMK_PB,D,20070813,000000,2.60115,2.60115,2.60115,2.60115,0,0
RMK_PB,D,20070814,000000,2.5117,2.5117,2.5117,2.5117,0,0
RMK_PB,D,20070816,000000,2.26146,2.26146,2.26146,2.26146,0,0
RMK_PB,D,20070817,000000,2.18993,2.18993,2.18993,2.18993,0,0
RMK_PB,D,20070820,000000,2.18993,2.18993,2.18993,2.18993,0,0
RMK_PB,D,20070821,000000,2.27939,2.27939,2.27939,2.27939,0,0
RMK_PB,D,20070822,000000,2.37766,2.37766,2.37766,2.37766,0,0
RMK_PB,D,20070823,000000,2.4581,2.4581,2.4581,2.4581,0,0
RMK_PB,D,20070824,000000,2.42234,2.42234,2.42234,2.42234,0,0
RMK_PB,D,20070827,000000,2.54745,2.54745,2.54745,2.54745,0,0
RMK_PB,D,20070828,000000,2.4581,2.4581,2.4581,2.4581,0,0
RMK_PB,D,20070829,000000,2.37766,2.37766,2.37766,2.37766,0,0
RMK_PB,D,20070830,000000,2.32397,2.32397,2.32397,2.32397,0,0
RMK_PB,D,20070831,000000,2.32397,2.32397,2.32397,2.32397,0,0
RMK_PB,D,20070903,000000,2.36874,2.36874,2.36874,2.36874,0,0
RMK_PB,D,20070904,000000,2.41342,2.41342,2.41342,2.41342,0,0
RMK_PB,D,20070905,000000,2.38667,2.38667,2.38667,2.38667,0,0
RMK_PB,D,20070906,000000,2.35091,2.35091,2.35091,2.35091,0,0
RMK_PB,D,20070907,000000,2.35091,2.35091,2.35091,2.35091,0,0
RMK_PB,D,20070910,000000,2.36874,2.36874,2.36874,2.36874,0,0
RMK_PB,D,20070911,000000,2.32397,2.32397,2.32397,2.32397,0,0
RMK_PB,D,20070912,000000,2.39549,2.39549,2.39549,2.39549,0,0
RMK_PB,D,20070913,000000,2.27939,2.27939,2.27939,2.27939,0,0
RMK_PB,D,20070914,000000,2.37766,2.37766,2.37766,2.37766,0,0
RMK_PB,D,20070917,000000,2.44919,2.44919,2.44919,2.44919,0,0
RMK_PB,D,20070918,000000,2.5207,2.5207,2.5207,2.5207,0,0
RMK_PB,D,20070919,000000,2.60115,2.60115,2.60115,2.60115,0,0
RMK_PB,D,20070920,000000,2.90499,2.90499,2.90499,2.90499,0,0
RMK_PB,D,20070921,000000,2.92291,2.92291,2.92291,2.92291,0,0
RMK_PB,D,20070924,000000,2.94966,2.94966,2.94966,2.94966,0,0
RMK_PB,D,20070925,000000,2.92291,2.92291,2.92291,2.92291,0,0
RMK_PB,D,20070926,000000,2.98542,2.98542,2.98542,2.98542,0,0
RMK_PB,D,20070927,000000,3.10163,3.10163,3.10163,3.10163,0,0
RMK_PB,D,20070928,000000,3.0302,3.0302,3.0302,3.0302,0,0
RMK_PB,D,20071001,000000,3.10163,3.10163,3.10163,3.10163,0,0
RMK_PB,D,20071002,000000,3.10163,3.10163,3.10163,3.10163,0,0
RMK_PB,D,20071003,000000,2.94966,2.94966,2.94966,2.94966,0,0
RMK_PB,D,20071004,000000,2.87824,2.87824,2.87824,2.87824,0,0
RMK_PB,D,20071005,000000,3.00335,3.00335,3.00335,3.00335,0,0
RMK_PB,D,20071008,000000,2.9765,2.9765,2.9765,2.9765,0,0
RMK_PB,D,20071009,000000,2.92291,2.92291,2.92291,2.92291,0,0
RMK_PB,D,20071010,000000,2.92291,2.92291,2.92291,2.92291,0,0
RMK_PB,D,20071011,000000,2.8604,2.8604,2.8604,2.8604,0,0
RMK_PB,D,20071012,000000,2.94966,2.94966,2.94966,2.94966,0,0
RMK_PB,D,20071015,000000,2.77986,2.77986,2.77986,2.77986,0,0
RMK_PB,D,20071016,000000,2.8604,2.8604,2.8604,2.8604,0,0
RMK_PB,D,20071017,000000,2.88715,2.88715,2.88715,2.88715,0,0
RMK_PB,D,20071018,000000,2.76193,2.76193,2.76193,2.76193,0,0
RMK_PB,D,20071019,000000,2.74419,2.74419,2.74419,2.74419,0,0
RMK_PB,D,20071022,000000,2.77094,2.77094,2.77094,2.77094,0,0
RMK_PB,D,20071023,000000,2.82464,2.82464,2.82464,2.82464,0,0
RMK_PB,D,20071024,000000,2.66366,2.66366,2.66366,2.66366,0,0
RMK_PB,D,20071025,000000,2.69051,2.69051,2.69051,2.69051,0,0
RMK_PB,D,20071026,000000,2.55647,2.55647,2.55647,2.55647,0,0
RMK_PB,D,20071029,000000,2.6279,2.6279,2.6279,2.6279,0,0
RMK_PB,D,20071030,000000,2.61006,2.61006,2.61006,2.61006,0,0
RMK_PB,D,20071031,000000,2.60115,2.60115,2.60115,2.60115,0,0
RMK_PB,D,20071102,000000,2.56538,2.56538,2.56538,2.56538,0,0
RMK_PB,D,20071105,000000,2.56538,2.56538,2.56538,2.56538,0,0
RMK_PB,D,20071106,000000,2.44017,2.44017,2.44017,2.44017,0,0
RMK_PB,D,20071107,000000,2.32397,2.32397,2.32397,2.32397,0,0
RMK_PB,D,20071108,000000,2.19894,2.19894,2.19894,2.19894,0,0
RMK_PB,D,20071109,000000,2.4045,2.4045,2.4045,2.4045,0,0
RMK_PB,D,20071112,000000,2.4045,2.4045,2.16318,2.21678,0,0
RMK_PB,D,20071113,000000,2.16318,2.21678,2.09166,2.19894,0,0
RMK_PB,D,20071114,000000,2.33298,2.37766,2.16318,2.26146,0,0
RMK_PB,D,20071115,000000,2.33298,2.33298,2.02905,2.02905,0,0
RMK_PB,D,20071116,000000,2.03797,2.03797,1.87718,1.89492,0,0
RMK_PB,D,20071119,000000,1.89492,1.91285,1.76088,1.87718,0,0
RMK_PB,D,20071120,000000,1.79664,1.79664,1.74295,1.78773,0,0
RMK_PB,D,20071121,000000,1.77871,1.79664,1.70728,1.79664,0,0
RMK_PB,D,20071122,000000,1.79664,1.79664,1.65369,1.74295,0,0
RMK_PB,D,20071123,000000,1.74295,1.78773,1.74295,1.74295,0,0
RMK_PB,D,20071126,000000,1.78773,1.83241,1.66251,1.81448,0,0
RMK_PB,D,20071127,000000,1.74295,1.77871,1.74295,1.77871,0,0
RMK_PB,D,20071128,000000,1.83241,1.83241,1.80566,1.80566,0,0
RMK_PB,D,20071129,000000,1.85024,1.85024,1.74295,1.78773,0,0
RMK_PB,D,20071130,000000,1.74295,1.86817,1.74295,1.86817,0,0
RMK_PB,D,20071203,000000,1.86817,2.0022,1.83241,2.0022,0,0
RMK_PB,D,20071204,000000,1.87718,2.04698,1.87718,2.04698,0,0
RMK_PB,D,20071205,000000,2.04698,2.172,2.04698,2.172,0,0
RMK_PB,D,20071207,000000,2.12742,2.12742,2.02905,2.04698,0,0
RMK_PB,D,20071210,000000,2.04698,2.172,2.04698,2.13624,0,0
RMK_PB,D,20071211,000000,2.172,2.25244,2.172,2.172,0,0
RMK_PB,D,20071212,000000,2.18101,2.20786,2.16318,2.18101,0,0
RMK_PB,D,20071213,000000,2.172,2.172,2.06472,2.13624,0,0
RMK_PB,D,20071214,000000,2.16318,2.16318,2.16318,2.16318,0,0
RMK_PB,D,20071217,000000,1.99329,2.15417,1.99329,2.15417,0,0
RMK_PB,D,20071218,000000,2.07373,2.12742,2.07373,2.12742,0,0
RMK_PB,D,20071220,000000,2.04698,2.09166,2.0022,2.0022,0,0
RMK_PB,D,20071221,000000,2.0022,2.0022,1.86817,1.91285,0,0
RMK_PB,D,20071227,000000,1.91285,2.09166,1.91285,2.02905,0,0
RMK_PB,D,20071228,000000,2.08265,2.10949,1.92177,1.93068,0,0
RMK_PB,D,20080102,000000,1.93068,2.08265,1.93068,2.08265,0,0
RMK_PB,D,20080104,000000,2.0559,2.10949,2.03797,2.09166,0,0
RMK_PB,D,20080107,000000,1.99329,2.15417,1.99329,2.08265,0,0
RMK_PB,D,20080108,000000,1.99329,2.06472,1.92177,1.92177,0,0
RMK_PB,D,20080109,000000,1.92177,1.92177,1.83241,1.91285,0,0
RMK_PB,D,20080110,000000,1.83241,1.95752,1.75196,1.83241,0,0
RMK_PB,D,20080111,000000,1.74295,1.85925,1.66251,1.85925,0,0
RMK_PB,D,20080114,000000,1.74295,1.74295,1.74295,1.74295,0,0
RMK_PB,D,20080115,000000,1.66251,1.73403,1.56423,1.64468,0,0
RMK_PB,D,20080116,000000,1.62675,1.62675,1.50172,1.56423,0,0
RMK_PB,D,20080117,000000,1.67153,1.67153,1.56423,1.60891,0,0
RMK_PB,D,20080118,000000,1.66251,1.66251,1.56423,1.63576,0,0
RMK_PB,D,20080121,000000,1.56423,1.68945,1.56423,1.61793,0,0
RMK_PB,D,20080122,000000,1.68945,1.68945,1.55522,1.59098,0,0
RMK_PB,D,20080123,000000,1.65369,1.65369,1.51064,1.62675,0,0
RMK_PB,D,20080124,000000,1.65369,1.65369,1.55522,1.63576,0,0
RMK_PB,D,20080125,000000,1.65369,1.65369,1.65369,1.65369,0,0
RMK_PB,D,20080128,000000,1.57315,1.70728,1.57315,1.70728,0,0
RMK_PB,D,20080129,000000,1.70728,1.76088,1.69828,1.76088,0,0
RMK_PB,D,20080130,000000,1.77871,1.84142,1.68044,1.84142,0,0
RMK_PB,D,20080131,000000,1.85024,1.85925,1.74295,1.83241,0,0
RMK_PB,D,20080201,000000,1.83241,1.98437,1.83241,1.95752,0,0
RMK_PB,D,20080204,000000,1.90393,1.94861,1.90393,1.94861,0,0
RMK_PB,D,20080211,000000,1.83241,1.83241,1.78773,1.78773,0,0
RMK_PB,D,20080212,000000,1.93068,1.93068,1.75196,1.82349,0,0
RMK_PB,D,20080213,000000,1.83241,1.86817,1.76979,1.86817,0,0
RMK_PB,D,20080214,000000,1.74295,1.86817,1.74295,1.79664,0,0
RMK_PB,D,20080215,000000,1.78773,1.83241,1.70728,1.82349,0,0
RMK_PB,D,20080218,000000,1.79664,1.83241,1.78773,1.78773,0,0
RMK_PB,D,20080219,000000,1.75196,1.78773,1.69828,1.78773,0,0
RMK_PB,D,20080220,000000,1.77871,1.77871,1.75196,1.75196,0,0
RMK_PB,D,20080221,000000,1.78773,1.81448,1.75196,1.81448,0,0
RMK_PB,D,20080222,000000,1.7162,1.80566,1.7162,1.80566,0,0
RMK_PB,D,20080225,000000,1.7162,1.76979,1.68945,1.75196,0,0
RMK_PB,D,20080226,000000,1.75196,1.75196,1.68044,1.68044,0,0
RMK_PB,D,20080227,000000,1.68044,1.72511,1.68044,1.72511,0,0
RMK_PB,D,20080228,000000,1.72511,1.76979,1.68945,1.68945,0,0
RMK_PB,D,20080229,000000,1.76979,1.76979,1.72511,1.72511,0,0
RMK_PB,D,20080303,000000,1.68044,1.68044,1.58216,1.66251,0,0
RMK_PB,D,20080304,000000,1.60891,1.66251,1.56423,1.64468,0,0
RMK_PB,D,20080305,000000,1.52847,1.67153,1.52847,1.67153,0,0
RMK_PB,D,20080306,000000,1.70728,1.75196,1.52847,1.65369,0,0
RMK_PB,D,20080307,000000,1.65369,1.72511,1.58216,1.70728,0,0
RMK_PB,D,20080310,000000,1.67153,1.7162,1.58216,1.58216,0,0
RMK_PB,D,20080311,000000,1.6,1.66251,1.58216,1.66251,0,0
RMK_PB,D,20080312,000000,1.68044,1.68044,1.60891,1.60891,0,0
RMK_PB,D,20080313,000000,1.57315,1.64468,1.57315,1.64468,0,0
RMK_PB,D,20080314,000000,1.61793,1.72511,1.61793,1.72511,0,0
RMK_PB,D,20080317,000000,1.58216,1.75196,1.58216,1.75196,0,0
RMK_PB,D,20080318,000000,1.64468,1.90393,1.64468,1.85925,0,0
RMK_PB,D,20080319,000000,1.95752,2.09166,1.95752,2.09166,0,0
RMK_PB,D,20080320,000000,2.04698,2.09166,1.93068,1.93969,0,0
RMK_PB,D,20080325,000000,1.90393,2.04698,1.90393,2.03797,0,0
RMK_PB,D,20080326,000000,2.0022,2.0022,2.0022,2.0022,0,0
RMK_PB,D,20080327,000000,1.95752,2.01122,1.89492,1.90393,0,0
RMK_PB,D,20080328,000000,1.95752,1.95752,1.87718,1.95752,0,0
RMK_PB,D,20080401,000000,1.93969,1.95752,1.89492,1.93969,0,0
RMK_PB,D,20080402,000000,1.99329,2.0022,1.99329,1.99329,0,0
RMK_PB,D,20080403,000000,2.0022,2.01122,1.85925,1.85925,0,0
RMK_PB,D,20080404,000000,1.86817,1.93969,1.86817,1.93969,0,0
RMK_PB,D,20080407,000000,1.94861,2.13624,1.94861,2.13624,0,0
RMK_PB,D,20080408,000000,2.18101,2.18101,2.09166,2.09166,0,0
RMK_PB,D,20080409,000000,2.11841,2.23461,2.11841,2.21678,0,0
RMK_PB,D,20080410,000000,2.20786,2.65475,2.20786,2.54745,0,0
RMK_PB,D,20080411,000000,2.54745,2.77986,2.48495,2.5117,0,0
RMK_PB,D,20080414,000000,2.5743,2.5743,2.36874,2.36874,0,0
RMK_PB,D,20080415,000000,2.4045,2.4045,2.29722,2.35973,0,0
RMK_PB,D,20080416,000000,2.27939,2.36874,2.14525,2.21678,0,0
RMK_PB,D,20080417,000000,2.10949,2.28821,2.10949,2.13624,0,0
RMK_PB,D,20080418,000000,2.14525,2.23461,2.14525,2.15417,0,0
RMK_PB,D,20080421,000000,2.15417,2.30614,2.15417,2.29722,0,0
RMK_PB,D,20080422,000000,2.28821,2.28821,1.99329,1.99329,0,0
RMK_PB,D,20080423,000000,1.93969,2.09166,1.93969,1.95752,0,0
RMK_PB,D,20080424,000000,2.03797,2.03797,2.0022,2.02905,0,0
RMK_PB,D,20080425,000000,2.0559,2.09166,2.0559,2.09166,0,0
RMK_PB,D,20080428,000000,2.11841,2.20786,2.0559,2.0559,0,0
RMK_PB,D,20080429,000000,2.20786,2.20786,1.95752,2.0022,0,0
RMK_PB,D,20080430,000000,2.02013,2.08265,2.02013,2.07373,0,0
RMK_PB,D,20080505,000000,1.94861,1.94861,1.82349,1.83241,0,0
RMK_PB,D,20080506,000000,1.82349,1.92177,1.77871,1.92177,0,0
RMK_PB,D,20080507,000000,1.99329,1.99329,1.93969,1.93969,0,0
RMK_PB,D,20080508,000000,1.91285,1.91285,1.91285,1.91285,0,0
RMK_PB,D,20080509,000000,1.90393,1.90393,1.85024,1.89492,0,0
RMK_PB,D,20080512,000000,1.85925,1.85925,1.7162,1.7162,0,0
RMK_PB,D,20080513,000000,1.79664,1.79664,1.64468,1.64468,0,0
RMK_PB,D,20080514,000000,1.60891,1.76088,1.60891,1.65369,0,0
RMK_PB,D,20080515,000000,1.73403,1.73403,1.51955,1.51955,0,0
RMK_PB,D,20080516,000000,1.58216,1.66251,1.57315,1.66251,0,0
RMK_PB,D,20080519,000000,1.68945,1.68945,1.62675,1.63576,0,0
RMK_PB,D,20080520,000000,1.65369,1.65369,1.58216,1.58216,0,0
RMK_PB,D,20080521,000000,1.56423,1.59098,1.53748,1.59098,0,0
RMK_PB,D,20080523,000000,1.58216,1.61793,1.55522,1.55522,0,0
RMK_PB,D,20080526,000000,1.60891,1.60891,1.60891,1.60891,0,0
RMK_PB,D,20080527,000000,1.51955,1.51955,1.51955,1.51955,0,0
RMK_PB,D,20080528,000000,1.5464,1.59098,1.49272,1.49272,0,0
RMK_PB,D,20080529,000000,1.52847,1.59098,1.4838,1.4838,0,0
RMK_PB,D,20080530,000000,1.50172,1.50172,1.4302,1.50172,0,0
RMK_PB,D,20080602,000000,1.50172,1.50172,1.50172,1.50172,0,0
RMK_PB,D,20080603,000000,1.46597,1.46597,1.46597,1.46597,0,0
RMK_PB,D,20080604,000000,1.43912,1.49272,1.43912,1.45695,0,0
RMK_PB,D,20080605,000000,1.36769,1.45695,1.36769,1.43912,0,0
RMK_PB,D,20080606,000000,1.47488,1.47488,1.47488,1.47488,0,0
RMK_PB,D,20080609,000000,1.34074,1.47488,1.34074,1.45695,0,0
RMK_PB,D,20080610,000000,1.34074,1.45695,1.34074,1.43912,0,0
RMK_PB,D,20080612,000000,1.33183,1.40335,1.30499,1.40335,0,0
RMK_PB,D,20080613,000000,1.29607,1.47488,1.29607,1.41227,0,0
RMK_PB,D,20080616,000000,1.44803,1.44803,1.35867,1.4302,0,0
RMK_PB,D,20080617,000000,1.4302,1.4302,1.4302,1.4302,0,0
RMK_PB,D,20080618,000000,1.4302,1.4302,1.32291,1.32291,0,0
RMK_PB,D,20080619,000000,1.32291,1.36769,1.26922,1.35867,0,0
RMK_PB,D,20080620,000000,1.41227,1.41227,1.36769,1.40335,0,0
RMK_PB,D,20080623,000000,1.50172,1.50172,1.26031,1.26031,0,0
RMK_PB,D,20080624,000000,1.24247,1.26031,1.21563,1.21563,0,0
RMK_PB,D,20080625,000000,1.21563,1.27824,1.17095,1.26031,0,0
