<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RND_MV,D,20211222,000000,108.546,108.546,108.546,108.546,0,0
RND_MV,D,20211223,000000,110.901,133.084,110.808,129.257,0,0
RND_MV,D,20211227,000000,135.796,135.796,117.686,125.839,0,0
RND_MV,D,20211228,000000,117.235,123.034,114.974,123.034,0,0
RND_MV,D,20211229,000000,121.308,121.308,111.352,114.974,0,0
RND_MV,D,20211230,000000,114.974,116.784,114.974,115.875,0,0
RND_MV,D,20220103,000000,117.686,120.041,108.64,120.041,0,0
RND_MV,D,20220104,000000,118.595,118.595,113.256,117.686,0,0
RND_MV,D,20220105,000000,117.508,125.381,117.508,125.381,0,0
RND_MV,D,20220107,000000,121.308,124.028,116.784,121.291,0,0
RND_MV,D,20220110,000000,117.686,119.497,117.669,117.686,0,0
RND_MV,D,20220111,000000,117.686,117.686,116.784,116.784,0,0
RND_MV,D,20220112,000000,115.603,116.768,113.163,116.768,0,0
RND_MV,D,20220113,000000,116.784,117.686,116.784,117.686,0,0
RND_MV,D,20220114,000000,118.595,119.046,114.974,117.508,0,0
RND_MV,D,20220117,000000,115.152,116.607,113.341,116.607,0,0
RND_MV,D,20220118,000000,115.875,115.875,110.451,114.974,0,0
RND_MV,D,20220119,000000,111.352,113.07,109.09,113.07,0,0
RND_MV,D,20220120,000000,109.541,115.875,108.64,115.875,0,0
RND_MV,D,20220121,000000,112.712,114.881,111.352,114.881,0,0
RND_MV,D,20220124,000000,111.802,111.802,101.847,108.18,0,0
RND_MV,D,20220125,000000,108.18,108.18,102.485,108.002,0,0
RND_MV,D,20220126,000000,107.73,107.73,102.663,107.713,0,0
RND_MV,D,20220127,000000,109.448,111.446,105.919,111.446,0,0
RND_MV,D,20220128,000000,111.446,116.334,108.64,112.797,0,0
RND_MV,D,20220131,000000,112.797,115.246,109.541,114.863,0,0
RND_MV,D,20220201,000000,114.863,119.497,109.635,119.497,0,0
RND_MV,D,20220202,000000,110.629,122.217,110.629,122.184,0,0
RND_MV,D,20220203,000000,119.497,140.319,119.497,135.779,0,0
RND_MV,D,20220204,000000,134.707,135.796,133.985,133.985,0,0
RND_MV,D,20220207,000000,133.985,137.607,133.985,135.796,0,0
RND_MV,D,20220208,000000,136.246,136.246,130.363,133.985,0,0
RND_MV,D,20220209,000000,133.985,133.985,133.985,133.985,0,0
RND_MV,D,20220210,000000,133.534,133.985,133.534,133.985,0,0
RND_MV,D,20220211,000000,133.985,133.985,133.084,133.084,0,0
RND_MV,D,20220214,000000,124.028,124.028,116.784,121.308,0,0
RND_MV,D,20220215,000000,117.686,123.935,116.784,123.935,0,0
RND_MV,D,20220216,000000,123.935,123.935,123.935,123.935,0,0
RND_MV,D,20220217,000000,119.497,119.497,117.686,117.686,0,0
RND_MV,D,20220218,000000,119.497,122.124,115.875,115.875,0,0
RND_MV,D,20220221,000000,117.686,121.767,117.686,119.352,0,0
RND_MV,D,20220222,000000,114.974,126.741,108.64,126.741,0,0
RND_MV,D,20220223,000000,126.562,126.562,117.686,119.497,0,0
RND_MV,D,20220224,000000,112.278,112.278,96.142,105.018,0,0
RND_MV,D,20220225,000000,106.829,113.163,106.829,113.163,0,0
RND_MV,D,20220228,000000,104.108,111.352,104.108,111.352,0,0
RND_MV,D,20220301,000000,112.262,114.974,112.262,114.974,0,0
RND_MV,D,20220302,000000,114.974,115.875,114.974,115.875,0,0
RND_MV,D,20220303,000000,115.875,124.93,115.875,116.784,0,0
RND_MV,D,20220304,000000,116.784,123.101,109.558,117.601,0,0
RND_MV,D,20220307,000000,116.692,116.692,116.692,116.692,0,0
RND_MV,D,20220308,000000,117.235,121.724,117.235,121.724,0,0
RND_MV,D,20220309,000000,122.217,123.119,121.308,121.308,0,0
RND_MV,D,20220310,000000,115.875,122.217,115.875,122.217,0,0
RND_MV,D,20220311,000000,120.406,120.406,120.406,120.406,0,0
RND_MV,D,20220314,000000,117.686,120.406,117.686,120.406,0,0
RND_MV,D,20220315,000000,117.686,119.956,116.062,119.956,0,0
RND_MV,D,20220316,000000,119.956,119.956,119.956,119.956,0,0
RND_MV,D,20220317,000000,119.956,120.228,119.956,120.228,0,0
RND_MV,D,20220318,000000,119.497,120.228,117.686,117.686,0,0
RND_MV,D,20220321,000000,120.041,120.228,115.875,120.228,0,0
RND_MV,D,20220322,000000,120.228,120.228,120.228,120.228,0,0
RND_MV,D,20220323,000000,120.228,120.228,117.686,117.686,0,0
RND_MV,D,20220325,000000,118.953,118.953,118.953,118.953,0,0
RND_MV,D,20220328,000000,119.14,119.14,115.875,118.595,0,0
RND_MV,D,20220329,000000,118.595,118.595,113.163,113.163,0,0
RND_MV,D,20220330,000000,117.686,117.686,117.686,117.686,0,0
RND_MV,D,20220404,000000,116.784,116.784,116.784,116.784,0,0
RND_MV,D,20220405,000000,116.334,116.334,116.334,116.334,0,0
RND_MV,D,20220406,000000,115.875,115.875,115.875,115.875,0,0
RND_MV,D,20220407,000000,116.334,117.686,114.065,114.065,0,0
RND_MV,D,20220408,000000,117.235,117.235,114.065,114.065,0,0
RND_MV,D,20220411,000000,113.707,113.707,113.613,113.613,0,0
RND_MV,D,20220412,000000,114.065,114.065,112.262,112.262,0,0
RND_MV,D,20220413,000000,111.352,111.352,111.352,111.352,0,0
RND_MV,D,20220414,000000,113.613,114.974,110.451,110.451,0,0
RND_MV,D,20220419,000000,112.262,112.262,110.451,110.451,0,0
RND_MV,D,20220420,000000,112.262,114.065,112.262,113.613,0,0
RND_MV,D,20220421,000000,116.784,122.217,115.424,115.875,0,0
RND_MV,D,20220422,000000,119.956,121.308,117.686,117.686,0,0
RND_MV,D,20220425,000000,115.875,120.858,114.974,114.974,0,0
RND_MV,D,20220426,000000,114.523,114.523,114.523,114.523,0,0
RND_MV,D,20220427,000000,114.065,116.784,113.163,116.784,0,0
RND_MV,D,20220429,000000,116.784,116.784,109.541,114.065,0,0
RND_MV,D,20220502,000000,114.974,114.974,111.352,111.352,0,0
RND_MV,D,20220504,000000,111.352,116.784,109.541,116.784,0,0
RND_MV,D,20220506,000000,111.352,111.352,108.64,108.64,0,0
RND_MV,D,20220510,000000,107.73,108.64,104.108,105.018,0,0
RND_MV,D,20220512,000000,104.559,107.73,84.1963,101.396,0,0
RND_MV,D,20220513,000000,102.297,104.108,100.945,102.297,0,0
RND_MV,D,20220516,000000,105.018,105.919,99.5851,99.5851,0,0
RND_MV,D,20220519,000000,100.036,100.036,98.6752,98.6752,0,0
RND_MV,D,20220523,000000,98.6752,99.5851,97.7742,99.5851,0,0
RND_MV,D,20220524,000000,97.7742,97.7742,93.7018,95.9632,0,0
RND_MV,D,20220525,000000,93.2424,95.9632,92.7919,93.2424,0,0
RND_MV,D,20220526,000000,95.5127,97.7742,93.2424,93.2424,0,0
RND_MV,D,20220527,000000,95.0533,95.0533,95.0533,95.0533,0,0
RND_MV,D,20220530,000000,94.1523,94.1523,94.1523,94.1523,0,0
RND_MV,D,20220531,000000,92.7919,97.7742,91.4315,97.7742,0,0
RND_MV,D,20220601,000000,98.2247,98.2247,98.2247,98.2247,0,0
RND_MV,D,20220602,000000,92.3414,92.3414,92.3414,92.3414,0,0
RND_MV,D,20220606,000000,89.6294,89.9861,86.0072,89.9861,0,0
RND_MV,D,20220607,000000,86.5429,90.5305,86.1857,89.6294,0,0
RND_MV,D,20220608,000000,91.4315,95.9632,91.4315,95.9632,0,0
RND_MV,D,20220609,000000,97.3236,99.1346,89.6294,89.6294,0,0
RND_MV,D,20220610,000000,94.1523,95.0533,94.1523,95.0533,0,0
RND_MV,D,20220613,000000,92.3414,92.3414,86.5429,87.8181,0,0
RND_MV,D,20220614,000000,86.0072,91.4315,86.0072,91.4315,0,0
RND_MV,D,20220615,000000,91.4315,91.4315,88.7195,88.7195,0,0
RND_MV,D,20220617,000000,89.6294,99.1346,89.6294,99.1346,0,0
RND_MV,D,20220620,000000,95.0533,95.0533,92.7919,92.7919,0,0
RND_MV,D,20220621,000000,92.7919,92.7919,88.7195,88.7195,0,0
RND_MV,D,20220622,000000,88.7195,91.4315,88.7195,88.7195,0,0
RND_MV,D,20220623,000000,88.7195,88.7195,88.7195,88.7195,0,0
RND_MV,D,20220624,000000,88.7195,88.7195,88.7195,88.7195,0,0
RND_MV,D,20220627,000000,88.1753,88.1753,86.9084,86.9084,0,0
RND_MV,D,20220628,000000,86.9084,86.9084,86.9084,86.9084,0,0
RND_MV,D,20220629,000000,86.9084,86.9084,86.9084,86.9084,0,0
RND_MV,D,20220630,000000,86.9084,86.9084,86.9084,86.9084,0,0
RND_MV,D,20220701,000000,86.9084,86.9084,86.9084,86.9084,0,0
RND_MV,D,20220704,000000,86.0072,86.0072,86.0072,86.0072,0,0
RND_MV,D,20220705,000000,86.0072,86.0072,86.0072,86.0072,0,0
RND_MV,D,20220706,000000,87.8181,90.5305,87.8181,90.5305,0,0
RND_MV,D,20220707,000000,90.5305,93.2424,85.0975,93.2424,0,0
RND_MV,D,20220708,000000,93.2424,93.2424,93.2424,93.2424,0,0
RND_MV,D,20220711,000000,94.1523,105.018,94.1523,99.5851,0,0
RND_MV,D,20220712,000000,99.5851,99.5851,99.5851,99.5851,0,0
RND_MV,D,20220713,000000,99.5851,99.5851,99.5851,99.5851,0,0
RND_MV,D,20220718,000000,99.5851,99.5851,91.4315,91.4315,0,0
RND_MV,D,20220720,000000,93.2424,103.207,93.2424,103.207,0,0
RND_MV,D,20220722,000000,103.207,103.207,103.207,103.207,0,0
RND_MV,D,20220725,000000,106.829,111.352,104.108,107.73,0,0
RND_MV,D,20220726,000000,108.64,124.93,108.64,124.93,0,0
RND_MV,D,20220727,000000,123.119,123.119,123.119,123.119,0,0
RND_MV,D,20220728,000000,123.578,123.578,123.578,123.578,0,0
RND_MV,D,20220729,000000,117.686,117.686,117.686,117.686,0,0
RND_MV,D,20220801,000000,122.217,123.119,116.784,116.784,0,0
RND_MV,D,20220802,000000,116.334,121.308,115.875,121.308,0,0
RND_MV,D,20220804,000000,114.065,114.065,113.163,113.163,0,0
RND_MV,D,20220805,000000,114.065,114.065,114.065,114.065,0,0
RND_MV,D,20220808,000000,114.974,116.784,110.451,110.451,0,0
RND_MV,D,20220810,000000,110.451,110.451,110.451,110.451,0,0
RND_MV,D,20220811,000000,110.451,110.451,110.451,110.451,0,0
RND_MV,D,20220812,000000,116.784,116.784,115.875,115.875,0,0
RND_MV,D,20220816,000000,115.875,115.875,115.875,115.875,0,0
RND_MV,D,20220817,000000,115.875,123.578,113.163,123.578,0,0
RND_MV,D,20220818,000000,123.578,123.578,123.578,123.578,0,0
RND_MV,D,20220819,000000,123.578,123.578,123.578,123.578,0,0
RND_MV,D,20220822,000000,123.578,123.578,108.64,108.64,0,0
RND_MV,D,20220823,000000,110.451,110.451,108.64,108.64,0,0
RND_MV,D,20220824,000000,108.64,108.64,108.64,108.64,0,0
RND_MV,D,20220825,000000,108.64,108.64,108.64,108.64,0,0
RND_MV,D,20220829,000000,109.09,109.09,109.09,109.09,0,0
