<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RND_PB,D,20211222,000000,5.07575,5.07575,5.07575,5.07575,0,0
RND_PB,D,20211223,000000,5.18628,6.22354,5.18628,6.04499,0,0
RND_PB,D,20211227,000000,6.35106,6.35106,5.50936,5.89195,0,0
RND_PB,D,20211228,000000,5.48385,5.75592,5.38183,5.75592,0,0
RND_PB,D,20211229,000000,5.6794,5.6794,5.21179,5.38183,0,0
RND_PB,D,20211230,000000,5.38183,5.46685,5.38183,5.42434,0,0
RND_PB,D,20220103,000000,5.50936,5.61989,5.08425,5.61989,0,0
RND_PB,D,20220104,000000,5.55187,5.55187,5.2968,5.50936,0,0
RND_PB,D,20220105,000000,5.50086,5.86645,5.50086,5.86645,0,0
RND_PB,D,20220107,000000,5.6794,5.80694,5.46685,5.6794,0,0
RND_PB,D,20220110,000000,5.50936,5.59438,5.50936,5.50936,0,0
RND_PB,D,20220111,000000,5.50936,5.50936,5.46685,5.46685,0,0
RND_PB,D,20220112,000000,5.40734,5.46685,5.2968,5.46685,0,0
RND_PB,D,20220113,000000,5.46685,5.50936,5.46685,5.50936,0,0
RND_PB,D,20220114,000000,5.55187,5.56888,5.38183,5.50086,0,0
RND_PB,D,20220117,000000,5.39033,5.45834,5.30531,5.45834,0,0
RND_PB,D,20220118,000000,5.42434,5.42434,5.16928,5.38183,0,0
RND_PB,D,20220119,000000,5.21179,5.28831,5.10126,5.28831,0,0
RND_PB,D,20220120,000000,5.12677,5.42434,5.08425,5.42434,0,0
RND_PB,D,20220121,000000,5.2713,5.37332,5.21179,5.37332,0,0
RND_PB,D,20220124,000000,5.22879,5.22879,4.76968,5.05875,0,0
RND_PB,D,20220125,000000,5.05875,5.05875,4.79518,5.05025,0,0
RND_PB,D,20220126,000000,5.04174,5.04174,4.80368,5.04174,0,0
RND_PB,D,20220127,000000,5.11826,5.21179,4.95672,5.21179,0,0
RND_PB,D,20220128,000000,5.21179,5.44134,5.08425,5.2798,0,0
RND_PB,D,20220131,000000,5.2798,5.39033,5.12677,5.37332,0,0
RND_PB,D,20220201,000000,5.37332,5.59438,5.12677,5.59438,0,0
RND_PB,D,20220202,000000,5.17777,5.72191,5.17777,5.71341,0,0
RND_PB,D,20220203,000000,5.59438,6.56362,5.59438,6.35106,0,0
RND_PB,D,20220204,000000,6.30005,6.35106,6.26605,6.26605,0,0
RND_PB,D,20220207,000000,6.26605,6.43609,6.26605,6.35106,0,0
RND_PB,D,20220208,000000,6.37657,6.37657,6.10451,6.26605,0,0
RND_PB,D,20220209,000000,6.26605,6.26605,6.26605,6.26605,0,0
RND_PB,D,20220210,000000,6.24905,6.26605,6.24905,6.26605,0,0
RND_PB,D,20220211,000000,6.26605,6.26605,6.22354,6.22354,0,0
RND_PB,D,20220214,000000,5.80694,5.80694,5.46685,5.6794,0,0
RND_PB,D,20220215,000000,5.50936,5.79843,5.46685,5.79843,0,0
RND_PB,D,20220216,000000,5.79843,5.79843,4.93972,4.93972,0,0
RND_PB,D,20220217,000000,4.76117,4.76117,4.68466,4.68466,0,0
RND_PB,D,20220218,000000,4.76117,4.8632,4.61664,4.61664,0,0
RND_PB,D,20220221,000000,4.68466,4.8462,4.68466,4.75268,0,0
RND_PB,D,20220222,000000,4.58263,5.05025,4.32757,5.05025,0,0
RND_PB,D,20220223,000000,5.04174,5.04174,4.68466,4.76117,0,0
RND_PB,D,20220224,000000,4.47211,4.47211,3.82594,4.18303,0,0
RND_PB,D,20220225,000000,4.25105,4.50611,4.25105,4.50611,0,0
RND_PB,D,20220228,000000,4.14902,4.43809,4.14902,4.43809,0,0
RND_PB,D,20220301,000000,4.47211,4.58263,4.47211,4.58263,0,0
RND_PB,D,20220302,000000,4.58263,4.61664,4.58263,4.61664,0,0
RND_PB,D,20220303,000000,4.61664,4.97372,4.61664,4.65065,0,0
RND_PB,D,20220304,000000,4.65065,4.90571,4.36157,4.68466,0,0
RND_PB,D,20220307,000000,4.65065,4.65065,4.65065,4.65065,0,0
RND_PB,D,20220308,000000,4.66765,5.06725,4.66765,5.06725,0,0
RND_PB,D,20220309,000000,5.09276,5.12677,5.05025,5.05025,0,0
RND_PB,D,20220310,000000,4.82919,5.09276,4.82919,5.09276,0,0
RND_PB,D,20220311,000000,5.01623,5.01623,5.01623,5.01623,0,0
RND_PB,D,20220314,000000,4.90571,5.01623,4.90571,5.01623,0,0
