<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RND_PE,D,20211222,000000,9.26733,9.26733,9.26733,9.26733,0,0
RND_PE,D,20211223,000000,8.58712,10.9677,8.58712,10.9677,0,0
RND_PE,D,20211227,000000,11.5629,11.5629,9.94745,10.7126,0,0
RND_PE,D,20211228,000000,9.94745,10.4576,9.77742,10.4576,0,0
RND_PE,D,20211229,000000,10.2875,10.2875,9.43736,9.77742,0,0
RND_PE,D,20211230,000000,9.77742,9.94745,9.77742,9.86247,0,0
RND_PE,D,20220103,000000,10.0325,10.2025,9.26733,10.2025,0,0
RND_PE,D,20220104,000000,10.1175,10.1175,9.60739,10.0325,0,0
RND_PE,D,20220105,000000,10.0325,10.7126,10.0325,10.6276,0,0
RND_PE,D,20220107,000000,10.2875,10.5426,9.86247,10.2875,0,0
RND_PE,D,20220110,000000,9.94745,10.1175,9.94745,10.0325,0,0
RND_PE,D,20220111,000000,10.0325,10.0325,9.94745,9.94745,0,0
RND_PE,D,20220112,000000,9.86247,9.94745,9.60739,9.94745,0,0
RND_PE,D,20220113,000000,9.94745,10.0325,9.94745,10.0325,0,0
RND_PE,D,20220114,000000,10.1175,10.1175,9.77742,10.0325,0,0
RND_PE,D,20220117,000000,9.86247,9.94745,9.69236,9.94745,0,0
RND_PE,D,20220118,000000,9.86247,9.86247,9.43736,9.77742,0,0
RND_PE,D,20220119,000000,9.43736,9.60739,9.26733,9.60739,0,0
RND_PE,D,20220120,000000,9.26733,9.86247,9.26733,9.86247,0,0
RND_PE,D,20220121,000000,9.60739,9.77742,9.43736,9.77742,0,0
RND_PE,D,20220124,000000,9.52233,9.52233,8.67214,9.18227,0,0
RND_PE,D,20220125,000000,9.18227,9.18227,8.67214,9.18227,0,0
RND_PE,D,20220126,000000,9.18227,9.18227,8.75716,9.18227,0,0
RND_PE,D,20220127,000000,9.3523,9.52233,9.01224,9.52233,0,0
RND_PE,D,20220128,000000,9.52233,9.94745,9.26733,9.60739,0,0
RND_PE,D,20220131,000000,9.60739,9.77742,9.3523,9.77742,0,0
RND_PE,D,20220201,000000,9.77742,10.2025,9.3523,10.2025,0,0
RND_PE,D,20220202,000000,9.43736,10.4576,9.43736,10.3726,0,0
RND_PE,D,20220203,000000,10.1175,11.9029,10.1175,11.5629,0,0
RND_PE,D,20220204,000000,11.4778,11.5629,11.3928,11.3928,0,0
RND_PE,D,20220207,000000,11.3928,11.7329,11.3928,11.5629,0,0
RND_PE,D,20220208,000000,11.5629,11.5629,11.1377,11.3928,0,0
RND_PE,D,20220209,000000,11.3928,11.3928,11.3928,11.3928,0,0
RND_PE,D,20220210,000000,11.3928,11.3928,11.3928,11.3928,0,0
RND_PE,D,20220211,000000,11.3928,11.3928,11.3078,11.3078,0,0
RND_PE,D,20220214,000000,10.5426,10.5426,9.94745,10.2875,0,0
RND_PE,D,20220215,000000,9.94745,10.5426,9.86247,10.5426,0,0
RND_PE,D,20220216,000000,10.5426,12.5831,10.5426,12.5831,0,0
RND_PE,D,20220217,000000,12.158,12.158,11.9029,11.9029,0,0
RND_PE,D,20220218,000000,12.0729,12.328,11.7329,11.7329,0,0
RND_PE,D,20220221,000000,11.9029,12.328,11.9029,12.0729,0,0
RND_PE,D,20220222,000000,11.6479,12.8382,10.9677,12.8382,0,0
RND_PE,D,20220223,000000,12.8382,12.8382,11.9029,12.0729,0,0
RND_PE,D,20220224,000000,11.3078,11.3078,9.69236,10.6276,0,0
RND_PE,D,20220225,000000,10.7977,11.4778,10.7977,11.4778,0,0
