<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC_MV,D,20070813,000000,166.464,166.464,166.464,166.464,0,0
RPC_MV,D,20070814,000000,156.747,156.747,156.747,156.747,0,0
RPC_MV,D,20070816,000000,135.399,135.399,135.399,135.399,0,0
RPC_MV,D,20070817,000000,138.501,138.501,138.501,138.501,0,0
RPC_MV,D,20070820,000000,137.279,137.279,137.279,137.279,0,0
RPC_MV,D,20070821,000000,131.369,131.369,131.369,131.369,0,0
RPC_MV,D,20070822,000000,139.177,139.177,139.177,139.177,0,0
RPC_MV,D,20070823,000000,143.503,143.503,143.503,143.503,0,0
RPC_MV,D,20070824,000000,145.93,145.93,145.93,145.93,0,0
RPC_MV,D,20070827,000000,151.07,151.07,151.07,151.07,0,0
RPC_MV,D,20070828,000000,154.044,154.044,154.044,154.044,0,0
RPC_MV,D,20070829,000000,150.256,150.256,150.256,150.256,0,0
RPC_MV,D,20070830,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20070831,000000,147.958,147.958,147.958,147.958,0,0
RPC_MV,D,20070903,000000,149.44,149.44,149.44,149.44,0,0
RPC_MV,D,20070904,000000,148.496,148.496,148.496,148.496,0,0
RPC_MV,D,20070905,000000,147.559,147.559,147.559,147.559,0,0
RPC_MV,D,20070906,000000,147.828,147.828,147.828,147.828,0,0
RPC_MV,D,20070907,000000,147.559,147.559,147.559,147.559,0,0
RPC_MV,D,20070910,000000,142.957,142.957,142.957,142.957,0,0
RPC_MV,D,20070911,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20070912,000000,142.957,142.957,142.957,142.957,0,0
RPC_MV,D,20070913,000000,144.04,144.04,144.04,144.04,0,0
RPC_MV,D,20070914,000000,143.91,143.91,143.91,143.91,0,0
RPC_MV,D,20070917,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20070918,000000,142.42,142.42,142.42,142.42,0,0
RPC_MV,D,20070919,000000,144.977,144.977,144.977,144.977,0,0
RPC_MV,D,20070920,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20070921,000000,144.04,144.04,144.04,144.04,0,0
RPC_MV,D,20070924,000000,142.688,142.688,142.688,142.688,0,0
RPC_MV,D,20070925,000000,141.883,141.883,141.883,141.883,0,0
RPC_MV,D,20070926,000000,141.595,141.595,141.595,141.595,0,0
RPC_MV,D,20070927,000000,142.152,142.152,142.152,142.152,0,0
RPC_MV,D,20070928,000000,140.521,140.521,140.521,140.521,0,0
RPC_MV,D,20071001,000000,133.432,133.432,133.432,133.432,0,0
RPC_MV,D,20071002,000000,127.286,127.286,127.286,127.286,0,0
RPC_MV,D,20071003,000000,125.673,125.673,125.673,125.673,0,0
RPC_MV,D,20071004,000000,131.351,131.351,131.351,131.351,0,0
RPC_MV,D,20071005,000000,141.883,141.883,141.883,141.883,0,0
RPC_MV,D,20071008,000000,144.04,144.04,144.04,144.04,0,0
RPC_MV,D,20071009,000000,141.345,141.345,141.345,141.345,0,0
RPC_MV,D,20071010,000000,139.177,139.177,139.177,139.177,0,0
RPC_MV,D,20071011,000000,143.096,143.096,143.096,143.096,0,0
RPC_MV,D,20071012,000000,144.309,144.309,144.309,144.309,0,0
RPC_MV,D,20071015,000000,143.096,143.096,143.096,143.096,0,0
RPC_MV,D,20071016,000000,144.586,144.586,144.586,144.586,0,0
RPC_MV,D,20071017,000000,146.468,146.468,146.468,146.468,0,0
RPC_MV,D,20071018,000000,151.07,151.07,151.07,151.07,0,0
RPC_MV,D,20071019,000000,151.338,151.338,151.338,151.338,0,0
RPC_MV,D,20071022,000000,149.44,149.44,149.44,149.44,0,0
RPC_MV,D,20071023,000000,148.634,148.634,148.634,148.634,0,0
RPC_MV,D,20071024,000000,144.586,144.586,144.586,144.586,0,0
RPC_MV,D,20071025,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20071026,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20071029,000000,143.234,143.234,143.234,143.234,0,0
RPC_MV,D,20071030,000000,143.096,143.096,143.096,143.096,0,0
RPC_MV,D,20071031,000000,142.688,142.688,142.688,142.688,0,0
RPC_MV,D,20071102,000000,141.883,141.883,141.883,141.883,0,0
RPC_MV,D,20071105,000000,138.901,138.901,138.901,138.901,0,0
RPC_MV,D,20071106,000000,134.948,134.948,134.948,134.948,0,0
RPC_MV,D,20071107,000000,129.704,129.704,129.704,129.704,0,0
RPC_MV,D,20071108,000000,125.673,125.673,125.673,125.673,0,0
RPC_MV,D,20071109,000000,115.793,132.408,115.793,126.748,0,0
RPC_MV,D,20071112,000000,127.545,131.62,124.304,129.704,0,0
RPC_MV,D,20071113,000000,127.545,134.723,127.545,133.561,0,0
RPC_MV,D,20071114,000000,133.561,137.826,131.247,137.687,0,0
RPC_MV,D,20071115,000000,132.408,137.687,129.808,133.206,0,0
RPC_MV,D,20071116,000000,132.408,133.206,128.361,129.704,0,0
RPC_MV,D,20071119,000000,125.699,131.351,125.699,130.762,0,0
RPC_MV,D,20071120,000000,130.796,131.74,127.017,131.74,0,0
RPC_MV,D,20071121,000000,129.184,130.796,124.304,129.687,0,0
RPC_MV,D,20071122,000000,128.361,135.095,126.48,135.095,0,0
RPC_MV,D,20071123,000000,137.826,145.783,137.826,145.783,0,0
RPC_MV,D,20071126,000000,145.93,145.93,140.521,145.661,0,0
RPC_MV,D,20071127,000000,140.929,144.309,140.799,144.309,0,0
RPC_MV,D,20071128,000000,143.234,144.865,141.595,144.586,0,0
RPC_MV,D,20071129,000000,145.93,145.93,143.234,145.661,0,0
RPC_MV,D,20071130,000000,144.586,148.374,143.503,148.374,0,0
RPC_MV,D,20071203,000000,148.374,148.374,144.865,148.374,0,0
RPC_MV,D,20071204,000000,148.634,161.072,148.634,160.379,0,0
RPC_MV,D,20071205,000000,166.195,166.195,159.452,161.61,0,0
RPC_MV,D,20071206,000000,160.249,161.741,158.367,161.741,0,0
RPC_MV,D,20071207,000000,161.878,162,159.573,162,0,0
RPC_MV,D,20071210,000000,161.072,163.352,161.072,162.693,0,0
RPC_MV,D,20071211,000000,166.326,166.326,162.147,163.222,0,0
RPC_MV,D,20071212,000000,159.702,162.147,159.702,162.147,0,0
RPC_MV,D,20071213,000000,161.332,161.332,158.498,159.573,0,0
RPC_MV,D,20071214,000000,158.897,160.795,158.897,159.313,0,0
RPC_MV,D,20071217,000000,156.747,161.332,156.747,159.452,0,0
RPC_MV,D,20071218,000000,156.202,159.452,155.386,159.452,0,0
RPC_MV,D,20071219,000000,160.795,161.332,157.691,161.332,0,0
RPC_MV,D,20071220,000000,158.367,159.452,156.747,159.452,0,0
RPC_MV,D,20071221,000000,159.452,159.452,157.276,159.452,0,0
RPC_MV,D,20071227,000000,158.222,164.852,154.848,164.852,0,0
RPC_MV,D,20071228,000000,164.852,164.852,161.878,164.852,0,0
RPC_MV,D,20080102,000000,164.852,164.852,164.575,164.575,0,0
RPC_MV,D,20080103,000000,162.147,164.305,162.147,162.147,0,0
RPC_MV,D,20080104,000000,162.147,162.147,161.479,161.479,0,0
RPC_MV,D,20080107,000000,158.367,158.367,158.222,158.222,0,0
RPC_MV,D,20080108,000000,156.886,158.09,155.794,155.794,0,0
RPC_MV,D,20080109,000000,154.71,157.276,152.421,155.386,0,0
RPC_MV,D,20080110,000000,146.468,153.765,145.93,145.93,0,0
RPC_MV,D,20080111,000000,146.207,150.109,145.93,148.634,0,0
RPC_MV,D,20080114,000000,145.93,145.93,145.93,145.93,0,0
RPC_MV,D,20080115,000000,140.799,150.932,140.799,140.929,0,0
RPC_MV,D,20080116,000000,135.121,135.121,127.286,133.101,0,0
RPC_MV,D,20080117,000000,129.704,132.408,125.673,126.748,0,0
RPC_MV,D,20080118,000000,127.017,127.017,121.469,121.469,0,0
RPC_MV,D,20080121,000000,121.357,121.357,108.096,112.142,0,0
RPC_MV,D,20080122,000000,105.399,116.348,100.789,114.18,0,0
RPC_MV,D,20080123,000000,116.191,118.904,116.191,118.904,0,0
RPC_MV,D,20080124,000000,125.673,125.673,124.581,125.673,0,0
RPC_MV,D,20080125,000000,126.991,127.017,124.85,126.991,0,0
RPC_MV,D,20080128,000000,124.035,124.304,122.674,124.304,0,0
RPC_MV,D,20080129,000000,125.673,131.463,125.673,131.463,0,0
RPC_MV,D,20080130,000000,131.463,138.233,131.351,138.233,0,0
RPC_MV,D,20080131,000000,137.826,137.826,133.77,137.687,0,0
RPC_MV,D,20080201,000000,135.667,137.158,132.677,136.881,0,0
RPC_MV,D,20080204,000000,132.677,135.121,129.704,129.704,0,0
RPC_MV,D,20080205,000000,132.954,132.954,127.017,130.796,0,0
RPC_MV,D,20080206,000000,128.361,129.704,128.361,129.704,0,0
RPC_MV,D,20080207,000000,129.704,129.704,126.991,129.704,0,0
RPC_MV,D,20080208,000000,129.704,134.861,127.199,134.861,0,0
RPC_MV,D,20080211,000000,131.351,134.861,131.351,134.861,0,0
RPC_MV,D,20080212,000000,132.408,135.121,131.064,135.121,0,0
RPC_MV,D,20080213,000000,136.473,136.473,136.473,136.473,0,0
RPC_MV,D,20080214,000000,137.54,137.54,133.77,137.41,0,0
RPC_MV,D,20080215,000000,131.627,138.501,131.627,138.501,0,0
RPC_MV,D,20080218,000000,135.121,135.121,135.121,135.121,0,0
RPC_MV,D,20080219,000000,129.704,135.121,129.704,135.121,0,0
RPC_MV,D,20080220,000000,134.861,135.095,132.408,135.095,0,0
RPC_MV,D,20080221,000000,132.478,135.095,132.408,135.042,0,0
RPC_MV,D,20080222,000000,135.069,135.069,135.069,135.069,0,0
RPC_MV,D,20080225,000000,130.796,133.708,130.527,133.708,0,0
RPC_MV,D,20080226,000000,130.284,134.012,127.286,133.9,0,0
RPC_MV,D,20080227,000000,133.882,133.882,133.882,133.882,0,0
RPC_MV,D,20080228,000000,128.43,128.43,128.361,128.361,0,0
RPC_MV,D,20080229,000000,133.77,133.77,127.363,129.687,0,0
RPC_MV,D,20080303,000000,124.304,127.017,121.469,127.017,0,0
RPC_MV,D,20080304,000000,120.152,127.017,120.152,126.358,0,0
RPC_MV,D,20080305,000000,124.182,126.991,121.608,126.991,0,0
RPC_MV,D,20080306,000000,129.393,129.393,129.393,129.393,0,0
RPC_MV,D,20080310,000000,129.366,129.444,129.366,129.444,0,0
RPC_MV,D,20080311,000000,127.034,129.444,124.399,129.444,0,0
RPC_MV,D,20080312,000000,129.444,132.33,127.069,132.33,0,0
RPC_MV,D,20080313,000000,124.884,132.33,124.884,132.252,0,0
RPC_MV,D,20080314,000000,133.638,133.638,132.408,132.408,0,0
RPC_MV,D,20080317,000000,124.452,130.657,124.304,130.657,0,0
RPC_MV,D,20080318,000000,130.657,134.948,130.657,134.948,0,0
RPC_MV,D,20080319,000000,135.069,135.069,125.673,125.673,0,0
RPC_MV,D,20080320,000000,124.85,125.526,124.035,124.85,0,0
RPC_MV,D,20080325,000000,126.748,126.748,122.96,124.85,0,0
RPC_MV,D,20080326,000000,122.19,124.304,122.19,124.304,0,0
RPC_MV,D,20080327,000000,124.304,124.304,119.989,122.96,0,0
RPC_MV,D,20080328,000000,122.96,122.96,119.164,122.007,0,0
RPC_MV,D,20080331,000000,121.608,121.608,121.608,121.608,0,0
RPC_MV,D,20080401,000000,122.96,124.304,122.164,122.164,0,0
RPC_MV,D,20080402,000000,122.164,124.295,122.164,124.295,0,0
RPC_MV,D,20080403,000000,121.608,121.608,121.608,121.608,0,0
RPC_MV,D,20080404,000000,121.608,122.389,121.608,122.389,0,0
RPC_MV,D,20080407,000000,121.608,121.608,119.519,121.608,0,0
RPC_MV,D,20080408,000000,121.608,121.608,119.164,119.164,0,0
RPC_MV,D,20080409,000000,120.265,121.608,120.265,121.608,0,0
RPC_MV,D,20080410,000000,118.904,121.608,118.904,120.265,0,0
RPC_MV,D,20080411,000000,119.234,120.793,117.985,120.793,0,0
RPC_MV,D,20080414,000000,118.904,121.07,113.495,121.01,0,0
RPC_MV,D,20080415,000000,121.07,121.07,120.526,121.07,0,0
RPC_MV,D,20080416,000000,121.07,121.07,116.191,120.265,0,0
RPC_MV,D,20080417,000000,120.265,120.265,116.348,120.195,0,0
RPC_MV,D,20080418,000000,120.195,120.491,116.876,120.491,0,0
RPC_MV,D,20080421,000000,117.985,117.985,116.745,116.745,0,0
RPC_MV,D,20080422,000000,118.617,118.617,112.967,116.936,0,0
RPC_MV,D,20080423,000000,116.745,116.745,113.236,113.236,0,0
RPC_MV,D,20080424,000000,111.121,113.236,110.799,113.236,0,0
RPC_MV,D,20080425,000000,112.142,112.142,108.096,110.799,0,0
RPC_MV,D,20080428,000000,108.096,110.799,107.315,108.096,0,0
RPC_MV,D,20080429,000000,106.751,107.826,106.751,107.826,0,0
