<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC_PE,D,20070813,000000,12.7329,12.7329,12.7329,12.7329,0,0
RPC_PE,D,20070814,000000,11.9701,11.9701,11.9701,11.9701,0,0
RPC_PE,D,20070816,000000,10.3268,10.3268,10.3268,10.3268,0,0
RPC_PE,D,20070817,000000,10.5617,10.5617,10.5617,10.5617,0,0
RPC_PE,D,20070820,000000,9.62295,9.62295,9.62295,9.62295,0,0
RPC_PE,D,20070821,000000,9.21121,9.21121,9.21121,9.21121,0,0
RPC_PE,D,20070822,000000,9.7989,9.7989,9.7989,9.7989,0,0
RPC_PE,D,20070823,000000,10.0928,10.0928,10.0928,10.0928,0,0
RPC_PE,D,20070824,000000,10.2686,10.2686,10.2686,10.2686,0,0
RPC_PE,D,20070827,000000,10.6197,10.6197,10.6197,10.6197,0,0
RPC_PE,D,20070828,000000,10.7956,10.7956,10.7956,10.7956,0,0
RPC_PE,D,20070829,000000,10.5617,10.5617,10.5617,10.5617,0,0
RPC_PE,D,20070830,000000,10.0329,10.0329,10.0329,10.0329,0,0
RPC_PE,D,20070831,000000,10.3848,10.3848,10.3848,10.3848,0,0
RPC_PE,D,20070903,000000,10.5018,10.5018,10.5018,10.5018,0,0
RPC_PE,D,20070904,000000,10.4437,10.4437,10.4437,10.4437,0,0
RPC_PE,D,20070905,000000,10.3848,10.3848,10.3848,10.3848,0,0
RPC_PE,D,20070906,000000,10.3848,10.3848,10.3848,10.3848,0,0
RPC_PE,D,20070907,000000,10.3848,10.3848,10.3848,10.3848,0,0
RPC_PE,D,20070910,000000,10.0329,10.0329,10.0329,10.0329,0,0
RPC_PE,D,20070911,000000,10.0329,10.0329,10.0329,10.0329,0,0
RPC_PE,D,20070912,000000,10.0329,10.0329,10.0329,10.0329,0,0
RPC_PE,D,20070913,000000,10.0928,10.0928,10.0928,10.0928,0,0
RPC_PE,D,20070914,000000,10.0928,10.0928,10.0928,10.0928,0,0
RPC_PE,D,20070917,000000,10.0329,10.0329,10.0329,10.0329,0,0
RPC_PE,D,20070918,000000,9.97485,9.97485,9.97485,9.97485,0,0
RPC_PE,D,20070919,000000,10.208,10.208,10.208,10.208,0,0
RPC_PE,D,20070920,000000,10.0329,10.0329,10.0329,10.0329,0,0
RPC_PE,D,20070921,000000,10.0928,10.0928,10.0928,10.0928,0,0
