<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL_PE,D,20070813,000000,24.6201,24.6201,24.6201,24.6201,0,0
RWL_PE,D,20070814,000000,25.0929,25.0929,25.0929,25.0929,0,0
RWL_PE,D,20070816,000000,25.0929,25.0929,25.0929,25.0929,0,0
RWL_PE,D,20070817,000000,24.6201,24.6201,24.6201,24.6201,0,0
RWL_PE,D,20070820,000000,25.0929,25.0929,25.0929,25.0929,0,0
RWL_PE,D,20070821,000000,26.171,26.171,26.171,26.171,0,0
RWL_PE,D,20070822,000000,26.5069,26.5069,26.5069,26.5069,0,0
RWL_PE,D,20070823,000000,25.9016,25.9016,25.9016,25.9016,0,0
RWL_PE,D,20070824,000000,25.6981,25.6981,25.6981,25.6981,0,0
RWL_PE,D,20070827,000000,25.6305,25.6305,25.6305,25.6305,0,0
RWL_PE,D,20070828,000000,25.6305,25.6305,25.6305,25.6305,0,0
RWL_PE,D,20070829,000000,25.3622,25.3622,25.3622,25.3622,0,0
RWL_PE,D,20070830,000000,25.9016,25.9016,25.9016,25.9016,0,0
RWL_PE,D,20070831,000000,25.9016,25.9016,25.9016,25.9016,0,0
RWL_PE,D,20070903,000000,25.7674,25.7674,25.7674,25.7674,0,0
RWL_PE,D,20070904,000000,25.7674,25.7674,25.7674,25.7674,0,0
RWL_PE,D,20070905,000000,25.7674,25.7674,25.7674,25.7674,0,0
RWL_PE,D,20070906,000000,25.3622,25.3622,25.3622,25.3622,0,0
RWL_PE,D,20070907,000000,25.0261,25.0261,25.0261,25.0261,0,0
RWL_PE,D,20070910,000000,24.8903,24.8903,24.8903,24.8903,0,0
RWL_PE,D,20070911,000000,25.9016,25.9016,25.9016,25.9016,0,0
RWL_PE,D,20070912,000000,25.4296,25.4296,25.4296,25.4296,0,0
RWL_PE,D,20070913,000000,25.9016,25.9016,25.9016,25.9016,0,0
RWL_PE,D,20070914,000000,26.1034,26.1034,26.1034,26.1034,0,0
RWL_PE,D,20070917,000000,25.2946,25.2946,25.2946,25.2946,0,0
RWL_PE,D,20070918,000000,24.8903,24.8903,24.8903,24.8903,0,0
RWL_PE,D,20070919,000000,24.8227,24.8227,24.8227,24.8227,0,0
RWL_PE,D,20070920,000000,24.8227,24.8227,24.8227,24.8227,0,0
RWL_PE,D,20070921,000000,24.6876,24.6876,24.6876,24.6876,0,0
RWL_PE,D,20070924,000000,24.4175,24.4175,24.4175,24.4175,0,0
RWL_PE,D,20070925,000000,24.4175,24.4175,24.4175,24.4175,0,0
RWL_PE,D,20070926,000000,25.1596,25.1596,25.1596,25.1596,0,0
RWL_PE,D,20070927,000000,25.1596,25.1596,25.1596,25.1596,0,0
RWL_PE,D,20070928,000000,25.0929,25.0929,25.0929,25.0929,0,0
RWL_PE,D,20071001,000000,24.4175,24.4175,24.4175,24.4175,0,0
RWL_PE,D,20071002,000000,23.878,23.878,23.878,23.878,0,0
RWL_PE,D,20071003,000000,24.3498,24.3498,24.3498,24.3498,0,0
RWL_PE,D,20071004,000000,24.484,24.484,24.484,24.484,0,0
RWL_PE,D,20071005,000000,25.3622,25.3622,25.3622,25.3622,0,0
RWL_PE,D,20071008,000000,26.3744,26.3744,26.3744,26.3744,0,0
RWL_PE,D,20071009,000000,26.3744,26.3744,26.3744,26.3744,0,0
RWL_PE,D,20071010,000000,26.3744,26.3744,26.3744,26.3744,0,0
RWL_PE,D,20071011,000000,26.3744,26.3744,26.3744,26.3744,0,0
RWL_PE,D,20071012,000000,26.3051,26.3051,26.3051,26.3051,0,0
RWL_PE,D,20071015,000000,25.8341,25.8341,25.8341,25.8341,0,0
RWL_PE,D,20071016,000000,26.2384,26.2384,26.2384,26.2384,0,0
RWL_PE,D,20071017,000000,26.3744,26.3744,26.3744,26.3744,0,0
RWL_PE,D,20071018,000000,27.1833,27.1833,27.1833,27.1833,0,0
RWL_PE,D,20071019,000000,27.9263,27.9263,27.9263,27.9263,0,0
RWL_PE,D,20071022,000000,27.7902,27.7902,27.7902,27.7902,0,0
RWL_PE,D,20071023,000000,27.3859,27.3859,27.3859,27.3859,0,0
RWL_PE,D,20071024,000000,27.2508,27.2508,27.2508,27.2508,0,0
RWL_PE,D,20071025,000000,26.171,26.171,26.171,26.171,0,0
RWL_PE,D,20071026,000000,26.0368,26.0368,26.0368,26.0368,0,0
RWL_PE,D,20071029,000000,25.3622,25.3622,25.3622,25.3622,0,0
RWL_PE,D,20071030,000000,25.9016,25.9016,25.9016,25.9016,0,0
RWL_PE,D,20071031,000000,25.1596,25.1596,25.1596,25.1596,0,0
RWL_PE,D,20071102,000000,25.3622,25.3622,25.3622,25.3622,0,0
RWL_PE,D,20071105,000000,24.0798,24.0798,24.0798,24.0798,0,0
RWL_PE,D,20071106,000000,23.4051,23.4051,23.4051,23.4051,0,0
RWL_PE,D,20071107,000000,22.7973,22.7973,22.7973,22.7973,0,0
RWL_PE,D,20071108,000000,21.5851,21.5851,21.5851,21.5851,0,0
RWL_PE,D,20071109,000000,20.5061,21.3157,20.5061,21.3157,0,0
RWL_PE,D,20071112,000000,20.6403,21.3157,19.5605,20.5727,0,0
RWL_PE,D,20071113,000000,20.978,20.978,19.6972,19.6972,0,0
RWL_PE,D,20071114,000000,19.6972,19.6972,18.2797,19.2921,0,0
RWL_PE,D,20071115,000000,19.156,19.2921,16.727,16.727,0,0
RWL_PE,D,20071116,000000,16.727,39.8647,14.7052,39.8647,0,0
RWL_PE,D,20071119,000000,39.8647,42.4262,19.021,19.021,0,0
RWL_PE,D,20071120,000000,18.6833,19.6288,18.6833,19.5605,0,0
RWL_PE,D,20071121,000000,19.2921,19.4938,18.9543,18.9543,0,0
RWL_PE,D,20071122,000000,19.021,19.9648,18.6833,19.9648,0,0
RWL_PE,D,20071123,000000,20.4376,20.8437,20.1683,20.4376,0,0
RWL_PE,D,20071126,000000,20.4376,20.4376,19.5605,19.6288,0,0
RWL_PE,D,20071127,000000,18.6833,18.9543,18.3473,18.3473,0,0
RWL_PE,D,20071128,000000,18.3473,19.021,18.3473,18.4823,0,0
RWL_PE,D,20071129,000000,19.021,19.2237,18.5491,18.6833,0,0
RWL_PE,D,20071130,000000,18.9543,20.0341,18.9543,19.2921,0,0
RWL_PE,D,20071203,000000,21.3823,21.3823,19.4938,19.5605,0,0
RWL_PE,D,20071204,000000,19.6288,19.6288,19.4938,19.5605,0,0
RWL_PE,D,20071205,000000,19.8305,20.7078,19.8305,20.6403,0,0
RWL_PE,D,20071206,000000,20.7078,21.2473,20.7078,21.1806,0,0
RWL_PE,D,20071207,000000,21.1806,21.5851,20.978,21.5174,0,0
RWL_PE,D,20071210,000000,21.5851,21.7201,20.978,21.7201,0,0
RWL_PE,D,20071211,000000,21.3157,21.5174,21.1121,21.1806,0,0
RWL_PE,D,20071212,000000,21.1121,21.1806,20.5727,21.0455,0,0
RWL_PE,D,20071213,000000,21.3157,21.7201,21.3157,21.6533,0,0
RWL_PE,D,20071214,000000,22.3262,22.3262,21.449,21.7201,0,0
RWL_PE,D,20071217,000000,21.7201,21.7201,20.5727,20.5727,0,0
RWL_PE,D,20071218,000000,20.3016,20.8437,20.3016,20.7744,0,0
RWL_PE,D,20071219,000000,20.7744,20.7744,20.5727,20.5727,0,0
RWL_PE,D,20071220,000000,20.3016,20.5727,20.3016,20.3016,0,0
RWL_PE,D,20071221,000000,20.5727,20.8437,20.3701,20.3701,0,0
RWL_PE,D,20071227,000000,20.0341,20.5727,19.9648,19.9648,0,0
RWL_PE,D,20071228,000000,20.0998,20.0998,19.021,19.4254,0,0
RWL_PE,D,20080102,000000,19.4938,20.235,19.4938,20.1683,0,0
RWL_PE,D,20080103,000000,19.8305,20.235,19.8305,20.1683,0,0
RWL_PE,D,20080104,000000,20.235,20.5727,20.235,20.3016,0,0
RWL_PE,D,20080107,000000,20.0341,20.0341,19.9648,19.9648,0,0
RWL_PE,D,20080108,000000,18.8183,19.7631,18.8183,19.4254,0,0
RWL_PE,D,20080109,000000,18.8868,19.0885,18.6165,18.6165,0,0
RWL_PE,D,20080110,000000,17.8069,17.8069,17.0648,17.0648,0,0
RWL_PE,D,20080111,000000,17.1332,17.1332,16.7955,17.1332,0,0
RWL_PE,D,20080114,000000,17.3358,17.3358,17.3358,17.3358,0,0
RWL_PE,D,20080115,000000,17.0648,17.0648,16.9315,16.9315,0,0
RWL_PE,D,20080116,000000,15.2446,17.47,15.2446,17.3358,0,0
RWL_PE,D,20080117,000000,18.0096,18.0772,17.6061,17.6727,0,0
RWL_PE,D,20080118,000000,17.5385,18.8183,17.5385,18.8183,0,0
RWL_PE,D,20080121,000000,19.4254,19.4254,18.5491,18.8183,0,0
RWL_PE,D,20080122,000000,18.8183,18.8183,18.0096,18.5491,0,0
RWL_PE,D,20080123,000000,18.8183,18.8183,18.2797,18.5491,0,0
RWL_PE,D,20080124,000000,18.8183,18.8183,18.2797,18.6165,0,0
RWL_PE,D,20080125,000000,18.6165,18.6165,18.4823,18.5491,0,0
RWL_PE,D,20080128,000000,18.4823,18.5491,18.4823,18.5491,0,0
RWL_PE,D,20080129,000000,18.5491,19.0885,18.5491,19.0885,0,0
RWL_PE,D,20080130,000000,19.0885,19.0885,18.8183,19.0885,0,0
RWL_PE,D,20080131,000000,19.0885,19.6288,19.0885,19.4254,0,0
RWL_PE,D,20080201,000000,19.4254,20.0341,19.021,19.9648,0,0
RWL_PE,D,20080204,000000,20.0998,20.5727,20.0998,20.1683,0,0
RWL_PE,D,20080205,000000,19.9648,20.5727,19.9648,19.9648,0,0
RWL_PE,D,20080206,000000,19.3588,19.7631,19.3588,19.7631,0,0
RWL_PE,D,20080207,000000,19.6972,19.9648,19.6972,19.9648,0,0
RWL_PE,D,20080208,000000,19.9648,19.9648,19.6972,19.6972,0,0
RWL_PE,D,20080211,000000,19.4254,19.6972,19.4254,19.6972,0,0
RWL_PE,D,20080212,000000,19.6972,20.5727,19.156,20.5727,0,0
RWL_PE,D,20080213,000000,20.5727,20.5727,19.9648,20.3016,0,0
RWL_PE,D,20080214,000000,20.5727,20.5727,19.2921,20.0998,0,0
RWL_PE,D,20080215,000000,20.0341,20.0341,19.9648,19.9648,0,0
RWL_PE,D,20080218,000000,19.5605,19.5605,19.3588,19.5605,0,0
RWL_PE,D,20080219,000000,19.4938,19.4938,18.6165,18.8868,0,0
RWL_PE,D,20080220,000000,19.2921,19.2921,18.0772,18.1446,0,0
RWL_PE,D,20080221,000000,18.2113,18.2113,17.2683,17.3358,0,0
RWL_PE,D,20080222,000000,17.3358,17.47,17.3358,17.3358,0,0
RWL_PE,D,20080225,000000,17.3358,17.3358,16.727,16.727,0,0
