<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN_MV,D,20141203,000000,326773,326773,326773,326773,0,0
SAN_MV,D,20141204,000000,329194,329403,325930,327929,0,0
SAN_MV,D,20141205,000000,328877,328877,318879,322879,0,0
SAN_MV,D,20141208,000000,322037,326247,322037,322037,0,0
SAN_MV,D,20141209,000000,323089,323721,312564,312881,0,0
SAN_MV,D,20141210,000000,313618,313618,308356,308460,0,0
SAN_MV,D,20141211,000000,308881,308881,308460,308460,0,0
SAN_MV,D,20141212,000000,303093,303093,300988,302568,0,0
SAN_MV,D,20141215,000000,295306,299935,295306,296779,0,0
SAN_MV,D,20141216,000000,294674,294674,284675,285729,0,0
SAN_MV,D,20141217,000000,300988,302777,294674,302777,0,0
SAN_MV,D,20141218,000000,307304,316143,307304,315617,0,0
SAN_MV,D,20141219,000000,319195,319195,313618,319089,0,0
SAN_MV,D,20141222,000000,321511,321511,313724,318775,0,0
SAN_MV,D,20141223,000000,318879,320668,318879,320668,0,0
SAN_MV,D,20141229,000000,325509,325509,309511,319932,0,0
SAN_MV,D,20150102,000000,314670,322037,314670,322037,0,0
SAN_MV,D,20150105,000000,306356,320879,306356,319826,0,0
SAN_MV,D,20150107,000000,302041,305197,300462,302568,0,0
SAN_MV,D,20150108,000000,307830,315617,299935,299935,0,0
SAN_MV,D,20150109,000000,284149,297830,263101,263101,0,0
SAN_MV,D,20150112,000000,271732,272467,257944,267838,0,0
SAN_MV,D,20150113,000000,278257,294244,265733,294244,0,0
SAN_MV,D,20150114,000000,283974,299436,283974,286398,0,0
SAN_MV,D,20150115,000000,294244,295976,288821,288821,0,0
SAN_MV,D,20150116,000000,299897,300012,299897,300012,0,0
SAN_MV,D,20150119,000000,304398,304398,295513,295513,0,0
SAN_MV,D,20150120,000000,304398,304398,304283,304283,0,0
SAN_MV,D,20150121,000000,304283,304283,292512,292512,0,0
SAN_MV,D,20150122,000000,294590,310974,294590,310974,0,0
SAN_MV,D,20150123,000000,310974,310974,310974,310974,0,0
SAN_MV,D,20150126,000000,311553,311553,299667,299667,0,0
SAN_MV,D,20150127,000000,305783,305783,300012,300012,0,0
SAN_MV,D,20150128,000000,301166,301166,299897,299897,0,0
SAN_MV,D,20150129,000000,291936,299782,291013,299782,0,0
SAN_MV,D,20150130,000000,295629,295629,290782,290782,0,0
SAN_MV,D,20150202,000000,289167,289167,280397,284435,0,0
SAN_MV,D,20150203,000000,294244,298282,290899,298282,0,0
SAN_MV,D,20150204,000000,298860,298860,288589,298860,0,0
SAN_MV,D,20150205,000000,300590,300590,288475,294244,0,0
SAN_MV,D,20150206,000000,294244,299844,294244,299844,0,0
SAN_MV,D,20150209,000000,292905,298549,292905,298549,0,0
SAN_MV,D,20150210,000000,295258,299844,293963,293963,0,0
SAN_MV,D,20150211,000000,293963,293963,293963,293963,0,0
SAN_MV,D,20150212,000000,294081,303135,294081,303135,0,0
SAN_MV,D,20150213,000000,305723,309838,305723,309838,0,0
SAN_MV,D,20150216,000000,310425,310425,298196,307486,0,0
SAN_MV,D,20150217,000000,308073,308073,308073,308073,0,0
SAN_MV,D,20150218,000000,311602,315718,311602,315130,0,0
SAN_MV,D,20150219,000000,316070,327827,315363,327827,0,0
SAN_MV,D,20150223,000000,317834,317834,307721,307721,0,0
SAN_MV,D,20150224,000000,299962,317480,299962,317480,0,0
SAN_MV,D,20150225,000000,305841,316070,305841,316070,0,0
