<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN_PB,D,20141203,000000,1.0119,1.0119,1.0119,1.0119,0,0
SAN_PB,D,20141204,000000,1.02036,1.02036,1.0119,1.02036,0,0
SAN_PB,D,20141205,000000,1.02036,1.02036,0.986779,1.00351,0,0
SAN_PB,D,20141208,000000,0.995146,1.0119,0.995146,0.995146,0,0
SAN_PB,D,20141209,000000,1.00351,1.00351,0.970034,0.970034,0,0
SAN_PB,D,20141210,000000,0.970034,0.970034,0.953378,0.953378,0,0
SAN_PB,D,20141211,000000,0.953378,0.953378,0.953378,0.953378,0,0
SAN_PB,D,20141212,000000,0.936637,0.936637,0.928264,0.936637,0,0
SAN_PB,D,20141215,000000,0.911436,0.928264,0.911436,0.919895,0,0
SAN_PB,D,20141216,000000,0.911436,0.911436,0.878039,0.878039,0,0
SAN_PB,D,20141217,000000,0.928264,0.928264,0.90315,0.919895,0,0
SAN_PB,D,20141218,000000,0.936637,0.961753,0.936637,0.961753,0,0
SAN_PB,D,20141219,000000,0.970034,0.970034,0.953378,0.961753,0,0
SAN_PB,D,20141222,000000,0.970034,0.970034,0.945007,0.961753,0,0
SAN_PB,D,20141223,000000,0.961753,0.970034,0.961753,0.970034,0,0
SAN_PB,D,20141229,000000,0.978405,0.978405,0.936637,0.961753,0,0
SAN_PB,D,20150102,000000,0.936637,0.961753,0.936637,0.961753,0,0
SAN_PB,D,20150105,000000,0.919895,0.961753,0.919895,0.961753,0,0
SAN_PB,D,20150107,000000,0.90315,0.911436,0.90315,0.90315,0,0
SAN_PB,D,20150108,000000,0.919895,0.945007,0.894782,0.90315,0,0
SAN_PB,D,20150109,000000,0.853012,0.894782,0.786128,0.794411,0,0
SAN_PB,D,20150112,000000,0.819526,0.819526,0.777755,0.802783,0,0
SAN_PB,D,20150113,000000,0.836268,0.886497,0.802783,0.886497,0,0
SAN_PB,D,20150114,000000,0.853012,0.90315,0.853012,0.861383,0,0
SAN_PB,D,20150115,000000,0.886497,0.886497,0.869755,0.869755,0,0
SAN_PB,D,20150116,000000,0.90315,0.90315,0.894782,0.894782,0,0
SAN_PB,D,20150119,000000,0.911436,0.911436,0.878039,0.886497,0,0
SAN_PB,D,20150120,000000,0.911436,0.911436,0.90315,0.90315,0,0
SAN_PB,D,20150121,000000,0.90315,0.90315,0.869755,0.869755,0,0
SAN_PB,D,20150122,000000,0.878039,0.928264,0.878039,0.928264,0,0
SAN_PB,D,20150123,000000,0.928264,0.945007,0.928264,0.945007,0,0
SAN_PB,D,20150126,000000,0.945007,0.945007,0.911436,0.911436,0,0
SAN_PB,D,20150127,000000,0.928264,0.928264,0.911436,0.911436,0,0
SAN_PB,D,20150128,000000,0.919895,0.919895,0.911436,0.911436,0,0
SAN_PB,D,20150129,000000,0.886497,0.911436,0.886497,0.911436,0,0
SAN_PB,D,20150130,000000,0.90315,0.90315,0.886497,0.886497,0,0
